name= \My Documents\HR1024_Data\AB1.,,,,,name= \My Documents\HR1024_Data\AB2.,,,,,name= \My Documents\HR1024_Data\AB3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  1000  60  30,,,,,integration= 200  60  30  1000  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 48.69  9.01  -4.97  49.10  8.94  -4.97,,,,,temp= 48.69  9.01  -4.97  49.10  9.01  -4.97,,,,,temp= 48.69  9.01  -4.97  49.34  9.01  -4.97,,,,,
battery= 6.3  6.1,,,,,battery= 6.3  6.1,,,,,battery= 6.3  6.1,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 2:18:54 PM  1/1/08 2:27:13 PM,,,,,time= 1/1/08 2:18:54 PM  1/1/08 2:27:38 PM,,,,,time= 1/1/08 2:18:54 PM  1/1/08 2:28:34 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: AB1:AB2:AB3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,62.43,12.25,,346.4,509.60,53.51,10.50,,346.4,509.60,72.62,14.25,,346.4,509.60,62.85,12.33,,
347.9,549.06,63.38,11.54,,347.9,549.06,51.46,9.37,,347.9,549.06,66.52,12.11,,347.9,549.06,60.45,11.01,,
349.5,608.40,60.53,9.95,,349.5,608.40,49.92,8.21,,349.5,608.40,74.88,12.31,,349.5,608.40,61.78,10.15,,
351.1,655.20,61.78,9.43,,351.1,655.20,54.29,8.29,,351.1,655.20,74.88,11.43,,351.1,655.20,63.65,9.71,,
352.6,708.40,67.05,9.46,,352.6,708.40,53.13,7.50,,352.6,708.40,72.11,10.18,,352.6,708.40,64.10,9.05,,
354.2,752.68,73.96,9.83,,354.2,752.68,56.29,7.48,,354.2,752.68,83.78,11.13,,354.2,752.68,71.34,9.48,,
355.7,818.30,76.11,9.30,,355.7,818.30,57.25,7.00,,355.7,818.30,79.47,9.71,,355.7,818.30,70.94,8.67,,
357.3,873.81,75.59,8.65,,357.3,873.81,62.42,7.14,,357.3,873.81,83.22,9.52,,357.3,873.81,73.74,8.44,,
358.8,891.23,76.89,8.63,,358.8,891.23,60.11,6.75,,358.8,891.23,76.89,8.63,,358.8,891.23,71.30,8.00,,
360.4,967.31,84.42,8.73,,360.4,967.31,68.24,7.05,,360.4,967.31,84.42,8.73,,360.4,967.31,79.03,8.17,,
361.9,1009.93,79.40,7.86,,361.9,1009.93,63.38,6.28,,361.9,1009.93,83.58,8.28,,361.9,1009.93,75.45,7.47,,
363.5,1059.53,77.56,7.32,,363.5,1059.53,66.48,6.27,,363.5,1059.53,76.18,7.19,,363.5,1059.53,73.41,6.93,,
365.1,1102.67,83.91,7.61,,365.1,1102.67,61.03,5.53,,365.1,1102.67,85.99,7.80,,365.1,1102.67,76.98,6.98,,
366.6,1156.59,77.34,6.69,,366.6,1156.59,61.45,5.31,,366.6,1156.59,88.38,7.64,,366.6,1156.59,75.72,6.55,,
368.2,1218.77,82.59,6.78,,368.2,1218.77,65.14,5.34,,368.2,1218.77,88.64,7.27,,368.2,1218.77,78.79,6.46,,
369.7,1306.00,81.63,6.25,,369.7,1306.00,63.34,4.85,,369.7,1306.00,90.11,6.90,,369.7,1306.00,78.36,6.00,,
371.3,1379.56,83.63,6.06,,371.3,1379.56,67.17,4.87,,371.3,1379.56,82.97,6.01,,371.3,1379.56,77.92,5.65,,
372.8,1457.48,87.65,6.01,,372.8,1457.48,67.06,4.60,,372.8,1457.48,96.94,6.65,,372.8,1457.48,83.88,5.76,,
374.4,1528.58,82.77,5.41,,374.4,1528.58,70.76,4.63,,374.4,1528.58,96.12,6.29,,374.4,1528.58,83.22,5.44,,
375.9,1575.56,89.37,5.67,,375.9,1575.56,71.50,4.54,,375.9,1575.56,100.62,6.39,,375.9,1575.56,87.16,5.53,,
377.4,1632.76,84.57,5.18,,377.4,1632.76,68.95,4.22,,377.4,1632.76,97.58,5.98,,377.4,1632.76,83.70,5.13,,
