name= \My Documents\HR1024_Data\AD1.,,,,,name= \My Documents\HR1024_Data\AD2.,,,,,name= \My Documents\HR1024_Data\AD3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  1000  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 48.69  9.01  -4.97  49.02  8.94  -4.97,,,,,temp= 48.69  9.01  -4.97  49.02  8.94  -5.10,,,,,temp= 48.69  9.01  -4.97  49.10  9.01  -4.97,,,,,
battery= 6.3  6.1,,,,,battery= 6.3  6.1,,,,,battery= 6.3  6.1,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 2:18:54 PM  1/1/08 2:24:48 PM,,,,,time= 1/1/08 2:18:54 PM  1/1/08 2:26:02 PM,,,,,time= 1/1/08 2:18:54 PM  1/1/08 2:26:41 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: AD1:AD2:AD3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,490.49,80.26,16.36,,346.4,509.60,81.54,16.00,,346.4,509.60,51.60,10.13,,346.4,503.23,71.13,14.14,,
347.9,527.10,77.81,14.76,,347.9,549.06,94.13,17.14,,347.9,549.06,50.20,9.14,,347.9,541.74,74.05,13.67,,
349.5,577.20,63.65,11.03,,349.5,608.40,87.36,14.36,,349.5,608.40,51.17,8.41,,349.5,598.00,67.39,11.27,,
351.1,611.52,74.88,12.24,,351.1,655.20,83.62,12.76,,351.1,655.20,53.66,8.19,,351.1,640.64,70.72,11.04,,
352.6,670.45,64.52,9.62,,352.6,708.40,88.55,12.50,,352.6,708.40,56.29,7.95,,352.6,695.75,69.79,10.03,,
354.2,713.41,75.92,10.64,,354.2,752.68,98.18,13.04,,354.2,752.68,55.63,7.39,,354.2,739.59,76.58,10.35,,
355.7,774.53,84.86,10.96,,355.7,818.30,101.03,12.35,,355.7,818.30,51.86,6.34,,355.7,803.71,79.25,9.86,,
357.3,818.33,81.83,10.00,,357.3,873.81,104.03,11.90,,357.3,873.81,59.64,6.83,,357.3,855.32,81.83,9.57,,
358.8,842.30,83.88,9.96,,358.8,891.23,96.46,10.82,,358.8,891.23,61.51,6.90,,358.8,874.92,80.62,9.21,,
360.4,911.03,83.01,9.11,,360.4,967.31,108.34,11.20,,360.4,967.31,54.17,5.60,,360.4,948.55,81.84,8.63,,
361.9,964.65,78.01,8.09,,361.9,1009.93,108.65,10.76,,361.9,1009.93,57.11,5.66,,361.9,994.84,81.26,8.17,,
363.5,990.28,94.18,9.51,,363.5,1059.53,95.57,9.02,,363.5,1059.53,60.94,5.75,,363.5,1036.45,83.56,8.06,,
365.1,1050.65,84.61,8.05,,365.1,1102.67,101.25,9.18,,365.1,1102.67,53.40,4.84,,365.1,1085.33,79.75,7.35,,
366.6,1104.80,92.53,8.38,,366.6,1156.59,99.43,8.60,,366.6,1156.59,62.84,5.43,,366.6,1139.33,84.93,7.45,,
368.2,1165.05,87.30,7.49,,368.2,1218.77,104.75,8.60,,368.2,1218.77,61.11,5.01,,368.2,1200.86,84.39,7.03,,
369.7,1227.64,82.28,6.70,,369.7,1306.00,99.26,7.60,,369.7,1306.00,62.69,4.80,,369.7,1279.88,81.41,6.36,,
371.3,1313.71,86.92,6.62,,371.3,1379.56,96.14,6.97,,371.3,1379.56,59.27,4.30,,371.3,1357.61,80.78,5.95,,
372.8,1384.44,82.34,5.95,,372.8,1457.48,103.58,7.11,,372.8,1457.48,61.75,4.24,,372.8,1433.13,82.56,5.76,,
374.4,1441.80,84.11,5.83,,374.4,1528.58,109.47,7.16,,374.4,1528.58,56.74,3.71,,374.4,1499.65,83.44,5.56,,
375.9,1515.98,88.71,5.85,,375.9,1575.56,109.89,6.97,,375.9,1575.56,58.92,3.74,,375.9,1555.70,85.84,5.52,,
377.4,1557.95,101.48,6.51,,377.4,1632.76,105.38,6.45,,377.4,1632.76,67.00,4.10,,377.4,1607.82,91.29,5.68,,
