name= \My Documents\HR1024_Data\A1.,,,,,name= \My Documents\HR1024_Data\A2.,,,,,name= \My Documents\HR1024_Data\A3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  400  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 48.69  9.01  -4.97  48.69  9.01  -5.03,,,,,temp= 48.69  9.01  -4.97  48.69  9.08  -5.10,,,,,temp= 48.69  9.01  -4.97  48.85  9.01  -5.03,,,,,
battery= 6.3  6.3,,,,,battery= 6.3  6.2,,,,,battery= 6.3  6.2,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 2:18:54 PM  1/1/08 2:19:31 PM,,,,,time= 1/1/08 2:18:54 PM  1/1/08 2:21:11 PM,,,,,time= 1/1/08 2:18:54 PM  1/1/08 2:21:47 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: A1:A2:A3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,490.49,128.67,26.23,,346.4,490.49,189.51,38.64,,346.4,490.49,117.21,23.90,,346.4,490.49,145.13,29.59,,
347.9,527.10,109.19,20.71,,347.9,527.10,189.82,36.01,,347.9,527.10,119.23,22.62,,347.9,527.10,139.41,26.45,,
349.5,577.20,128.54,22.27,,349.5,577.20,184.08,31.89,,349.5,577.20,118.56,20.54,,349.5,577.20,143.73,24.90,,
351.1,611.52,118.56,19.39,,351.1,611.52,185.64,30.36,,351.1,611.52,121.06,19.80,,351.1,611.52,141.75,23.18,,
352.6,670.45,131.56,19.62,,352.6,670.45,196.08,29.25,,352.6,670.45,127.77,19.06,,352.6,670.45,151.80,22.64,,
354.2,713.41,132.21,18.53,,354.2,713.41,204.53,28.67,,354.2,713.41,126.97,17.80,,354.2,713.41,154.57,21.67,,
355.7,774.53,138.74,17.91,,355.7,774.53,212.15,27.39,,355.7,774.53,134.70,17.39,,355.7,774.53,161.86,20.90,,
357.3,818.33,145.64,17.80,,357.3,818.33,214.99,26.27,,357.3,818.33,135.93,16.61,,357.3,818.33,165.52,20.23,,
358.8,842.30,146.79,17.43,,358.8,842.30,216.69,25.73,,358.8,842.30,141.20,16.76,,358.8,842.30,168.23,19.97,,
360.4,911.03,149.14,16.37,,360.4,911.03,230.40,25.29,,360.4,911.03,150.55,16.53,,360.4,911.03,176.70,19.40,,
361.9,964.65,147.66,15.31,,361.9,964.65,235.07,24.37,,361.9,964.65,149.05,15.45,,361.9,964.65,177.26,18.38,,
363.5,990.28,152.35,15.38,,363.5,990.28,230.26,23.25,,363.5,990.28,150.97,15.24,,363.5,990.28,177.86,17.96,,
365.1,1050.65,152.57,14.52,,365.1,1050.65,234.06,22.28,,365.1,1050.65,147.02,13.99,,365.1,1050.65,177.88,16.93,,
366.6,1104.80,151.91,13.75,,366.6,1104.80,236.50,21.41,,366.6,1104.80,149.15,13.50,,366.6,1104.80,179.19,16.22,,
368.2,1165.05,146.39,12.56,,368.2,1165.05,233.35,20.03,,368.2,1165.05,143.70,12.33,,368.2,1165.05,174.48,14.98,,
369.7,1227.64,150.19,12.23,,369.7,1227.64,235.08,19.15,,369.7,1227.64,142.35,11.60,,369.7,1227.64,175.87,14.33,,
371.3,1313.71,154.09,11.73,,371.3,1313.71,235.41,17.92,,371.3,1313.71,151.46,11.53,,371.3,1313.71,180.32,13.73,,
372.8,1384.44,155.38,11.22,,372.8,1384.44,257.30,18.59,,372.8,1384.44,140.77,10.17,,372.8,1384.44,184.48,13.33,,
374.4,1441.80,161.54,11.20,,374.4,1441.80,251.98,17.48,,374.4,1441.80,142.85,9.91,,374.4,1441.80,185.46,12.86,,
375.9,1515.98,160.20,10.57,,375.9,1515.98,254.87,16.81,,375.9,1515.98,152.26,10.04,,375.9,1515.98,189.11,12.47,,
377.4,1557.95,166.53,10.69,,377.4,1557.95,256.95,16.49,,377.4,1557.95,149.62,9.60,,377.4,1557.95,191.03,12.26,,
379.0,1607.16,169.31,10.53,,379.0,1607.16,260.97,16.24,,379.0,1607.16,146.40,9.11,,379.0,1607.16,192.23,11.96,,
380.5,1649.54,161.26,9.78,,380.5,1649.54,263.13,15.95,,380.5,1649.54,146.49,8.88,,380.5,1649.54,190.29,11.54,,
382.1,1716.86,170.21,9.91,,382.1,1716.86,261.52,15.23,,382.1,1716.86,146.57,8.54,,382.1,1716.86,192.77,11.23,,
383.6,1783.22,158.76,8.90,,383.6,1783.22,257.99,14.47,,383.6,1783.22,141.75,7.95,,383.6,1783.22,186.17,10.44,,
385.2,1859.00,165.00,8.88,,385.2,1859.00,264.00,14.20,,385.2,1859.00,139.70,7.51,,385.2,1859.00,189.57,10.20,,
386.7,1941.28,166.78,8.59,,386.7,1941.28,266.69,13.74,,386.7,1941.28,144.04,7.42,,386.7,1941.28,192.50,9.92,,
388.3,2032.69,171.75,8.45,,388.3,2032.69,274.47,13.50,,388.3,2032.69,143.48,7.06,,388.3,2032.69,196.57,9.67,,
