name= \My Documents\HR1024_Data\AT1.,,,,,name= \My Documents\HR1024_Data\AT2.,,,,,name= \My Documents\HR1024_Data\AT3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  400  60  30,,,,,integration= 200  60  30  400  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 48.69  9.01  -4.97  48.94  8.94  -4.97,,,,,temp= 48.69  9.01  -4.97  48.94  8.94  -5.03,,,,,temp= 48.69  9.01  -4.97  48.94  9.08  -4.97,,,,,
battery= 6.3  6.2,,,,,battery= 6.3  6.2,,,,,battery= 6.3  6.1,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 2:18:54 PM  1/1/08 2:22:21 PM,,,,,time= 1/1/08 2:18:54 PM  1/1/08 2:23:00 PM,,,,,time= 1/1/08 2:18:54 PM  1/1/08 2:23:37 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: AT1:AT2:AT3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,490.49,147.78,30.13,,346.4,490.49,178.36,36.36,,346.4,490.49,157.66,32.14,,346.4,490.49,161.27,32.88,,
347.9,527.10,150.60,28.57,,347.9,527.10,170.99,32.44,,347.9,527.10,158.44,30.06,,347.9,527.10,160.01,30.36,,
349.5,577.20,148.51,25.73,,349.5,577.20,166.92,28.92,,349.5,577.20,165.36,28.65,,349.5,577.20,160.26,27.77,,
351.1,611.52,149.76,24.49,,351.1,611.52,177.84,29.08,,351.1,611.52,162.24,26.53,,351.1,611.52,163.28,26.70,,
352.6,670.45,159.39,23.77,,352.6,670.45,188.17,28.07,,352.6,670.45,161.29,24.06,,352.6,670.45,169.62,25.30,,
354.2,713.41,161.01,22.57,,354.2,713.41,184.90,25.92,,354.2,713.41,166.90,23.39,,354.2,713.41,170.94,23.96,,
355.7,774.53,160.29,20.70,,355.7,774.53,195.32,25.22,,355.7,774.53,190.26,24.57,,355.7,774.53,181.96,23.49,,
357.3,818.33,184.47,22.54,,357.3,818.33,209.78,25.64,,357.3,818.33,192.45,23.52,,357.3,818.33,195.57,23.90,,
358.8,842.30,173.35,20.58,,358.8,842.30,207.95,24.69,,358.8,842.30,188.73,22.41,,358.8,842.30,190.01,22.56,,
360.4,911.03,175.88,19.31,,360.4,911.03,209.29,22.97,,360.4,911.03,191.70,21.04,,360.4,911.03,192.29,21.11,,
361.9,964.65,185.27,19.21,,361.9,964.65,217.66,22.56,,361.9,964.65,196.76,20.40,,361.9,964.65,199.90,20.72,,
363.5,990.28,191.13,19.30,,363.5,990.28,219.87,22.20,,363.5,990.28,206.02,20.80,,363.5,990.28,205.67,20.77,,
365.1,1050.65,188.63,17.95,,365.1,1050.65,209.78,19.97,,365.1,1050.65,204.58,19.47,,365.1,1050.65,201.00,19.13,,
366.6,1104.80,186.44,16.88,,366.6,1104.80,222.69,20.16,,366.6,1104.80,200.25,18.13,,366.6,1104.80,203.13,18.39,,
368.2,1165.05,185.33,15.91,,368.2,1165.05,226.63,19.45,,368.2,1165.05,199.77,17.15,,368.2,1165.05,203.91,17.50,,
369.7,1227.64,185.45,15.11,,369.7,1227.64,226.92,18.48,,369.7,1227.64,197.53,16.09,,369.7,1227.64,203.30,16.56,,
371.3,1313.71,193.60,14.74,,371.3,1313.71,225.54,17.17,,371.3,1313.71,202.49,15.41,,371.3,1313.71,207.21,15.77,,
372.8,1384.44,196.54,14.20,,372.8,1384.44,240.70,17.39,,372.8,1384.44,207.50,14.99,,372.8,1384.44,214.91,15.52,,
374.4,1441.80,193.58,13.43,,374.4,1441.80,241.97,16.78,,374.4,1441.80,213.60,14.81,,374.4,1441.80,216.38,15.01,,
375.9,1515.98,203.90,13.45,,375.9,1515.98,246.60,16.27,,375.9,1515.98,223.43,14.74,,375.9,1515.98,224.64,14.82,,
377.4,1557.95,199.05,12.78,,377.4,1557.95,253.70,16.28,,377.4,1557.95,227.68,14.61,,377.4,1557.95,226.81,14.56,,
