name= \My Documents\HR1024_Data\BB1.,,,,,name= \My Documents\HR1024_Data\BB2.,,,,,name= \My Documents\HR1024_Data\BB3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  1000  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 48.69  9.01  -4.97  49.66  8.94  -3.49,,,,,temp= 48.69  9.01  -4.97  49.66  9.01  -2.75,,,,,temp= 48.69  9.01  -4.97  49.58  8.94  -2.35,,,,,
battery= 6.3  5.6,,,,,battery= 6.3  5.4,,,,,battery= 6.3  5.3,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 2:18:54 PM  1/1/08 2:38:25 PM,,,,,time= 1/1/08 2:18:54 PM  1/1/08 2:40:12 PM,,,,,time= 1/1/08 2:18:54 PM  1/1/08 2:41:03 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: BB1:BB2:BB3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,141.41,27.75,,346.4,509.60,118.48,23.25,,346.4,509.60,61.15,12.00,,346.4,509.60,107.01,21.00,,
347.9,549.06,141.82,25.83,,347.9,549.06,112.95,20.57,,347.9,549.06,56.48,10.29,,347.9,549.06,103.75,18.90,,
349.5,608.40,142.27,23.38,,349.5,608.40,126.05,20.72,,349.5,608.40,62.40,10.26,,349.5,608.40,110.24,18.12,,
351.1,655.20,141.02,21.52,,351.1,655.20,116.06,17.71,,351.1,655.20,59.90,9.14,,351.1,655.20,105.66,16.13,,
352.6,708.40,144.21,20.36,,352.6,708.40,129.03,18.21,,352.6,708.40,61.99,8.75,,352.6,708.40,111.74,15.77,,
354.2,752.68,151.84,20.17,,354.2,752.68,133.52,17.74,,354.2,752.68,67.41,8.96,,354.2,752.68,117.59,15.62,,
355.7,818.30,158.95,19.42,,355.7,818.30,134.70,16.46,,355.7,818.30,67.35,8.23,,355.7,818.30,120.33,14.71,,
357.3,873.81,170.60,19.52,,357.3,873.81,138.70,15.87,,357.3,873.81,74.20,8.49,,357.3,873.81,127.83,14.63,,
358.8,891.23,176.15,19.76,,358.8,891.23,149.59,16.78,,358.8,891.23,69.90,7.84,,358.8,891.23,131.88,14.80,,
360.4,967.31,178.69,18.47,,360.4,967.31,154.77,16.00,,360.4,967.31,75.27,7.78,,360.4,967.31,136.24,14.08,,
361.9,1009.93,158.80,15.72,,361.9,1009.93,153.23,15.17,,361.9,1009.93,75.22,7.45,,361.9,1009.93,129.08,12.78,,
363.5,1059.53,170.36,16.08,,363.5,1059.53,157.89,14.90,,363.5,1059.53,76.87,7.25,,363.5,1059.53,135.04,12.75,,
365.1,1102.67,185.86,16.86,,365.1,1102.67,162.28,14.72,,365.1,1102.67,79.75,7.23,,365.1,1102.67,142.63,12.93,,
366.6,1156.59,175.39,15.16,,366.6,1156.59,164.34,14.21,,366.6,1156.59,73.88,6.39,,366.6,1156.59,137.87,11.92,,
368.2,1218.77,179.96,14.77,,368.2,1218.77,158.47,13.00,,368.2,1218.77,74.54,6.12,,368.2,1218.77,137.66,11.29,,
369.7,1306.00,176.31,13.50,,369.7,1306.00,156.72,12.00,,369.7,1306.00,79.01,6.05,,369.7,1306.00,137.35,10.52,,
371.3,1379.56,181.75,13.17,,371.3,1379.56,167.26,12.12,,371.3,1379.56,77.70,5.63,,371.3,1379.56,142.24,10.31,,
372.8,1457.48,184.59,12.67,,372.8,1457.48,172.64,11.85,,372.8,1457.48,84.99,5.83,,372.8,1457.48,147.41,10.11,,
374.4,1528.58,198.92,13.01,,374.4,1528.58,172.22,11.27,,374.4,1528.58,80.77,5.28,,374.4,1528.58,150.64,9.85,,
375.9,1575.56,185.36,11.76,,375.9,1575.56,180.06,11.43,,375.9,1575.56,86.72,5.50,,375.9,1575.56,150.71,9.57,,
377.4,1632.76,189.95,11.63,,377.4,1632.76,180.84,11.08,,377.4,1632.76,87.17,5.34,,377.4,1632.76,152.65,9.35,,
379.0,1683.54,188.40,11.19,,379.0,1683.54,176.95,10.51,,379.0,1683.54,85.93,5.10,,379.0,1683.54,150.43,8.94,,
380.5,1741.87,190.81,10.95,,380.5,1741.87,179.73,10.32,,380.5,1741.87,83.71,4.81,,380.5,1741.87,151.42,8.69,,
382.1,1805.51,190.30,10.54,,382.1,1805.51,176.12,9.75,,382.1,1805.51,83.33,4.62,,382.1,1805.51,149.92,8.30,,
383.6,1862.60,188.24,10.11,,383.6,1862.60,175.77,9.44,,383.6,1862.60,85.62,4.60,,383.6,1862.60,149.88,8.05,,
385.2,1949.75,182.60,9.37,,385.2,1949.75,173.80,8.91,,385.2,1949.75,83.05,4.26,,385.2,1949.75,146.48,7.51,,
386.7,2036.04,194.94,9.57,,386.7,2036.04,183.03,8.99,,386.7,2036.04,85.56,4.20,,386.7,2036.04,154.51,7.59,,
388.3,2135.96,195.66,9.16,,388.3,2135.96,192.40,9.01,,388.3,2135.96,90.22,4.22,,388.3,2135.96,159.43,7.46,,
389.8,2212.47,203.13,9.18,,389.8,2212.47,191.05,8.64,,389.8,2212.47,93.88,4.24,,389.8,2212.47,162.69,7.35,,
391.3,2314.34,210.55,9.10,,391.3,2314.34,186.04,8.04,,391.3,2314.34,91.35,3.95,,391.3,2314.34,162.65,7.03,,
392.9,2392.65,216.22,9.04,,392.9,2392.65,194.60,8.13,,392.9,2392.65,101.28,4.23,,392.9,2392.65,170.70,7.13,,
394.4,2474.90,216.03,8.73,,394.4,2474.90,205.35,8.30,,394.4,2474.90,106.83,4.32,,394.4,2474.90,176.07,7.11,,
395.9,2552.82,231.10,9.05,,395.9,2552.82,213.52,8.36,,395.9,2552.82,107.39,4.21,,395.9,2552.82,184.00,7.21,,
397.5,2664.75,253.23,9.50,,397.5,2664.75,227.39,8.53,,397.5,2664.75,116.93,4.39,,397.5,2664.75,199.18,7.47,,
399.0,2774.82,242.26,8.73,,399.0,2774.82,236.08,8.51,,399.0,2774.82,118.04,4.25,,399.0,2774.82,198.79,7.16,,
400.6,2852.64,236.59,8.29,,400.6,2852.64,229.80,8.06,,400.6,2852.64,116.60,4.09,,400.6,2852.64,194.33,6.81,,
402.1,2910.24,231.17,7.94,,402.1,2910.24,221.88,7.62,,402.1,2910.24,114.04,3.92,,402.1,2910.24,189.03,6.50,,
403.6,2965.71,225.37,7.60,,403.6,2965.71,219.61,7.41,,403.6,2965.71,111.72,3.77,,403.6,2965.71,185.57,6.26,,
405.1,3036.77,230.33,7.58,,405.1,3036.77,223.02,7.34,,405.1,3036.77,113.79,3.75,,405.1,3036.77,189.05,6.23,,
406.7,3133.76,239.23,7.63,,406.7,3133.76,231.17,7.38,,406.7,3133.76,113.79,3.63,,406.7,3133.76,194.73,6.21,,
408.2,3234.33,243.24,7.52,,408.2,3234.33,235.22,7.27,,408.2,3234.33,115.83,3.58,,408.2,3234.33,198.10,6.12,,
409.7,3330.88,254.46,7.64,,409.7,3330.88,239.23,7.18,,409.7,3330.88,122.30,3.67,,409.7,3330.88,205.33,6.16,,
411.3,3437.91,262.55,7.64,,411.3,3437.91,260.71,7.58,,411.3,3437.91,128.06,3.72,,411.3,3437.91,217.11,6.32,,
412.8,3528.93,267.34,7.58,,412.8,3528.93,263.54,7.47,,412.8,3528.93,132.25,3.75,,412.8,3528.93,221.04,6.26,,
414.3,3634.54,286.85,7.89,,414.3,3634.54,277.06,7.62,,414.3,3634.54,136.57,3.76,,414.3,3634.54,233.49,6.42,,
415.8,3740.00,297.00,7.94,,415.8,3740.00,285.00,7.62,,415.8,3740.00,143.50,3.84,,415.8,3740.00,241.83,6.47,,
417.4,3868.37,304.61,7.87,,417.4,3868.37,297.53,7.69,,417.4,3868.37,153.32,3.96,,417.4,3868.37,251.82,6.51,,
418.9,3954.39,317.77,8.04,,418.9,3954.39,309.67,7.83,,418.9,3954.39,154.33,3.90,,418.9,3954.39,260.59,6.59,,
420.4,4037.85,324.03,8.02,,420.4,4037.85,312.06,7.73,,420.4,4037.85,154.54,3.83,,420.4,4037.85,263.54,6.53,,
421.9,4106.74,326.22,7.94,,421.9,4106.74,319.44,7.78,,421.9,4106.74,159.24,3.88,,421.9,4106.74,268.30,6.53,,
423.5,4196.00,325.97,7.77,,423.5,4196.00,312.89,7.46,,423.5,4196.00,158.78,3.78,,423.5,4196.00,265.88,6.34,,
425.0,4263.51,336.23,7.89,,425.0,4263.51,324.54,7.61,,425.0,4263.51,161.82,3.80,,425.0,4263.51,274.20,6.43,,
426.5,4364.50,342.28,7.84,,426.5,4364.50,329.38,7.55,,426.5,4364.50,166.41,3.81,,426.5,4364.50,279.36,6.40,,
428.0,4488.82,341.54,7.61,,428.0,4488.82,324.30,7.22,,428.0,4488.82,164.61,3.67,,428.0,4488.82,276.82,6.17,,
429.5,4615.58,356.29,7.72,,429.5,4615.58,338.12,7.33,,429.5,4615.58,168.27,3.65,,429.5,4615.58,287.56,6.23,,
431.1,4756.23,365.33,7.68,,431.1,4756.23,347.53,7.31,,431.1,4756.23,175.70,3.69,,431.1,4756.23,296.19,6.23,,
432.6,4917.76,373.73,7.60,,432.6,4917.76,357.59,7.27,,432.6,4917.76,180.33,3.67,,432.6,4917.76,303.88,6.18,,
434.1,5064.68,380.38,7.51,,434.1,5064.68,371.14,7.33,,434.1,5064.68,185.57,3.66,,434.1,5064.68,312.36,6.17,,
435.6,5199.35,401.71,7.73,,435.6,5199.35,386.23,7.43,,435.6,5199.35,193.11,3.71,,435.6,5199.35,327.02,6.29,,
437.1,5333.25,407.16,7.63,,437.1,5333.25,397.02,7.44,,437.1,5333.25,200.85,3.77,,437.1,5333.25,335.01,6.28,,
438.6,5454.84,421.30,7.72,,438.6,5454.84,406.36,7.45,,438.6,5454.84,201.22,3.69,,438.6,5454.84,342.96,6.29,,
440.1,5584.70,432.98,7.75,,440.1,5584.70,413.95,7.41,,440.1,5584.70,207.77,3.72,,440.1,5584.70,351.57,6.30,,
441.6,5717.14,442.95,7.75,,441.6,5717.14,422.13,7.38,,441.6,5717.14,213.07,3.73,,441.6,5717.14,359.38,6.29,,
443.1,5852.25,452.79,7.74,,443.1,5852.25,432.54,7.39,,443.1,5852.25,221.54,3.79,,443.1,5852.25,368.96,6.30,,
444.7,5982.11,468.54,7.83,,444.7,5982.11,444.70,7.43,,444.7,5982.11,228.93,3.83,,444.7,5982.11,380.72,6.36,,
446.2,6104.50,476.57,7.81,,446.2,6104.50,461.42,7.56,,446.2,6104.50,231.55,3.79,,446.2,6104.50,389.85,6.39,,
447.7,6213.60,497.09,8.00,,447.7,6213.60,470.34,7.57,,447.7,6213.60,235.60,3.79,,447.7,6213.60,401.01,6.45,,
449.2,6315.84,498.53,7.89,,449.2,6315.84,481.25,7.62,,449.2,6315.84,245.81,3.89,,449.2,6315.84,408.53,6.47,,
450.7,6414.72,511.68,7.98,,450.7,6414.72,495.87,7.73,,450.7,6414.72,250.85,3.91,,450.7,6414.72,419.47,6.54,,
452.2,6543.45,513.26,7.84,,452.2,6543.45,497.54,7.60,,452.2,6543.45,257.81,3.94,,452.2,6543.45,422.87,6.46,,
453.7,6682.65,522.25,7.81,,453.7,6682.65,504.37,7.55,,453.7,6682.65,260.38,3.90,,453.7,6682.65,429.00,6.42,,
455.2,6842.54,540.65,7.90,,455.2,6842.54,519.11,7.59,,455.2,6842.54,268.89,3.93,,455.2,6842.54,442.88,6.47,,
456.7,7029.44,550.53,7.83,,456.7,7029.44,530.82,7.55,,456.7,7029.44,274.56,3.91,,456.7,7029.44,451.97,6.43,,
458.2,7231.16,571.78,7.91,,458.2,7231.16,555.01,7.68,,458.2,7231.16,283.44,3.92,,458.2,7231.16,470.08,6.50,,
459.7,7428.75,591.50,7.96,,459.7,7428.75,568.40,7.65,,459.7,7428.75,294.70,3.97,,459.7,7428.75,484.87,6.53,,
461.2,7633.63,610.69,8.00,,461.2,7633.63,584.57,7.66,,461.2,7633.63,305.35,4.00,,461.2,7633.63,500.20,6.55,,
462.7,7815.14,628.65,8.04,,462.7,7815.14,607.17,7.77,,462.7,7815.14,310.74,3.98,,462.7,7815.14,515.52,6.60,,
464.2,8000.76,647.82,8.10,,464.2,8000.76,623.66,7.80,,464.2,8000.76,321.35,4.02,,464.2,8000.76,530.94,6.64,,
465.7,8191.53,666.89,8.14,,465.7,8191.53,641.35,7.83,,465.7,8191.53,331.19,4.04,,465.7,8191.53,546.48,6.67,,
467.2,8352.58,682.22,8.17,,467.2,8352.58,651.42,7.80,,467.2,8352.58,339.19,4.06,,467.2,8352.58,557.61,6.68,,
468.7,8552.00,687.20,8.04,,468.7,8552.00,668.00,7.81,,468.7,8552.00,347.20,4.06,,468.7,8552.00,567.47,6.64,,
470.2,8711.17,701.72,8.06,,470.2,8711.17,676.75,7.77,,470.2,8711.17,348.71,4.00,,470.2,8711.17,575.73,6.61,,
471.7,8854.00,723.90,8.18,,471.7,8854.00,693.50,7.83,,471.7,8854.00,357.20,4.03,,471.7,8854.00,591.53,6.68,,
473.2,9050.37,751.46,8.30,,473.2,9050.37,727.61,8.04,,473.2,9050.37,373.25,4.12,,473.2,9050.37,617.44,6.82,,
474.6,9252.88,767.40,8.29,,474.6,9252.88,743.04,8.03,,474.6,9252.88,388.86,4.20,,474.6,9252.88,633.10,6.84,,
476.1,9378.88,759.81,8.10,,476.1,9378.88,742.85,7.92,,476.1,9378.88,388.81,4.15,,476.1,9378.88,630.49,6.72,,
477.6,9464.51,757.16,8.00,,477.6,9464.51,732.11,7.74,,477.6,9464.51,380.93,4.02,,477.6,9464.51,623.40,6.59,,
479.1,9567.20,748.49,7.82,,479.1,9567.20,730.57,7.64,,479.1,9567.20,378.36,3.95,,479.1,9567.20,619.14,6.47,,
480.6,9658.16,757.30,7.84,,480.6,9658.16,734.86,7.61,,480.6,9658.16,381.19,3.95,,480.6,9658.16,624.45,6.47,,
482.1,9797.74,767.75,7.84,,482.1,9797.74,744.48,7.60,,482.1,9797.74,389.87,3.98,,482.1,9797.74,634.03,6.47,,
483.6,9963.22,789.36,7.92,,483.6,9963.22,761.88,7.65,,483.6,9963.22,396.74,3.98,,483.6,9963.22,649.33,6.52,,
485.1,10140.49,808.56,7.97,,485.1,10140.49,781.04,7.70,,485.1,10140.49,410.65,4.05,,485.1,10140.49,666.75,6.58,,
486.6,10356.19,836.93,8.08,,486.6,10356.19,805.96,7.78,,486.6,10356.19,425.71,4.11,,486.6,10356.19,689.53,6.66,,
488.0,10562.50,867.10,8.21,,488.0,10562.50,836.55,7.92,,488.0,10562.50,443.63,4.20,,488.0,10562.50,715.76,6.78,,
