name= \My Documents\HR1024_Data\BD1.,,,,,name= \My Documents\HR1024_Data\BD2.,,,,,name= \My Documents\HR1024_Data\BD3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 48.69  9.01  -4.97  49.66  9.01  -4.23,,,,,temp= 48.69  9.01  -4.97  49.58  9.01  -4.09,,,,,temp= 48.69  9.01  -4.97  49.66  9.01  -3.96,,,,,
battery= 6.3  5.7,,,,,battery= 6.3  5.7,,,,,battery= 6.3  5.7,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 2:18:54 PM  1/1/08 2:36:05 PM,,,,,time= 1/1/08 2:18:54 PM  1/1/08 2:36:38 PM,,,,,time= 1/1/08 2:18:54 PM  1/1/08 2:37:35 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: BD1:BD2:BD3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,101.92,20.00,,346.4,509.60,141.41,27.75,,346.4,509.60,110.84,21.75,,346.4,509.60,118.06,23.17,,
347.9,549.06,104.17,18.97,,347.9,549.06,143.07,26.06,,347.9,549.06,116.72,21.26,,347.9,549.06,121.32,22.10,,
349.5,608.40,97.34,16.00,,349.5,608.40,151.01,24.82,,349.5,608.40,126.05,20.72,,349.5,608.40,124.80,20.51,,
351.1,655.20,96.10,14.67,,351.1,655.20,151.01,23.05,,351.1,655.20,127.30,19.43,,351.1,655.20,124.80,19.05,,
352.6,708.40,103.73,14.64,,352.6,708.40,156.86,22.14,,352.6,708.40,116.38,16.43,,352.6,708.40,125.66,17.74,,
354.2,752.68,103.41,13.74,,354.2,752.68,163.63,21.74,,354.2,752.68,134.83,17.91,,354.2,752.68,133.96,17.80,,
355.7,818.30,109.11,13.33,,355.7,818.30,168.38,20.58,,355.7,818.30,137.39,16.79,,355.7,818.30,138.29,16.90,,
357.3,873.81,119.28,13.65,,357.3,873.81,174.76,20.00,,357.3,873.81,140.09,16.03,,357.3,873.81,144.71,16.56,,
358.8,891.23,121.63,13.65,,358.8,891.23,167.76,18.82,,358.8,891.23,146.79,16.47,,358.8,891.23,145.39,16.31,,
360.4,967.31,119.60,12.36,,360.4,967.31,173.06,17.89,,360.4,967.31,153.36,15.85,,360.4,967.31,148.67,15.37,,
361.9,1009.93,123.98,12.28,,361.9,1009.93,182.48,18.07,,361.9,1009.93,153.23,15.17,,361.9,1009.93,153.23,15.17,,
363.5,1059.53,123.27,11.63,,363.5,1059.53,178.67,16.86,,363.5,1059.53,144.04,13.59,,363.5,1059.53,148.66,14.03,,
365.1,1102.67,113.73,10.31,,365.1,1102.67,176.15,15.97,,365.1,1102.67,141.47,12.83,,365.1,1102.67,143.78,13.04,,
366.6,1156.59,120.15,10.39,,366.6,1156.59,190.58,16.48,,366.6,1156.59,157.43,13.61,,366.6,1156.59,156.05,13.49,,
368.2,1218.77,123.56,10.14,,368.2,1218.77,183.99,15.10,,368.2,1218.77,154.45,12.67,,368.2,1218.77,154.00,12.64,,
369.7,1306.00,125.38,9.60,,369.7,1306.00,185.45,14.20,,369.7,1306.00,154.11,11.80,,369.7,1306.00,154.98,11.87,,
371.3,1379.56,129.07,9.36,,371.3,1379.56,194.92,14.13,,371.3,1379.56,164.63,11.93,,371.3,1379.56,162.87,11.81,,
372.8,1457.48,134.13,9.20,,372.8,1457.48,204.51,14.03,,372.8,1457.48,175.30,12.03,,372.8,1457.48,171.31,11.75,,
374.4,1528.58,136.17,8.91,,374.4,1528.58,190.91,12.49,,374.4,1528.58,176.22,11.53,,374.4,1528.58,167.77,10.98,,
375.9,1575.56,139.02,8.82,,375.9,1575.56,207.87,13.19,,375.9,1575.56,173.44,11.01,,375.9,1575.56,173.44,11.01,,
377.4,1632.76,141.81,8.69,,377.4,1632.76,218.57,13.39,,377.4,1632.76,174.33,10.68,,377.4,1632.76,178.24,10.92,,
