name= \My Documents\HR1024_Data\B1.,,,,,name= \My Documents\HR1024_Data\B2.,,,,,name= \My Documents\HR1024_Data\B3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 48.69  9.01  -4.97  49.34  9.01  -4.97,,,,,temp= 48.69  9.01  -4.97  49.34  9.01  -4.90,,,,,temp= 48.69  9.01  -4.97  49.50  9.01  -4.97,,,,,
battery= 6.3  6.0,,,,,battery= 6.3  5.9,,,,,battery= 6.3  6.0,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 2:18:54 PM  1/1/08 2:30:14 PM,,,,,time= 1/1/08 2:18:54 PM  1/1/08 2:31:00 PM,,,,,time= 1/1/08 2:18:54 PM  1/1/08 2:31:56 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: B1:B2:B3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,84.08,16.50,,346.4,509.60,129.95,25.50,,346.4,509.60,91.73,18.00,,346.4,509.60,101.92,20.00,,
347.9,549.06,76.56,13.94,,347.9,549.06,115.46,21.03,,347.9,549.06,95.38,17.37,,347.9,549.06,95.80,17.45,,
349.5,608.40,84.86,13.95,,349.5,608.40,116.06,19.08,,349.5,608.40,87.36,14.36,,349.5,608.40,96.09,15.79,,
351.1,655.20,81.12,12.38,,351.1,655.20,121.06,18.48,,351.1,655.20,93.60,14.29,,351.1,655.20,98.59,15.05,,
352.6,708.40,93.61,13.21,,352.6,708.40,115.12,16.25,,352.6,708.40,103.73,14.64,,352.6,708.40,104.15,14.70,,
354.2,752.68,94.25,12.52,,354.2,752.68,124.36,16.52,,354.2,752.68,103.41,13.74,,354.2,752.68,107.34,14.26,,
355.7,818.30,87.56,10.70,,355.7,818.30,119.88,14.65,,355.7,818.30,103.72,12.67,,355.7,818.30,103.72,12.68,,
357.3,873.81,101.25,11.59,,357.3,873.81,134.54,15.40,,357.3,873.81,113.73,13.02,,357.3,873.81,116.51,13.33,,
358.8,891.23,103.45,11.61,,358.8,891.23,130.01,14.59,,358.8,891.23,93.67,10.51,,358.8,891.23,109.04,12.24,,
360.4,967.31,105.53,10.91,,360.4,967.31,139.29,14.40,,360.4,967.31,102.71,10.62,,360.4,967.31,115.84,11.98,,
361.9,1009.93,105.87,10.48,,361.9,1009.93,144.87,14.34,,361.9,1009.93,111.44,11.03,,361.9,1009.93,120.73,11.95,,
363.5,1059.53,108.03,10.20,,363.5,1059.53,141.27,13.33,,363.5,1059.53,114.96,10.85,,363.5,1059.53,121.42,11.46,,
365.1,1102.67,97.09,8.80,,365.1,1102.67,141.47,12.83,,365.1,1102.67,112.35,10.19,,365.1,1102.67,116.97,10.61,,
366.6,1156.59,98.05,8.48,,366.6,1156.59,132.58,11.46,,366.6,1156.59,114.62,9.91,,366.6,1156.59,115.08,9.95,,
368.2,1218.77,110.13,9.04,,368.2,1218.77,149.07,12.23,,368.2,1218.77,115.50,9.48,,368.2,1218.77,124.90,10.25,,
369.7,1306.00,107.09,8.20,,369.7,1306.00,134.52,10.30,,369.7,1306.00,112.32,8.60,,369.7,1306.00,117.98,9.03,,
371.3,1379.56,113.26,8.21,,371.3,1379.56,142.24,10.31,,371.3,1379.56,117.21,8.50,,371.3,1379.56,124.24,9.01,,
372.8,1457.48,112.88,7.74,,372.8,1457.48,155.38,10.66,,372.8,1457.48,116.86,8.02,,372.8,1457.48,128.37,8.81,,
374.4,1528.58,110.81,7.25,,374.4,1528.58,154.86,10.13,,374.4,1528.58,118.82,7.77,,374.4,1528.58,128.16,8.38,,
375.9,1575.56,112.54,7.14,,375.9,1575.56,149.61,9.50,,375.9,1575.56,124.46,7.90,,375.9,1575.56,128.87,8.18,,
