name= \My Documents\HR1024_Data\BT1.,,,,,name= \My Documents\HR1024_Data\BT2.,,,,,name= \My Documents\HR1024_Data\BT3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 48.69  9.01  -4.97  49.58  9.01  -4.83,,,,,temp= 48.69  9.01  -4.97  49.66  9.01  -4.83,,,,,temp= 48.69  9.01  -4.97  49.58  9.08  -4.83,,,,,
battery= 6.3  5.9,,,,,battery= 6.3  5.9,,,,,battery= 6.3  5.8,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 2:18:54 PM  1/1/08 2:32:48 PM,,,,,time= 1/1/08 2:18:54 PM  1/1/08 2:33:21 PM,,,,,time= 1/1/08 2:18:54 PM  1/1/08 2:33:55 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: BT1:BT2:BT3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,96.82,19.00,,346.4,509.60,87.91,17.25,,346.4,509.60,96.82,19.00,,346.4,509.60,93.85,18.42,,
347.9,549.06,99.15,18.06,,347.9,549.06,87.85,16.00,,347.9,549.06,97.89,17.83,,347.9,549.06,94.96,17.30,,
349.5,608.40,103.58,17.03,,349.5,608.40,93.60,15.38,,349.5,608.40,88.61,14.56,,349.5,608.40,95.26,15.66,,
351.1,655.20,111.07,16.95,,351.1,655.20,96.10,14.67,,351.1,655.20,94.85,14.48,,351.1,655.20,100.67,15.37,,
352.6,708.40,106.26,15.00,,352.6,708.40,89.82,12.68,,352.6,708.40,93.61,13.21,,352.6,708.40,96.56,13.63,,
354.2,752.68,99.48,13.22,,354.2,752.68,91.63,12.17,,354.2,752.68,106.03,14.09,,354.2,752.68,99.05,13.16,,
355.7,818.30,114.50,13.99,,355.7,818.30,102.37,12.51,,355.7,818.30,105.07,12.84,,355.7,818.30,107.31,13.11,,
357.3,873.81,116.51,13.33,,357.3,873.81,106.80,12.22,,357.3,873.81,98.48,11.27,,357.3,873.81,107.26,12.28,,
358.8,891.23,114.64,12.86,,358.8,891.23,116.03,13.02,,358.8,891.23,113.24,12.71,,358.8,891.23,114.64,12.86,,
360.4,967.31,119.60,12.36,,360.4,967.31,109.75,11.35,,360.4,967.31,112.56,11.64,,360.4,967.31,113.97,11.78,,
361.9,1009.93,130.94,12.97,,361.9,1009.93,105.87,10.48,,361.9,1009.93,110.05,10.90,,361.9,1009.93,115.62,11.45,,
363.5,1059.53,123.27,11.63,,363.5,1059.53,119.11,11.24,,363.5,1059.53,116.34,10.98,,363.5,1059.53,119.57,11.29,,
365.1,1102.67,123.44,11.19,,365.1,1102.67,119.28,10.82,,365.1,1102.67,105.41,9.56,,365.1,1102.67,116.04,10.52,,
366.6,1156.59,133.96,11.58,,366.6,1156.59,120.15,10.39,,366.6,1156.59,120.15,10.39,,366.6,1156.59,124.75,10.79,,
368.2,1218.77,123.56,10.14,,368.2,1218.77,120.87,9.92,,368.2,1218.77,108.78,8.93,,368.2,1218.77,117.74,9.66,,
369.7,1306.00,135.82,10.40,,369.7,1306.00,125.38,9.60,,369.7,1306.00,117.54,9.00,,369.7,1306.00,126.25,9.67,,
371.3,1379.56,127.75,9.26,,371.3,1379.56,133.02,9.64,,371.3,1379.56,117.21,8.50,,371.3,1379.56,125.99,9.13,,
372.8,1457.48,136.78,9.38,,372.8,1457.48,130.14,8.93,,372.8,1457.48,118.19,8.11,,372.8,1457.48,128.37,8.81,,
374.4,1528.58,152.19,9.96,,374.4,1528.58,124.16,8.12,,374.4,1528.58,120.15,7.86,,374.4,1528.58,132.17,8.65,,
375.9,1575.56,141.67,8.99,,375.9,1575.56,139.02,8.82,,375.9,1575.56,123.13,7.82,,375.9,1575.56,134.61,8.54,,
377.4,1632.76,152.22,9.32,,377.4,1632.76,147.01,9.00,,377.4,1632.76,127.50,7.81,,377.4,1632.76,142.24,8.71,,
