name= \My Documents\HR1024_Data\AMB1.,,,,,name= \My Documents\HR1024_Data\AMB2.,,,,,name= \My Documents\HR1024_Data\AMB3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.31  8.94  -5.30  41.04  8.88  -5.30,,,,,temp= 33.31  8.94  -5.30  41.28  8.94  -5.30,,,,,temp= 33.31  8.94  -5.30  41.36  8.94  -5.30,,,,,
battery= 7.5  7.0,,,,,battery= 7.5  7.0,,,,,battery= 7.5  7.0,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 1:10:44 PM  1/1/08 1:30:11 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:31:04 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:31:31 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: AMB1:AMB2:AMB3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,113.39,22.25,,346.4,509.60,113.39,22.25,,346.4,509.60,114.66,22.50,,346.4,509.60,113.81,22.33,,
347.9,536.51,114.21,21.29,,347.9,536.51,119.23,22.22,,347.9,536.51,109.19,20.35,,347.9,536.51,114.21,21.29,,
349.5,577.20,107.33,18.59,,349.5,577.20,112.32,19.46,,349.5,577.20,112.32,19.46,,349.5,577.20,110.66,19.17,,
351.1,620.88,119.81,19.30,,351.1,620.88,116.06,18.69,,351.1,620.88,114.82,18.49,,351.1,620.88,116.90,18.83,,
352.6,679.94,129.03,18.98,,352.6,679.94,118.91,17.49,,352.6,679.94,116.38,17.12,,352.6,679.94,121.44,17.86,,
354.2,723.22,126.97,17.56,,354.2,723.22,115.19,15.93,,354.2,723.22,130.90,18.10,,354.2,723.22,124.35,17.19,,
355.7,777.89,132.01,16.97,,355.7,777.89,126.62,16.28,,355.7,777.89,138.74,17.84,,355.7,777.89,132.46,17.03,,
357.3,842.60,137.31,16.30,,357.3,842.60,134.54,15.97,,357.3,842.60,127.60,15.14,,357.3,842.60,133.15,15.80,,
358.8,838.80,139.80,16.67,,358.8,838.80,139.80,16.67,,358.8,838.80,132.81,15.83,,358.8,838.80,137.47,16.39,,
360.4,904.00,140.70,15.56,,360.4,904.00,135.07,14.94,,360.4,904.00,143.51,15.88,,360.4,904.00,139.76,15.46,,
361.9,943.76,133.73,14.17,,361.9,943.76,140.69,14.91,,361.9,943.76,150.44,15.94,,361.9,943.76,141.62,15.01,,
363.5,997.20,145.43,14.58,,363.5,997.20,132.96,13.33,,363.5,997.20,137.12,13.75,,363.5,997.20,138.50,13.89,,
365.1,1040.25,141.47,13.60,,365.1,1040.25,130.38,12.53,,365.1,1040.25,144.25,13.87,,365.1,1040.25,138.70,13.33,,
366.6,1087.54,145.01,13.33,,366.6,1087.54,142.24,13.08,,366.6,1087.54,142.24,13.08,,366.6,1087.54,143.16,13.16,,
368.2,1161.70,155.79,13.41,,368.2,1161.70,136.99,11.79,,368.2,1161.70,142.36,12.25,,368.2,1161.70,145.05,12.49,,
369.7,1204.79,144.97,12.03,,369.7,1204.79,139.74,11.60,,369.7,1204.79,155.41,12.90,,369.7,1204.79,146.71,12.18,,
371.3,1287.37,143.55,11.15,,371.3,1287.37,154.09,11.97,,371.3,1287.37,152.77,11.87,,371.3,1287.37,150.14,11.66,,
372.8,1354.56,158.03,11.67,,372.8,1354.56,148.74,10.98,,372.8,1354.56,147.41,10.88,,372.8,1354.56,151.39,11.18,,
374.4,1435.13,154.86,10.79,,374.4,1435.13,146.85,10.23,,374.4,1435.13,156.20,10.88,,374.4,1435.13,152.64,10.64,,
375.9,1463.02,165.50,11.31,,375.9,1463.02,160.20,10.95,,375.9,1463.02,148.29,10.14,,375.9,1463.02,158.00,10.80,,
377.4,1512.41,165.23,10.92,,377.4,1512.41,161.32,10.67,,377.4,1512.41,153.52,10.15,,377.4,1512.41,160.02,10.58,,
