name= \My Documents\HR1024_Data\AMF1.,,,,,name= \My Documents\HR1024_Data\AMF2.,,,,,name= \My Documents\HR1024_Data\AMF3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.31  8.94  -5.30  40.64  8.88  -5.24,,,,,temp= 33.31  8.94  -5.30  40.96  8.94  -5.37,,,,,temp= 33.31  8.94  -5.30  40.96  8.88  -5.30,,,,,
battery= 7.5  7.1,,,,,battery= 7.5  7.1,,,,,battery= 7.5  7.1,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 1:10:44 PM  1/1/08 1:28:12 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:28:54 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:29:29 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: AMF1:AMF2:AMF3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,115.93,22.75,,346.4,509.60,113.39,22.25,,346.4,509.60,112.11,22.00,,346.4,509.60,113.81,22.33,,
347.9,536.51,106.68,19.88,,347.9,536.51,121.74,22.69,,347.9,536.51,110.44,20.58,,347.9,536.51,112.95,21.05,,
349.5,577.20,108.58,18.81,,349.5,577.20,108.58,18.81,,349.5,577.20,114.82,19.89,,349.5,577.20,110.66,19.17,,
351.1,620.88,114.82,18.49,,351.1,620.88,113.57,18.29,,351.1,620.88,121.06,19.50,,351.1,620.88,116.48,18.76,,
352.6,679.94,121.44,17.86,,352.6,679.94,125.24,18.42,,352.6,679.94,129.03,18.98,,352.6,679.94,125.24,18.42,,
354.2,723.22,123.05,17.01,,354.2,723.22,129.59,17.92,,354.2,723.22,126.97,17.56,,354.2,723.22,126.54,17.50,,
355.7,777.89,125.27,16.10,,355.7,777.89,132.01,16.97,,355.7,777.89,133.35,17.14,,355.7,777.89,130.21,16.74,,
357.3,842.60,126.22,14.98,,357.3,842.60,135.93,16.13,,357.3,842.60,134.54,15.97,,357.3,842.60,132.23,15.69,,
358.8,838.80,128.62,15.33,,358.8,838.80,149.59,17.83,,358.8,838.80,141.20,16.83,,358.8,838.80,139.80,16.67,,
360.4,904.00,140.70,15.56,,360.4,904.00,151.96,16.81,,360.4,904.00,142.11,15.72,,360.4,904.00,144.92,16.03,,
361.9,943.76,142.09,15.06,,361.9,943.76,147.66,15.65,,361.9,943.76,147.66,15.65,,361.9,943.76,145.80,15.45,,
363.5,997.20,145.43,14.58,,363.5,997.20,142.66,14.31,,363.5,997.20,145.43,14.58,,363.5,997.20,144.51,14.49,,
365.1,1040.25,142.86,13.73,,365.1,1040.25,151.18,14.53,,365.1,1040.25,148.41,14.27,,365.1,1040.25,147.48,14.18,,
366.6,1087.54,145.01,13.33,,366.6,1087.54,154.67,14.22,,366.6,1087.54,151.91,13.97,,366.6,1087.54,150.53,13.84,,
368.2,1161.70,146.39,12.60,,368.2,1161.70,154.45,13.29,,368.2,1161.70,149.07,12.83,,368.2,1161.70,149.97,12.91,,
369.7,1204.79,143.66,11.92,,369.7,1204.79,156.72,13.01,,369.7,1204.79,154.11,12.79,,369.7,1204.79,151.50,12.57,,
371.3,1287.37,151.46,11.76,,371.3,1287.37,150.14,11.66,,371.3,1287.37,155.41,12.07,,371.3,1287.37,152.34,11.83,,
372.8,1354.56,155.38,11.47,,372.8,1354.56,159.36,11.76,,372.8,1354.56,167.33,12.35,,372.8,1354.56,160.69,11.86,,
374.4,1435.13,149.52,10.42,,374.4,1435.13,162.87,11.35,,374.4,1435.13,168.21,11.72,,374.4,1435.13,160.20,11.16,,
375.9,1463.02,164.18,11.22,,375.9,1463.02,165.50,11.31,,375.9,1463.02,174.77,11.95,,375.9,1463.02,168.15,11.49,,
377.4,1512.41,161.32,10.67,,377.4,1512.41,161.32,10.67,,377.4,1512.41,166.53,11.01,,377.4,1512.41,163.06,10.78,,
