name= \My Documents\HR1024_Data\AOB1.,,,,,name= \My Documents\HR1024_Data\AOB2.,,,,,name= \My Documents\HR1024_Data\AOB3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.31  8.94  -5.30  37.17  9.01  -5.37,,,,,temp= 33.31  8.94  -5.30  37.50  8.94  -5.37,,,,,temp= 33.31  8.94  -5.30  37.98  8.88  -5.37,,,,,
battery= 7.5  7.4,,,,,battery= 7.5  7.3,,,,,battery= 7.5  7.3,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 1:10:44 PM  1/1/08 1:16:03 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:16:43 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:17:36 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: AOB1:AOB2:AOB3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,113.39,22.25,,346.4,509.60,100.65,19.75,,346.4,509.60,129.95,25.50,,346.4,509.60,114.66,22.50,,
347.9,536.51,114.21,21.29,,347.9,536.51,96.64,18.01,,347.9,536.51,130.52,24.33,,347.9,536.51,113.79,21.21,,
349.5,577.20,122.30,21.19,,349.5,577.20,107.33,18.59,,349.5,577.20,122.30,21.19,,349.5,577.20,117.31,20.32,,
351.1,620.88,122.30,19.70,,351.1,620.88,103.58,16.68,,351.1,620.88,123.55,19.90,,351.1,620.88,116.48,18.76,,
352.6,679.94,125.24,18.42,,352.6,679.94,105.00,15.44,,352.6,679.94,130.30,19.16,,352.6,679.94,120.18,17.68,,
354.2,723.22,124.36,17.19,,354.2,723.22,109.96,15.20,,354.2,723.22,130.90,18.10,,354.2,723.22,121.74,16.83,,
355.7,777.89,130.66,16.80,,355.7,777.89,106.41,13.68,,355.7,777.89,137.39,17.66,,355.7,777.89,124.82,16.05,,
357.3,842.60,144.25,17.12,,357.3,842.60,126.22,14.98,,357.3,842.60,153.96,18.27,,357.3,842.60,141.48,16.79,,
358.8,838.80,142.60,17.00,,358.8,838.80,120.23,14.33,,358.8,838.80,149.59,17.83,,358.8,838.80,137.47,16.39,,
360.4,904.00,139.29,15.41,,360.4,904.00,123.82,13.70,,360.4,904.00,153.36,16.96,,360.4,904.00,138.82,15.36,,
361.9,943.76,158.80,16.83,,361.9,943.76,125.37,13.28,,361.9,943.76,154.62,16.38,,361.9,943.76,146.26,15.50,,
363.5,997.20,153.74,15.42,,363.5,997.20,128.81,12.92,,363.5,997.20,150.97,15.14,,363.5,997.20,144.51,14.49,,
365.1,1040.25,153.96,14.80,,365.1,1040.25,131.77,12.67,,365.1,1040.25,160.89,15.47,,365.1,1040.25,148.87,14.31,,
366.6,1087.54,146.39,13.46,,366.6,1087.54,125.67,11.56,,366.6,1087.54,153.29,14.10,,366.6,1087.54,141.78,13.04,,
368.2,1161.70,138.33,11.91,,368.2,1161.70,139.67,12.02,,368.2,1161.70,158.47,13.64,,368.2,1161.70,145.49,12.52,,
369.7,1204.79,148.88,12.36,,369.7,1204.79,126.68,10.51,,369.7,1204.79,158.03,13.12,,369.7,1204.79,144.53,12.00,,
371.3,1287.37,146.19,11.36,,371.3,1287.37,135.65,10.54,,371.3,1287.37,167.26,12.99,,371.3,1287.37,149.70,11.63,,
372.8,1354.56,158.03,11.67,,372.8,1354.56,135.46,10.00,,372.8,1354.56,167.33,12.35,,372.8,1354.56,153.61,11.34,,
374.4,1435.13,165.54,11.53,,374.4,1435.13,134.84,9.40,,374.4,1435.13,172.22,12.00,,374.4,1435.13,157.53,10.98,,
375.9,1463.02,162.85,11.13,,375.9,1463.02,142.99,9.77,,375.9,1463.02,160.20,10.95,,375.9,1463.02,155.35,10.62,,
377.4,1512.41,158.72,10.49,,377.4,1512.41,137.91,9.12,,377.4,1512.41,170.43,11.27,,377.4,1512.41,155.69,10.29,,
