name= \My Documents\HR1024_Data\AOF1.,,,,,name= \My Documents\HR1024_Data\AOF2.,,,,,name= \My Documents\HR1024_Data\AOF3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.31  8.94  -5.30  34.11  8.88  -5.37,,,,,temp= 33.31  8.94  -5.30  36.04  8.94  -5.37,,,,,temp= 33.31  8.94  -5.30  36.77  8.81  -5.30,,,,,
battery= 7.5  7.5,,,,,battery= 7.5  7.4,,,,,battery= 7.5  7.4,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 1:10:44 PM  1/1/08 1:11:27 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:13:52 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:15:13 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: AOF1:AOF2:AOF3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,95.55,18.75,,346.4,509.60,96.82,19.00,,346.4,509.60,94.28,18.50,,346.4,509.60,95.55,18.75,,
347.9,536.51,94.13,17.54,,347.9,536.51,85.34,15.91,,347.9,536.51,95.38,17.78,,347.9,536.51,91.62,17.08,,
349.5,577.20,98.59,17.08,,349.5,577.20,97.34,16.86,,349.5,577.20,93.60,16.22,,349.5,577.20,96.51,16.72,,
351.1,620.88,93.60,15.08,,351.1,620.88,86.11,13.87,,351.1,620.88,88.61,14.27,,351.1,620.88,89.44,14.41,,
352.6,679.94,105.00,15.44,,352.6,679.94,89.82,13.21,,352.6,679.94,93.61,13.77,,352.6,679.94,96.14,14.14,,
354.2,723.22,103.41,14.30,,354.2,723.22,87.70,12.13,,354.2,723.22,103.41,14.30,,354.2,723.22,98.17,13.57,,
355.7,777.89,96.98,12.47,,355.7,777.89,95.64,12.29,,355.7,777.89,98.33,12.64,,355.7,777.89,96.98,12.47,,
357.3,842.60,120.67,14.32,,357.3,842.60,105.41,12.51,,357.3,842.60,104.03,12.35,,357.3,842.60,110.04,13.06,,
358.8,838.80,117.43,14.00,,358.8,838.80,96.46,11.50,,358.8,838.80,110.44,13.17,,358.8,838.80,108.11,12.89,,
360.4,904.00,115.37,12.76,,360.4,904.00,109.75,12.14,,360.4,904.00,104.12,11.52,,360.4,904.00,109.75,12.14,,
361.9,943.76,118.41,12.55,,361.9,943.76,97.51,10.33,,361.9,943.76,112.83,11.96,,361.9,943.76,109.58,11.61,,
363.5,997.20,112.19,11.25,,363.5,997.20,103.88,10.42,,363.5,997.20,106.65,10.69,,363.5,997.20,107.57,10.79,,
365.1,1040.25,112.35,10.80,,365.1,1040.25,102.64,9.87,,365.1,1040.25,117.90,11.33,,365.1,1040.25,110.96,10.67,,
366.6,1087.54,109.10,10.03,,366.6,1087.54,98.05,9.02,,366.6,1087.54,107.72,9.90,,366.6,1087.54,104.96,9.65,,
368.2,1161.70,107.44,9.25,,368.2,1161.70,108.78,9.36,,368.2,1161.70,98.04,8.44,,368.2,1161.70,104.75,9.02,,
369.7,1204.79,109.70,9.11,,369.7,1204.79,99.26,8.24,,369.7,1204.79,101.87,8.46,,369.7,1204.79,103.61,8.60,,
371.3,1287.37,114.58,8.90,,371.3,1287.37,104.04,8.08,,371.3,1287.37,113.26,8.80,,371.3,1287.37,110.63,8.59,,
372.8,1354.56,120.85,8.92,,372.8,1354.56,102.26,7.55,,372.8,1354.56,107.57,7.94,,372.8,1354.56,110.23,8.14,,
374.4,1435.13,117.48,8.19,,374.4,1435.13,117.48,8.19,,374.4,1435.13,108.14,7.53,,374.4,1435.13,114.37,7.97,,
375.9,1463.02,115.19,7.87,,375.9,1463.02,100.62,6.88,,375.9,1463.02,105.92,7.24,,375.9,1463.02,107.24,7.33,,
377.4,1512.41,114.49,7.57,,377.4,1512.41,109.28,7.23,,377.4,1512.41,107.98,7.14,,377.4,1512.41,110.58,7.31,,
