name= \My Documents\HR1024_Data\AODB1.,,,,,name= \My Documents\HR1024_Data\AODB2.,,,,,name= \My Documents\HR1024_Data\AODB3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.31  8.94  -5.30  45.23  8.94  -5.24,,,,,temp= 33.31  8.94  -5.30  45.39  8.94  -5.17,,,,,temp= 33.31  8.94  -5.30  45.47  9.01  -5.24,,,,,
battery= 7.5  6.7,,,,,battery= 7.5  6.7,,,,,battery= 7.5  6.7,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 1:10:44 PM  1/1/08 1:50:48 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:51:39 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:52:10 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: AODB1:AODB2:AODB3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,99.37,19.50,,346.4,509.60,132.50,26.00,,346.4,509.60,133.77,26.25,,346.4,509.60,121.88,23.92,,
347.9,536.51,99.15,18.48,,347.9,536.51,134.29,25.03,,347.9,536.51,135.54,25.26,,347.9,536.51,122.99,22.92,,
349.5,577.20,104.83,18.16,,349.5,577.20,132.29,22.92,,349.5,577.20,138.53,24.00,,349.5,577.20,125.22,21.69,,
351.1,620.88,102.34,16.48,,351.1,620.88,134.78,21.71,,351.1,620.88,146.02,23.52,,351.1,620.88,127.71,20.57,,
352.6,679.94,106.26,15.63,,352.6,679.94,144.21,21.21,,352.6,679.94,148.01,21.77,,352.6,679.94,132.83,19.54,,
354.2,723.22,109.96,15.20,,354.2,723.22,145.30,20.09,,354.2,723.22,158.39,21.90,,354.2,723.22,137.88,19.07,,
355.7,777.89,121.23,15.58,,355.7,777.89,157.60,20.26,,355.7,777.89,149.52,19.22,,355.7,777.89,142.78,18.36,,
357.3,842.60,119.28,14.16,,357.3,842.60,166.44,19.75,,357.3,842.60,160.89,19.09,,357.3,842.60,148.87,17.67,,
358.8,838.80,118.83,14.17,,358.8,838.80,173.35,20.67,,358.8,838.80,159.37,19.00,,358.8,838.80,150.52,17.94,,
360.4,904.00,121.00,13.39,,360.4,904.00,160.40,17.74,,360.4,904.00,168.84,18.68,,360.4,904.00,150.08,16.60,,
361.9,943.76,128.16,13.58,,361.9,943.76,167.16,17.71,,361.9,943.76,168.55,17.86,,361.9,943.76,154.62,16.38,,
363.5,997.20,128.81,12.92,,363.5,997.20,173.13,17.36,,363.5,997.20,175.90,17.64,,363.5,997.20,159.28,15.97,,
365.1,1040.25,130.38,12.53,,365.1,1040.25,169.21,16.27,,365.1,1040.25,169.21,16.27,,365.1,1040.25,156.27,15.02,,
366.6,1087.54,129.81,11.94,,366.6,1087.54,179.53,16.51,,366.6,1087.54,174.01,16.00,,366.6,1087.54,161.12,14.81,,
368.2,1161.70,141.02,12.14,,368.2,1161.70,165.19,14.22,,368.2,1161.70,181.31,15.61,,368.2,1161.70,162.51,13.99,,
369.7,1204.79,146.27,12.14,,369.7,1204.79,165.86,13.77,,369.7,1204.79,172.39,14.31,,369.7,1204.79,161.51,13.41,,
371.3,1287.37,144.87,11.25,,371.3,1287.37,173.84,13.50,,371.3,1287.37,177.80,13.81,,371.3,1287.37,165.50,12.86,,
372.8,1354.56,147.41,10.88,,372.8,1354.56,188.58,13.92,,372.8,1354.56,192.56,14.22,,372.8,1354.56,176.18,13.01,,
374.4,1435.13,142.85,9.95,,374.4,1435.13,188.24,13.12,,374.4,1435.13,190.91,13.30,,374.4,1435.13,174.00,12.12,,
375.9,1463.02,153.58,10.50,,375.9,1463.02,191.98,13.12,,375.9,1463.02,194.63,13.30,,375.9,1463.02,180.06,12.31,,
377.4,1512.41,152.22,10.06,,377.4,1512.41,186.04,12.30,,377.4,1512.41,188.65,12.47,,377.4,1512.41,175.64,11.61,,
379.0,1578.52,165.49,10.48,,379.0,1578.52,187.13,11.85,,379.0,1578.52,194.77,12.34,,379.0,1578.52,182.46,11.56,,
380.5,1618.77,162.49,10.04,,380.5,1618.77,180.96,11.18,,380.5,1618.77,188.34,11.63,,380.5,1618.77,177.26,10.95,,
382.1,1669.58,161.93,9.70,,382.1,1669.58,190.30,11.40,,382.1,1669.58,192.67,11.54,,382.1,1669.58,181.63,10.88,,
383.6,1726.52,167.83,9.72,,383.6,1726.52,190.51,11.03,,383.6,1726.52,191.65,11.10,,383.6,1726.52,183.33,10.62,,
385.2,1809.50,170.50,9.42,,385.2,1809.50,189.20,10.46,,385.2,1809.50,198.00,10.94,,385.2,1809.50,185.90,10.27,,
386.7,1900.67,166.78,8.77,,386.7,1900.67,188.44,9.91,,386.7,1900.67,199.27,10.48,,386.7,1900.67,184.83,9.72,,
388.3,1991.93,186.96,9.39,,388.3,1991.93,205.44,10.31,,388.3,1991.93,202.18,10.15,,388.3,1991.93,198.19,9.95,,
389.8,2077.97,184.46,8.88,,389.8,2077.97,214.11,10.30,,389.8,2077.97,216.31,10.41,,389.8,2077.97,204.96,9.86,,
391.3,2163.95,188.27,8.70,,391.3,2163.95,213.89,9.88,,391.3,2163.95,221.69,10.24,,391.3,2163.95,207.95,9.61,,
392.9,2236.17,205.98,9.21,,392.9,2236.17,236.70,10.59,,392.9,2236.17,231.01,10.33,,392.9,2236.17,224.56,10.04,,
394.4,2293.88,210.10,9.16,,394.4,2293.88,236.21,10.30,,394.4,2293.88,238.59,10.40,,394.4,2293.88,228.30,9.95,,
395.9,2364.42,227.34,9.61,,395.9,2364.42,254.97,10.78,,395.9,2364.42,252.46,10.68,,395.9,2364.42,244.92,10.36,,
397.5,2493.56,229.98,9.22,,397.5,2493.56,259.69,10.41,,397.5,2493.56,268.74,10.78,,397.5,2493.56,252.80,10.14,,
399.0,2617.23,241.02,9.21,,399.0,2617.23,271.92,10.39,,399.0,2617.23,268.21,10.25,,399.0,2617.23,260.38,9.95,,
400.6,2691.33,236.59,8.79,,400.6,2691.33,272.81,10.14,,400.6,2691.33,269.42,10.01,,400.6,2691.33,259.61,9.65,,
402.1,2739.96,240.46,8.78,,402.1,2739.96,267.29,9.76,,402.1,2739.96,264.19,9.64,,402.1,2739.96,257.31,9.39,,
403.6,2797.88,245.50,8.77,,403.6,2797.88,267.56,9.56,,403.6,2797.88,268.52,9.60,,403.6,2797.88,260.53,9.31,,
