name= \My Documents\HR1024_Data\AODF1.,,,,,name= \My Documents\HR1024_Data\AODF2.,,,,,name= \My Documents\HR1024_Data\AODF3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.31  8.94  -5.30  44.50  8.94  -5.17,,,,,temp= 33.31  8.94  -5.30  44.50  8.94  -5.24,,,,,temp= 33.31  8.94  -5.30  44.83  8.94  -5.10,,,,,
battery= 7.5  6.8,,,,,battery= 7.5  6.8,,,,,battery= 7.5  6.8,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 1:10:44 PM  1/1/08 1:46:39 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:47:33 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:48:51 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: AODF1:AODF2:AODF3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,91.73,18.00,,346.4,509.60,119.76,23.50,,346.4,509.60,104.47,20.50,,346.4,509.60,105.32,20.67,,
347.9,536.51,100.40,18.71,,347.9,536.51,122.99,22.92,,347.9,536.51,86.60,16.14,,347.9,536.51,103.33,19.26,,
349.5,577.20,103.58,17.95,,349.5,577.20,119.81,20.76,,349.5,577.20,93.60,16.22,,349.5,577.20,105.66,18.31,,
351.1,620.88,94.85,15.28,,351.1,620.88,129.79,20.90,,351.1,620.88,92.35,14.87,,351.1,620.88,105.66,17.02,,
352.6,679.94,105.00,15.44,,352.6,679.94,127.77,18.79,,352.6,679.94,89.82,13.21,,352.6,679.94,107.53,15.81,,
354.2,723.22,98.18,13.57,,354.2,723.22,136.14,18.82,,354.2,723.22,100.79,13.94,,354.2,723.22,111.70,15.45,,
355.7,777.89,105.07,13.51,,355.7,777.89,152.21,19.57,,355.7,777.89,99.68,12.81,,355.7,777.89,118.99,15.30,,
357.3,842.60,105.41,12.51,,357.3,842.60,151.18,17.94,,357.3,842.60,108.19,12.84,,357.3,842.60,121.59,14.43,,
358.8,838.80,110.44,13.17,,358.8,838.80,145.39,17.33,,358.8,838.80,102.05,12.17,,358.8,838.80,119.29,14.22,,
360.4,904.00,109.75,12.14,,360.4,904.00,150.55,16.65,,360.4,904.00,111.15,12.30,,360.4,904.00,123.82,13.70,,
361.9,943.76,107.26,11.37,,361.9,943.76,150.44,15.94,,361.9,943.76,108.65,11.51,,361.9,943.76,122.12,12.94,,
363.5,997.20,120.50,12.08,,363.5,997.20,156.51,15.69,,363.5,997.20,110.80,11.11,,363.5,997.20,129.27,12.96,,
365.1,1040.25,124.83,12.00,,365.1,1040.25,158.12,15.20,,365.1,1040.25,112.35,10.80,,365.1,1040.25,131.77,12.67,,
366.6,1087.54,122.91,11.30,,366.6,1087.54,162.96,14.98,,366.6,1087.54,113.24,10.41,,366.6,1087.54,133.04,12.23,,
368.2,1161.70,112.81,9.71,,368.2,1161.70,158.47,13.64,,368.2,1161.70,107.44,9.25,,368.2,1161.70,126.24,10.87,,
369.7,1204.79,114.93,9.54,,369.7,1204.79,147.58,12.25,,369.7,1204.79,105.79,8.78,,369.7,1204.79,122.77,10.19,,
371.3,1287.37,127.75,9.92,,371.3,1287.37,161.99,12.58,,371.3,1287.37,123.80,9.62,,371.3,1287.37,137.85,10.71,,
372.8,1354.56,124.83,9.22,,372.8,1354.56,163.34,12.06,,372.8,1354.56,119.52,8.82,,372.8,1354.56,135.90,10.03,,
374.4,1435.13,136.17,9.49,,374.4,1435.13,162.87,11.35,,374.4,1435.13,120.15,8.37,,374.4,1435.13,139.73,9.74,,
375.9,1463.02,133.72,9.14,,375.9,1463.02,172.12,11.76,,375.9,1463.02,115.19,7.87,,375.9,1463.02,140.34,9.59,,
377.4,1512.41,131.40,8.69,,377.4,1512.41,173.03,11.44,,377.4,1512.41,122.29,8.09,,377.4,1512.41,142.24,9.40,,
379.0,1578.52,138.76,8.79,,379.0,1578.52,169.31,10.73,,379.0,1578.52,114.57,7.26,,379.0,1578.52,140.88,8.92,,
380.5,1618.77,136.64,8.44,,380.5,1618.77,177.26,10.95,,380.5,1618.77,121.87,7.53,,380.5,1618.77,145.26,8.97,,
