name= \My Documents\HR1024_Data\AODB4.,,,,,name= \My Documents\HR1024_Data\AODB5.,,,,,name= \My Documents\HR1024_Data\AODB6.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.31  8.94  -5.30  45.79  9.01  -5.17,,,,,temp= 33.31  8.94  -5.30  46.12  8.88  -5.17,,,,,temp= 33.31  8.94  -5.30  46.44  8.94  -5.10,,,,,
battery= 7.5  6.6,,,,,battery= 7.5  6.6,,,,,battery= 7.5  6.6,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 1:10:44 PM  1/1/08 1:56:32 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:57:49 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:58:38 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: AODB4:AODB5:AODB6
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,135.04,26.50,,346.4,509.60,124.85,24.50,,346.4,509.60,117.21,23.00,,346.4,509.60,125.70,24.67,,
347.9,536.51,135.54,25.26,,347.9,536.51,128.01,23.86,,347.9,536.51,121.74,22.69,,347.9,536.51,128.43,23.94,,
349.5,577.20,134.78,23.35,,349.5,577.20,126.05,21.84,,349.5,577.20,123.55,21.41,,349.5,577.20,128.13,22.20,,
351.1,620.88,136.03,21.91,,351.1,620.88,123.55,19.90,,351.1,620.88,123.55,19.90,,351.1,620.88,127.71,20.57,,
352.6,679.94,144.21,21.21,,352.6,679.94,126.50,18.60,,352.6,679.94,135.36,19.91,,352.6,679.94,135.36,19.91,,
354.2,723.22,146.61,20.27,,354.2,723.22,140.06,19.37,,354.2,723.22,129.59,17.92,,354.2,723.22,138.75,19.19,,
355.7,777.89,168.38,21.65,,355.7,777.89,137.39,17.66,,355.7,777.89,148.17,19.05,,355.7,777.89,151.31,19.45,,
357.3,842.60,165.05,19.59,,357.3,842.60,145.64,17.28,,357.3,842.60,144.25,17.12,,357.3,842.60,151.65,18.00,,
358.8,838.80,164.96,19.67,,358.8,838.80,152.38,18.17,,358.8,838.80,153.78,18.33,,358.8,838.80,157.04,18.72,,
360.4,904.00,181.50,20.08,,360.4,904.00,149.14,16.50,,360.4,904.00,161.81,17.90,,360.4,904.00,164.15,18.16,,
361.9,943.76,179.70,19.04,,361.9,943.76,157.41,16.68,,361.9,943.76,150.44,15.94,,361.9,943.76,162.52,17.22,,
363.5,997.20,180.05,18.06,,363.5,997.20,153.74,15.42,,363.5,997.20,153.74,15.42,,363.5,997.20,162.51,16.30,,
365.1,1040.25,184.47,17.73,,365.1,1040.25,151.18,14.53,,365.1,1040.25,147.02,14.13,,365.1,1040.25,160.89,15.47,,
366.6,1087.54,180.91,16.63,,366.6,1087.54,150.53,13.84,,366.6,1087.54,161.58,14.86,,366.6,1087.54,164.34,15.11,,
368.2,1161.70,190.71,16.42,,368.2,1161.70,153.10,13.18,,368.2,1161.70,163.85,14.10,,368.2,1161.70,169.22,14.57,,
369.7,1204.79,186.76,15.50,,369.7,1204.79,154.11,12.79,,369.7,1204.79,156.72,13.01,,369.7,1204.79,165.86,13.77,,
371.3,1287.37,192.28,14.94,,371.3,1287.37,150.14,11.66,,371.3,1287.37,161.99,12.58,,371.3,1287.37,168.14,13.06,,
372.8,1354.56,191.23,14.12,,372.8,1354.56,162.02,11.96,,372.8,1354.56,160.69,11.86,,372.8,1354.56,171.31,12.65,,
374.4,1435.13,201.59,14.05,,374.4,1435.13,158.87,11.07,,374.4,1435.13,174.89,12.19,,374.4,1435.13,178.45,12.43,,
375.9,1463.02,203.90,13.94,,375.9,1463.02,165.50,11.31,,375.9,1463.02,176.09,12.04,,375.9,1463.02,181.83,12.43,,
377.4,1512.41,200.35,13.25,,377.4,1512.41,165.23,10.92,,377.4,1512.41,176.94,11.70,,377.4,1512.41,180.84,11.96,,
