name= \My Documents\HR1024_Data\AODF4.,,,,,name= \My Documents\HR1024_Data\AODF5.,,,,,name= \My Documents\HR1024_Data\AODF6.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  1000  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.31  8.94  -5.30  45.47  9.01  -5.24,,,,,temp= 33.31  8.94  -5.30  45.79  9.01  -5.17,,,,,temp= 33.31  8.94  -5.30  45.79  8.94  -5.24,,,,,
battery= 7.5  6.7,,,,,battery= 7.5  6.7,,,,,battery= 7.5  6.7,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 1:10:44 PM  1/1/08 1:52:55 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:55:09 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:55:53 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: AODF4:AODF5:AODF6
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,100.65,19.75,,346.4,509.60,112.11,22.00,,346.4,509.60,78.35,15.38,,346.4,509.60,97.04,19.04,,
347.9,536.51,104.17,19.42,,347.9,536.51,114.21,21.29,,347.9,536.51,76.56,14.27,,347.9,536.51,98.31,18.32,,
349.5,577.20,107.33,18.59,,349.5,577.20,108.58,18.81,,349.5,577.20,77.38,13.41,,349.5,577.20,97.76,16.94,,
351.1,620.88,108.58,17.49,,351.1,620.88,111.07,17.89,,351.1,620.88,81.12,13.07,,351.1,620.88,100.26,16.15,,
352.6,679.94,106.26,15.63,,352.6,679.94,113.85,16.74,,352.6,679.94,82.86,12.19,,352.6,679.94,100.99,14.85,,
354.2,723.22,108.65,15.02,,354.2,723.22,123.05,17.01,,354.2,723.22,85.74,11.86,,354.2,723.22,105.81,14.63,,
355.7,777.89,115.84,14.89,,355.7,777.89,130.66,16.80,,355.7,777.89,87.56,11.26,,355.7,777.89,111.35,14.31,,
357.3,842.60,122.06,14.49,,357.3,842.60,127.60,15.14,,357.3,842.60,88.07,10.45,,357.3,842.60,112.58,13.36,,
358.8,838.80,123.02,14.67,,358.8,838.80,127.22,15.17,,358.8,838.80,94.37,11.25,,358.8,838.80,114.87,13.69,,
360.4,904.00,118.19,13.07,,360.4,904.00,128.04,14.16,,360.4,904.00,87.94,9.73,,360.4,904.00,111.39,12.32,,
361.9,943.76,119.80,12.69,,361.9,943.76,132.34,14.02,,361.9,943.76,93.33,9.89,,361.9,943.76,115.16,12.20,,
363.5,997.20,121.88,12.22,,363.5,997.20,130.19,13.06,,363.5,997.20,96.26,9.65,,363.5,997.20,116.11,11.64,,
365.1,1040.25,128.99,12.40,,365.1,1040.25,138.70,13.33,,365.1,1040.25,95.70,9.20,,365.1,1040.25,121.13,11.64,,
366.6,1087.54,132.58,12.19,,366.6,1087.54,131.20,12.06,,366.6,1087.54,95.98,8.83,,366.6,1087.54,119.92,11.03,,
368.2,1161.70,118.18,10.17,,368.2,1161.70,130.27,11.21,,368.2,1161.70,92.67,7.98,,368.2,1161.70,113.71,9.79,,
369.7,1204.79,124.07,10.30,,369.7,1204.79,137.13,11.38,,369.7,1204.79,92.73,7.70,,369.7,1204.79,117.98,9.79,,
371.3,1287.37,122.48,9.51,,371.3,1287.37,146.19,11.36,,371.3,1287.37,92.85,7.21,,371.3,1287.37,120.51,9.36,,
372.8,1354.56,128.82,9.51,,372.8,1354.56,143.42,10.59,,372.8,1354.56,100.93,7.45,,372.8,1354.56,124.39,9.18,,
374.4,1435.13,126.83,8.84,,374.4,1435.13,140.18,9.77,,374.4,1435.13,101.46,7.07,,374.4,1435.13,122.82,8.56,,
375.9,1463.02,129.75,8.87,,375.9,1463.02,136.37,9.32,,375.9,1463.02,102.61,7.01,,375.9,1463.02,122.91,8.40,,
377.4,1512.41,134.00,8.86,,377.4,1512.41,134.00,8.86,,377.4,1512.41,100.18,6.62,,377.4,1512.41,122.73,8.11,,
379.0,1578.52,133.67,8.47,,379.0,1578.52,143.85,9.11,,379.0,1578.52,98.02,6.21,,379.0,1578.52,125.18,7.93,,
380.5,1618.77,135.41,8.37,,380.5,1618.77,141.57,8.75,,380.5,1618.77,97.25,6.01,,380.5,1618.77,124.74,7.71,,
382.1,1669.58,121.75,7.29,,382.1,1669.58,145.39,8.71,,382.1,1669.58,95.15,5.70,,382.1,1669.58,120.76,7.23,,
383.6,1726.52,124.74,7.22,,383.6,1726.52,136.08,7.88,,383.6,1726.52,95.26,5.52,,383.6,1726.52,118.69,6.87,,
385.2,1809.50,125.40,6.93,,385.2,1809.50,136.40,7.54,,385.2,1809.50,99.00,5.47,,385.2,1809.50,120.27,6.65,,
386.7,1900.67,123.46,6.50,,386.7,1900.67,141.87,7.46,,386.7,1900.67,98.01,5.16,,386.7,1900.67,121.11,6.37,,
388.3,1991.93,128.27,6.44,,388.3,1991.93,141.31,7.09,,388.3,1991.93,100.55,5.05,,388.3,1991.93,123.38,6.19,,
389.8,2077.97,135.05,6.50,,389.8,2077.97,148.23,7.13,,389.8,2077.97,101.02,4.86,,389.8,2077.97,128.10,6.16,,
391.3,2163.95,142.59,6.59,,391.3,2163.95,148.16,6.85,,391.3,2163.95,106.94,4.94,,391.3,2163.95,132.56,6.13,,
392.9,2236.17,137.70,6.16,,392.9,2236.17,144.53,6.46,,392.9,2236.17,106.97,4.78,,392.9,2236.17,129.73,5.80,,
394.4,2293.88,149.56,6.52,,394.4,2293.88,167.37,7.30,,394.4,2293.88,112.17,4.89,,394.4,2293.88,143.03,6.24,,
395.9,2364.42,151.98,6.43,,395.9,2364.42,173.33,7.33,,395.9,2364.42,114.30,4.83,,395.9,2364.42,146.54,6.20,,
397.5,2493.56,166.67,6.68,,397.5,2493.56,178.30,7.15,,397.5,2493.56,117.57,4.72,,397.5,2493.56,154.18,6.18,,
399.0,2617.23,158.21,6.04,,399.0,2617.23,180.46,6.89,,399.0,2617.23,120.51,4.60,,399.0,2617.23,153.06,5.85,,
400.6,2691.33,149.42,5.55,,400.6,2691.33,168.67,6.27,,400.6,2691.33,115.46,4.29,,400.6,2691.33,144.52,5.37,,
402.1,2739.96,152.74,5.57,,402.1,2739.96,165.12,6.03,,402.1,2739.96,114.04,4.16,,402.1,2739.96,143.97,5.25,,
403.6,2797.88,146.73,5.24,,403.6,2797.88,160.15,5.72,,403.6,2797.88,106.45,3.80,,403.6,2797.88,137.78,4.92,,
405.1,2865.39,149.90,5.23,,405.1,2865.39,161.78,5.65,,405.1,2865.39,111.51,3.89,,405.1,2865.39,141.06,4.92,,
406.7,2979.20,151.42,5.08,,406.7,2979.20,161.28,5.41,,406.7,2979.20,110.66,3.71,,406.7,2979.20,141.12,4.74,,
408.2,3089.54,154.14,4.99,,408.2,3089.54,168.40,5.45,,408.2,3089.54,109.15,3.53,,408.2,3089.54,143.90,4.66,,
409.7,3183.04,152.32,4.79,,409.7,3183.04,171.14,5.38,,409.7,3183.04,116.03,3.65,,409.7,3183.04,146.50,4.60,,
411.3,3295.62,151.47,4.60,,411.3,3295.62,176.26,5.35,,411.3,3295.62,118.88,3.61,,411.3,3295.62,148.87,4.52,,
412.8,3391.47,162.11,4.78,,412.8,3391.47,183.91,5.42,,412.8,3391.47,122.77,3.62,,412.8,3391.47,156.26,4.61,,
414.3,3507.27,169.37,4.83,,414.3,3507.27,180.14,5.14,,414.3,3507.27,124.82,3.56,,414.3,3507.27,158.11,4.51,,
415.8,3622.50,179.00,4.94,,415.8,3622.50,188.00,5.19,,415.8,3622.50,133.50,3.69,,415.8,3622.50,166.83,4.61,,
417.4,3739.34,179.12,4.79,,417.4,3739.34,194.30,5.20,,417.4,3739.34,135.10,3.61,,417.4,3739.34,169.51,4.53,,
418.9,3830.42,179.12,4.68,,418.9,3830.42,199.36,5.20,,418.9,3830.42,137.63,3.59,,418.9,3830.42,172.04,4.49,,
420.4,3913.23,182.45,4.66,,420.4,3913.23,199.40,5.10,,420.4,3913.23,137.09,3.50,,420.4,3913.23,172.98,4.42,,
421.9,3978.48,180.05,4.53,,421.9,3978.48,203.28,5.11,,421.9,3978.48,139.88,3.52,,421.9,3978.48,174.40,4.38,,
423.5,4044.22,184.00,4.55,,423.5,4044.22,201.74,4.99,,423.5,4044.22,137.30,3.39,,423.5,4044.22,174.35,4.31,,
425.0,4110.68,178.90,4.35,,425.0,4110.68,195.08,4.75,,425.0,4110.68,136.65,3.32,,425.0,4110.68,170.21,4.14,,
426.5,4198.95,184.04,4.38,,426.5,4198.95,205.54,4.90,,426.5,4198.95,138.89,3.31,,426.5,4198.95,176.16,4.20,,
428.0,4314.36,185.55,4.30,,428.0,4314.36,206.07,4.78,,428.0,4314.36,140.39,3.25,,428.0,4314.36,177.34,4.11,,
429.5,4445.73,186.44,4.19,,429.5,4445.73,207.77,4.67,,429.5,4445.73,142.99,3.22,,429.5,4445.73,179.07,4.03,,
431.1,4599.50,187.31,4.07,,431.1,4599.50,215.17,4.68,,431.1,4599.50,145.13,3.16,,431.1,4599.50,182.54,3.97,,
432.6,4769.72,196.10,4.11,,432.6,4769.72,221.47,4.64,,432.6,4769.72,148.80,3.12,,432.6,4769.72,188.79,3.96,,
434.1,4937.63,208.67,4.23,,434.1,4937.63,225.61,4.57,,434.1,4937.63,152.85,3.10,,434.1,4937.63,195.71,3.96,,
435.6,5085.18,209.75,4.12,,435.6,5085.18,226.01,4.44,,435.6,5085.18,157.51,3.10,,435.6,5085.18,197.76,3.89,,
437.1,5233.80,216.84,4.14,,437.1,5233.80,231.66,4.43,,437.1,5233.80,159.51,3.05,,437.1,5233.80,202.67,3.87,,
438.6,5364.45,220.87,4.12,,438.6,5364.45,239.73,4.47,,438.6,5364.45,166.63,3.11,,438.6,5364.45,209.08,3.90,,
440.1,5501.44,226.01,4.11,,440.1,5501.44,244.24,4.44,,440.1,5501.44,170.50,3.10,,440.1,5501.44,213.58,3.88,,
441.6,5653.06,229.89,4.07,,441.6,5653.06,252.32,4.46,,441.6,5653.06,173.42,3.07,,441.6,5653.06,218.54,3.87,,
443.1,5799.60,231.66,3.99,,443.1,5799.60,255.96,4.41,,443.1,5799.60,177.80,3.07,,443.1,5799.60,221.81,3.82,,
444.7,5941.01,242.49,4.08,,444.7,5941.01,261.40,4.40,,444.7,5941.01,183.31,3.09,,444.7,5941.01,229.07,3.86,,
446.2,6051.88,245.02,4.05,,446.2,6051.88,261.86,4.33,,446.2,6051.88,185.66,3.07,,446.2,6051.88,230.85,3.81,,
447.7,6161.82,252.86,4.10,,447.7,6161.82,281.34,4.57,,447.7,6161.82,192.02,3.12,,447.7,6161.82,242.07,3.93,,
449.2,6292.08,255.74,4.06,,449.2,6292.08,277.34,4.41,,449.2,6292.08,193.54,3.08,,449.2,6292.08,242.21,3.85,,
450.7,6396.00,256.26,4.01,,450.7,6396.00,278.72,4.36,,450.7,6396.00,193.86,3.03,,450.7,6396.00,242.95,3.80,,
452.2,6529.70,256.24,3.92,,452.2,6529.70,283.75,4.35,,452.2,6529.70,192.57,2.95,,452.2,6529.70,244.19,3.74,,
453.7,6647.26,258.52,3.89,,453.7,6647.26,286.08,4.30,,453.7,6647.26,197.43,2.97,,453.7,6647.26,247.34,3.72,,
455.2,6815.62,267.10,3.92,,455.2,6815.62,285.05,4.18,,455.2,6815.62,200.32,2.94,,455.2,6815.62,250.82,3.68,,
456.7,7013.60,268.93,3.83,,456.7,7013.60,294.98,4.21,,456.7,7013.60,204.16,2.91,,456.7,7013.60,256.02,3.65,,
