name= \My Documents\HR1024_Data\AOHDB1.,,,,,name= \My Documents\HR1024_Data\AOHDB2.,,,,,name= \My Documents\HR1024_Data\AOHDB3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  1000  60  30,,,,,integration= 200  60  30  1000  60  30,,,,,integration= 200  60  30  1000  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.31  8.94  -5.30  47.08  8.94  -5.10,,,,,temp= 33.31  8.94  -5.30  47.24  8.94  -5.10,,,,,temp= 33.31  8.94  -5.30  47.40  9.08  -5.17,,,,,
battery= 7.5  6.5,,,,,battery= 7.5  6.5,,,,,battery= 7.5  6.3,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 1:10:44 PM  1/1/08 2:05:24 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 2:06:20 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 2:07:17 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: AOHDB1:AOHDB2:AOHDB3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,96.82,19.00,,346.4,509.60,79.63,15.63,,346.4,509.60,86.00,16.88,,346.4,509.60,87.48,17.17,,
347.9,536.51,99.77,18.60,,347.9,536.51,77.81,14.50,,347.9,549.06,91.62,16.69,,347.9,540.69,89.73,16.60,,
349.5,577.20,99.22,17.19,,349.5,577.20,79.87,13.84,,349.5,608.40,94.85,15.59,,349.5,587.60,91.31,15.54,,
351.1,620.88,106.70,17.19,,351.1,620.88,84.24,13.57,,351.1,655.20,96.72,14.76,,351.1,632.32,95.89,15.16,,
352.6,679.94,105.63,15.53,,352.6,679.94,87.92,12.93,,352.6,708.40,103.73,14.64,,352.6,689.43,99.09,14.37,,
354.2,723.22,110.61,15.29,,354.2,723.22,90.32,12.49,,354.2,752.68,108.65,14.43,,354.2,733.04,103.19,14.08,,
355.7,777.89,119.21,15.32,,355.7,777.89,95.64,12.29,,355.7,818.30,116.52,14.24,,355.7,791.36,110.46,13.96,,
357.3,842.60,122.06,14.49,,357.3,842.60,101.94,12.10,,357.3,873.81,124.14,14.21,,357.3,853.00,116.05,13.60,,
358.8,838.80,123.72,14.75,,358.8,838.80,103.45,12.33,,358.8,891.23,122.33,13.73,,358.8,856.28,116.50,13.61,,
360.4,904.00,127.33,14.09,,360.4,904.00,109.04,12.06,,360.4,967.31,134.37,13.89,,360.4,925.10,123.58,13.36,,
361.9,943.76,133.73,14.17,,361.9,943.76,110.05,11.66,,361.9,1009.93,135.12,13.38,,361.9,965.82,126.30,13.08,,
363.5,997.20,135.04,13.54,,363.5,997.20,114.26,11.46,,363.5,1059.53,137.12,12.94,,363.5,1017.98,128.81,12.65,,
365.1,1040.25,133.15,12.80,,365.1,1040.25,117.90,11.33,,365.1,1102.67,144.94,13.14,,365.1,1061.06,132.00,12.44,,
366.6,1087.54,138.10,12.70,,366.6,1087.54,116.69,10.73,,366.6,1156.59,151.22,13.07,,366.6,1110.56,135.34,12.19,,
368.2,1161.70,143.70,12.37,,368.2,1161.70,119.53,10.29,,368.2,1218.77,147.73,12.12,,368.2,1180.72,136.99,11.60,,
369.7,1204.79,141.70,11.76,,369.7,1204.79,118.85,9.86,,369.7,1306.00,161.29,12.35,,369.7,1238.53,140.61,11.35,,
371.3,1287.37,147.50,11.46,,371.3,1287.37,123.80,9.62,,371.3,1379.56,167.26,12.12,,371.3,1318.10,146.19,11.09,,
372.8,1354.56,153.38,11.32,,372.8,1354.56,124.17,9.17,,372.8,1457.48,173.97,11.94,,372.8,1388.87,150.51,10.84,,
374.4,1435.13,153.53,10.70,,374.4,1435.13,136.84,9.53,,374.4,1528.58,182.90,11.97,,374.4,1466.28,157.76,10.76,,
375.9,1463.02,156.23,10.68,,375.9,1463.02,138.36,9.46,,375.9,1575.56,188.67,11.97,,375.9,1500.53,161.09,10.74,,
377.4,1512.41,160.02,10.58,,377.4,1512.41,137.91,9.12,,377.4,1632.76,193.20,11.83,,377.4,1552.53,163.71,10.54,,
379.0,1578.52,167.40,10.60,,379.0,1578.52,134.30,8.51,,379.0,1683.54,198.59,11.80,,379.0,1613.53,166.76,10.34,,
380.5,1618.77,169.26,10.46,,380.5,1618.77,139.72,8.63,,380.5,1741.87,200.65,11.52,,380.5,1659.80,169.88,10.23,,
382.1,1669.58,165.48,9.91,,382.1,1669.58,141.25,8.46,,382.1,1805.51,208.03,11.52,,382.1,1714.89,171.59,10.01,,
383.6,1726.52,167.83,9.72,,383.6,1726.52,137.21,7.95,,383.6,1862.60,211.49,11.35,,383.6,1771.88,172.18,9.72,,
385.2,1809.50,166.65,9.21,,385.2,1809.50,141.35,7.81,,385.2,1949.75,220.55,11.31,,385.2,1856.25,176.18,9.49,,
386.7,1900.67,173.82,9.15,,386.7,1900.67,151.08,7.95,,386.7,2036.04,226.35,11.12,,386.7,1945.79,183.75,9.44,,
388.3,1991.93,179.36,9.00,,388.3,1991.93,157.62,7.91,,388.3,2135.96,241.86,11.32,,388.3,2039.94,192.95,9.46,,
389.8,2077.97,188.86,9.09,,389.8,2077.97,160.31,7.71,,389.8,2212.47,247.05,11.17,,389.8,2122.80,198.74,9.36,,
391.3,2163.95,192.17,8.88,,391.3,2163.95,171.00,7.90,,391.3,2314.34,262.90,11.36,,391.3,2214.08,208.69,9.43,,
392.9,2236.17,202.00,9.03,,392.9,2236.17,172.98,7.74,,392.9,2392.65,272.55,11.39,,392.9,2288.33,215.84,9.43,,
394.4,2293.88,209.51,9.13,,394.4,2293.88,180.42,7.87,,394.4,2474.90,284.88,11.51,,394.4,2354.22,224.94,9.55,,
395.9,2364.42,221.06,9.35,,395.9,2364.42,188.40,7.97,,395.9,2552.82,290.76,11.39,,395.9,2427.22,233.41,9.62,,
397.5,2493.56,230.62,9.25,,397.5,2493.56,200.91,8.06,,397.5,2664.75,306.20,11.49,,397.5,2550.62,245.91,9.64,,
399.0,2617.23,236.08,9.02,,399.0,2617.23,203.32,7.77,,399.0,2774.82,315.80,11.38,,399.0,2669.76,251.73,9.43,,
400.6,2691.33,235.46,8.75,,400.6,2691.33,204.33,7.59,,400.6,2852.64,322.62,11.31,,400.6,2745.10,254.14,9.26,,
402.1,2739.96,232.20,8.47,,402.1,2739.96,205.88,7.51,,402.1,2910.24,327.14,11.24,,402.1,2796.72,255.07,9.12,,
403.6,2797.88,232.08,8.29,,403.6,2797.88,204.27,7.30,,403.6,2965.71,332.29,11.20,,403.6,2853.82,256.21,8.98,,
405.1,2865.39,234.90,8.20,,405.1,2865.39,201.99,7.05,,405.1,3036.77,340.47,11.21,,405.1,2922.52,259.12,8.87,,
406.7,2979.20,244.61,8.21,,406.7,2979.20,212.80,7.14,,406.7,3133.76,347.65,11.09,,406.7,3030.72,268.35,8.85,,
408.2,3089.54,251.26,8.13,,408.2,3089.54,218.74,7.08,,408.2,3234.33,359.52,11.12,,408.2,3137.80,276.51,8.81,,
409.7,3183.04,260.29,8.18,,409.7,3183.04,224.45,7.05,,409.7,3330.88,373.18,11.20,,409.7,3232.32,285.97,8.85,,
411.3,3295.62,268.06,8.13,,411.3,3295.62,234.09,7.10,,411.3,3437.91,385.10,11.20,,411.3,3343.05,295.75,8.85,,
412.8,3391.47,280.13,8.26,,412.8,3391.47,243.16,7.17,,412.8,3528.93,396.74,11.24,,412.8,3437.29,306.68,8.92,,
414.3,3507.27,290.76,8.29,,414.3,3507.27,253.07,7.22,,414.3,3634.54,409.22,11.26,,414.3,3549.69,317.68,8.95,,
415.8,3622.50,302.50,8.35,,415.8,3622.50,261.00,7.20,,415.8,3740.00,427.50,11.43,,415.8,3661.67,330.33,9.02,,
417.4,3739.34,312.71,8.36,,417.4,3739.34,268.69,7.19,,417.4,3868.37,439.21,11.35,,417.4,3782.35,340.20,8.99,,
418.9,3830.42,320.30,8.36,,418.9,3830.42,280.32,7.32,,418.9,3954.39,451.35,11.41,,418.9,3871.74,350.66,9.06,,
