name= \My Documents\HR1024_Data\AOHDF1.,,,,,name= \My Documents\HR1024_Data\AOHDF2.,,,,,name= \My Documents\HR1024_Data\AOHDF3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  1000  60  30,,,,,integration= 200  60  30  1000  60  30,,,,,integration= 200  60  30  1000  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.31  8.94  -5.30  47.08  9.01  -5.17,,,,,temp= 33.31  8.94  -5.30  47.00  8.94  -5.10,,,,,temp= 33.31  8.94  -5.30  47.00  8.94  -5.10,,,,,
battery= 7.5  6.6,,,,,battery= 7.5  6.6,,,,,battery= 7.5  6.5,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 1:10:44 PM  1/1/08 2:02:54 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 2:03:32 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 2:04:21 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: AOHDF1:AOHDF2:AOHDF3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,67.52,13.25,,346.4,509.60,68.80,13.50,,346.4,509.60,61.15,12.00,,346.4,509.60,65.82,12.92,,
347.9,536.51,75.30,14.04,,347.9,536.51,69.03,12.87,,347.9,536.51,69.65,12.98,,347.9,536.51,71.33,13.29,,
349.5,577.20,68.64,11.89,,349.5,577.20,69.89,12.11,,349.5,577.20,72.38,12.54,,349.5,577.20,70.30,12.18,,
351.1,620.88,71.76,11.56,,351.1,620.88,70.51,11.36,,351.1,620.88,78.62,12.66,,351.1,620.88,73.63,11.86,,
352.6,679.94,75.27,11.07,,352.6,679.94,76.53,11.26,,352.6,679.94,78.43,11.53,,352.6,679.94,76.74,11.29,,
354.2,723.22,78.54,10.86,,354.2,723.22,75.92,10.50,,354.2,723.22,82.47,11.40,,354.2,723.22,78.98,10.92,,
355.7,777.89,82.17,10.56,,355.7,777.89,86.88,11.17,,355.7,777.89,85.53,11.00,,355.7,777.89,84.86,10.91,,
357.3,842.60,83.91,9.96,,357.3,842.60,87.38,10.37,,357.3,842.60,92.24,10.95,,357.3,842.60,87.84,10.43,,
358.8,838.80,81.78,9.75,,358.8,838.80,89.47,10.67,,358.8,838.80,94.37,11.25,,358.8,838.80,88.54,10.56,,
360.4,904.00,88.64,9.81,,360.4,904.00,90.75,10.04,,360.4,904.00,102.71,11.36,,360.4,904.00,94.03,10.40,,
361.9,943.76,89.15,9.45,,361.9,943.76,94.03,9.96,,361.9,943.76,94.03,9.96,,361.9,943.76,92.40,9.79,,
363.5,997.20,91.41,9.17,,363.5,997.20,94.87,9.51,,363.5,997.20,103.88,10.42,,363.5,997.20,96.72,9.70,,
365.1,1040.25,90.16,8.67,,365.1,1040.25,96.40,9.27,,365.1,1040.25,102.64,9.87,,365.1,1040.25,96.40,9.27,,
366.6,1087.54,97.36,8.95,,366.6,1087.54,92.53,8.51,,366.6,1087.54,107.72,9.90,,366.6,1087.54,99.20,9.12,,
368.2,1161.70,96.02,8.27,,368.2,1161.70,102.74,8.84,,368.2,1161.70,110.80,9.54,,368.2,1161.70,103.19,8.88,,
369.7,1204.79,93.38,7.75,,369.7,1204.79,98.60,8.18,,369.7,1204.79,111.01,9.21,,369.7,1204.79,101.00,8.38,,
371.3,1287.37,101.41,7.88,,371.3,1287.37,104.04,8.08,,371.3,1287.37,114.58,8.90,,371.3,1287.37,106.68,8.29,,
372.8,1354.56,103.58,7.65,,372.8,1354.56,104.91,7.75,,372.8,1354.56,117.53,8.68,,372.8,1354.56,108.67,8.02,,
374.4,1435.13,104.80,7.30,,374.4,1435.13,110.14,7.67,,374.4,1435.13,120.15,8.37,,374.4,1435.13,111.70,7.78,,
375.9,1463.02,107.91,7.38,,375.9,1463.02,111.22,7.60,,375.9,1463.02,127.10,8.69,,375.9,1463.02,115.41,7.89,,
377.4,1512.41,109.28,7.23,,377.4,1512.41,115.14,7.61,,377.4,1512.41,124.25,8.22,,377.4,1512.41,116.22,7.68,,
