name= \My Documents\HR1024_Data\CB1.,,,,,name= \My Documents\HR1024_Data\CB2.,,,,,name= \My Documents\HR1024_Data\CB3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.31  8.94  -5.30  42.49  8.94  -5.24,,,,,temp= 33.31  8.94  -5.30  42.65  8.94  -5.24,,,,,temp= 33.31  8.94  -5.30  42.89  8.88  -5.24,,,,,
battery= 7.5  6.4,,,,,battery= 7.5  6.6,,,,,battery= 7.5  6.9,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 1:10:44 PM  1/1/08 1:35:44 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:36:59 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:37:30 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: CB1:CB2:CB3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,100.65,19.75,,346.4,509.60,123.58,24.25,,346.4,509.60,137.59,27.00,,346.4,509.60,120.61,23.67,,
347.9,536.51,105.42,19.65,,347.9,536.51,126.76,23.63,,347.9,536.51,140.56,26.20,,347.9,536.51,124.25,23.16,,
349.5,577.20,106.08,18.38,,349.5,577.20,127.30,22.05,,349.5,577.20,124.80,21.62,,349.5,577.20,119.39,20.68,,
351.1,620.88,104.83,16.88,,351.1,620.88,127.30,20.50,,351.1,620.88,143.52,23.12,,351.1,620.88,125.22,20.17,,
352.6,679.94,108.79,16.00,,352.6,679.94,135.36,19.91,,352.6,679.94,146.74,21.58,,352.6,679.94,130.30,19.16,,
354.2,723.22,115.19,15.93,,354.2,723.22,138.75,19.19,,354.2,723.22,154.46,21.36,,354.2,723.22,136.13,18.82,,
355.7,777.89,114.50,14.72,,355.7,777.89,145.48,18.70,,355.7,777.89,154.91,19.91,,355.7,777.89,138.30,17.78,,
357.3,842.60,119.28,14.16,,357.3,842.60,152.57,18.11,,357.3,842.60,159.51,18.93,,357.3,842.60,143.79,17.06,,
358.8,838.80,131.41,15.67,,358.8,838.80,143.99,17.17,,358.8,838.80,170.56,20.33,,358.8,838.80,148.65,17.72,,
360.4,904.00,133.67,14.79,,360.4,904.00,154.77,17.12,,360.4,904.00,173.06,19.14,,360.4,904.00,153.83,17.02,,
361.9,943.76,128.16,13.58,,361.9,943.76,164.37,17.42,,361.9,943.76,176.91,18.75,,361.9,943.76,156.48,16.58,,
363.5,997.20,127.42,12.78,,363.5,997.20,163.43,16.39,,363.5,997.20,170.36,17.08,,363.5,997.20,153.74,15.42,,
365.1,1040.25,131.77,12.67,,365.1,1040.25,160.89,15.47,,365.1,1040.25,173.38,16.67,,365.1,1040.25,155.35,14.93,,
366.6,1087.54,132.58,12.19,,366.6,1087.54,161.58,14.86,,366.6,1087.54,180.91,16.63,,366.6,1087.54,158.36,14.56,,
368.2,1161.70,132.96,11.45,,368.2,1161.70,161.16,13.87,,368.2,1161.70,186.68,16.07,,368.2,1161.70,160.27,13.80,,
369.7,1204.79,139.74,11.60,,369.7,1204.79,156.72,13.01,,369.7,1204.79,186.76,15.50,,369.7,1204.79,161.07,13.37,,
371.3,1287.37,136.97,10.64,,371.3,1287.37,165.94,12.89,,371.3,1287.37,187.01,14.53,,371.3,1287.37,163.31,12.69,,
372.8,1354.56,138.11,10.20,,372.8,1354.56,164.67,12.16,,372.8,1354.56,180.61,13.33,,372.8,1354.56,161.13,11.90,,
374.4,1435.13,142.85,9.95,,374.4,1435.13,168.21,11.72,,374.4,1435.13,196.25,13.67,,374.4,1435.13,169.10,11.78,,
375.9,1463.02,144.32,9.86,,375.9,1463.02,166.82,11.40,,375.9,1463.02,198.60,13.57,,375.9,1463.02,169.91,11.61,,
377.4,1512.41,145.71,9.63,,377.4,1512.41,167.83,11.10,,377.4,1512.41,191.25,12.65,,377.4,1512.41,168.26,11.13,,
379.0,1578.52,143.85,9.11,,379.0,1578.52,170.58,10.81,,379.0,1578.52,194.77,12.34,,379.0,1578.52,169.73,10.75,,
380.5,1618.77,148.95,9.20,,380.5,1618.77,171.11,10.57,,380.5,1618.77,195.73,12.09,,380.5,1618.77,171.93,10.62,,
382.1,1669.58,139.48,8.35,,382.1,1669.58,177.30,10.62,,382.1,1669.58,192.67,11.54,,382.1,1669.58,169.82,10.17,,
383.6,1726.52,145.15,8.41,,383.6,1726.52,168.97,9.79,,383.6,1726.52,193.91,11.23,,383.6,1726.52,169.34,9.81,,
385.2,1809.50,146.30,8.09,,385.2,1809.50,165.00,9.12,,385.2,1809.50,196.90,10.88,,385.2,1809.50,169.40,9.36,,
386.7,1900.67,147.29,7.75,,386.7,1900.67,172.20,9.06,,386.7,1900.67,203.60,10.71,,386.7,1900.67,174.36,9.17,,
388.3,1991.93,146.75,7.37,,388.3,1991.93,173.92,8.73,,388.3,1991.93,204.36,10.26,,388.3,1991.93,175.01,8.79,,
389.8,2077.97,151.52,7.29,,389.8,2077.97,181.17,8.72,,389.8,2077.97,206.42,9.93,,389.8,2077.97,179.70,8.65,,
391.3,2163.95,153.73,7.10,,391.3,2163.95,181.58,8.39,,391.3,2163.95,217.23,10.04,,391.3,2163.95,184.18,8.51,,
392.9,2236.17,161.60,7.23,,392.9,2236.17,187.77,8.40,,392.9,2236.17,228.74,10.23,,392.9,2236.17,192.70,8.62,,
394.4,2293.88,173.30,7.55,,394.4,2293.88,204.16,8.90,,394.4,2293.88,243.34,10.61,,394.4,2293.88,206.93,9.02,,
395.9,2364.42,185.89,7.86,,395.9,2364.42,211.01,8.92,,395.9,2364.42,238.64,10.09,,395.9,2364.42,211.85,8.96,,
397.5,2493.56,189.92,7.62,,397.5,2493.56,217.06,8.70,,397.5,2493.56,255.82,10.26,,397.5,2493.56,220.93,8.86,,
399.0,2617.23,192.82,7.37,,399.0,2617.23,212.59,8.12,,399.0,2617.23,260.80,9.96,,399.0,2617.23,222.07,8.48,,
400.6,2691.33,185.65,6.90,,400.6,2691.33,218.48,8.12,,400.6,2691.33,255.83,9.51,,400.6,2691.33,219.99,8.17,,
402.1,2739.96,186.79,6.82,,402.1,2739.96,212.59,7.76,,402.1,2739.96,252.84,9.23,,402.1,2739.96,217.41,7.93,,
403.6,2797.88,184.13,6.58,,403.6,2797.88,214.82,7.68,,403.6,2797.88,248.38,8.88,,403.6,2797.88,215.78,7.71,,
405.1,2865.39,190.11,6.63,,405.1,2865.39,218.45,7.62,,405.1,2865.39,248.61,8.68,,405.1,2865.39,219.06,7.64,,
406.7,2979.20,194.43,6.53,,406.7,2979.20,222.21,7.46,,406.7,2979.20,255.36,8.57,,406.7,2979.20,224.00,7.52,,
408.2,3089.54,196.91,6.37,,408.2,3089.54,227.21,7.35,,408.2,3089.54,259.28,8.39,,408.2,3089.54,227.80,7.37,,
409.7,3183.04,206.98,6.50,,409.7,3183.04,231.17,7.26,,409.7,3183.04,277.76,8.73,,409.7,3183.04,238.64,7.50,,
411.3,3295.62,212.98,6.46,,411.3,3295.62,240.52,7.30,,411.3,3295.62,290.09,8.80,,411.3,3295.62,247.86,7.52,,
412.8,3391.47,224.68,6.62,,412.8,3391.47,255.01,7.52,,412.8,3391.47,301.46,8.89,,412.8,3391.47,260.38,7.68,,
414.3,3507.27,238.88,6.81,,414.3,3507.27,268.25,7.65,,414.3,3507.27,311.32,8.88,,414.3,3507.27,272.82,7.78,,
415.8,3622.50,250.00,6.90,,415.8,3622.50,283.00,7.81,,415.8,3622.50,322.00,8.89,,415.8,3622.50,285.00,7.87,,
417.4,3739.34,258.06,6.90,,417.4,3739.34,287.41,7.69,,417.4,3739.34,339.02,9.07,,417.4,3739.34,294.83,7.88,,
418.9,3830.42,264.13,6.90,,418.9,3830.42,302.59,7.90,,418.9,3830.42,351.16,9.17,,418.9,3830.42,305.96,7.99,,
420.4,3913.23,268.19,6.85,,420.4,3913.23,307.08,7.85,,420.4,3913.23,356.93,9.12,,420.4,3913.23,310.73,7.94,,
421.9,3978.48,284.59,7.15,,421.9,3978.48,315.57,7.93,,421.9,3978.48,358.16,9.00,,421.9,3978.48,319.44,8.03,,
423.5,4044.22,283.00,7.00,,423.5,4044.22,320.36,7.92,,423.5,4044.22,370.80,9.17,,423.5,4044.22,324.72,8.03,,
425.0,4110.68,284.98,6.93,,425.0,4110.68,329.03,8.00,,425.0,4110.68,373.09,9.08,,425.0,4110.68,329.03,8.00,,
426.5,4198.95,289.82,6.90,,426.5,4198.95,334.54,7.97,,426.5,4198.95,379.26,9.03,,426.5,4198.95,334.54,7.97,,
428.0,4314.36,296.38,6.87,,428.0,4314.36,343.18,7.95,,428.0,4314.36,393.26,9.12,,428.0,4314.36,344.27,7.98,,
429.5,4445.73,301.78,6.79,,429.5,4445.73,349.97,7.87,,429.5,4445.73,405.27,9.12,,429.5,4445.73,352.34,7.93,,
431.1,4599.50,313.47,6.82,,431.1,4599.50,360.68,7.84,,431.1,4599.50,414.86,9.02,,431.1,4599.50,363.00,7.89,,
432.6,4769.72,322.98,6.77,,432.6,4769.72,374.50,7.85,,432.6,4769.72,430.64,9.03,,432.6,4769.72,376.04,7.88,,
434.1,4937.63,330.33,6.69,,434.1,4937.63,381.92,7.73,,434.1,4937.63,443.52,8.98,,434.1,4937.63,385.26,7.80,,
435.6,5085.18,343.66,6.76,,435.6,5085.18,397.06,7.81,,435.6,5085.18,460.53,9.06,,435.6,5085.18,400.42,7.87,,
437.1,5233.80,360.36,6.89,,437.1,5233.80,412.62,7.88,,437.1,5233.80,479.70,9.17,,437.1,5233.80,417.56,7.98,,
438.6,5364.45,363.13,6.77,,438.6,5364.45,426.01,7.94,,438.6,5364.45,495.18,9.23,,438.6,5364.45,428.11,7.98,,
440.1,5501.44,378.26,6.88,,440.1,5501.44,436.94,7.94,,440.1,5501.44,509.90,9.27,,440.1,5501.44,441.70,8.03,,
441.6,5653.06,396.50,7.01,,441.6,5653.06,454.17,8.03,,441.6,5653.06,528.66,9.35,,441.6,5653.06,459.78,8.13,,
443.1,5799.60,409.05,7.05,,443.1,5799.60,467.37,8.06,,443.1,5799.60,550.80,9.50,,443.1,5799.60,475.74,8.20,,
444.7,5941.01,429.91,7.24,,444.7,5941.01,490.73,8.26,,444.7,5941.01,570.47,9.60,,444.7,5941.01,497.04,8.37,,
446.2,6051.88,443.73,7.33,,446.2,6051.88,509.41,8.42,,446.2,6051.88,590.24,9.75,,446.2,6051.88,514.46,8.50,,
447.7,6161.82,455.66,7.39,,447.7,6161.82,529.02,8.59,,447.7,6161.82,620.50,10.07,,447.7,6161.82,535.06,8.68,,
449.2,6292.08,478.66,7.61,,449.2,6292.08,549.50,8.73,,449.2,6292.08,637.63,10.13,,449.2,6292.08,555.26,8.82,,
450.7,6396.00,497.54,7.78,,450.7,6396.00,575.74,9.00,,450.7,6396.00,655.62,10.25,,450.7,6396.00,576.30,9.01,,
452.2,6529.70,509.33,7.80,,452.2,6529.70,591.07,9.05,,452.2,6529.70,668.10,10.23,,452.2,6529.70,589.50,9.03,,
453.7,6647.26,522.25,7.86,,453.7,6647.26,605.69,9.11,,453.7,6647.26,692.11,10.41,,453.7,6647.26,606.68,9.13,,
455.2,6815.62,532.76,7.82,,455.2,6815.62,620.35,9.10,,455.2,6815.62,712.26,10.45,,455.2,6815.62,621.79,9.12,,
456.7,7013.60,554.05,7.90,,456.7,7013.60,634.30,9.04,,456.7,7013.60,740.61,10.56,,456.7,7013.60,642.99,9.17,,
458.2,7232.90,568.29,7.86,,458.2,7232.90,664.75,9.19,,458.2,7232.90,764.01,10.56,,458.2,7232.90,665.68,9.20,,
459.7,7456.75,585.20,7.85,,459.7,7456.75,685.30,9.19,,459.7,7456.75,794.50,10.65,,459.7,7456.75,688.33,9.23,,
461.2,7667.16,612.10,7.98,,461.2,7667.16,706.71,9.22,,461.2,7667.16,819.67,10.69,,461.2,7667.16,712.83,9.30,,
462.7,7858.10,624.35,7.95,,462.7,7858.10,724.59,9.22,,462.7,7858.10,844.88,10.75,,462.7,7858.10,731.27,9.31,,
464.2,8041.02,639.04,7.95,,464.2,8041.02,744.44,9.26,,464.2,8041.02,872.54,10.85,,464.2,8041.02,752.01,9.35,,
465.7,8240.35,657.88,7.98,,465.7,8240.35,762.27,9.25,,465.7,8240.35,893.69,10.85,,465.7,8240.35,771.28,9.36,,
467.2,8402.63,675.29,8.04,,467.2,8402.63,780.78,9.29,,467.2,8402.63,914.76,10.89,,467.2,8402.63,790.28,9.41,,
468.7,8584.00,686.40,8.00,,468.7,8584.00,799.20,9.31,,468.7,8584.00,947.20,11.03,,468.7,8584.00,810.93,9.45,,
470.2,8698.25,704.30,8.10,,470.2,8698.25,815.37,9.37,,470.2,8698.25,968.63,11.14,,470.2,8698.25,829.43,9.54,,
471.7,8877.75,721.05,8.12,,471.7,8877.75,840.75,9.47,,471.7,8877.75,1002.25,11.29,,471.7,8877.75,854.68,9.63,,
473.2,9159.71,760.41,8.30,,473.2,9159.71,889.63,9.71,,473.2,9159.71,1039.72,11.35,,473.2,9159.71,896.59,9.79,,
474.6,9386.40,794.58,8.47,,474.6,9386.40,922.95,9.83,,474.6,9386.40,1046.63,11.15,,474.6,9386.40,921.39,9.82,,
476.1,9450.96,795.42,8.42,,476.1,9450.96,929.41,9.83,,476.1,9450.96,1052.37,11.14,,476.1,9450.96,925.73,9.80,,
477.6,9499.75,798.66,8.41,,477.6,9499.75,928.64,9.78,,477.6,9499.75,1060.18,11.16,,477.6,9499.75,929.16,9.78,,
479.1,9557.87,796.30,8.33,,479.1,9557.87,933.00,9.76,,479.1,9557.87,1074.19,11.24,,479.1,9557.87,934.50,9.78,,
