name= \My Documents\HR1024_Data\CF1.,,,,,name= \My Documents\HR1024_Data\CF2.,,,,,name= \My Documents\HR1024_Data\CF3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  1000  60  30,,,,,integration= 200  60  30  1000  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.31  8.94  -5.30  42.01  8.88  -5.24,,,,,temp= 33.31  8.94  -5.30  42.09  8.94  -5.24,,,,,temp= 33.31  8.94  -5.30  42.33  8.88  -5.24,,,,,
battery= 7.5  7.0,,,,,battery= 7.5  6.9,,,,,battery= 7.5  6.9,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 1:10:44 PM  1/1/08 1:33:42 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:34:19 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:34:51 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: CF1:CF2:CF3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,67.52,13.25,,346.4,509.60,84.72,16.63,,346.4,509.60,115.93,22.75,,346.4,509.60,89.39,17.54,,
347.9,536.51,66.52,12.40,,347.9,536.51,84.71,15.79,,347.9,536.51,112.95,21.05,,347.9,536.51,88.06,16.41,,
349.5,577.20,64.27,11.14,,349.5,577.20,86.74,15.03,,349.5,577.20,116.06,20.11,,349.5,577.20,89.02,15.42,,
351.1,620.88,70.51,11.36,,351.1,620.88,87.98,14.17,,351.1,620.88,112.32,18.09,,351.1,620.88,90.27,14.54,,
352.6,679.94,67.68,9.95,,352.6,679.94,84.12,12.37,,352.6,679.94,107.53,15.81,,352.6,679.94,86.44,12.71,,
354.2,723.22,72.00,9.95,,354.2,723.22,88.36,12.22,,354.2,723.22,121.74,16.83,,354.2,723.22,94.03,13.00,,
355.7,777.89,73.41,9.44,,355.7,777.89,94.96,12.21,,355.7,777.89,123.92,15.93,,355.7,777.89,97.43,12.52,,
357.3,842.60,76.29,9.05,,357.3,842.60,97.78,11.60,,357.3,842.60,135.93,16.13,,357.3,842.60,103.33,12.26,,
358.8,838.80,78.99,9.42,,358.8,838.80,97.16,11.58,,358.8,838.80,127.22,15.17,,358.8,838.80,101.12,12.06,,
360.4,904.00,82.31,9.11,,360.4,904.00,97.08,10.74,,360.4,904.00,133.67,14.79,,360.4,904.00,104.35,11.54,,
361.9,943.76,82.19,8.71,,361.9,943.76,98.21,10.41,,361.9,943.76,144.87,15.35,,361.9,943.76,108.42,11.49,,
363.5,997.20,84.49,8.47,,363.5,997.20,101.11,10.14,,363.5,997.20,135.73,13.61,,363.5,997.20,107.11,10.74,,
365.1,1040.25,81.14,7.80,,365.1,1040.25,101.25,9.73,,365.1,1040.25,144.25,13.87,,365.1,1040.25,108.88,10.47,,
366.6,1087.54,83.55,7.68,,366.6,1087.54,98.74,9.08,,366.6,1087.54,138.10,12.70,,366.6,1087.54,106.80,9.82,,
368.2,1161.70,86.62,7.46,,368.2,1161.70,102.74,8.84,,368.2,1161.70,145.04,12.49,,368.2,1161.70,111.47,9.60,,
369.7,1204.79,85.54,7.10,,369.7,1204.79,101.87,8.46,,369.7,1204.79,133.21,11.06,,369.7,1204.79,106.87,8.87,,
371.3,1287.37,81.00,6.29,,371.3,1287.37,101.41,7.88,,371.3,1287.37,143.55,11.15,,371.3,1287.37,108.65,8.44,,
372.8,1354.56,86.32,6.37,,372.8,1354.56,104.25,7.70,,372.8,1354.56,151.39,11.18,,372.8,1354.56,113.99,8.42,,
374.4,1435.13,88.78,6.19,,374.4,1435.13,106.13,7.40,,374.4,1435.13,146.85,10.23,,374.4,1435.13,113.92,7.94,,
375.9,1463.02,88.71,6.06,,375.9,1463.02,105.92,7.24,,375.9,1463.02,152.26,10.41,,375.9,1463.02,115.63,7.90,,
377.4,1512.41,88.47,5.85,,377.4,1512.41,103.43,6.84,,377.4,1512.41,144.41,9.55,,377.4,1512.41,112.10,7.41,,
