name= \My Documents\HR1024_Data\EXF1.,,,,,name= \My Documents\HR1024_Data\EXF2.,,,,,name= \My Documents\HR1024_Data\EXF3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.31  8.94  -5.30  38.14  8.88  -5.24,,,,,temp= 33.31  8.94  -5.30  38.62  8.94  -5.30,,,,,temp= 33.31  8.94  -5.30  39.11  8.88  -5.37,,,,,
battery= 7.5  7.2,,,,,battery= 7.5  7.2,,,,,battery= 7.5  7.1,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 1:10:44 PM  1/1/08 1:18:46 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:19:55 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:20:57 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: EXF1:EXF2:EXF3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,81.54,16.00,,346.4,509.60,100.65,19.75,,346.4,509.60,124.85,24.50,,346.4,509.60,102.35,20.08,,
347.9,536.51,81.58,15.20,,347.9,536.51,95.38,17.78,,347.9,536.51,134.29,25.03,,347.9,536.51,103.75,19.34,,
349.5,577.20,81.12,14.05,,349.5,577.20,87.36,15.14,,349.5,577.20,136.03,23.57,,349.5,577.20,101.50,17.59,,
351.1,620.88,77.38,12.46,,351.1,620.88,93.60,15.08,,351.1,620.88,131.04,21.11,,351.1,620.88,100.67,16.21,,
352.6,679.94,82.23,12.09,,352.6,679.94,96.14,14.14,,352.6,679.94,148.01,21.77,,352.6,679.94,108.79,16.00,,
354.2,723.22,92.94,12.85,,354.2,723.22,104.72,14.48,,354.2,723.22,146.61,20.27,,354.2,723.22,114.76,15.87,,
355.7,777.89,91.60,11.77,,355.7,777.89,103.72,13.33,,355.7,777.89,154.91,19.91,,355.7,777.89,116.74,15.01,,
357.3,842.60,99.86,11.85,,357.3,842.60,101.25,12.02,,357.3,842.60,163.67,19.42,,357.3,842.60,121.59,14.43,,
358.8,838.80,89.47,10.67,,358.8,838.80,102.05,12.17,,358.8,838.80,163.57,19.50,,358.8,838.80,118.36,14.11,,
360.4,904.00,112.56,12.45,,360.4,904.00,113.97,12.61,,360.4,904.00,173.06,19.14,,360.4,904.00,133.20,14.73,,
361.9,943.76,101.69,10.77,,361.9,943.76,118.41,12.55,,361.9,943.76,165.77,17.56,,361.9,943.76,128.62,13.63,,
363.5,997.20,106.65,10.69,,363.5,997.20,123.27,12.36,,363.5,997.20,167.59,16.81,,363.5,997.20,132.50,13.29,,
365.1,1040.25,106.80,10.27,,365.1,1040.25,122.06,11.73,,365.1,1040.25,171.99,16.53,,365.1,1040.25,133.62,12.84,,
366.6,1087.54,104.96,9.65,,366.6,1087.54,114.62,10.54,,366.6,1087.54,174.01,16.00,,366.6,1087.54,131.20,12.06,,
368.2,1161.70,111.47,9.60,,368.2,1161.70,118.18,10.17,,368.2,1161.70,175.93,15.14,,368.2,1161.70,135.19,11.64,,
369.7,1204.79,114.93,9.54,,369.7,1204.79,120.15,9.97,,369.7,1204.79,186.76,15.50,,369.7,1204.79,140.61,11.67,,
371.3,1287.37,115.90,9.00,,371.3,1287.37,135.65,10.54,,371.3,1287.37,189.65,14.73,,371.3,1287.37,147.07,11.42,,
372.8,1354.56,120.85,8.92,,372.8,1354.56,132.80,9.80,,372.8,1354.56,184.59,13.63,,372.8,1354.56,146.08,10.78,,
374.4,1435.13,112.14,7.81,,374.4,1435.13,133.50,9.30,,374.4,1435.13,196.25,13.67,,374.4,1435.13,147.30,10.26,,
375.9,1463.02,112.54,7.69,,375.9,1463.02,135.05,9.23,,375.9,1463.02,194.63,13.30,,375.9,1463.02,147.41,10.08,,
377.4,1512.41,122.29,8.09,,377.4,1512.41,143.11,9.46,,377.4,1512.41,204.26,13.51,,377.4,1512.41,156.55,10.35,,
379.0,1578.52,119.66,7.58,,379.0,1578.52,146.40,9.27,,379.0,1578.52,199.86,12.66,,379.0,1578.52,155.31,9.84,,
380.5,1618.77,128.02,7.91,,380.5,1618.77,139.10,8.59,,380.5,1618.77,195.73,12.09,,380.5,1618.77,154.28,9.53,,
382.1,1669.58,115.84,6.94,,382.1,1669.58,148.93,8.92,,382.1,1669.58,198.58,11.89,,382.1,1669.58,154.45,9.25,,
383.6,1726.52,124.74,7.22,,383.6,1726.52,147.42,8.54,,383.6,1726.52,196.18,11.36,,383.6,1726.52,156.11,9.04,,
385.2,1809.50,134.20,7.42,,385.2,1809.50,150.70,8.33,,385.2,1809.50,206.80,11.43,,385.2,1809.50,163.90,9.06,,
386.7,1900.67,127.79,6.72,,386.7,1900.67,152.70,8.03,,386.7,1900.67,201.44,10.60,,386.7,1900.67,160.64,8.45,,
388.3,1991.93,141.31,7.09,,388.3,1991.93,154.35,7.75,,388.3,1991.93,213.05,10.70,,388.3,1991.93,169.57,8.51,,
389.8,2077.97,128.47,6.18,,389.8,2077.97,162.50,7.82,,389.8,2077.97,220.70,10.62,,389.8,2077.97,170.56,8.21,,
391.3,2163.95,149.28,6.90,,391.3,2163.95,170.44,7.88,,391.3,2163.95,227.26,10.50,,391.3,2163.95,182.33,8.43,,
392.9,2236.17,151.35,6.77,,392.9,2236.17,178.67,7.99,,392.9,2236.17,237.84,10.64,,392.9,2236.17,189.29,8.46,,
394.4,2293.88,154.31,6.73,,394.4,2293.88,179.24,7.81,,394.4,2293.88,243.34,10.61,,394.4,2293.88,192.30,8.38,,
395.9,2364.42,165.79,7.01,,395.9,2364.42,198.45,8.39,,395.9,2364.42,256.22,10.84,,395.9,2364.42,206.82,8.75,,
397.5,2493.56,161.50,6.48,,397.5,2493.56,208.01,8.34,,397.5,2493.56,268.74,10.78,,397.5,2493.56,212.75,8.53,,
399.0,2617.23,168.10,6.42,,399.0,2617.23,205.18,7.84,,399.0,2617.23,265.74,10.15,,399.0,2617.23,213.01,8.14,,
400.6,2691.33,175.46,6.52,,400.6,2691.33,203.76,7.57,,400.6,2691.33,275.08,10.22,,400.6,2691.33,218.10,8.10,,
402.1,2739.96,168.22,6.14,,402.1,2739.96,200.21,7.31,,402.1,2739.96,260.06,9.49,,402.1,2739.96,209.50,7.65,,
403.6,2797.88,170.70,6.10,,403.6,2797.88,208.10,7.44,,403.6,2797.88,259.89,9.29,,403.6,2797.88,212.90,7.61,,
405.1,2865.39,170.00,5.93,,405.1,2865.39,202.91,7.08,,405.1,2865.39,265.06,9.25,,405.1,2865.39,212.66,7.42,,
406.7,2979.20,177.41,5.95,,406.7,2979.20,206.08,6.92,,406.7,2979.20,276.86,9.29,,406.7,2979.20,220.12,7.39,,
408.2,3089.54,185.33,6.00,,408.2,3089.54,220.08,7.12,,408.2,3089.54,281.56,9.11,,408.2,3089.54,228.99,7.41,,
409.7,3183.04,193.54,6.08,,409.7,3183.04,233.86,7.35,,409.7,3183.04,298.37,9.37,,409.7,3183.04,241.92,7.60,,
411.3,3295.62,199.21,6.04,,411.3,3295.62,238.68,7.24,,411.3,3295.62,310.28,9.42,,411.3,3295.62,249.39,7.57,,
412.8,3391.47,204.77,6.04,,412.8,3391.47,244.58,7.21,,412.8,3391.47,321.37,9.48,,412.8,3391.47,256.91,7.58,,
414.3,3507.27,211.46,6.03,,414.3,3507.27,259.44,7.40,,414.3,3507.27,330.90,9.43,,414.3,3507.27,267.27,7.62,,
415.8,3622.50,221.00,6.10,,415.8,3622.50,269.00,7.43,,415.8,3622.50,343.00,9.47,,415.8,3622.50,277.67,7.67,,
417.4,3739.34,230.74,6.17,,417.4,3739.34,282.35,7.55,,417.4,3739.34,359.26,9.61,,417.4,3739.34,290.78,7.78,,
418.9,3830.42,237.82,6.21,,418.9,3830.42,281.34,7.34,,418.9,3830.42,354.20,9.25,,418.9,3830.42,291.12,7.60,,
420.4,3913.23,246.26,6.29,,420.4,3913.23,288.13,7.36,,420.4,3913.23,370.88,9.48,,420.4,3913.23,301.76,7.71,,
421.9,3978.48,245.87,6.18,,421.9,3978.48,294.27,7.40,,421.9,3978.48,377.52,9.49,,421.9,3978.48,305.89,7.69,,
423.5,4044.22,241.91,5.98,,423.5,4044.22,303.55,7.51,,423.5,4044.22,378.27,9.35,,423.5,4044.22,307.91,7.61,,
425.0,4110.68,256.22,6.23,,425.0,4110.68,312.85,7.61,,425.0,4110.68,383.87,9.34,,425.0,4110.68,317.65,7.73,,
426.5,4198.95,255.42,6.08,,426.5,4198.95,311.32,7.41,,426.5,4198.95,389.58,9.28,,426.5,4198.95,318.77,7.59,,
428.0,4314.36,260.26,6.03,,428.0,4314.36,320.19,7.42,,428.0,4314.36,403.93,9.36,,428.0,4314.36,328.13,7.61,,
429.5,4445.73,267.02,6.01,,429.5,4445.73,329.43,7.41,,429.5,4445.73,406.06,9.13,,429.5,4445.73,334.17,7.52,,
