name= \My Documents\HR1024_Data\EXB4.,,,,,name= \My Documents\HR1024_Data\EXB5.,,,,,name= \My Documents\HR1024_Data\EXB6.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.31  8.94  -5.30  43.86  8.94  -5.24,,,,,temp= 33.31  8.94  -5.30  43.86  8.94  -5.24,,,,,temp= 33.31  8.94  -5.30  44.18  8.94  -5.24,,,,,
battery= 7.5  6.8,,,,,battery= 7.5  6.7,,,,,battery= 7.5  6.7,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 1:10:44 PM  1/1/08 1:43:13 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:44:06 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 1:44:40 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: EXB4:EXB5:EXB6
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,112.11,22.00,,346.4,509.60,107.02,21.00,,346.4,509.60,122.30,24.00,,346.4,509.60,113.81,22.33,,
347.9,536.51,112.95,21.05,,347.9,536.51,131.78,24.56,,347.9,536.51,117.97,21.99,,347.9,536.51,120.90,22.53,,
349.5,577.20,124.80,21.62,,349.5,577.20,116.06,20.11,,349.5,577.20,126.05,21.84,,349.5,577.20,122.30,21.19,,
351.1,620.88,117.31,18.89,,351.1,620.88,126.05,20.30,,351.1,620.88,124.80,20.10,,351.1,620.88,122.72,19.77,,
352.6,679.94,129.03,18.98,,352.6,679.94,115.12,16.93,,352.6,679.94,130.30,19.16,,352.6,679.94,124.82,18.36,,
354.2,723.22,125.66,17.38,,354.2,723.22,128.28,17.74,,354.2,723.22,134.83,18.64,,354.2,723.22,129.59,17.92,,
355.7,777.89,133.35,17.14,,355.7,777.89,148.17,19.05,,355.7,777.89,140.09,18.01,,355.7,777.89,140.54,18.07,,
357.3,842.60,142.86,16.95,,357.3,842.60,147.02,17.45,,357.3,842.60,152.57,18.11,,357.3,842.60,147.48,17.50,,
358.8,838.80,148.19,17.67,,358.8,838.80,143.99,17.17,,358.8,838.80,146.79,17.50,,358.8,838.80,146.32,17.44,,
360.4,904.00,156.18,17.28,,360.4,904.00,146.33,16.19,,360.4,904.00,149.14,16.50,,360.4,904.00,150.55,16.65,,
361.9,943.76,157.41,16.68,,361.9,943.76,156.02,16.53,,361.9,943.76,156.02,16.53,,361.9,943.76,156.48,16.58,,
363.5,997.20,153.74,15.42,,363.5,997.20,156.51,15.69,,363.5,997.20,155.12,15.56,,363.5,997.20,155.12,15.56,,
365.1,1040.25,151.18,14.53,,365.1,1040.25,152.57,14.67,,365.1,1040.25,166.44,16.00,,365.1,1040.25,156.73,15.07,,
366.6,1087.54,156.05,14.35,,366.6,1087.54,164.34,15.11,,366.6,1087.54,167.10,15.37,,366.6,1087.54,162.50,14.94,,
368.2,1161.70,161.16,13.87,,368.2,1161.70,155.79,13.41,,368.2,1161.70,162.50,13.99,,368.2,1161.70,159.82,13.76,,
369.7,1204.79,156.72,13.01,,369.7,1204.79,169.78,14.09,,369.7,1204.79,160.64,13.33,,369.7,1204.79,162.38,13.48,,
371.3,1287.37,164.63,12.79,,371.3,1287.37,167.26,12.99,,371.3,1287.37,159.36,12.38,,371.3,1287.37,163.75,12.72,,
372.8,1354.56,162.02,11.96,,372.8,1354.56,173.97,12.84,,372.8,1354.56,169.98,12.55,,372.8,1354.56,168.66,12.45,,
374.4,1435.13,174.89,12.19,,374.4,1435.13,170.88,11.91,,374.4,1435.13,178.89,12.47,,374.4,1435.13,174.89,12.19,,
375.9,1463.02,177.42,12.13,,375.9,1463.02,178.74,12.22,,375.9,1463.02,185.36,12.67,,375.9,1463.02,180.51,12.34,,
377.4,1512.41,184.74,12.22,,377.4,1512.41,173.03,11.44,,377.4,1512.41,178.24,11.78,,377.4,1512.41,178.67,11.81,,
