name= \My Documents\HR1024_Data\RT1.,,,,,name= \My Documents\HR1024_Data\RT2.,,,,,name= \My Documents\HR1024_Data\RT3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  1000  60  30,,,,,integration= 200  60  30  1000  60  30,,,,,integration= 200  60  30  1000  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.31  8.94  -5.30  47.97  9.01  -5.10,,,,,temp= 33.31  8.94  -5.30  48.05  9.01  -5.03,,,,,temp= 33.31  8.94  -5.30  48.05  8.94  -4.97,,,,,
battery= 7.5  6.3,,,,,battery= 7.5  6.4,,,,,battery= 7.5  6.5,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 1:10:44 PM  1/1/08 2:11:52 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 2:12:47 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 2:13:17 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: RT1:RT2:RT3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,101.92,20.00,,346.4,509.60,77.71,15.25,,346.4,509.60,89.18,17.50,,346.4,509.60,89.60,17.58,,
347.9,549.06,99.15,18.06,,347.9,549.06,72.79,13.26,,347.9,549.06,90.99,16.57,,347.9,549.06,87.64,15.96,,
349.5,608.40,104.83,17.23,,349.5,608.40,82.99,13.64,,349.5,608.40,94.85,15.59,,349.5,608.40,94.22,15.49,,
351.1,655.20,108.58,16.57,,351.1,655.20,89.23,13.62,,351.1,655.20,99.84,15.24,,351.1,655.20,99.22,15.14,,
352.6,708.40,113.85,16.07,,352.6,708.40,89.82,12.68,,352.6,708.40,106.26,15.00,,352.6,708.40,103.31,14.58,,
354.2,752.68,119.12,15.83,,354.2,752.68,94.25,12.52,,354.2,752.68,104.72,13.91,,354.2,752.68,106.03,14.09,,
355.7,818.30,126.62,15.47,,355.7,818.30,103.72,12.67,,355.7,818.30,121.23,14.81,,355.7,818.30,117.19,14.32,,
357.3,873.81,134.54,15.40,,357.3,873.81,108.88,12.46,,357.3,873.81,124.83,14.29,,357.3,873.81,122.75,14.05,,
358.8,891.23,130.71,14.67,,358.8,891.23,114.64,12.86,,358.8,891.23,127.22,14.27,,358.8,891.23,124.19,13.93,,
360.4,967.31,145.62,15.05,,360.4,967.31,121.71,12.58,,360.4,967.31,134.37,13.89,,360.4,967.31,133.90,13.84,,
361.9,1009.93,140.00,13.86,,361.9,1009.93,128.16,12.69,,361.9,1009.93,144.18,14.28,,361.9,1009.93,137.45,13.61,,
363.5,1059.53,145.43,13.73,,363.5,1059.53,126.04,11.90,,363.5,1059.53,141.96,13.40,,363.5,1059.53,137.81,13.01,,
365.1,1102.67,152.57,13.84,,365.1,1102.67,129.68,11.76,,365.1,1102.67,148.41,13.46,,365.1,1102.67,143.55,13.02,,
366.6,1156.59,157.43,13.61,,366.6,1156.59,138.10,11.94,,366.6,1156.59,150.53,13.01,,366.6,1156.59,148.69,12.86,,
368.2,1218.77,164.52,13.50,,368.2,1218.77,144.37,11.85,,368.2,1218.77,157.80,12.95,,368.2,1218.77,155.56,12.76,,
369.7,1306.00,169.13,12.95,,369.7,1306.00,148.23,11.35,,369.7,1306.00,164.56,12.60,,369.7,1306.00,160.64,12.30,,
371.3,1379.56,176.48,12.79,,371.3,1379.56,166.60,12.08,,371.3,1379.56,175.16,12.70,,371.3,1379.56,172.75,12.52,,
372.8,1457.48,185.26,12.71,,372.8,1457.48,171.31,11.75,,372.8,1457.48,184.59,12.67,,372.8,1457.48,180.39,12.38,,
374.4,1528.58,193.58,12.66,,374.4,1528.58,179.56,11.75,,374.4,1528.58,193.58,12.66,,374.4,1528.58,188.91,12.36,,
375.9,1575.56,201.91,12.82,,375.9,1575.56,183.37,11.64,,375.9,1575.56,205.22,13.03,,375.9,1575.56,196.83,12.49,,
377.4,1632.76,208.16,12.75,,377.4,1632.76,190.60,11.67,,377.4,1632.76,209.46,12.83,,377.4,1632.76,202.74,12.42,,
379.0,1683.54,211.95,12.59,,379.0,1683.54,199.22,11.83,,379.0,1683.54,215.77,12.82,,379.0,1683.54,208.98,12.41,,
380.5,1741.87,222.20,12.76,,380.5,1741.87,207.42,11.91,,380.5,1741.87,228.35,13.11,,380.5,1741.87,219.32,12.59,,
382.1,1805.51,227.54,12.60,,382.1,1805.51,213.35,11.82,,382.1,1805.51,234.04,12.96,,382.1,1805.51,224.98,12.46,,
383.6,1862.60,235.31,12.63,,383.6,1862.60,220.56,11.84,,383.6,1862.60,247.21,13.27,,383.6,1862.60,234.36,12.58,,
385.2,1949.75,244.75,12.55,,385.2,1949.75,231.55,11.88,,385.2,1949.75,254.10,13.03,,385.2,1949.75,243.47,12.49,,
386.7,2036.04,255.05,12.53,,386.7,2036.04,242.05,11.89,,386.7,2036.04,274.00,13.46,,386.7,2036.04,257.03,12.62,,
388.3,2135.96,271.21,12.70,,388.3,2135.96,259.25,12.14,,388.3,2135.96,289.14,13.54,,388.3,2135.96,273.20,12.79,,
389.8,2212.47,283.28,12.80,,389.8,2212.47,273.40,12.36,,389.8,2212.47,303.05,13.70,,389.8,2212.47,286.58,12.95,,
391.3,2314.34,294.65,12.73,,391.3,2314.34,289.08,12.49,,391.3,2314.34,319.72,13.81,,391.3,2314.34,301.15,13.01,,
392.9,2392.65,307.26,12.84,,392.9,2392.65,302.71,12.65,,392.9,2392.65,338.56,14.15,,392.9,2392.65,316.18,13.21,,
394.4,2474.90,315.15,12.73,,394.4,2474.90,321.08,12.97,,394.4,2474.90,354.32,14.32,,394.4,2474.90,330.18,13.34,,
395.9,2552.82,332.84,13.04,,395.9,2552.82,341.00,13.36,,395.9,2552.82,376.17,14.74,,395.9,2552.82,350.00,13.71,,
397.5,2664.75,363.05,13.62,,397.5,2664.75,357.88,13.43,,397.5,2664.75,397.94,14.93,,397.5,2664.75,372.96,14.00,,
399.0,2774.82,388.72,14.01,,399.0,2774.82,368.33,13.27,,399.0,2774.82,413.44,14.90,,399.0,2774.82,390.16,14.06,,
400.6,2852.64,390.54,13.69,,400.6,2852.64,375.26,13.15,,400.6,2852.64,418.27,14.66,,400.6,2852.64,394.69,13.84,,
402.1,2910.24,391.64,13.46,,402.1,2910.24,383.90,13.19,,402.1,2910.24,429.31,14.75,,402.1,2910.24,401.62,13.80,,
403.6,2965.71,393.19,13.26,,403.6,2965.71,389.83,13.14,,403.6,2965.71,434.43,14.65,,403.6,2965.71,405.82,13.68,,
405.1,3036.77,406.27,13.38,,405.1,3036.77,403.99,13.30,,405.1,3036.77,451.52,14.87,,405.1,3036.77,420.59,13.85,,
406.7,3133.76,421.12,13.44,,406.7,3133.76,424.26,13.54,,406.7,3133.76,473.09,15.10,,406.7,3133.76,439.49,14.02,,
408.2,3234.33,434.81,13.44,,408.2,3234.33,442.83,13.69,,408.2,3234.33,497.62,15.39,,408.2,3234.33,458.42,14.17,,
409.7,3330.88,448.45,13.46,,409.7,3330.88,464.13,13.93,,409.7,3330.88,517.89,15.55,,409.7,3330.88,476.82,14.32,,
411.3,3437.91,464.51,13.51,,411.3,3437.91,484.70,14.10,,411.3,3437.91,540.70,15.73,,411.3,3437.91,496.64,14.45,,
412.8,3528.93,481.11,13.63,,412.8,3528.93,504.81,14.30,,412.8,3528.93,560.27,15.88,,412.8,3528.93,515.40,14.60,,
414.3,3634.54,504.67,13.89,,414.3,3634.54,524.74,14.44,,414.3,3634.54,582.02,16.01,,414.3,3634.54,537.14,14.78,,
415.8,3740.00,525.00,14.04,,415.8,3740.00,545.00,14.57,,415.8,3740.00,605.50,16.19,,415.8,3740.00,558.50,14.93,,
417.4,3868.37,543.44,14.05,,417.4,3868.37,567.23,14.66,,417.4,3868.37,628.96,16.26,,417.4,3868.37,579.88,14.99,,
418.9,3954.39,561.66,14.20,,418.9,3954.39,581.90,14.72,,418.9,3954.39,648.19,16.39,,418.9,3954.39,597.25,15.10,,
420.4,4037.85,576.27,14.27,,420.4,4037.85,594.71,14.73,,420.4,4037.85,663.01,16.42,,420.4,4037.85,611.33,15.14,,
421.9,4106.74,591.93,14.41,,421.9,4106.74,609.36,14.84,,421.9,4106.74,680.02,16.56,,421.9,4106.74,627.10,15.27,,
423.5,4196.00,604.77,14.41,,423.5,4196.00,621.11,14.80,,423.5,4196.00,693.96,16.54,,423.5,4196.00,639.95,15.25,,
425.0,4263.51,615.82,14.44,,425.0,4263.51,633.35,14.86,,425.0,4263.51,708.41,16.62,,425.0,4263.51,652.53,15.30,,
426.5,4364.50,628.23,14.39,,426.5,4364.50,647.58,14.84,,426.5,4364.50,723.69,16.58,,426.5,4364.50,666.50,15.27,,
428.0,4488.82,651.87,14.52,,428.0,4488.82,668.29,14.89,,428.0,4488.82,745.47,16.61,,428.0,4488.82,688.54,15.34,,
429.5,4615.58,668.74,14.49,,429.5,4615.58,691.65,14.99,,429.5,4615.58,775.78,16.81,,429.5,4615.58,712.06,15.43,,
431.1,4756.23,691.57,14.54,,431.1,4756.23,722.92,15.20,,431.1,4756.23,807.28,16.97,,431.1,4756.23,740.59,15.57,,
