name= \My Documents\HR1024_Data\RTB1.,,,,,name= \My Documents\HR1024_Data\RTB2.,,,,,name= \My Documents\HR1024_Data\RTB3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  1000  60  30,,,,,integration= 200  60  30  1000  60  30,,,,,integration= 200  60  30  1000  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.31  8.94  -5.30  48.29  8.94  -5.10,,,,,temp= 33.31  8.94  -5.30  48.37  8.88  -5.03,,,,,temp= 33.31  8.94  -5.30  48.37  8.94  -4.97,,,,,
battery= 7.5  6.4,,,,,battery= 7.5  6.4,,,,,battery= 7.5  6.4,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/1/08 1:10:44 PM  1/1/08 2:14:11 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 2:15:09 PM,,,,,time= 1/1/08 1:10:44 PM  1/1/08 2:15:35 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: RTB1:RTB2:RTB3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,54.78,10.75,,346.4,509.60,53.51,10.50,,346.4,509.60,63.06,12.38,,346.4,509.60,57.12,11.21,,
347.9,549.06,58.99,10.74,,347.9,549.06,56.48,10.29,,347.9,549.06,59.61,10.86,,347.9,549.06,58.36,10.63,,
349.5,608.40,58.03,9.54,,349.5,608.40,59.90,9.85,,349.5,608.40,62.40,10.26,,349.5,608.40,60.11,9.88,,
351.1,655.20,58.03,8.86,,351.1,655.20,59.28,9.05,,351.1,655.20,73.01,11.14,,351.1,655.20,63.44,9.68,,
352.6,708.40,64.52,9.11,,352.6,708.40,63.88,9.02,,352.6,708.40,72.11,10.18,,352.6,708.40,66.84,9.43,,
354.2,752.68,65.45,8.70,,354.2,752.68,65.45,8.70,,354.2,752.68,75.27,10.00,,354.2,752.68,68.72,9.13,,
355.7,818.30,71.39,8.72,,355.7,818.30,74.76,9.14,,355.7,818.30,78.13,9.55,,355.7,818.30,74.76,9.14,,
357.3,873.81,74.90,8.57,,357.3,873.81,76.98,8.81,,357.3,873.81,83.22,9.52,,357.3,873.81,78.37,8.97,,
358.8,891.23,75.49,8.47,,358.8,891.23,74.09,8.31,,358.8,891.23,85.28,9.57,,358.8,891.23,78.29,8.78,,
360.4,967.31,80.20,8.29,,360.4,967.31,82.31,8.51,,360.4,967.31,91.46,9.45,,360.4,967.31,84.66,8.75,,
361.9,1009.93,82.19,8.14,,361.9,1009.93,84.28,8.34,,361.9,1009.93,89.15,8.83,,361.9,1009.93,85.21,8.44,,
363.5,1059.53,84.49,7.97,,363.5,1059.53,83.10,7.84,,363.5,1059.53,92.10,8.69,,363.5,1059.53,86.56,8.17,,
365.1,1102.67,83.91,7.61,,365.1,1102.67,84.61,7.67,,365.1,1102.67,92.24,8.36,,365.1,1102.67,86.92,7.88,,
366.6,1156.59,92.53,8.00,,366.6,1156.59,89.77,7.76,,366.6,1156.59,102.19,8.84,,366.6,1156.59,94.83,8.20,,
368.2,1218.77,96.70,7.93,,368.2,1218.77,87.97,7.22,,368.2,1218.77,104.75,8.60,,368.2,1218.77,96.47,7.92,,
369.7,1306.00,97.30,7.45,,369.7,1306.00,90.77,6.95,,369.7,1306.00,107.75,8.25,,369.7,1306.00,98.61,7.55,,
371.3,1379.56,105.36,7.64,,371.3,1379.56,100.75,7.30,,371.3,1379.56,108.65,7.88,,371.3,1379.56,104.92,7.61,,
372.8,1457.48,110.22,7.56,,372.8,1457.48,106.24,7.29,,372.8,1457.48,123.50,8.47,,372.8,1457.48,113.32,7.78,,
374.4,1528.58,115.48,7.55,,374.4,1528.58,108.14,7.07,,374.4,1528.58,120.15,7.86,,374.4,1528.58,114.59,7.50,,
375.9,1575.56,115.85,7.35,,375.9,1575.56,119.82,7.61,,375.9,1575.56,121.15,7.69,,375.9,1575.56,118.94,7.55,,
377.4,1632.76,121.64,7.45,,377.4,1632.76,118.39,7.25,,377.4,1632.76,123.60,7.57,,377.4,1632.76,121.21,7.42,,
