name= \My Documents\HR1024_Data\GD6B1.,,,,,name= \My Documents\HR1024_Data\GD6B2.,,,,,name= \My Documents\HR1024_Data\GD6B3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 400  60  30  1000  60  30,,,,,integration= 400  60  30  1000  60  30,,,,,integration= 400  60  30  1000  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.98  8.94  -5.37  38.06  8.88  -5.37,,,,,temp= 32.98  8.94  -5.37  38.06  8.88  -5.37,,,,,temp= 32.98  8.94  -5.37  38.06  8.88  -5.37,,,,,
battery= 7.1  7.0,,,,,battery= 7.1  7.0,,,,,battery= 7.1  7.0,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 4/7/08 10:35:00 AM  4/7/08 10:46:05 AM,,,,,time= 4/7/08 10:35:00 AM  4/7/08 10:46:34 AM,,,,,time= 4/7/08 10:35:00 AM  4/7/08 10:46:57 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GD6B1:GD6B2:GD6B3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,350.35,66.25,18.91,,346.4,350.35,64.34,18.36,,346.4,350.35,70.07,20.00,,346.4,350.35,66.89,19.09,,
347.9,381.21,65.26,17.12,,347.9,381.21,65.89,17.28,,347.9,381.21,69.65,18.27,,347.9,381.21,66.93,17.56,,
349.5,410.28,69.26,16.88,,349.5,410.28,64.90,15.82,,349.5,410.28,68.64,16.73,,349.5,410.28,67.60,16.48,,
351.1,433.68,69.89,16.12,,351.1,433.68,69.89,16.12,,351.1,433.68,70.51,16.26,,351.1,433.68,70.10,16.16,,
352.6,475.96,72.11,15.15,,352.6,475.96,69.58,14.62,,352.6,475.96,70.84,14.88,,352.6,475.96,70.84,14.88,,
354.2,499.06,77.89,15.61,,354.2,499.06,77.89,15.61,,354.2,499.06,78.54,15.74,,354.2,499.06,78.11,15.65,,
355.7,540.48,77.45,14.33,,355.7,540.48,84.19,15.58,,355.7,540.48,83.51,15.45,,355.7,540.48,81.72,15.12,,
357.3,582.54,87.38,15.00,,357.3,582.54,86.69,14.88,,357.3,582.54,83.91,14.40,,357.3,582.54,85.99,14.76,,
358.8,588.91,88.07,14.96,,358.8,588.91,84.58,14.36,,358.8,588.91,88.77,15.07,,358.8,588.91,87.14,14.80,,
360.4,636.67,87.94,13.81,,360.4,636.67,88.64,13.92,,360.4,636.67,88.64,13.92,,360.4,636.67,88.41,13.89,,
361.9,668.64,92.63,13.85,,361.9,668.64,92.63,13.85,,361.9,668.64,93.33,13.96,,361.9,668.64,92.86,13.89,,
363.5,692.50,97.64,14.10,,363.5,692.50,94.87,13.70,,363.5,692.50,98.34,14.20,,363.5,692.50,96.95,14.00,,
365.1,712.57,96.40,13.53,,365.1,712.57,94.32,13.24,,365.1,712.57,92.93,13.04,,365.1,712.57,94.55,13.27,,
366.6,747.47,100.12,13.39,,366.6,747.47,100.12,13.39,,366.6,747.47,97.36,13.03,,366.6,747.47,99.20,13.27,,
368.2,792.37,100.73,12.71,,368.2,792.37,104.08,13.14,,368.2,792.37,101.40,12.80,,368.2,792.37,102.07,12.88,,
369.7,840.74,99.26,11.81,,369.7,840.74,100.56,11.96,,369.7,840.74,101.22,12.04,,369.7,840.74,100.35,11.94,,
371.3,898.85,106.68,11.87,,371.3,898.85,110.63,12.31,,371.3,898.85,109.31,12.16,,371.3,898.85,108.87,12.11,,
372.8,941.22,110.89,11.78,,372.8,941.22,110.22,11.71,,372.8,941.22,118.86,12.63,,372.8,941.22,113.32,12.04,,
374.4,986.23,116.81,11.84,,374.4,986.23,112.81,11.44,,374.4,986.23,114.14,11.57,,374.4,986.23,114.59,11.62,,
375.9,1017.83,113.86,11.19,,375.9,1017.83,115.19,11.32,,375.9,1017.83,119.16,11.71,,375.9,1017.83,116.07,11.40,,
377.4,1052.18,117.09,11.13,,377.4,1052.18,120.34,11.44,,377.4,1052.18,124.90,11.87,,377.4,1052.18,120.78,11.48,,
379.0,1086.82,119.03,10.95,,379.0,1086.82,126.66,11.65,,379.0,1086.82,120.94,11.13,,379.0,1086.82,122.21,11.24,,
380.5,1123.29,123.72,11.01,,380.5,1123.29,126.79,11.29,,380.5,1123.29,125.56,11.18,,380.5,1123.29,125.36,11.16,,
382.1,1153.93,124.70,10.81,,382.1,1153.93,125.88,10.91,,382.1,1153.93,125.88,10.91,,382.1,1153.93,125.49,10.87,,
383.6,1194.95,123.61,10.34,,383.6,1194.95,124.17,10.39,,383.6,1194.95,125.87,10.53,,383.6,1194.95,124.55,10.42,,
385.2,1251.25,128.70,10.29,,385.2,1251.25,128.70,10.29,,385.2,1251.25,128.70,10.29,,385.2,1251.25,128.70,10.29,,
386.7,1299.60,133.21,10.25,,386.7,1299.60,132.67,10.21,,386.7,1299.60,132.67,10.21,,386.7,1299.60,132.85,10.22,,
388.3,1372.34,138.05,10.06,,388.3,1372.34,138.59,10.10,,388.3,1372.34,138.05,10.06,,388.3,1372.34,138.23,10.07,,
389.8,1424.66,140.00,9.83,,389.8,1424.66,145.49,10.21,,389.8,1424.66,141.64,9.94,,389.8,1424.66,142.38,9.99,,
391.3,1483.01,146.49,9.88,,391.3,1483.01,148.72,10.03,,391.3,1483.01,146.49,9.88,,391.3,1483.01,147.23,9.93,,
392.9,1530.61,148.51,9.70,,392.9,1530.61,150.79,9.85,,392.9,1530.61,148.51,9.70,,392.9,1530.61,149.27,9.75,,
394.4,1562.39,154.90,9.91,,394.4,1562.39,154.90,9.91,,394.4,1562.39,156.68,10.03,,394.4,1562.39,155.49,9.95,,
395.9,1621.81,161.40,9.95,,395.9,1621.81,162.65,10.03,,395.9,1621.81,163.28,10.07,,395.9,1621.81,162.44,10.02,,
397.5,1711.90,170.54,9.96,,397.5,1711.90,178.30,10.42,,397.5,1711.90,175.07,10.23,,397.5,1711.90,174.64,10.20,,
399.0,1784.48,174.28,9.77,,399.0,1784.48,176.75,9.90,,399.0,1784.48,179.84,10.08,,399.0,1784.48,176.96,9.92,,
400.6,1838.09,177.72,9.67,,400.6,1838.09,176.03,9.58,,400.6,1838.09,177.16,9.64,,400.6,1838.09,176.97,9.63,,
402.1,1856.31,172.86,9.31,,402.1,1856.31,175.44,9.45,,402.1,1856.31,174.41,9.40,,402.1,1856.31,174.24,9.39,,
403.6,1888.03,172.14,9.12,,403.6,1888.03,174.06,9.22,,403.6,1888.03,174.06,9.22,,403.6,1888.03,173.42,9.19,,
405.1,1944.54,172.29,8.86,,405.1,1944.54,174.57,8.98,,405.1,1944.54,176.40,9.07,,405.1,1944.54,174.42,8.97,,
406.7,2010.40,179.65,8.94,,406.7,2010.40,180.10,8.96,,406.7,2010.40,178.30,8.87,,406.7,2010.40,179.35,8.92,,
408.2,2079.37,180.87,8.70,,408.2,2079.37,184.44,8.87,,408.2,2079.37,186.66,8.98,,408.2,2079.37,183.99,8.85,,
409.7,2148.16,188.16,8.76,,409.7,2148.16,190.85,8.88,,409.7,2148.16,190.85,8.88,,409.7,2148.16,189.95,8.84,,
411.3,2213.53,192.78,8.71,,411.3,2213.53,200.58,9.06,,411.3,2213.53,197.37,8.92,,411.3,2213.53,196.91,8.90,,
412.8,2271.65,199.55,8.78,,412.8,2271.65,204.77,9.01,,412.8,2271.65,201.92,8.89,,412.8,2271.65,202.08,8.90,,
414.3,2341.03,210.00,8.97,,414.3,2341.03,210.49,8.99,,414.3,2341.03,214.40,9.16,,414.3,2341.03,211.63,9.04,,
415.8,2417.50,211.50,8.75,,415.8,2417.50,217.00,8.98,,415.8,2417.50,216.50,8.96,,415.8,2417.50,215.00,8.89,,
417.4,2490.79,221.12,8.88,,417.4,2490.79,223.15,8.96,,417.4,2490.79,224.66,9.02,,417.4,2490.79,222.98,8.95,,
418.9,2548.98,225.68,8.85,,418.9,2548.98,229.22,8.99,,418.9,2548.98,225.68,8.85,,418.9,2548.98,226.86,8.90,,
420.4,2593.45,230.31,8.88,,420.4,2593.45,232.30,8.96,,420.4,2593.45,233.80,9.01,,420.4,2593.45,232.14,8.95,,
421.9,2640.22,230.87,8.74,,421.9,2640.22,235.22,8.91,,421.9,2640.22,242.00,9.17,,421.9,2640.22,236.03,8.94,,
423.5,2679.41,235.84,8.80,,423.5,2679.41,238.64,8.91,,423.5,2679.41,239.57,8.94,,423.5,2679.41,238.02,8.88,,
425.0,2722.85,237.79,8.73,,425.0,2722.85,241.38,8.87,,425.0,2722.85,243.18,8.93,,425.0,2722.85,240.78,8.84,,
426.5,2778.88,243.38,8.76,,426.5,2778.88,248.97,8.96,,426.5,2778.88,246.39,8.87,,426.5,2778.88,246.25,8.86,,
428.0,2849.90,247.12,8.67,,428.0,2849.90,253.28,8.89,,428.0,2849.90,249.58,8.76,,428.0,2849.90,249.99,8.77,,
429.5,2939.79,256.36,8.72,,429.5,2939.79,260.31,8.85,,429.5,2939.79,257.15,8.75,,429.5,2939.79,257.94,8.77,,
431.1,3042.79,263.16,8.65,,431.1,3042.79,268.97,8.84,,431.1,3042.79,268.19,8.81,,431.1,3042.79,266.77,8.77,,
432.6,3149.06,271.46,8.62,,432.6,3149.06,279.15,8.86,,432.6,3149.06,274.92,8.73,,432.6,3149.06,275.18,8.74,,
434.1,3259.99,281.82,8.64,,434.1,3259.99,286.06,8.77,,434.1,3259.99,282.59,8.67,,434.1,3259.99,283.49,8.70,,
435.6,3346.58,289.48,8.65,,435.6,3346.58,295.28,8.82,,435.6,3346.58,291.80,8.72,,435.6,3346.58,292.19,8.73,,
437.1,3441.75,297.57,8.65,,437.1,3441.75,302.64,8.79,,437.1,3441.75,300.69,8.74,,437.1,3441.75,300.30,8.73,,
438.6,3531.11,307.33,8.70,,438.6,3531.11,310.08,8.78,,438.6,3531.11,307.72,8.71,,438.6,3531.11,308.38,8.73,,
440.1,3611.12,313.63,8.69,,440.1,3611.12,319.98,8.86,,440.1,3611.12,316.41,8.76,,440.1,3611.12,316.67,8.77,,
441.6,3703.62,322.00,8.69,,441.6,3703.62,324.00,8.75,,441.6,3703.62,323.20,8.73,,441.6,3703.62,323.07,8.72,,
443.1,3787.76,330.08,8.71,,443.1,3787.76,333.32,8.80,,443.1,3787.76,332.10,8.77,,443.1,3787.76,331.83,8.76,,
444.7,3873.68,338.25,8.73,,444.7,3873.68,339.49,8.76,,444.7,3873.68,339.49,8.76,,444.7,3873.68,339.08,8.75,,
446.2,3941.61,341.43,8.66,,446.2,3941.61,348.17,8.83,,446.2,3941.61,345.64,8.77,,446.2,3941.61,345.08,8.75,,
447.7,4009.71,349.52,8.72,,447.7,4009.71,353.83,8.82,,447.7,4009.71,353.40,8.81,,447.7,4009.71,352.25,8.78,,
449.2,4084.56,356.40,8.73,,449.2,4084.56,368.50,9.02,,449.2,4084.56,360.72,8.83,,449.2,4084.56,361.87,8.86,,
450.7,4145.44,364.42,8.79,,450.7,4145.44,373.15,9.00,,450.7,4145.44,368.99,8.90,,450.7,4145.44,368.85,8.90,,
452.2,4210.01,370.60,8.80,,452.2,4210.01,379.64,9.02,,452.2,4210.01,370.60,8.80,,452.2,4210.01,373.61,8.87,,
453.7,4291.20,373.99,8.72,,453.7,4291.20,383.30,8.93,,453.7,4291.20,379.21,8.84,,453.7,4291.20,378.83,8.83,,
455.2,4393.26,381.98,8.69,,455.2,4393.26,391.67,8.92,,455.2,4393.26,388.44,8.84,,455.2,4393.26,387.36,8.82,,
456.7,4515.28,393.89,8.72,,456.7,4515.28,401.63,8.89,,456.7,4515.28,399.17,8.84,,456.7,4515.28,398.23,8.82,,
458.2,4654.47,405.42,8.71,,458.2,4654.47,415.91,8.94,,458.2,4654.47,409.26,8.79,,458.2,4654.47,410.20,8.81,,
459.7,4795.00,418.60,8.73,,459.7,4795.00,427.00,8.91,,459.7,4795.00,421.75,8.80,,459.7,4795.00,422.45,8.81,,
461.2,4934.06,430.66,8.73,,461.2,4934.06,442.31,8.96,,461.2,4934.06,436.31,8.84,,461.2,4934.06,436.43,8.85,,
462.7,5054.96,442.85,8.76,,462.7,5054.96,453.59,8.97,,462.7,5054.96,446.78,8.84,,462.7,5054.96,447.74,8.86,,
464.2,5177.07,453.84,8.77,,464.2,5177.07,465.55,8.99,,464.2,5177.07,459.70,8.88,,464.2,5177.07,459.70,8.88,,
465.7,5301.12,468.62,8.84,,465.7,5301.12,479.51,9.05,,465.7,5301.12,471.25,8.89,,465.7,5301.12,473.13,8.93,,
467.2,5404.44,478.56,8.85,,467.2,5404.44,493.19,9.13,,467.2,5404.44,483.56,8.95,,467.2,5404.44,485.10,8.98,,
468.7,5508.00,490.00,8.90,,468.7,5508.00,502.40,9.12,,468.7,5508.00,493.20,8.95,,468.7,5508.00,495.20,8.99,,
470.2,5586.81,496.37,8.88,,470.2,5586.81,506.70,9.07,,470.2,5586.81,502.39,8.99,,470.2,5586.81,501.82,8.98,,
