name= \My Documents\HR1024_Data\GD6S7.,,,,,name= \My Documents\HR1024_Data\GD6S8.,,,,,name= \My Documents\HR1024_Data\GD6S9.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 400  60  30  1000  60  30,,,,,integration= 400  60  30  1000  60  30,,,,,integration= 400  60  30  1000  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.98  8.94  -5.37  37.41  8.88  -5.44,,,,,temp= 32.98  8.94  -5.37  37.41  8.88  -5.37,,,,,temp= 32.98  8.94  -5.37  37.50  8.88  -5.30,,,,,
battery= 7.1  7.0,,,,,battery= 7.1  7.0,,,,,battery= 7.1  7.0,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 4/7/08 10:35:00 AM  4/7/08 10:43:57 AM,,,,,time= 4/7/08 10:35:00 AM  4/7/08 10:44:18 AM,,,,,time= 4/7/08 10:35:00 AM  4/7/08 10:44:36 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GD6S7:GD6S8:GD6S9
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,350.35,66.25,18.91,,346.4,350.35,67.52,19.27,,346.4,350.35,63.70,18.18,,346.4,350.35,65.82,18.79,,
347.9,381.21,64.63,16.95,,347.9,381.21,65.26,17.12,,347.9,381.21,69.03,18.11,,347.9,381.21,66.31,17.39,,
349.5,410.28,63.02,15.36,,349.5,410.28,65.52,15.97,,349.5,410.28,68.64,16.73,,349.5,410.28,65.73,16.02,,
351.1,433.68,63.65,14.68,,351.1,433.68,63.65,14.68,,351.1,433.68,61.15,14.10,,351.1,433.68,62.82,14.48,,
352.6,475.96,66.41,13.95,,352.6,475.96,67.05,14.09,,352.6,475.96,69.58,14.62,,352.6,475.96,67.68,14.22,,
354.2,499.06,73.30,14.69,,354.2,499.06,75.27,15.08,,354.2,499.06,74.61,14.95,,354.2,499.06,74.39,14.91,,
355.7,540.48,73.41,13.58,,355.7,540.48,80.15,14.83,,355.7,540.48,76.11,14.08,,355.7,540.48,76.56,14.16,,
357.3,582.54,78.37,13.45,,357.3,582.54,81.83,14.05,,357.3,582.54,79.75,13.69,,357.3,582.54,79.98,13.73,,
358.8,588.91,74.79,12.70,,358.8,588.91,79.69,13.53,,358.8,588.91,77.59,13.18,,358.8,588.91,77.36,13.14,,
360.4,636.67,78.79,12.38,,360.4,636.67,79.50,12.49,,360.4,636.67,87.23,13.70,,360.4,636.67,81.84,12.85,,
361.9,668.64,82.88,12.40,,361.9,668.64,84.97,12.71,,361.9,668.64,80.10,11.98,,361.9,668.64,82.65,12.36,,
363.5,692.50,84.49,12.20,,363.5,692.50,81.72,11.80,,363.5,692.50,84.49,12.20,,363.5,692.50,83.57,12.07,,
365.1,712.57,83.22,11.68,,365.1,712.57,89.46,12.55,,365.1,712.57,83.22,11.68,,365.1,712.57,85.30,11.97,,
366.6,747.47,85.62,11.45,,366.6,747.47,86.31,11.55,,366.6,747.47,89.07,11.92,,366.6,747.47,87.00,11.64,,
368.2,792.37,87.30,11.02,,368.2,792.37,90.65,11.44,,368.2,792.37,87.97,11.10,,368.2,792.37,88.64,11.19,,
369.7,840.74,84.24,10.02,,369.7,840.74,86.85,10.33,,369.7,840.74,86.85,10.33,,369.7,840.74,85.98,10.23,,
371.3,898.85,90.87,10.11,,371.3,898.85,92.19,10.26,,371.3,898.85,88.24,9.82,,371.3,898.85,90.43,10.06,,
372.8,941.22,93.62,9.95,,372.8,941.22,94.29,10.02,,372.8,941.22,95.62,10.16,,372.8,941.22,94.51,10.04,,
374.4,986.23,94.12,9.54,,374.4,986.23,93.45,9.48,,374.4,986.23,94.79,9.61,,374.4,986.23,94.12,9.54,,
375.9,1017.83,94.00,9.24,,375.9,1017.83,95.33,9.37,,375.9,1017.83,97.98,9.63,,375.9,1017.83,95.77,9.41,,
377.4,1052.18,98.23,9.34,,377.4,1052.18,97.58,9.27,,377.4,1052.18,99.53,9.46,,377.4,1052.18,98.45,9.36,,
379.0,1086.82,98.66,9.08,,379.0,1086.82,96.11,8.84,,379.0,1086.82,98.66,9.08,,379.0,1086.82,97.81,9.00,,
380.5,1123.29,99.10,8.82,,380.5,1123.29,99.10,8.82,,380.5,1123.29,99.71,8.88,,380.5,1123.29,99.30,8.84,,
382.1,1153.93,99.88,8.66,,382.1,1153.93,102.83,8.91,,382.1,1153.93,101.65,8.81,,382.1,1153.93,101.45,8.79,,
383.6,1194.95,102.63,8.59,,383.6,1194.95,103.19,8.64,,383.6,1194.95,100.93,8.45,,383.6,1194.95,102.25,8.56,,
385.2,1251.25,101.75,8.13,,385.2,1251.25,102.30,8.18,,385.2,1251.25,101.20,8.09,,385.2,1251.25,101.75,8.13,,
386.7,1299.60,102.34,7.88,,386.7,1299.60,100.72,7.75,,386.7,1299.60,104.51,8.04,,386.7,1299.60,102.52,7.89,,
388.3,1372.34,107.07,7.80,,388.3,1372.34,111.96,8.16,,388.3,1372.34,105.44,7.68,,388.3,1372.34,108.16,7.88,,
389.8,1424.66,110.90,7.78,,389.8,1424.66,112.55,7.90,,389.8,1424.66,111.45,7.82,,389.8,1424.66,111.63,7.84,,
391.3,1483.01,115.30,7.77,,391.3,1483.01,118.08,7.96,,391.3,1483.01,117.53,7.92,,391.3,1483.01,116.97,7.89,,
392.9,1530.61,119.49,7.81,,392.9,1530.61,118.92,7.77,,392.9,1530.61,117.78,7.70,,392.9,1530.61,118.73,7.76,,
394.4,1562.39,120.48,7.71,,394.4,1562.39,127.01,8.13,,394.4,1562.39,122.85,7.86,,394.4,1562.39,123.45,7.90,,
395.9,1621.81,130.00,8.02,,395.9,1621.81,131.25,8.09,,395.9,1621.81,128.11,7.90,,395.9,1621.81,129.79,8.00,,
397.5,1711.90,138.24,8.08,,397.5,1711.90,138.24,8.08,,397.5,1711.90,135.66,7.92,,397.5,1711.90,137.38,8.03,,
399.0,1784.48,137.81,7.72,,399.0,1784.48,137.20,7.69,,399.0,1784.48,142.14,7.97,,399.0,1784.48,139.05,7.79,,
400.6,1838.09,131.31,7.14,,400.6,1838.09,136.97,7.45,,400.6,1838.09,135.84,7.39,,400.6,1838.09,134.71,7.33,,
402.1,1856.31,130.03,7.00,,402.1,1856.31,136.22,7.34,,402.1,1856.31,134.16,7.23,,402.1,1856.31,133.47,7.19,,
403.6,1888.03,131.86,6.98,,403.6,1888.03,134.26,7.11,,403.6,1888.03,136.66,7.24,,403.6,1888.03,134.26,7.11,,
405.1,1944.54,132.53,6.82,,405.1,1944.54,132.53,6.82,,405.1,1944.54,133.44,6.86,,405.1,1944.54,132.83,6.83,,
406.7,2010.40,138.43,6.89,,406.7,2010.40,137.54,6.84,,406.7,2010.40,138.43,6.89,,406.7,2010.40,138.13,6.87,,
408.2,2079.37,140.78,6.77,,408.2,2079.37,139.00,6.68,,408.2,2079.37,140.33,6.75,,408.2,2079.37,140.04,6.73,,
409.7,2148.16,144.26,6.72,,409.7,2148.16,145.60,6.78,,409.7,2148.16,144.26,6.72,,409.7,2148.16,144.71,6.74,,
411.3,2213.53,148.72,6.72,,411.3,2213.53,151.47,6.84,,411.3,2213.53,148.72,6.72,,411.3,2213.53,149.64,6.76,,
412.8,2271.65,155.00,6.82,,412.8,2271.65,157.37,6.93,,412.8,2271.65,155.47,6.84,,412.8,2271.65,155.95,6.86,,
414.3,2341.03,153.70,6.57,,414.3,2341.03,161.54,6.90,,414.3,2341.03,161.54,6.90,,414.3,2341.03,158.93,6.79,,
415.8,2417.50,167.00,6.91,,415.8,2417.50,167.00,6.91,,415.8,2417.50,164.00,6.78,,415.8,2417.50,166.00,6.87,,
417.4,2490.79,172.04,6.91,,417.4,2490.79,172.04,6.91,,417.4,2490.79,167.49,6.72,,417.4,2490.79,170.52,6.85,,
418.9,2548.98,175.08,6.87,,418.9,2548.98,178.11,6.99,,418.9,2548.98,172.55,6.77,,418.9,2548.98,175.25,6.88,,
420.4,2593.45,177.96,6.86,,420.4,2593.45,176.97,6.82,,420.4,2593.45,173.48,6.69,,420.4,2593.45,176.14,6.79,,
421.9,2640.22,182.95,6.93,,421.9,2640.22,179.56,6.80,,421.9,2640.22,176.66,6.69,,421.9,2640.22,179.72,6.81,,
423.5,2679.41,183.06,6.83,,423.5,2679.41,181.20,6.76,,423.5,2679.41,183.06,6.83,,423.5,2679.41,182.44,6.81,,
425.0,2722.85,184.30,6.77,,425.0,2722.85,183.85,6.75,,425.0,2722.85,182.50,6.70,,425.0,2722.85,183.55,6.74,,
426.5,2778.88,187.48,6.75,,426.5,2778.88,185.33,6.67,,426.5,2778.88,186.62,6.72,,426.5,2778.88,186.48,6.71,,
428.0,2849.90,193.76,6.80,,428.0,2849.90,189.65,6.65,,428.0,2849.90,190.88,6.70,,428.0,2849.90,191.43,6.72,,
429.5,2939.79,195.92,6.66,,429.5,2939.79,193.95,6.60,,429.5,2939.79,194.74,6.62,,429.5,2939.79,194.87,6.63,,
431.1,3042.79,201.24,6.61,,431.1,3042.79,200.08,6.58,,431.1,3042.79,201.24,6.61,,431.1,3042.79,200.85,6.60,,
432.6,3149.06,209.55,6.65,,432.6,3149.06,209.94,6.67,,432.6,3149.06,209.17,6.64,,432.6,3149.06,209.55,6.65,,
434.1,3259.99,215.60,6.61,,434.1,3259.99,213.29,6.54,,434.1,3259.99,216.37,6.64,,434.1,3259.99,215.09,6.60,,
435.6,3346.58,223.69,6.68,,435.6,3346.58,220.59,6.59,,435.6,3346.58,222.53,6.65,,435.6,3346.58,222.27,6.64,,
437.1,3441.75,226.59,6.58,,437.1,3441.75,228.15,6.63,,437.1,3441.75,226.98,6.59,,437.1,3441.75,227.24,6.60,,
438.6,3531.11,235.01,6.66,,438.6,3531.11,235.41,6.67,,438.6,3531.11,235.01,6.66,,438.6,3531.11,235.14,6.66,,
440.1,3611.12,243.05,6.73,,440.1,3611.12,242.26,6.71,,440.1,3611.12,240.28,6.65,,440.1,3611.12,241.86,6.70,,
441.6,3703.62,249.51,6.74,,441.6,3703.62,245.51,6.63,,441.6,3703.62,249.51,6.74,,441.6,3703.62,248.18,6.70,,
443.1,3787.76,255.15,6.74,,443.1,3787.76,255.15,6.74,,443.1,3787.76,253.94,6.70,,443.1,3787.76,254.75,6.73,,
444.7,3873.68,260.99,6.74,,444.7,3873.68,259.34,6.69,,444.7,3873.68,260.16,6.72,,444.7,3873.68,260.16,6.72,,
446.2,3941.61,265.65,6.74,,446.2,3941.61,266.91,6.77,,446.2,3941.61,266.07,6.75,,446.2,3941.61,266.21,6.75,,
447.7,4009.71,272.28,6.79,,447.7,4009.71,273.14,6.81,,447.7,4009.71,270.55,6.75,,447.7,4009.71,271.99,6.78,,
449.2,4084.56,277.34,6.79,,449.2,4084.56,277.78,6.80,,449.2,4084.56,276.48,6.77,,449.2,4084.56,277.20,6.79,,
