name= \My Documents\HR1024_Data\GD5B1.,,,,,name= \My Documents\HR1024_Data\GD5B2.,,,,,name= \My Documents\HR1024_Data\GD5B3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 400  60  30  500  60  30,,,,,integration= 400  60  30  500  60  30,,,,,integration= 400  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.34  8.94  -5.37  39.03  8.88  -5.37,,,,,temp= 32.34  8.94  -5.37  39.27  9.01  -5.37,,,,,temp= 32.34  8.94  -5.37  39.35  8.88  -5.37,,,,,
battery= 7.5  7.2,,,,,battery= 7.5  7.2,,,,,battery= 7.5  7.2,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 3/11/08 9:20:48 AM  3/11/08 9:32:41 AM,,,,,time= 3/11/08 9:20:48 AM  3/11/08 9:33:06 AM,,,,,time= 3/11/08 9:20:48 AM  3/11/08 9:33:28 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GD5B1:GD5B2:GD5B3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,366.28,112.11,30.61,,346.4,366.28,103.19,28.17,,346.4,366.28,105.74,28.87,,346.4,366.28,107.01,29.22,,
347.9,400.03,110.44,27.61,,347.9,400.03,101.66,25.41,,347.9,400.03,101.66,25.41,,347.9,400.03,104.59,26.14,,
349.5,432.12,116.06,26.86,,349.5,432.12,104.83,24.26,,349.5,432.12,104.83,24.26,,349.5,432.12,108.57,25.13,,
351.1,468.00,119.81,25.60,,351.1,468.00,112.32,24.00,,351.1,468.00,114.82,24.53,,351.1,468.00,115.65,24.71,,
352.6,496.51,118.91,23.95,,352.6,496.51,121.44,24.46,,352.6,496.51,116.38,23.44,,352.6,496.51,118.91,23.95,,
354.2,520.33,125.66,24.15,,354.2,520.33,119.12,22.89,,354.2,520.33,123.05,23.65,,354.2,520.33,122.61,23.56,,
355.7,575.84,126.62,21.99,,355.7,575.84,126.62,21.99,,355.7,575.84,122.58,21.29,,355.7,575.84,125.27,21.75,,
357.3,598.14,131.77,22.03,,357.3,598.14,131.77,22.03,,357.3,598.14,127.60,21.33,,357.3,598.14,130.38,21.80,,
358.8,616.87,134.21,21.76,,358.8,616.87,134.21,21.76,,358.8,616.87,135.61,21.98,,358.8,616.87,134.68,21.83,,
360.4,668.33,143.51,21.47,,360.4,668.33,139.29,20.84,,360.4,668.33,132.26,19.79,,360.4,668.33,138.35,20.70,,
361.9,686.05,140.69,20.51,,361.9,686.05,140.69,20.51,,361.9,686.05,132.34,19.29,,361.9,686.05,137.91,20.10,,
363.5,715.01,138.50,19.37,,363.5,715.01,134.35,18.79,,363.5,715.01,135.73,18.98,,363.5,715.01,136.19,19.05,,
365.1,743.78,131.77,17.72,,365.1,743.78,141.47,19.02,,365.1,743.78,130.38,17.53,,365.1,743.78,134.54,18.09,,
366.6,778.54,138.10,17.74,,366.6,778.54,142.24,18.27,,366.6,778.54,132.58,17.03,,366.6,778.54,137.64,17.68,,
368.2,824.27,134.30,16.29,,368.2,824.27,150.42,18.25,,368.2,824.27,132.96,16.13,,368.2,824.27,139.23,16.89,,
369.7,873.39,138.44,15.85,,369.7,873.39,137.13,15.70,,369.7,873.39,125.38,14.36,,369.7,873.39,133.65,15.30,,
371.3,928.49,150.14,16.17,,371.3,928.49,142.24,15.32,,371.3,928.49,130.38,14.04,,371.3,928.49,140.92,15.18,,
372.8,977.74,140.77,14.40,,372.8,977.74,152.72,15.62,,372.8,977.74,140.77,14.40,,372.8,977.74,144.75,14.80,,
374.4,1016.27,141.51,13.92,,374.4,1016.27,144.18,14.19,,374.4,1016.27,133.50,13.14,,374.4,1016.27,139.73,13.75,,
375.9,1052.58,148.29,14.09,,375.9,1052.58,156.23,14.84,,375.9,1052.58,132.40,12.58,,375.9,1052.58,145.64,13.84,,
377.4,1084.71,145.71,13.43,,377.4,1084.71,160.02,14.75,,377.4,1084.71,132.70,12.23,,377.4,1084.71,146.14,13.47,,
