name= \My Documents\HR1024_Data\GD5T4.,,,,,name= \My Documents\HR1024_Data\GD5T5.,,,,,name= \My Documents\HR1024_Data\GD5T6.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 400  60  30  1000  60  30,,,,,integration= 400  60  30  1000  60  30,,,,,integration= 400  60  30  1000  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.34  8.94  -5.37  35.08  8.94  -5.37,,,,,temp= 32.34  8.94  -5.37  35.32  8.94  -5.37,,,,,temp= 32.34  8.94  -5.37  35.48  8.94  -5.37,,,,,
battery= 7.5  7.4,,,,,battery= 7.5  7.4,,,,,battery= 7.5  7.4,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 3/11/08 9:20:48 AM  3/11/08 9:23:40 AM,,,,,time= 3/11/08 9:20:48 AM  3/11/08 9:24:03 AM,,,,,time= 3/11/08 9:20:48 AM  3/11/08 9:24:25 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GD5T4:GD5T5:GD5T6
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,366.28,84.08,22.96,,346.4,366.28,81.54,22.26,,346.4,366.28,79.63,21.74,,346.4,366.28,81.75,22.32,,
347.9,400.03,82.20,20.55,,347.9,400.03,79.07,19.76,,347.9,400.03,77.18,19.29,,347.9,400.03,79.48,19.87,,
349.5,432.12,79.87,18.48,,349.5,432.12,79.25,18.34,,349.5,432.12,81.12,18.77,,349.5,432.12,80.08,18.53,,
351.1,468.00,90.48,19.33,,351.1,468.00,79.25,16.93,,351.1,468.00,83.62,17.87,,351.1,468.00,84.45,18.04,,
352.6,496.51,86.02,17.32,,352.6,496.51,83.49,16.82,,352.6,496.51,83.49,16.82,,352.6,496.51,84.33,16.99,,
354.2,520.33,84.43,16.23,,354.2,520.33,86.39,16.60,,354.2,520.33,84.43,16.23,,354.2,520.33,85.08,16.35,,
355.7,575.84,90.25,15.67,,355.7,575.84,88.23,15.32,,355.7,575.84,91.60,15.91,,355.7,575.84,90.03,15.63,,
357.3,598.14,96.40,16.12,,357.3,598.14,92.24,15.42,,357.3,598.14,95.01,15.88,,357.3,598.14,94.55,15.81,,
358.8,616.87,97.86,15.86,,358.8,616.87,93.67,15.18,,358.8,616.87,92.97,15.07,,358.8,616.87,94.83,15.37,,
360.4,668.33,97.08,14.53,,360.4,668.33,94.97,14.21,,360.4,668.33,92.16,13.79,,360.4,668.33,94.74,14.18,,
361.9,686.05,100.99,14.72,,361.9,686.05,101.69,14.82,,361.9,686.05,98.21,14.31,,361.9,686.05,100.30,14.62,,
363.5,715.01,96.26,13.46,,363.5,715.01,93.49,13.08,,363.5,715.01,101.80,14.24,,363.5,715.01,97.18,13.59,,
365.1,743.78,99.86,13.43,,365.1,743.78,97.78,13.15,,365.1,743.78,95.70,12.87,,365.1,743.78,97.78,13.15,,
366.6,778.54,102.88,13.22,,366.6,778.54,98.05,12.59,,366.6,778.54,97.36,12.51,,366.6,778.54,99.43,12.77,,
368.2,824.27,100.05,12.14,,368.2,824.27,96.02,11.65,,368.2,824.27,95.35,11.57,,368.2,824.27,97.14,11.78,,
369.7,873.39,90.77,10.39,,369.7,873.39,97.30,11.14,,369.7,873.39,95.99,10.99,,369.7,873.39,94.69,10.84,,
371.3,928.49,93.51,10.07,,371.3,928.49,98.12,10.57,,371.3,928.49,94.17,10.14,,371.3,928.49,95.27,10.26,,
372.8,977.74,99.60,10.19,,372.8,977.74,99.60,10.19,,372.8,977.74,97.61,9.98,,372.8,977.74,98.94,10.12,,
374.4,1016.27,100.13,9.85,,374.4,1016.27,96.12,9.46,,374.4,1016.27,97.46,9.59,,374.4,1016.27,97.90,9.63,,
375.9,1052.58,100.62,9.56,,375.9,1052.58,101.29,9.62,,375.9,1052.58,98.64,9.37,,375.9,1052.58,100.18,9.52,,
377.4,1084.71,98.88,9.12,,377.4,1084.71,93.02,8.58,,377.4,1084.71,96.27,8.88,,377.4,1084.71,96.06,8.86,,
