name= \My Documents\HR1024_Data\GB4.,,,,,name= \My Documents\HR1024_Data\GB5.,,,,,name= \My Documents\HR1024_Data\GB6.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  400  60  30,,,,,integration= 200  60  30  400  60  30,,,,,integration= 200  60  30  400  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 31.05  8.88  -5.37  42.97  8.88  -5.24,,,,,temp= 31.05  8.88  -5.37  43.13  8.94  -5.30,,,,,temp= 31.05  8.88  -5.37  43.22  8.88  -5.24,,,,,
battery= 7.7  6.9,,,,,battery= 7.7  6.9,,,,,battery= 7.7  6.9,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/12/08 9:49:29 AM  1/12/08 10:29:58 AM,,,,,time= 1/12/08 9:49:29 AM  1/12/08 10:30:27 AM,,,,,time= 1/12/08 9:49:29 AM  1/12/08 10:30:50 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GB4:GB5:GB6
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,468.20,179.95,38.44,,346.4,468.20,176.77,37.76,,346.4,468.20,165.62,35.37,,346.4,468.20,174.11,37.19,,
347.9,473.76,185.11,39.07,,347.9,473.76,174.13,36.75,,347.9,473.76,158.44,33.44,,347.9,473.76,172.56,36.42,,
349.5,521.04,177.84,34.13,,349.5,521.04,174.72,33.53,,349.5,521.04,163.80,31.44,,349.5,521.04,172.12,33.03,,
351.1,558.48,182.52,32.68,,351.1,558.48,182.52,32.68,,351.1,558.48,168.48,30.17,,351.1,558.48,177.84,31.84,,
352.6,585.06,188.17,32.16,,352.6,585.06,185.01,31.62,,352.6,585.06,170.78,29.19,,352.6,585.06,181.32,30.99,,
354.2,625.05,204.53,32.72,,354.2,625.05,191.44,30.63,,354.2,625.05,173.44,27.75,,354.2,625.05,189.80,30.37,,
355.7,673.50,208.79,31.00,,355.7,673.50,202.05,30.00,,355.7,673.50,185.21,27.50,,355.7,673.50,198.68,29.50,,
357.3,724.71,221.92,30.62,,357.3,724.71,211.52,29.19,,357.3,724.71,190.71,26.32,,357.3,724.71,208.05,28.71,,
358.8,751.43,220.19,29.30,,358.8,751.43,216.69,28.84,,358.8,751.43,192.23,25.58,,358.8,751.43,209.70,27.91,,
360.4,798.47,237.43,29.74,,360.4,798.47,226.88,28.41,,360.4,798.47,198.74,24.89,,360.4,798.47,221.02,27.68,,
361.9,821.87,231.59,28.18,,361.9,821.87,224.62,27.33,,361.9,821.87,198.50,24.15,,361.9,821.87,218.24,26.55,,
363.5,851.78,230.26,27.03,,363.5,851.78,225.06,26.42,,363.5,851.78,195.63,22.97,,363.5,851.78,216.98,25.47,,
365.1,887.68,242.73,27.34,,365.1,887.68,221.92,25.00,,365.1,887.68,204.58,23.05,,365.1,887.68,223.08,25.13,,
366.6,918.37,239.95,26.13,,366.6,918.37,229.59,25.00,,366.6,918.37,201.97,21.99,,366.6,918.37,223.84,24.37,,
368.2,973.68,243.42,25.00,,368.2,973.68,224.95,23.10,,368.2,973.68,206.49,21.21,,368.2,973.68,224.95,23.10,,
369.7,1008.89,239.98,23.79,,369.7,1008.89,233.45,23.14,,369.7,1008.89,199.17,19.74,,369.7,1008.89,224.20,22.22,,
371.3,1073.36,242.00,22.55,,371.3,1073.36,240.35,22.39,,371.3,1073.36,202.49,18.87,,371.3,1073.36,228.28,21.27,,
372.8,1148.72,253.98,22.11,,372.8,1148.72,249.00,21.68,,372.8,1148.72,212.48,18.50,,372.8,1148.72,238.49,20.76,,
374.4,1191.49,260.33,21.85,,374.4,1191.49,248.64,20.87,,374.4,1191.49,213.60,17.93,,374.4,1191.49,240.86,20.21,,
375.9,1247.87,261.49,20.95,,375.9,1247.87,246.60,19.76,,375.9,1247.87,215.15,17.24,,375.9,1247.87,241.08,19.32,,
377.4,1278.23,265.08,20.74,,377.4,1278.23,255.32,19.97,,377.4,1278.23,224.42,17.56,,377.4,1278.23,248.27,19.42,,
