name= \My Documents\HR1024_Data\GS1.,,,,,name= \My Documents\HR1024_Data\GS2.,,,,,name= \My Documents\HR1024_Data\GS3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 31.05  8.88  -5.37  40.80  8.94  -5.37,,,,,temp= 31.05  8.88  -5.37  40.96  8.94  -5.24,,,,,temp= 31.05  8.88  -5.37  41.20  8.94  -5.30,,,,,
battery= 7.7  7.1,,,,,battery= 7.7  7.0,,,,,battery= 7.7  7.1,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/12/08 9:49:29 AM  1/12/08 10:17:20 AM,,,,,time= 1/12/08 9:49:29 AM  1/12/08 10:18:15 AM,,,,,time= 1/12/08 9:49:29 AM  1/12/08 10:18:44 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GS1:GS2:GS3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,468.20,222.95,47.62,,346.4,468.20,207.03,44.22,,346.4,468.20,207.03,44.22,,346.4,468.20,212.34,45.35,,
347.9,473.76,229.04,48.34,,347.9,473.76,203.94,43.05,,347.9,473.76,203.94,43.05,,347.9,473.76,212.31,44.81,,
349.5,521.04,221.52,42.51,,349.5,521.04,190.32,36.53,,349.5,521.04,209.04,40.12,,349.5,521.04,206.96,39.72,,
351.1,558.48,230.88,41.34,,351.1,558.48,212.16,37.99,,351.1,558.48,212.16,37.99,,351.1,558.48,218.40,39.11,,
352.6,585.06,234.03,40.00,,352.6,585.06,215.05,36.76,,352.6,585.06,205.56,35.14,,352.6,585.06,218.21,37.30,,
354.2,625.05,258.53,41.36,,354.2,625.05,219.26,35.08,,354.2,625.05,209.44,33.51,,354.2,625.05,229.08,36.65,,
355.7,673.50,255.93,38.00,,355.7,673.50,225.62,33.50,,355.7,673.50,225.62,33.50,,355.7,673.50,235.72,35.00,,
357.3,724.71,263.53,36.36,,357.3,724.71,253.13,34.93,,357.3,724.71,225.39,31.10,,357.3,724.71,247.35,34.13,,
358.8,751.43,258.63,34.42,,358.8,751.43,255.14,33.95,,358.8,751.43,230.67,30.70,,358.8,751.43,248.15,33.02,,
360.4,798.47,284.92,35.68,,360.4,798.47,249.74,31.28,,360.4,798.47,232.16,29.07,,360.4,798.47,255.61,32.01,,
361.9,821.87,275.12,33.47,,361.9,821.87,247.26,30.08,,361.9,821.87,254.22,30.93,,361.9,821.87,258.87,31.50,,
363.5,851.78,283.93,33.33,,363.5,851.78,263.15,30.89,,363.5,851.78,238.91,28.05,,363.5,851.78,262.00,30.76,,
365.1,887.68,284.34,32.03,,365.1,887.68,249.66,28.13,,365.1,887.68,235.79,26.56,,365.1,887.68,256.60,28.91,,
366.6,918.37,286.56,31.20,,366.6,918.37,265.84,28.95,,366.6,918.37,248.58,27.07,,366.6,918.37,266.99,29.07,,
368.2,973.68,282.03,28.97,,368.2,973.68,265.24,27.24,,368.2,973.68,238.38,24.48,,368.2,973.68,261.88,26.90,,
369.7,1008.89,280.79,27.83,,369.7,1008.89,248.14,24.60,,369.7,1008.89,231.82,22.98,,369.7,1008.89,253.58,25.13,,
371.3,1073.36,302.91,28.22,,371.3,1073.36,263.40,24.54,,371.3,1073.36,250.23,23.31,,371.3,1073.36,272.18,25.36,,
372.8,1148.72,298.80,26.01,,372.8,1148.72,265.60,23.12,,372.8,1148.72,255.64,22.25,,372.8,1148.72,273.35,23.80,,
374.4,1191.49,300.38,25.21,,374.4,1191.49,263.66,22.13,,374.4,1191.49,250.31,21.01,,374.4,1191.49,271.45,22.78,,
375.9,1247.87,311.14,24.93,,375.9,1247.87,281.35,22.55,,375.9,1247.87,261.49,20.95,,375.9,1247.87,284.66,22.81,,
377.4,1278.23,308.99,24.17,,377.4,1278.23,282.97,22.14,,377.4,1278.23,253.70,19.85,,377.4,1278.23,281.89,22.05,,
379.0,1330.29,318.25,23.92,,379.0,1330.29,273.70,20.57,,379.0,1330.29,257.78,19.38,,379.0,1330.29,283.24,21.29,,
380.5,1360.26,316.98,23.30,,380.5,1360.26,270.82,19.91,,380.5,1360.26,252.36,18.55,,380.5,1360.26,280.05,20.59,,
382.1,1412.49,316.19,22.38,,382.1,1412.49,277.77,19.67,,382.1,1412.49,251.18,17.78,,382.1,1412.49,281.71,19.94,,
383.6,1460.03,303.35,20.78,,383.6,1460.03,275.00,18.83,,383.6,1460.03,243.81,16.70,,383.6,1460.03,274.05,18.77,,
385.2,1529.00,316.25,20.68,,385.2,1529.00,269.50,17.63,,385.2,1529.00,247.50,16.19,,385.2,1529.00,277.75,18.17,,
386.7,1608.26,319.49,19.87,,386.7,1608.26,281.58,17.51,,386.7,1608.26,251.80,15.66,,386.7,1608.26,284.29,17.68,,
388.3,1679.42,342.41,20.39,,388.3,1679.42,290.77,17.31,,388.3,1679.42,260.88,15.53,,388.3,1679.42,298.02,17.75,,
389.8,1759.55,348.62,19.81,,389.8,1759.55,285.48,16.22,,389.8,1759.55,263.52,14.98,,389.8,1759.55,299.21,17.00,,
391.3,1843.67,359.27,19.49,,391.3,1843.67,314.71,17.07,,391.3,1843.67,278.50,15.11,,391.3,1843.67,317.49,17.22,,
392.9,1897.62,369.85,19.49,,392.9,1897.62,312.95,16.49,,392.9,1897.62,287.35,15.14,,392.9,1897.62,323.38,17.04,,
394.4,1955.58,382.81,19.58,,394.4,1955.58,326.43,16.69,,394.4,1955.58,299.72,15.33,,394.4,1955.58,336.32,17.20,,
395.9,2019.02,408.20,20.22,,395.9,2019.02,351.68,17.42,,395.9,2019.02,323.42,16.02,,395.9,2019.02,361.10,17.88,,
397.5,2131.80,419.90,19.70,,397.5,2131.80,358.53,16.82,,397.5,2131.80,348.84,16.36,,397.5,2131.80,375.76,17.63,,
399.0,2240.25,410.97,18.34,,399.0,2240.25,367.71,16.41,,399.0,2240.25,349.17,15.59,,399.0,2240.25,375.95,16.78,,
400.6,2303.62,418.84,18.18,,400.6,2303.62,362.24,15.72,,400.6,2303.62,345.26,14.99,,400.6,2303.62,375.45,16.30,,
402.1,2342.64,410.22,17.51,,402.1,2342.64,350.88,14.98,,402.1,2342.64,325.08,13.88,,402.1,2342.64,362.06,15.46,,
403.6,2375.92,407.58,17.15,,403.6,2375.92,347.64,14.63,,403.6,2375.92,328.46,13.82,,403.6,2375.92,361.23,15.20,,
405.1,2451.81,413.59,16.87,,405.1,2451.81,351.89,14.35,,405.1,2451.81,333.61,13.61,,405.1,2451.81,366.36,14.94,,
406.7,2542.40,432.32,17.00,,406.7,2542.40,360.64,14.19,,406.7,2542.40,342.72,13.48,,406.7,2542.40,378.56,14.89,,
408.2,2650.73,445.50,16.81,,408.2,2650.73,374.22,14.12,,408.2,2650.73,345.26,13.03,,408.2,2650.73,388.33,14.65,,
409.7,2746.24,456.96,16.64,,409.7,2746.24,396.48,14.44,,409.7,2746.24,365.12,13.30,,409.7,2746.24,406.19,14.79,,
411.3,2843.51,484.25,17.03,,411.3,2843.51,408.51,14.37,,411.3,2843.51,385.56,13.56,,411.3,2843.51,426.11,14.99,,
412.8,2936.43,511.92,17.43,,412.8,2936.43,428.97,14.61,,412.8,2936.43,400.53,13.64,,412.8,2936.43,447.14,15.23,,
414.3,3034.90,536.00,17.66,,414.3,3034.90,452.79,14.92,,414.3,3034.90,418.52,13.79,,414.3,3034.90,469.10,15.46,,
415.8,3152.50,557.50,17.68,,415.8,3152.50,462.50,14.67,,415.8,3152.50,435.00,13.80,,415.8,3152.50,485.00,15.38,,
417.4,3253.58,576.84,17.73,,417.4,3253.58,488.29,15.01,,417.4,3253.58,462.99,14.23,,417.4,3253.58,509.37,15.66,,
418.9,3339.60,604.67,18.11,,418.9,3339.60,506.00,15.15,,418.9,3339.60,478.17,14.32,,418.9,3339.60,529.61,15.86,,
420.4,3424.70,615.65,17.98,,420.4,3424.70,523.43,15.28,,420.4,3424.70,488.53,14.26,,420.4,3424.70,542.54,15.84,,
421.9,3487.22,629.20,18.04,,421.9,3487.22,529.98,15.20,,421.9,3487.22,498.52,14.30,,421.9,3487.22,552.57,15.85,,
423.5,3546.87,632.79,17.84,,423.5,3546.87,532.38,15.01,,423.5,3546.87,506.70,14.29,,423.5,3546.87,557.29,15.71,,
425.0,3613.98,651.78,18.03,,425.0,3613.98,532.66,14.74,,425.0,3613.98,512.43,14.18,,425.0,3613.98,565.62,15.65,,
426.5,3695.85,660.05,17.86,,426.5,3695.85,554.70,15.01,,426.5,3695.85,520.30,14.08,,426.5,3695.85,578.35,15.65,,
428.0,3801.23,665.01,17.49,,428.0,3801.23,562.39,14.79,,428.0,3801.23,533.65,14.04,,428.0,3801.23,587.02,15.44,,
429.5,3926.30,689.28,17.56,,429.5,3926.30,576.70,14.69,,429.5,3926.30,549.05,13.98,,429.5,3926.30,605.01,15.41,,
431.1,4071.24,708.21,17.40,,431.1,4071.24,588.24,14.45,,431.1,4071.24,568.89,13.97,,431.1,4071.24,621.78,15.27,,
432.6,4225.66,730.55,17.29,,432.6,4225.66,620.97,14.70,,432.6,4225.66,586.36,13.88,,432.6,4225.66,645.96,15.29,,
434.1,4373.60,758.45,17.34,,434.1,4373.60,633.33,14.48,,434.1,4373.60,610.23,13.95,,434.1,4373.60,667.34,15.26,,
435.6,4514.36,781.74,17.32,,435.6,4514.36,655.97,14.53,,435.6,4514.36,621.14,13.76,,435.6,4514.36,686.28,15.20,,
437.1,4642.95,813.15,17.51,,437.1,4642.95,674.70,14.53,,437.1,4642.95,651.30,14.03,,437.1,4642.95,713.05,15.36,,
438.6,4769.06,835.13,17.51,,438.6,4769.06,703.47,14.75,,438.6,4769.06,670.07,14.05,,438.6,4769.06,736.22,15.44,,
440.1,4906.69,878.25,17.90,,440.1,4906.69,737.49,15.03,,440.1,4906.69,693.88,14.14,,440.1,4906.69,769.87,15.69,,
441.6,5042.30,901.13,17.87,,441.6,5042.30,754.94,14.97,,441.6,5042.30,732.92,14.54,,441.6,5042.30,796.33,15.79,,
443.1,5179.95,941.63,18.18,,443.1,5179.95,785.70,15.17,,443.1,5179.95,757.35,14.62,,443.1,5179.95,828.23,15.99,,
444.7,5318.34,978.18,18.39,,444.7,5318.34,828.17,15.57,,444.7,5318.34,787.07,14.80,,444.7,5318.34,864.47,16.25,,
446.2,5433.01,1023.03,18.83,,446.2,5433.01,867.26,15.96,,446.2,5433.01,827.27,15.23,,446.2,5433.01,905.85,16.67,,
447.7,5551.25,1057.18,19.04,,447.7,5551.25,910.47,16.40,,447.7,5551.25,854.37,15.39,,447.7,5551.25,940.67,16.95,,
449.2,5676.48,1101.60,19.41,,449.2,5676.48,933.12,16.44,,449.2,5676.48,894.24,15.75,,449.2,5676.48,976.32,17.20,,
450.7,5788.64,1133.60,19.58,,450.7,5788.64,973.44,16.82,,450.7,5788.64,925.60,15.99,,450.7,5788.64,1010.88,17.46,,
452.2,5916.62,1169.18,19.76,,452.2,5916.62,1006.08,17.00,,452.2,5916.62,958.92,16.21,,452.2,5916.62,1044.73,17.66,,
453.7,6028.91,1208.76,20.05,,453.7,6028.91,1033.69,17.15,,453.7,6028.91,988.99,16.40,,453.7,6028.91,1077.15,17.87,,
455.2,6201.73,1251.12,20.17,,455.2,6201.73,1071.62,17.28,,455.2,6201.73,1024.95,16.53,,455.2,6201.73,1115.90,17.99,,
456.7,6390.56,1300.64,20.35,,456.7,6390.56,1112.32,17.41,,456.7,6390.56,1061.28,16.61,,456.7,6390.56,1158.08,18.12,,
458.2,6607.30,1357.81,20.55,,458.2,6607.30,1151.60,17.43,,458.2,6607.30,1106.17,16.74,,458.2,6607.30,1205.19,18.24,,
459.7,6823.25,1394.75,20.44,,459.7,6823.25,1195.25,17.52,,459.7,6823.25,1141.00,16.72,,459.7,6823.25,1243.67,18.23,,
461.2,7031.76,1449.07,20.61,,461.2,7031.76,1235.50,17.57,,461.2,7031.76,1173.73,16.69,,461.2,7031.76,1286.10,18.29,,
462.7,7219.07,1485.70,20.58,,462.7,7219.07,1276.27,17.68,,462.7,7219.07,1210.04,16.76,,462.7,7219.07,1324.00,18.34,,
464.2,7396.86,1526.22,20.63,,464.2,7396.86,1306.62,17.66,,464.2,7396.86,1249.89,16.90,,464.2,7396.86,1360.91,18.40,,
465.7,7583.22,1569.59,20.70,,465.7,7583.22,1346.17,17.75,,465.7,7583.22,1278.58,16.86,,465.7,7583.22,1398.11,18.44,,
467.2,7742.35,1601.60,20.69,,467.2,7742.35,1368.68,17.68,,467.2,7742.35,1310.93,16.93,,467.2,7742.35,1427.07,18.43,,
468.7,7912.00,1654.00,20.90,,468.7,7912.00,1414.00,17.87,,468.7,7912.00,1356.00,17.14,,468.7,7912.00,1474.67,18.64,,
470.2,8015.91,1700.48,21.21,,470.2,8015.91,1459.40,18.21,,470.2,8015.91,1394.82,17.40,,470.2,8015.91,1518.23,18.94,,
471.7,8177.13,1738.50,21.26,,471.7,8177.13,1508.13,18.44,,471.7,8177.13,1434.50,17.54,,471.7,8177.13,1560.38,19.08,,
473.2,8446.52,1766.84,20.92,,473.2,8446.52,1533.25,18.15,,473.2,8446.52,1463.67,17.33,,473.2,8446.52,1587.92,18.80,,
474.6,8688.33,1806.07,20.79,,474.6,8688.33,1550.74,17.85,,474.6,8688.33,1478.12,17.01,,474.6,8688.33,1611.64,18.55,,
476.1,8747.12,1831.68,20.94,,476.1,8747.12,1573.04,17.98,,476.1,8747.12,1505.20,17.21,,476.1,8747.12,1636.64,18.71,,
477.6,8779.39,1875.29,21.36,,477.6,8779.39,1601.24,18.24,,477.6,8779.39,1526.85,17.39,,477.6,8779.39,1667.79,19.00,,
479.1,8829.54,1899.25,21.51,,479.1,8829.54,1619.12,18.34,,479.1,8829.54,1546.29,17.51,,479.1,8829.54,1688.22,19.12,,
480.6,8916.06,1914.98,21.48,,480.6,8916.06,1647.10,18.47,,480.6,8916.06,1572.89,17.64,,480.6,8916.06,1711.66,19.20,,
482.1,9046.91,1952.85,21.59,,482.1,9046.91,1667.33,18.43,,482.1,9046.91,1602.11,17.71,,482.1,9046.91,1740.76,19.24,,
483.6,9204.08,1990.58,21.63,,483.6,9204.08,1715.78,18.64,,483.6,9204.08,1635.06,17.76,,483.6,9204.08,1780.47,19.34,,
485.1,9394.00,2039.84,21.71,,485.1,9394.00,1758.02,18.71,,485.1,9394.00,1684.21,17.93,,485.1,9394.00,1827.36,19.45,,
486.6,9626.34,2108.80,21.91,,486.6,9626.34,1808.96,18.79,,486.6,9626.34,1744.70,18.12,,486.6,9626.34,1887.49,19.61,,
488.0,9867.00,2185.63,22.15,,488.0,9867.00,1881.75,19.07,,488.0,9867.00,1810.25,18.35,,488.0,9867.00,1959.21,19.86,,
489.5,10130.90,2272.31,22.43,,489.5,10130.90,1959.00,19.34,,489.5,10130.90,1876.63,18.52,,489.5,10130.90,2035.98,20.10,,
491.0,10387.73,2360.70,22.73,,491.0,10387.73,2044.65,19.68,,491.0,10387.73,1957.58,18.85,,491.0,10387.73,2120.98,20.42,,
492.5,10649.88,2476.98,23.26,,492.5,10649.88,2141.64,20.11,,492.5,10649.88,2052.54,19.27,,492.5,10649.88,2223.72,20.88,,
494.0,10928.34,2596.38,23.76,,494.0,10928.34,2249.76,20.59,,494.0,10928.34,2163.11,19.79,,494.0,10928.34,2336.42,21.38,,
495.4,11158.95,2722.50,24.40,,495.4,11158.95,2364.45,21.19,,495.4,11158.95,2275.35,20.39,,495.4,11158.95,2454.10,21.99,,
496.9,11406.10,2869.06,25.15,,496.9,11406.10,2493.31,21.86,,496.9,11406.10,2404.80,21.08,,496.9,11406.10,2589.06,22.70,,
498.4,11649.48,3024.50,25.96,,498.4,11649.48,2635.22,22.62,,498.4,11649.48,2533.67,21.75,,498.4,11649.48,2731.13,23.44,,
499.9,11878.23,3192.83,26.88,,499.9,11878.23,2787.50,23.47,,499.9,11878.23,2682.74,22.59,,499.9,11878.23,2887.69,24.31,,
501.4,12101.58,3373.09,27.87,,501.4,12101.58,2956.03,24.43,,501.4,12101.58,2846.10,23.52,,501.4,12101.58,3058.41,25.27,,
502.8,12308.24,3578.68,29.08,,502.8,12308.24,3139.10,25.50,,502.8,12308.24,3030.98,24.63,,502.8,12308.24,3249.59,26.40,,
504.3,12497.40,3790.80,30.33,,504.3,12497.40,3331.80,26.66,,504.3,12497.40,3223.80,25.80,,504.3,12497.40,3448.80,27.60,,
505.8,12681.02,4020.50,31.70,,505.8,12681.02,3539.87,27.91,,505.8,12681.02,3426.56,27.02,,505.8,12681.02,3662.31,28.88,,
507.2,12808.72,4241.86,33.12,,507.2,12808.72,3755.97,29.32,,507.2,12808.72,3634.03,28.37,,507.2,12808.72,3877.29,30.27,,
508.7,12896.48,4476.00,34.71,,508.7,12896.48,3968.72,30.77,,508.7,12896.48,3845.63,29.82,,508.7,12896.48,4096.78,31.77,,
510.2,12964.78,4723.19,36.43,,510.2,12964.78,4205.51,32.44,,510.2,12964.78,4073.73,31.42,,510.2,12964.78,4334.14,33.43,,
511.6,13008.39,4963.21,38.15,,511.6,13008.39,4420.33,33.98,,511.6,13008.39,4295.92,33.02,,511.6,13008.39,4559.82,35.05,,
513.1,13093.74,5232.26,39.96,,513.1,13093.74,4676.87,35.72,,513.1,13093.74,4544.10,34.70,,513.1,13093.74,4817.74,36.79,,
514.6,13195.49,5525.19,41.87,,514.6,13195.49,4939.82,37.44,,514.6,13195.49,4800.36,36.38,,514.6,13195.49,5088.46,38.56,,
516.0,13281.41,5809.17,43.74,,516.0,13281.41,5199.55,39.15,,516.0,13281.41,5062.30,38.12,,516.0,13281.41,5357.01,40.33,,
517.5,13429.99,6134.58,45.68,,517.5,13429.99,5503.13,40.98,,517.5,13429.99,5363.00,39.93,,517.5,13429.99,5666.90,42.20,,
519.0,13603.01,6472.58,47.58,,519.0,13603.01,5819.77,42.78,,519.0,13603.01,5675.07,41.72,,519.0,13603.01,5989.14,44.03,,
520.5,13772.72,6820.76,49.52,,520.5,13772.72,6150.00,44.65,,520.5,13772.72,5999.12,43.56,,520.5,13772.72,6323.29,45.91,,
521.9,13993.28,7190.14,51.38,,521.9,13993.28,6493.54,46.40,,521.9,13993.28,6332.29,45.25,,521.9,13993.28,6671.99,47.68,,
523.4,14243.35,7563.49,53.10,,523.4,14243.35,6842.55,48.04,,523.4,14243.35,6683.05,46.92,,523.4,14243.35,7029.70,49.35,,
524.8,14493.24,7940.85,54.79,,524.8,14493.24,7195.90,49.65,,524.8,14493.24,7019.97,48.44,,524.8,14493.24,7385.57,50.96,,
526.3,14778.04,8323.26,56.32,,526.3,14778.04,7548.56,51.08,,526.3,14778.04,7372.35,49.89,,526.3,14778.04,7748.06,52.43,,
527.8,15074.01,8698.39,57.70,,527.8,15074.01,7896.44,52.38,,527.8,15074.01,7712.73,51.17,,527.8,15074.01,8102.52,53.75,,
529.2,15339.71,9038.06,58.92,,529.2,15339.71,8212.46,53.54,,529.2,15339.71,8022.19,52.30,,529.2,15339.71,8424.24,54.92,,
530.7,15629.94,9384.51,60.04,,530.7,15629.94,8537.93,54.63,,530.7,15629.94,8334.88,53.33,,530.7,15629.94,8752.44,56.00,,
532.1,15903.48,9697.36,60.98,,532.1,15903.48,8837.85,55.57,,532.1,15903.48,8633.36,54.29,,532.1,15903.48,9056.19,56.94,,
533.6,16214.37,10031.01,61.86,,533.6,16214.37,9136.05,56.35,,533.6,16214.37,8922.48,55.03,,533.6,16214.37,9363.18,57.75,,
535.0,16534.98,10349.96,62.59,,535.0,16534.98,9436.93,57.07,,535.0,16534.98,9222.10,55.77,,535.0,16534.98,9669.66,58.48,,
536.5,16856.03,10652.56,63.20,,536.5,16856.03,9721.15,57.67,,536.5,16856.03,9500.74,56.36,,536.5,16856.03,9958.15,59.08,,
538.0,17178.24,10960.88,63.81,,538.0,17178.24,10013.28,58.29,,538.0,17178.24,9781.44,56.94,,538.0,17178.24,10251.87,59.68,,
539.4,17501.02,11242.30,64.24,,539.4,17501.02,10272.05,58.69,,539.4,17501.02,10040.03,57.37,,539.4,17501.02,10518.13,60.10,,
540.9,17879.62,11555.54,64.63,,540.9,17879.62,10560.78,59.07,,540.9,17879.62,10315.09,57.69,,540.9,17879.62,10810.47,60.46,,
542.3,18237.67,11825.39,64.84,,542.3,18237.67,10818.06,59.32,,542.3,18237.67,10569.79,57.96,,542.3,18237.67,11071.08,60.70,,
543.8,18504.51,12056.58,65.15,,543.8,18504.51,11025.64,59.58,,543.8,18504.51,10779.50,58.25,,543.8,18504.51,11287.24,61.00,,
545.2,18600.74,12180.51,65.48,,545.2,18600.74,11150.20,59.94,,545.2,18600.74,10896.07,58.58,,545.2,18600.74,11408.93,61.34,,
546.6,18637.00,12274.32,65.86,,546.6,18637.00,11229.62,60.25,,546.6,18637.00,10980.97,58.92,,546.6,18637.00,11494.97,61.68,,
548.1,18690.38,12356.52,66.11,,548.1,18690.38,11312.90,60.53,,548.1,18690.38,11062.43,59.19,,548.1,18690.38,11577.28,61.94,,
549.5,18745.60,12414.68,66.23,,549.5,18745.60,11392.29,60.77,,549.5,18745.60,11126.40,59.35,,549.5,18745.60,11644.46,62.12,,
551.0,18790.92,12479.86,66.41,,551.0,18790.92,11447.11,60.92,,551.0,18790.92,11181.07,59.50,,551.0,18790.92,11702.68,62.28,,
552.4,18868.34,12547.91,66.50,,552.4,18868.34,11509.09,61.00,,552.4,18868.34,11250.29,59.63,,552.4,18868.34,11769.10,62.37,,
553.9,18922.09,12583.70,66.50,,553.9,18922.09,11547.29,61.03,,553.9,18922.09,11275.21,59.59,,553.9,18922.09,11802.07,62.37,,
555.3,18999.63,12621.96,66.43,,555.3,18999.63,11584.76,60.97,,555.3,18999.63,11316.24,59.56,,555.3,18999.63,11840.99,62.32,,
556.8,19143.87,12670.71,66.19,,556.8,19143.87,11630.32,60.75,,556.8,19143.87,11368.50,59.38,,556.8,19143.87,11889.84,62.11,,
558.2,19276.31,12723.75,66.01,,558.2,19276.31,11677.50,60.58,,558.2,19276.31,11402.44,59.15,,558.2,19276.31,11934.56,61.91,,
559.6,19441.66,12770.52,65.69,,559.6,19441.66,11722.84,60.30,,559.6,19441.66,11446.87,58.88,,559.6,19441.66,11980.08,61.62,,
561.1,19660.88,12844.00,65.33,,561.1,19660.88,11797.50,60.00,,561.1,19660.88,11511.50,58.55,,561.1,19660.88,12051.00,61.29,,
562.5,19883.82,12928.97,65.02,,562.5,19883.82,11866.51,59.68,,562.5,19883.82,11578.06,58.23,,562.5,19883.82,12124.51,60.98,,
564.0,20177.05,13035.04,64.60,,564.0,20177.05,11957.24,59.26,,564.0,20177.05,11673.53,57.86,,564.0,20177.05,12221.94,60.57,,
565.4,20444.07,13103.64,64.10,,565.4,20444.07,12024.91,58.82,,565.4,20444.07,11732.42,57.39,,565.4,20444.07,12286.99,60.10,,
566.8,20774.24,13198.99,63.54,,566.8,20774.24,12106.27,58.28,,566.8,20774.24,11815.82,56.88,,566.8,20774.24,12373.69,59.56,,
568.3,21077.79,13251.46,62.87,,568.3,21077.79,12163.29,57.71,,568.3,21077.79,11859.80,56.27,,568.3,21077.79,12424.85,58.95,,
569.7,21403.31,13310.41,62.19,,569.7,21403.31,12199.49,57.00,,569.7,21403.31,11894.07,55.57,,569.7,21403.31,12467.99,58.25,,
571.1,21706.83,13327.94,61.40,,571.1,21706.83,12212.89,56.26,,571.1,21706.83,11909.36,54.86,,571.1,21706.83,12483.40,57.51,,
