name= \My Documents\HR1024_Data\GT4.,,,,,name= \My Documents\HR1024_Data\GT5.,,,,,name= \My Documents\HR1024_Data\GT6.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  400  60  30,,,,,integration= 200  60  30  400  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 31.05  8.88  -5.37  40.64  8.88  -5.24,,,,,temp= 31.05  8.88  -5.37  40.64  9.01  -5.30,,,,,temp= 31.05  8.88  -5.37  40.64  8.88  -5.24,,,,,
battery= 7.7  7.1,,,,,battery= 7.7  7.1,,,,,battery= 7.7  7.1,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/12/08 9:49:29 AM  1/12/08 10:15:59 AM,,,,,time= 1/12/08 9:49:29 AM  1/12/08 10:16:25 AM,,,,,time= 1/12/08 9:49:29 AM  1/12/08 10:16:50 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GT4:GT5:GT6
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,468.20,119.76,25.58,,346.4,468.20,183.14,39.12,,346.4,468.20,170.40,36.39,,346.4,468.20,157.77,33.70,,
347.9,473.76,121.74,25.70,,347.9,473.76,185.11,39.07,,347.9,473.76,174.13,36.75,,347.9,473.76,160.33,33.84,,
349.5,521.04,128.54,24.67,,349.5,521.04,185.64,35.63,,349.5,521.04,171.60,32.93,,349.5,521.04,161.93,31.08,,
351.1,558.48,122.30,21.90,,351.1,558.48,182.52,32.68,,351.1,558.48,168.48,30.17,,351.1,558.48,157.77,28.25,,
352.6,585.06,120.18,20.54,,352.6,585.06,197.66,33.78,,352.6,585.06,178.68,30.54,,352.6,585.06,165.51,28.29,,
354.2,625.05,125.66,20.10,,354.2,625.05,191.44,30.63,,354.2,625.05,186.53,29.84,,354.2,625.05,167.88,26.86,,
355.7,673.50,138.74,20.60,,355.7,673.50,208.79,31.00,,355.7,673.50,207.10,30.75,,355.7,673.50,184.88,27.45,,
357.3,724.71,147.02,20.29,,357.3,724.71,220.19,30.38,,357.3,724.71,209.78,28.95,,357.3,724.71,192.33,26.54,,
358.8,751.43,149.59,19.91,,358.8,751.43,216.69,28.84,,358.8,751.43,209.70,27.91,,358.8,751.43,191.99,25.55,,
360.4,798.47,153.36,19.21,,360.4,798.47,221.60,27.75,,360.4,798.47,216.33,27.09,,360.4,798.47,197.10,24.68,,
361.9,821.87,161.59,19.66,,361.9,821.87,233.33,28.39,,361.9,821.87,212.43,25.85,,361.9,821.87,202.45,24.63,,
363.5,851.78,156.51,18.37,,363.5,851.78,230.26,27.03,,363.5,851.78,221.60,26.02,,363.5,851.78,202.79,23.81,,
365.1,887.68,159.51,17.97,,365.1,887.68,232.32,26.17,,365.1,887.68,216.72,24.41,,365.1,887.68,202.85,22.85,,
366.6,918.37,153.29,16.69,,366.6,918.37,224.41,24.44,,366.6,918.37,224.41,24.44,,366.6,918.37,200.70,21.85,,
368.2,973.68,150.42,15.45,,368.2,973.68,229.99,23.62,,368.2,973.68,216.56,22.24,,368.2,973.68,198.99,20.44,,
369.7,1008.89,150.19,14.89,,369.7,1008.89,225.29,22.33,,369.7,1008.89,220.39,21.84,,369.7,1008.89,198.62,19.69,,
371.3,1073.36,146.19,13.62,,371.3,1073.36,232.12,21.63,,371.3,1073.36,230.48,21.47,,371.3,1073.36,202.93,18.91,,
372.8,1148.72,155.38,13.53,,372.8,1148.72,249.00,21.68,,372.8,1148.72,235.72,20.52,,372.8,1148.72,213.37,18.57,,
374.4,1191.49,153.53,12.89,,374.4,1191.49,245.31,20.59,,374.4,1191.49,236.96,19.89,,374.4,1191.49,211.93,17.79,,
375.9,1247.87,157.56,12.63,,375.9,1247.87,249.91,20.03,,375.9,1247.87,236.67,18.97,,375.9,1247.87,214.71,17.21,,
377.4,1278.23,153.52,12.01,,377.4,1278.23,250.44,19.59,,377.4,1278.23,235.81,18.45,,377.4,1278.23,213.26,16.68,,
