name= \My Documents\HR1024_Data\GD2S10.,,,,,name= \My Documents\HR1024_Data\GD2S11.,,,,,name= \My Documents\HR1024_Data\GD2S12.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.26  8.88  -5.37  42.81  8.88  -5.24,,,,,temp= 32.26  8.88  -5.37  42.89  8.88  -5.37,,,,,temp= 32.26  8.88  -5.37  42.89  8.94  -5.24,,,,,
battery= 7.0  6.5,,,,,battery= 7.0  6.4,,,,,battery= 7.0  6.4,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/15/08 9:53:06 AM  1/15/08 10:32:33 AM,,,,,time= 1/15/08 9:53:06 AM  1/15/08 10:33:32 AM,,,,,time= 1/15/08 9:53:06 AM  1/15/08 10:34:03 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GD2S10:GD2S11:GD2S12
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,200.66,39.38,,346.4,509.60,251.62,49.38,,346.4,509.60,257.99,50.63,,346.4,509.60,236.76,46.46,,
347.9,549.06,185.11,33.71,,347.9,549.06,238.45,43.43,,347.9,549.06,272.96,49.71,,347.9,549.06,232.17,42.29,,
349.5,608.40,196.56,32.31,,349.5,608.40,249.60,41.03,,349.5,608.40,280.80,46.15,,349.5,608.40,242.32,39.83,,
351.1,655.20,196.56,30.00,,351.1,655.20,252.72,38.57,,351.1,655.20,274.56,41.90,,351.1,655.20,241.28,36.83,,
352.6,708.40,208.73,29.46,,352.6,708.40,253.00,35.71,,352.6,708.40,300.44,42.41,,352.6,708.40,254.06,35.86,,
354.2,752.68,209.44,27.83,,354.2,752.68,274.89,36.52,,354.2,752.68,314.16,41.74,,354.2,752.68,266.16,35.36,,
355.7,818.30,225.62,27.57,,355.7,818.30,289.61,35.39,,355.7,818.30,326.65,39.92,,355.7,818.30,280.63,34.29,,
357.3,873.81,235.79,26.98,,357.3,873.81,305.14,34.92,,357.3,873.81,357.15,40.87,,357.3,873.81,299.36,34.26,,
358.8,891.23,241.16,27.06,,358.8,891.23,307.56,34.51,,358.8,891.23,346.01,38.82,,358.8,891.23,298.24,33.46,,
360.4,967.31,249.74,25.82,,360.4,967.31,327.13,33.82,,360.4,967.31,369.34,38.18,,360.4,967.31,315.40,32.61,,
361.9,1009.93,243.78,24.14,,361.9,1009.93,323.87,32.07,,361.9,1009.93,386.56,38.28,,361.9,1009.93,318.07,31.49,,
363.5,1059.53,252.76,23.86,,363.5,1059.53,322.01,30.39,,363.5,1059.53,384.34,36.27,,363.5,1059.53,319.70,30.17,,
365.1,1102.67,253.13,22.96,,365.1,1102.67,329.41,29.87,,365.1,1102.67,402.23,36.48,,365.1,1102.67,328.26,29.77,,
366.6,1156.59,255.49,22.09,,366.6,1156.59,338.35,29.25,,366.6,1156.59,397.04,34.33,,366.6,1156.59,330.29,28.56,,
368.2,1218.77,255.17,20.94,,368.2,1218.77,349.18,28.65,,368.2,1218.77,402.90,33.06,,368.2,1218.77,335.75,27.55,,
369.7,1306.00,244.88,18.75,,369.7,1306.00,359.15,27.50,,369.7,1306.00,430.98,33.00,,369.7,1306.00,345.00,26.42,,
371.3,1379.56,260.11,18.85,,371.3,1379.56,362.18,26.25,,371.3,1379.56,447.78,32.46,,371.3,1379.56,356.69,25.86,,
372.8,1457.48,272.24,18.68,,372.8,1457.48,385.12,26.42,,372.8,1457.48,458.16,31.44,,372.8,1457.48,371.84,25.51,,
374.4,1528.58,280.35,18.34,,374.4,1528.58,380.48,24.89,,374.4,1528.58,463.91,30.35,,374.4,1528.58,374.91,24.53,,
375.9,1575.56,274.73,17.44,,375.9,1575.56,397.20,25.21,,375.9,1575.56,493.19,31.30,,375.9,1575.56,388.37,24.65,,
377.4,1632.76,269.96,16.53,,377.4,1632.76,396.81,24.30,,377.4,1632.76,497.63,30.48,,377.4,1632.76,388.13,23.77,,
379.0,1683.54,289.61,17.20,,379.0,1683.54,407.36,24.20,,379.0,1683.54,490.11,29.11,,379.0,1683.54,395.69,23.50,,
380.5,1741.87,289.29,16.61,,380.5,1741.87,415.46,23.85,,380.5,1741.87,513.94,29.51,,380.5,1741.87,406.23,23.32,,
382.1,1805.51,277.77,15.38,,382.1,1805.51,419.61,23.24,,382.1,1805.51,517.13,28.64,,382.1,1805.51,404.84,22.42,,
383.6,1862.60,277.83,14.92,,383.6,1862.60,408.24,21.92,,383.6,1862.60,513.14,27.55,,383.6,1862.60,399.74,21.46,,
385.2,1949.75,297.00,15.23,,385.2,1949.75,431.75,22.14,,385.2,1949.75,539.00,27.64,,385.2,1949.75,422.58,21.67,,
386.7,2036.04,300.53,14.76,,386.7,2036.04,457.57,22.47,,386.7,2036.04,560.45,27.53,,386.7,2036.04,439.52,21.59,,
388.3,2135.96,307.08,14.38,,388.3,2135.96,464.69,21.76,,388.3,2135.96,595.13,27.86,,388.3,2135.96,455.63,21.33,,
389.8,2212.47,323.91,14.64,,389.8,2212.47,480.38,21.71,,389.8,2212.47,614.88,27.79,,389.8,2212.47,473.06,21.38,,
391.3,2314.34,331.42,14.32,,391.3,2314.34,506.87,21.90,,391.3,2314.34,646.12,27.92,,391.3,2314.34,494.80,21.38,,
392.9,2392.65,355.63,14.86,,392.9,2392.65,520.64,21.76,,392.9,2392.65,671.42,28.06,,392.9,2392.65,515.90,21.56,,
394.4,2474.90,367.97,14.87,,394.4,2474.90,543.05,21.94,,394.4,2474.90,685.49,27.70,,394.4,2474.90,532.17,21.50,,
395.9,2552.82,392.50,15.38,,395.9,2552.82,574.62,22.51,,395.9,2552.82,734.76,28.78,,395.9,2552.82,567.29,22.22,,
397.5,2664.75,416.67,15.64,,397.5,2664.75,594.32,22.30,,397.5,2664.75,762.28,28.61,,397.5,2664.75,591.09,22.18,,
399.0,2774.82,404.79,14.59,,399.0,2774.82,608.73,21.94,,399.0,2774.82,778.68,28.06,,399.0,2774.82,597.40,21.53,,
400.6,2852.64,410.35,14.38,,400.6,2852.64,611.28,21.43,,400.6,2852.64,792.40,27.78,,400.6,2852.64,604.68,21.20,,
402.1,2910.24,405.06,13.92,,402.1,2910.24,611.46,21.01,,402.1,2910.24,799.80,27.48,,402.1,2910.24,605.44,20.80,,
403.6,2965.71,407.58,13.74,,403.6,2965.71,618.56,20.86,,403.6,2965.71,803.16,27.08,,403.6,2965.71,609.77,20.56,,
405.1,3036.77,413.59,13.62,,405.1,3036.77,626.09,20.62,,405.1,3036.77,815.75,26.86,,405.1,3036.77,618.48,20.37,,
406.7,3133.76,421.12,13.44,,406.7,3133.76,642.88,20.51,,406.7,3133.76,840.00,26.80,,406.7,3133.76,634.67,20.25,,
408.2,3234.33,438.82,13.57,,408.2,3234.33,657.11,20.32,,408.2,3234.33,864.27,26.72,,408.2,3234.33,653.40,20.20,,
409.7,3330.88,445.76,13.38,,409.7,3330.88,683.20,20.51,,409.7,3330.88,896.00,26.90,,409.7,3330.88,674.99,20.26,,
411.3,3437.91,465.89,13.55,,411.3,3437.91,699.98,20.36,,411.3,3437.91,913.41,26.57,,411.3,3437.91,693.09,20.16,,
412.8,3528.93,485.85,13.77,,412.8,3528.93,732.33,20.75,,412.8,3528.93,957.48,27.13,,412.8,3528.93,725.22,20.55,,
414.3,3634.54,511.53,14.07,,414.3,3634.54,756.28,20.81,,414.3,3634.54,979.00,26.94,,414.3,3634.54,748.94,20.61,,
415.8,3740.00,525.00,14.04,,415.8,3740.00,777.50,20.79,,415.8,3740.00,1010.00,27.01,,415.8,3740.00,770.83,20.61,,
417.4,3868.37,546.48,14.13,,417.4,3868.37,799.48,20.67,,417.4,3868.37,1034.77,26.75,,417.4,3868.37,793.58,20.51,,
418.9,3954.39,554.07,14.01,,418.9,3954.39,822.25,20.79,,418.9,3954.39,1072.72,27.13,,418.9,3954.39,816.35,20.64,,
420.4,4037.85,568.29,14.07,,420.4,4037.85,830.00,20.56,,420.4,4037.85,1094.21,27.10,,420.4,4037.85,830.83,20.58,,
421.9,4106.74,578.38,14.08,,421.9,4106.74,834.90,20.33,,421.9,4106.74,1101.10,26.81,,421.9,4106.74,838.13,20.41,,
423.5,4196.00,579.08,13.80,,423.5,4196.00,849.94,20.26,,423.5,4196.00,1104.46,26.32,,423.5,4196.00,844.49,20.13,,
425.0,4263.51,579.86,13.60,,425.0,4263.51,865.29,20.30,,425.0,4263.51,1117.01,26.20,,425.0,4263.51,854.05,20.03,,
426.5,4364.50,586.95,13.45,,426.5,4364.50,870.75,19.95,,426.5,4364.50,1137.35,26.06,,426.5,4364.50,865.02,19.82,,
428.0,4488.82,603.44,13.44,,428.0,4488.82,886.68,19.75,,428.0,4488.82,1161.72,25.88,,428.0,4488.82,883.95,19.69,,
429.5,4615.58,602.38,13.05,,429.5,4615.58,906.53,19.64,,429.5,4615.58,1192.90,25.85,,429.5,4615.58,900.60,19.51,,
431.1,4756.23,626.94,13.18,,431.1,4756.23,928.80,19.53,,431.1,4756.23,1228.73,25.83,,431.1,4756.23,928.16,19.51,,
432.6,4917.76,645.96,13.14,,432.6,4917.76,955.48,19.43,,432.6,4917.76,1265.01,25.72,,432.6,4917.76,955.48,19.43,,
434.1,5064.68,669.90,13.23,,434.1,5064.68,995.23,19.65,,434.1,5064.68,1307.08,25.81,,434.1,5064.68,990.74,19.56,,
435.6,5199.35,692.73,13.32,,435.6,5199.35,1017.81,19.58,,435.6,5199.35,1340.96,25.79,,435.6,5199.35,1017.17,19.56,,
437.1,5333.25,711.75,13.35,,437.1,5333.25,1047.15,19.63,,437.1,5333.25,1382.55,25.92,,437.1,5333.25,1047.15,19.63,,
438.6,5454.84,734.91,13.47,,438.6,5454.84,1072.89,19.67,,438.6,5454.84,1420.70,26.04,,438.6,5454.84,1076.17,19.73,,
440.1,5584.70,757.32,13.56,,440.1,5584.70,1108.22,19.84,,440.1,5584.70,1459.12,26.13,,440.1,5584.70,1108.22,19.84,,
441.6,5717.14,790.99,13.84,,441.6,5717.14,1149.44,20.11,,441.6,5717.14,1503.88,26.30,,441.6,5717.14,1148.10,20.08,,
443.1,5852.25,826.20,14.12,,443.1,5852.25,1186.65,20.28,,443.1,5852.25,1557.23,26.61,,443.1,5852.25,1190.03,20.33,,
444.7,5982.11,861.05,14.39,,444.7,5982.11,1241.22,20.75,,444.7,5982.11,1611.12,26.93,,444.7,5982.11,1237.80,20.69,,
446.2,6104.50,900.94,14.76,,446.2,6104.50,1288.26,21.10,,446.2,6104.50,1662.95,27.24,,446.2,6104.50,1284.05,21.03,,
447.7,6213.60,955.77,15.38,,447.7,6213.60,1329.02,21.39,,447.7,6213.60,1719.53,27.67,,447.7,6213.60,1334.77,21.48,,
449.2,6315.84,995.76,15.77,,449.2,6315.84,1375.92,21.79,,449.2,6315.84,1769.04,28.01,,449.2,6315.84,1380.24,21.85,,
450.7,6414.72,1031.68,16.08,,450.7,6414.72,1420.64,22.15,,450.7,6414.72,1822.08,28.40,,450.7,6414.72,1424.80,22.21,,
452.2,6543.45,1076.82,16.46,,452.2,6543.45,1465.89,22.40,,452.2,6543.45,1878.54,28.71,,452.2,6543.45,1473.75,22.52,,
453.7,6682.65,1106.33,16.56,,453.7,6682.65,1517.94,22.71,,453.7,6682.65,1931.41,28.90,,453.7,6682.65,1518.56,22.72,,
455.2,6842.54,1152.39,16.84,,455.2,6842.54,1574.22,23.01,,455.2,6842.54,1994.25,29.14,,455.2,6842.54,1573.62,23.00,,
456.7,7029.44,1205.60,17.15,,456.7,7029.44,1636.80,23.28,,456.7,7029.44,2068.00,29.42,,456.7,7029.44,1636.80,23.28,,
458.2,7231.16,1258.20,17.40,,458.2,7231.16,1693.33,23.42,,458.2,7231.16,2147.68,29.70,,458.2,7231.16,1699.74,23.51,,
459.7,7428.75,1310.75,17.64,,459.7,7428.75,1757.00,23.65,,459.7,7428.75,2224.25,29.94,,459.7,7428.75,1764.00,23.75,,
461.2,7633.63,1360.82,17.83,,461.2,7633.63,1819.72,23.84,,461.2,7633.63,2303.33,30.17,,461.2,7633.63,1827.96,23.95,,
462.7,7815.14,1403.36,17.96,,462.7,7815.14,1875.92,24.00,,462.7,7815.14,2364.59,30.26,,462.7,7815.14,1881.29,24.07,,
464.2,8000.76,1442.04,18.02,,464.2,8000.76,1923.33,24.04,,464.2,8000.76,2428.41,30.35,,464.2,8000.76,1931.26,24.14,,
465.7,8191.53,1488.86,18.18,,465.7,8191.53,1984.52,24.23,,465.7,8191.53,2493.32,30.44,,465.7,8191.53,1988.90,24.28,,
467.2,8352.58,1528.45,18.30,,467.2,8352.58,2030.88,24.31,,467.2,8352.58,2550.63,30.54,,467.2,8352.58,2036.65,24.38,,
468.7,8552.00,1592.00,18.62,,468.7,8552.00,2088.00,24.42,,468.7,8552.00,2624.00,30.68,,468.7,8552.00,2101.33,24.57,,
470.2,8711.17,1635.90,18.78,,470.2,8711.17,2148.20,24.66,,470.2,8711.17,2679.86,30.76,,470.2,8711.17,2154.65,24.73,,
471.7,8854.00,1686.25,19.05,,471.7,8854.00,2211.13,24.97,,471.7,8854.00,2738.38,30.93,,471.7,8854.00,2211.92,24.98,,
473.2,9050.37,1739.50,19.22,,473.2,9050.37,2266.32,25.04,,473.2,9050.37,2815.51,31.11,,473.2,9050.37,2273.78,25.12,,
474.6,9252.88,1787.33,19.32,,474.6,9252.88,2297.99,24.84,,474.6,9252.88,2885.96,31.19,,474.6,9252.88,2323.76,25.11,,
476.1,9378.88,1818.96,19.39,,476.1,9378.88,2336.24,24.91,,476.1,9378.88,2938.32,31.33,,476.1,9378.88,2364.51,25.21,,
477.6,9464.51,1843.97,19.48,,477.6,9464.51,2376.41,25.11,,477.6,9464.51,2971.49,31.40,,477.6,9464.51,2397.29,25.33,,
479.1,9567.20,1876.84,19.62,,479.1,9567.20,2412.81,25.22,,479.1,9567.20,3006.68,31.43,,479.1,9567.20,2432.11,25.42,,
480.6,9658.16,1905.93,19.73,,480.6,9658.16,2438.07,25.24,,480.6,9658.16,3035.37,31.43,,480.6,9658.16,2459.79,25.47,,
482.1,9797.74,1945.80,19.86,,482.1,9797.74,2483.36,25.35,,482.1,9797.74,3087.90,31.52,,482.1,9797.74,2505.69,25.57,,
483.6,9963.22,1992.30,20.00,,483.6,9963.22,2538.47,25.48,,483.6,9963.22,3149.90,31.62,,483.6,9963.22,2560.22,25.70,,
485.1,10140.49,2059.97,20.31,,485.1,10140.49,2610.19,25.74,,485.1,10140.49,3225.83,31.81,,485.1,10140.49,2632.00,25.96,,
486.6,10356.19,2135.16,20.62,,486.6,10356.19,2698.61,26.06,,486.6,10356.19,3321.36,32.07,,486.6,10356.19,2718.38,26.25,,
488.0,10562.50,2219.75,21.02,,488.0,10562.50,2785.25,26.37,,488.0,10562.50,3432.00,32.49,,488.0,10562.50,2812.33,26.63,,
489.5,10784.97,2315.91,21.47,,489.5,10784.97,2897.31,26.86,,489.5,10784.97,3567.54,33.08,,489.5,10784.97,2926.92,27.14,,
491.0,10998.86,2418.75,21.99,,491.0,10998.86,3010.54,27.37,,491.0,10998.86,3702.30,33.66,,491.0,10998.86,3043.86,27.67,,
492.5,11224.98,2540.16,22.63,,492.5,11224.98,3155.76,28.11,,492.5,11224.98,3855.60,34.35,,492.5,11224.98,3183.84,28.36,,
494.0,11462.99,2673.23,23.32,,494.0,11462.99,3297.80,28.77,,494.0,11462.99,4010.66,34.99,,494.0,11462.99,3327.23,29.03,,
495.4,11663.85,2806.65,24.06,,495.4,11663.85,3443.55,29.52,,495.4,11663.85,4174.50,35.79,,495.4,11663.85,3474.90,29.79,,
496.9,11870.36,2957.57,24.92,,496.9,11870.36,3612.21,30.43,,496.9,11870.36,4358.70,36.72,,496.9,11870.36,3642.83,30.69,,
498.4,12074.30,3112.51,25.78,,498.4,12074.30,3794.59,31.43,,498.4,12074.30,4554.52,37.72,,498.4,12074.30,3820.54,31.64,,
