name= \My Documents\HR1024_Data\GD2T1.,,,,,name= \My Documents\HR1024_Data\GD2T2.,,,,,name= \My Documents\HR1024_Data\GD2T3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  400  60  30,,,,,integration= 200  60  30  400  60  30,,,,,integration= 200  60  30  400  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.26  8.88  -5.37  40.64  8.94  -5.24,,,,,temp= 32.26  8.88  -5.37  40.72  8.94  -5.24,,,,,temp= 32.26  8.88  -5.37  40.72  8.94  -5.24,,,,,
battery= 7.0  6.7,,,,,battery= 7.0  6.6,,,,,battery= 7.0  6.6,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/15/08 9:53:06 AM  1/15/08 10:20:03 AM,,,,,time= 1/15/08 9:53:06 AM  1/15/08 10:21:03 AM,,,,,time= 1/15/08 9:53:06 AM  1/15/08 10:21:03 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GD2T1:GD2T2:GD2T3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,157.66,30.94,,346.4,509.60,160.84,31.56,,346.4,509.60,160.84,31.56,,346.4,509.60,159.78,31.35,,
347.9,549.06,164.72,30.00,,347.9,549.06,166.29,30.29,,347.9,549.06,166.29,30.29,,347.9,549.06,165.77,30.19,,
349.5,608.40,159.12,26.15,,349.5,608.40,157.56,25.90,,349.5,608.40,157.56,25.90,,349.5,608.40,158.08,25.98,,
351.1,655.20,165.36,25.24,,351.1,655.20,162.24,24.76,,351.1,655.20,162.24,24.76,,351.1,655.20,163.28,24.92,,
352.6,708.40,167.61,23.66,,352.6,708.40,170.78,24.11,,352.6,708.40,170.78,24.11,,352.6,708.40,169.72,23.96,,
354.2,752.68,175.08,23.26,,354.2,752.68,170.17,22.61,,354.2,752.68,170.17,22.61,,354.2,752.68,171.81,22.83,,
355.7,818.30,185.21,22.63,,355.7,818.30,178.48,21.81,,355.7,818.30,178.48,21.81,,355.7,818.30,180.72,22.09,,
357.3,873.81,199.38,22.82,,357.3,873.81,192.45,22.02,,357.3,873.81,192.45,22.02,,357.3,873.81,194.76,22.29,,
358.8,891.23,192.23,21.57,,358.8,891.23,186.98,20.98,,358.8,891.23,186.98,20.98,,358.8,891.23,188.73,21.18,,
360.4,967.31,200.50,20.73,,360.4,967.31,198.74,20.55,,360.4,967.31,198.74,20.55,,360.4,967.31,199.33,20.61,,
361.9,1009.93,196.76,19.48,,361.9,1009.93,203.73,20.17,,361.9,1009.93,203.73,20.17,,361.9,1009.93,201.41,19.94,,
363.5,1059.53,206.02,19.44,,363.5,1059.53,197.36,18.63,,363.5,1059.53,197.36,18.63,,363.5,1059.53,200.25,18.90,,
365.1,1102.67,201.12,18.24,,365.1,1102.67,197.65,17.92,,365.1,1102.67,197.65,17.92,,365.1,1102.67,198.81,18.03,,
366.6,1156.59,205.42,17.76,,366.6,1156.59,201.97,17.46,,366.6,1156.59,201.97,17.46,,366.6,1156.59,203.12,17.56,,
368.2,1218.77,201.45,16.53,,368.2,1218.77,201.45,16.53,,368.2,1218.77,201.45,16.53,,368.2,1218.77,201.45,16.53,,
369.7,1306.00,202.43,15.50,,369.7,1306.00,195.90,15.00,,369.7,1306.00,195.90,15.00,,369.7,1306.00,198.08,15.17,,
371.3,1379.56,210.72,15.27,,371.3,1379.56,204.14,14.80,,371.3,1379.56,204.14,14.80,,371.3,1379.56,206.33,14.96,,
372.8,1457.48,205.84,14.12,,372.8,1457.48,204.18,14.01,,372.8,1457.48,204.18,14.01,,372.8,1457.48,204.73,14.05,,
374.4,1528.58,215.27,14.08,,374.4,1528.58,221.94,14.52,,374.4,1528.58,221.94,14.52,,374.4,1528.58,219.72,14.37,,
375.9,1575.56,216.81,13.76,,375.9,1575.56,225.08,14.29,,375.9,1575.56,225.08,14.29,,375.9,1575.56,222.32,14.11,,
377.4,1632.76,208.16,12.75,,377.4,1632.76,219.54,13.45,,377.4,1632.76,219.54,13.45,,377.4,1632.76,215.75,13.21,,
