name= \My Documents\HR1024_Data\GD3B1.,,,,,name= \My Documents\HR1024_Data\GD3B2.,,,,,name= \My Documents\HR1024_Data\GD3B3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.98  8.88  -5.37  39.67  8.94  -5.24,,,,,temp= 32.98  8.88  -5.37  39.67  8.88  -5.37,,,,,temp= 32.98  8.88  -5.37  40.15  8.88  -5.37,,,,,
battery= 7.6  7.2,,,,,battery= 7.6  7.2,,,,,battery= 7.6  7.2,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/26/08 10:33:54 AM  1/26/08 10:52:25 AM,,,,,time= 1/26/08 10:33:54 AM  1/26/08 10:52:47 AM,,,,,time= 1/26/08 10:33:54 AM  1/26/08 10:53:12 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GD3B1:GD3B2:GD3B3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,598.78,121.03,20.21,,346.4,598.78,118.48,19.79,,346.4,598.78,91.73,15.32,,346.4,598.78,110.41,18.44,,
347.9,627.50,115.46,18.40,,347.9,627.50,119.23,19.00,,347.9,627.50,91.62,14.60,,347.9,627.50,108.77,17.33,,
349.5,677.04,116.06,17.14,,349.5,677.04,113.57,16.77,,349.5,677.04,94.85,14.01,,349.5,677.04,108.16,15.98,,
351.1,739.44,118.56,16.03,,351.1,739.44,121.06,16.37,,351.1,739.44,96.10,13.00,,351.1,739.44,111.91,15.13,,
352.6,790.63,118.91,15.04,,352.6,790.63,120.18,15.20,,352.6,790.63,93.61,11.84,,352.6,790.63,110.90,14.03,,
354.2,841.03,121.74,14.47,,354.2,841.03,125.66,14.94,,354.2,841.03,103.41,12.30,,354.2,841.03,116.94,13.90,,
355.7,912.59,132.01,14.46,,355.7,912.59,133.35,14.61,,355.7,912.59,113.15,12.40,,355.7,912.59,126.17,13.83,,
357.3,974.37,134.54,13.81,,357.3,974.37,134.54,13.81,,357.3,974.37,109.57,11.25,,357.3,974.37,126.22,12.95,,
358.8,992.58,142.60,14.37,,358.8,992.58,134.21,13.52,,358.8,992.58,110.44,11.13,,358.8,992.58,129.08,13.00,,
360.4,1062.29,137.89,12.98,,360.4,1062.29,139.29,13.11,,360.4,1062.29,118.19,11.13,,360.4,1062.29,131.79,12.41,,
361.9,1117.88,136.51,12.21,,361.9,1117.88,139.30,12.46,,361.9,1117.88,119.80,10.72,,361.9,1117.88,131.87,11.80,,
363.5,1149.55,146.81,12.77,,363.5,1149.55,142.66,12.41,,363.5,1149.55,110.80,9.64,,363.5,1149.55,133.42,11.61,,
365.1,1196.29,148.41,12.41,,365.1,1196.29,140.09,11.71,,365.1,1196.29,119.28,9.97,,365.1,1196.29,135.93,11.36,,
366.6,1260.16,142.24,11.29,,366.6,1260.16,145.01,11.51,,366.6,1260.16,113.24,8.99,,366.6,1260.16,133.50,10.59,,
368.2,1349.72,138.33,10.25,,368.2,1349.72,147.73,10.95,,368.2,1349.72,114.16,8.46,,368.2,1349.72,133.41,9.88,,
369.7,1403.95,135.82,9.67,,369.7,1403.95,147.58,10.51,,369.7,1403.95,124.07,8.84,,369.7,1403.95,135.82,9.67,,
371.3,1488.21,143.55,9.65,,371.3,1488.21,138.29,9.29,,371.3,1488.21,118.53,7.96,,371.3,1488.21,133.46,8.97,,
372.8,1577.00,150.06,9.52,,372.8,1577.00,142.10,9.01,,372.8,1577.00,123.50,7.83,,372.8,1577.00,138.55,8.79,,
374.4,1638.71,156.20,9.53,,374.4,1638.71,152.19,9.29,,374.4,1638.71,132.17,8.07,,374.4,1638.71,146.85,8.96,,
375.9,1688.10,152.26,9.02,,375.9,1688.10,154.91,9.18,,375.9,1688.10,124.46,7.37,,375.9,1688.10,143.88,8.52,,
377.4,1740.09,147.01,8.45,,377.4,1740.09,157.42,9.05,,377.4,1740.09,120.99,6.95,,377.4,1740.09,141.81,8.15,,
379.0,1788.57,152.76,8.54,,379.0,1788.57,146.40,8.19,,379.0,1788.57,119.66,6.69,,379.0,1788.57,139.61,7.81,,
380.5,1855.73,150.18,8.09,,380.5,1855.73,148.95,8.03,,380.5,1855.73,130.49,7.03,,380.5,1855.73,143.21,7.72,,
382.1,1905.98,143.02,7.50,,382.1,1905.98,150.11,7.88,,382.1,1905.98,118.20,6.20,,382.1,1905.98,137.11,7.19,,
383.6,1973.16,145.15,7.36,,383.6,1973.16,142.88,7.24,,383.6,1973.16,119.07,6.03,,383.6,1973.16,135.70,6.88,,
385.2,2065.25,143.00,6.92,,385.2,2065.25,155.10,7.51,,385.2,2065.25,123.20,5.97,,385.2,2065.25,140.43,6.80,,
