name= \My Documents\HR1024_Data\GD3S10.,,,,,name= \My Documents\HR1024_Data\GD3S11.,,,,,name= \My Documents\HR1024_Data\GD3S12.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  400  60  30,,,,,integration= 200  60  30  400  60  30,,,,,integration= 200  60  30  400  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.98  8.88  -5.37  39.35  8.88  -5.37,,,,,temp= 32.98  8.88  -5.37  39.67  8.88  -5.37,,,,,temp= 32.98  8.88  -5.37  39.67  8.94  -5.30,,,,,
battery= 7.6  7.3,,,,,battery= 7.6  7.3,,,,,battery= 7.6  7.3,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/26/08 10:33:54 AM  1/26/08 10:50:28 AM,,,,,time= 1/26/08 10:33:54 AM  1/26/08 10:50:52 AM,,,,,time= 1/26/08 10:33:54 AM  1/26/08 10:51:19 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GD3S10:GD3S11:GD3S12
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,598.78,148.10,24.73,,346.4,598.78,184.73,30.85,,346.4,598.78,168.81,28.19,,346.4,598.78,167.21,27.93,,
347.9,627.50,150.60,24.00,,347.9,627.50,188.25,30.00,,347.9,627.50,161.58,25.75,,347.9,627.50,166.81,26.58,,
349.5,677.04,148.20,21.89,,349.5,677.04,187.20,27.65,,349.5,677.04,162.24,23.96,,349.5,677.04,165.88,24.50,,
351.1,739.44,152.88,20.68,,351.1,739.44,190.32,25.74,,351.1,739.44,162.24,21.94,,351.1,739.44,168.48,22.78,,
352.6,790.63,159.71,20.20,,352.6,790.63,196.08,24.80,,352.6,790.63,164.45,20.80,,352.6,790.63,173.41,21.93,,
354.2,841.03,160.35,19.07,,354.2,841.03,212.71,25.29,,354.2,841.03,176.72,21.01,,354.2,841.03,183.26,21.79,,
355.7,912.59,173.43,19.00,,355.7,912.59,210.47,23.06,,355.7,912.59,181.85,19.93,,355.7,912.59,188.58,20.66,,
357.3,974.37,169.91,17.44,,357.3,974.37,223.65,22.95,,357.3,974.37,192.45,19.75,,357.3,974.37,195.34,20.05,,
358.8,992.58,166.01,16.73,,358.8,992.58,228.92,23.06,,358.8,992.58,185.24,18.66,,358.8,992.58,193.39,19.48,,
360.4,1062.29,182.91,17.22,,360.4,1062.29,239.19,22.52,,360.4,1062.29,195.22,18.38,,360.4,1062.29,205.77,19.37,,
361.9,1117.88,186.31,16.67,,361.9,1117.88,242.03,21.65,,361.9,1117.88,193.28,17.29,,361.9,1117.88,207.21,18.54,,
363.5,1149.55,180.05,15.66,,363.5,1149.55,244.11,21.23,,363.5,1149.55,204.29,17.77,,363.5,1149.55,209.48,18.22,,
365.1,1196.29,180.31,15.07,,365.1,1196.29,240.99,20.14,,365.1,1196.29,202.85,16.96,,365.1,1196.29,208.05,17.39,,
366.6,1260.16,179.53,14.25,,366.6,1260.16,243.40,19.32,,366.6,1260.16,191.61,15.21,,366.6,1260.16,204.85,16.26,,
368.2,1349.72,188.02,13.93,,368.2,1349.72,248.46,18.41,,368.2,1349.72,194.74,14.43,,368.2,1349.72,210.41,15.59,,
369.7,1403.95,182.84,13.02,,369.7,1403.95,254.67,18.14,,369.7,1403.95,192.64,13.72,,369.7,1403.95,210.05,14.96,,
371.3,1488.21,179.44,12.06,,371.3,1488.21,256.82,17.26,,371.3,1488.21,200.84,13.50,,371.3,1488.21,212.37,14.27,,
372.8,1577.00,185.92,11.79,,372.8,1577.00,263.94,16.74,,372.8,1577.00,200.86,12.74,,372.8,1577.00,216.91,13.75,,
374.4,1638.71,195.24,11.91,,374.4,1638.71,273.68,16.70,,374.4,1638.71,201.92,12.32,,374.4,1638.71,223.61,13.65,,
375.9,1688.10,188.67,11.18,,375.9,1688.10,276.39,16.37,,375.9,1688.10,205.22,12.16,,375.9,1688.10,223.43,13.24,,
377.4,1740.09,190.27,10.93,,377.4,1740.09,281.34,16.17,,377.4,1740.09,204.91,11.78,,377.4,1740.09,225.51,12.96,,
