name= \My Documents\HR1024_Data\GD3T1.,,,,,name= \My Documents\HR1024_Data\GD3T2.,,,,,name= \My Documents\HR1024_Data\GD3T3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.98  8.88  -5.37  35.08  8.88  -5.37,,,,,temp= 32.98  8.88  -5.37  35.56  8.94  -5.37,,,,,temp= 32.98  8.88  -5.37  35.88  8.81  -5.37,,,,,
battery= 7.6  7.5,,,,,battery= 7.6  7.5,,,,,battery= 7.6  7.5,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/26/08 10:33:54 AM  1/26/08 10:36:28 AM,,,,,time= 1/26/08 10:33:54 AM  1/26/08 10:37:27 AM,,,,,time= 1/26/08 10:33:54 AM  1/26/08 10:37:52 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GD3T1:GD3T2:GD3T3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,598.78,127.40,21.28,,346.4,598.78,124.85,20.85,,346.4,598.78,127.40,21.28,,346.4,598.78,126.55,21.13,,
347.9,627.50,129.27,20.60,,347.9,627.50,125.50,20.00,,347.9,627.50,128.01,20.40,,347.9,627.50,127.59,20.33,,
349.5,677.04,117.31,17.33,,349.5,677.04,127.30,18.80,,349.5,677.04,128.54,18.99,,349.5,677.04,124.38,18.37,,
351.1,739.44,128.54,17.38,,351.1,739.44,124.80,16.88,,351.1,739.44,131.04,17.72,,351.1,739.44,128.13,17.33,,
352.6,790.63,131.56,16.64,,352.6,790.63,140.42,17.76,,352.6,790.63,130.30,16.48,,352.6,790.63,134.09,16.96,,
354.2,841.03,128.28,15.25,,354.2,841.03,133.52,15.88,,354.2,841.03,140.06,16.65,,354.2,841.03,133.95,15.93,,
355.7,912.59,146.82,16.09,,355.7,912.59,141.44,15.50,,355.7,912.59,140.09,15.35,,355.7,912.59,142.78,15.65,,
357.3,974.37,145.64,14.95,,357.3,974.37,140.09,14.38,,357.3,974.37,145.64,14.95,,357.3,974.37,143.79,14.76,,
358.8,992.58,152.38,15.35,,358.8,992.58,153.78,15.49,,358.8,992.58,153.78,15.49,,358.8,992.58,153.31,15.45,,
360.4,1062.29,153.36,14.44,,360.4,1062.29,158.99,14.97,,360.4,1062.29,164.62,15.50,,360.4,1062.29,158.99,14.97,,
361.9,1117.88,143.48,12.83,,361.9,1117.88,160.20,14.33,,361.9,1117.88,161.59,14.45,,361.9,1117.88,155.09,13.87,,
363.5,1149.55,146.81,12.77,,363.5,1149.55,159.28,13.86,,363.5,1149.55,155.12,13.49,,363.5,1149.55,153.74,13.37,,
365.1,1196.29,149.80,12.52,,365.1,1196.29,163.67,13.68,,365.1,1196.29,165.05,13.80,,365.1,1196.29,159.51,13.33,,
366.6,1260.16,158.82,12.60,,366.6,1260.16,157.43,12.49,,366.6,1260.16,161.58,12.82,,366.6,1260.16,159.28,12.64,,
368.2,1349.72,155.79,11.54,,368.2,1349.72,155.79,11.54,,368.2,1349.72,159.82,11.84,,368.2,1349.72,157.13,11.64,,
369.7,1403.95,151.50,10.79,,369.7,1403.95,158.03,11.26,,369.7,1403.95,167.17,11.91,,369.7,1403.95,158.90,11.32,,
371.3,1488.21,155.41,10.44,,371.3,1488.21,163.31,10.97,,371.3,1488.21,176.48,11.86,,371.3,1488.21,165.07,11.09,,
372.8,1577.00,154.05,9.77,,372.8,1577.00,172.64,10.95,,372.8,1577.00,181.94,11.54,,372.8,1577.00,169.54,10.75,,
374.4,1638.71,161.54,9.86,,374.4,1638.71,176.22,10.75,,374.4,1638.71,176.22,10.75,,374.4,1638.71,171.33,10.45,,
375.9,1688.10,165.50,9.80,,375.9,1688.10,172.12,10.20,,375.9,1688.10,182.71,10.82,,375.9,1688.10,173.44,10.27,,
377.4,1740.09,162.63,9.35,,377.4,1740.09,173.03,9.94,,377.4,1740.09,180.84,10.39,,377.4,1740.09,172.17,9.89,,
