name= \My Documents\HR1024_Data\GD3T4.,,,,,name= \My Documents\HR1024_Data\GD3T5.,,,,,name= \My Documents\HR1024_Data\GD3T6.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.98  8.88  -5.37  36.45  8.88  -5.37,,,,,temp= 32.98  8.88  -5.37  36.61  9.01  -5.44,,,,,temp= 32.98  8.88  -5.37  36.85  8.88  -5.37,,,,,
battery= 7.6  7.4,,,,,battery= 7.6  7.4,,,,,battery= 7.6  7.4,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/26/08 10:33:54 AM  1/26/08 10:39:24 AM,,,,,time= 1/26/08 10:33:54 AM  1/26/08 10:39:47 AM,,,,,time= 1/26/08 10:33:54 AM  1/26/08 10:40:12 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GD3T4:GD3T5:GD3T6
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,598.78,89.18,14.89,,346.4,598.78,87.91,14.68,,346.4,598.78,95.55,15.96,,346.4,598.78,90.88,15.18,,
347.9,627.50,87.85,14.00,,347.9,627.50,89.11,14.20,,347.9,627.50,94.13,15.00,,347.9,627.50,90.36,14.40,,
349.5,677.04,89.86,13.27,,349.5,677.04,99.84,14.75,,349.5,677.04,98.59,14.56,,349.5,677.04,96.10,14.19,,
351.1,739.44,97.34,13.16,,351.1,739.44,89.86,12.15,,351.1,739.44,97.34,13.16,,351.1,739.44,94.85,12.83,,
352.6,790.63,107.53,13.60,,352.6,790.63,103.73,13.12,,352.6,790.63,106.26,13.44,,352.6,790.63,105.84,13.39,,
354.2,841.03,102.10,12.14,,354.2,841.03,98.18,11.67,,354.2,841.03,106.03,12.61,,354.2,841.03,102.10,12.14,,
355.7,912.59,109.11,11.96,,355.7,912.59,107.76,11.81,,355.7,912.59,109.11,11.96,,355.7,912.59,108.66,11.91,,
357.3,974.37,116.51,11.96,,357.3,974.37,110.96,11.39,,357.3,974.37,122.06,12.53,,357.3,974.37,116.51,11.96,,
358.8,992.58,117.43,11.83,,358.8,992.58,107.65,10.85,,358.8,992.58,120.23,12.11,,358.8,992.58,115.10,11.60,,
360.4,1062.29,118.19,11.13,,360.4,1062.29,116.78,10.99,,360.4,1062.29,116.78,10.99,,360.4,1062.29,117.25,11.04,,
361.9,1117.88,112.83,10.09,,361.9,1117.88,115.62,10.34,,361.9,1117.88,119.80,10.72,,361.9,1117.88,116.08,10.38,,
363.5,1149.55,127.42,11.08,,363.5,1149.55,121.88,10.60,,363.5,1149.55,121.88,10.60,,363.5,1149.55,123.73,10.76,,
365.1,1196.29,116.51,9.74,,365.1,1196.29,113.73,9.51,,365.1,1196.29,124.83,10.43,,365.1,1196.29,118.36,9.89,,
366.6,1260.16,121.53,9.64,,366.6,1260.16,122.91,9.75,,366.6,1260.16,128.43,10.19,,366.6,1260.16,124.29,9.86,,
368.2,1349.72,124.90,9.25,,368.2,1349.72,112.81,8.36,,368.2,1349.72,124.90,9.25,,368.2,1349.72,120.87,8.96,,
369.7,1403.95,121.46,8.65,,369.7,1403.95,122.76,8.74,,369.7,1403.95,121.46,8.65,,369.7,1403.95,121.89,8.68,,
371.3,1488.21,130.38,8.76,,371.3,1488.21,111.95,7.52,,371.3,1488.21,125.12,8.41,,371.3,1488.21,122.48,8.23,,
372.8,1577.00,134.13,8.51,,372.8,1577.00,122.18,7.75,,372.8,1577.00,122.18,7.75,,372.8,1577.00,126.16,8.00,,
374.4,1638.71,137.51,8.39,,374.4,1638.71,129.50,7.90,,374.4,1638.71,126.83,7.74,,374.4,1638.71,131.28,8.01,,
375.9,1688.10,129.75,7.69,,375.9,1688.10,132.40,7.84,,375.9,1688.10,119.16,7.06,,375.9,1688.10,127.10,7.53,,
377.4,1740.09,126.20,7.25,,377.4,1740.09,123.60,7.10,,377.4,1740.09,135.30,7.78,,377.4,1740.09,128.37,7.38,,
