name= \My Documents\HR1024_Data\GD4B1.,,,,,name= \My Documents\HR1024_Data\GD4B2.,,,,,name= \My Documents\HR1024_Data\GD4B3.,,,,,name= \My Documents\HR1024_Data\GD4B4.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 0  0  0  500  60  1,,,,,integration= 0  0  0  500  60  1,,,,,integration= 0  0  0  500  60  1,,,,,integration= 0  0  0  500  60  1,,,,,
scan time= 0  1,,,,,scan time= 0  1,,,,,scan time= 0  1,,,,,scan time= 0  1,,,,,
scan settings=     AD  AI,,,,,scan settings=     AD  AI,,,,,scan settings=     AD  AI,,,,,scan settings=     AD  AI,,,,,
external data set1= 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,external data set1= 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,external data set1= 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,external data set1= 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic=   LENS4 ,,,,,optic=   LENS4 ,,,,,optic=   LENS4 ,,,,,optic=   LENS4 ,,,,,
temp= 0.00  0.00  0.00  35.88  8.94  -5.30,,,,,temp= 0.00  0.00  0.00  35.88  8.88  -5.37,,,,,temp= 0.00  0.00  0.00  35.88  8.88  -5.37,,,,,temp= 0.00  0.00  0.00  35.88  8.88  -5.37,,,,,
battery= 0.0  5.2,,,,,battery= 0.0  5.1,,,,,battery= 0.0  5.1,,,,,battery= 0.0  5.0,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time=   2/3/08 10:15:17 AM,,,,,time=   2/3/08 10:15:37 AM,,,,,time=   2/3/08 10:15:58 AM,,,,,time=   2/3/08 10:16:20 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 2  0,,,,,memory slot= 2  0,,,,,memory slot= 2  0,,,,,memory slot= 2  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GD4B1:GD4B2:GD4B3:GD4B4
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,1.00,31.85,3185.00,,346.4,1.00,2.55,254.80,,346.4,1.00,-210.21,-21021.00,,346.4,1.00,-402.58,-40258.40,,346.4,1.00,-144.60,-14459.75,,
347.9,1.00,31.38,3137.50,,347.9,1.00,8.79,878.50,,347.9,1.00,-204.57,-20456.50,,347.9,1.00,-390.31,-39030.50,,347.9,1.00,-138.68,-13867.75,,
349.5,1.00,31.20,3120.00,,349.5,1.00,4.99,499.20,,349.5,1.00,-208.42,-20841.60,,349.5,1.00,-393.12,-39312.00,,349.5,1.00,-141.34,-14133.75,,
351.1,1.00,29.95,2995.20,,351.1,1.00,13.73,1372.80,,351.1,1.00,-199.68,-19968.00,,351.1,1.00,-400.61,-40060.80,,351.1,1.00,-139.15,-13915.25,,
352.6,1.00,34.16,3415.50,,352.6,1.00,11.39,1138.50,,352.6,1.00,-213.79,-21378.50,,352.6,1.00,-403.54,-40353.50,,352.6,1.00,-142.95,-14294.50,,
354.2,1.00,44.51,4450.60,,354.2,1.00,9.16,916.30,,354.2,1.00,-215.99,-21598.50,,354.2,1.00,-411.03,-41102.60,,354.2,1.00,-143.34,-14333.75,,
355.7,1.00,43.10,4310.40,,355.7,1.00,13.47,1347.00,,355.7,1.00,-215.52,-21552.00,,355.7,1.00,-424.31,-42430.50,,355.7,1.00,-145.82,-14581.50,,
357.3,1.00,36.06,3606.20,,357.3,1.00,15.26,1525.70,,357.3,1.00,-223.31,-22330.70,,357.3,1.00,-434.13,-43413.10,,357.3,1.00,-151.53,-15153.00,,
358.8,1.00,39.14,3914.40,,358.8,1.00,11.18,1118.40,,358.8,1.00,-223.68,-22368.00,,358.8,1.00,-431.98,-43198.20,,358.8,1.00,-151.34,-15133.50,,
360.4,1.00,37.99,3798.90,,360.4,1.00,11.26,1125.60,,360.4,1.00,-226.53,-22652.70,,360.4,1.00,-440.39,-44039.10,,360.4,1.00,-154.42,-15441.75,,
361.9,1.00,39.00,3900.40,,361.9,1.00,12.54,1253.70,,361.9,1.00,-221.49,-22148.70,,361.9,1.00,-434.62,-43461.60,,361.9,1.00,-151.14,-15114.25,,
363.5,1.00,36.01,3601.00,,363.5,1.00,18.01,1800.50,,363.5,1.00,-224.37,-22437.00,,363.5,1.00,-427.97,-42796.50,,363.5,1.00,-149.58,-14958.00,,
365.1,1.00,45.77,4577.10,,365.1,1.00,20.81,2080.50,,365.1,1.00,-216.37,-21637.20,,365.1,1.00,-424.42,-42442.20,,365.1,1.00,-143.55,-14355.25,,
366.6,1.00,45.57,4557.30,,366.6,1.00,20.72,2071.50,,366.6,1.00,-211.29,-21129.30,,366.6,1.00,-421.21,-42120.50,,366.6,1.00,-141.55,-14155.25,,
368.2,1.00,51.03,5103.40,,368.2,1.00,33.58,3357.50,,368.2,1.00,-212.19,-21219.40,,368.2,1.00,-413.64,-41364.40,,368.2,1.00,-135.31,-13530.50,,
369.7,1.00,48.32,4832.20,,369.7,1.00,28.73,2873.20,,369.7,1.00,-207.65,-20765.40,,369.7,1.00,-403.55,-40355.40,,369.7,1.00,-133.54,-13353.75,,
371.3,1.00,59.27,5926.50,,371.3,1.00,27.66,2765.70,,371.3,1.00,-194.92,-19491.60,,371.3,1.00,-403.00,-40300.20,,371.3,1.00,-127.75,-12774.75,,
372.8,1.00,49.14,4913.60,,372.8,1.00,29.22,2921.60,,372.8,1.00,-205.84,-20584.00,,372.8,1.00,-405.04,-40504.00,,372.8,1.00,-133.13,-13313.00,,
374.4,1.00,58.74,5874.00,,374.4,1.00,26.70,2670.00,,374.4,1.00,-200.25,-20025.00,,374.4,1.00,-404.51,-40450.50,,374.4,1.00,-129.83,-12983.00,,
375.9,1.00,64.88,6487.60,,375.9,1.00,37.07,3707.20,,375.9,1.00,-198.60,-19860.00,,375.9,1.00,-397.20,-39720.00,,375.9,1.00,-123.46,-12346.25,,
377.4,1.00,55.94,5594.30,,377.4,1.00,37.73,3772.90,,377.4,1.00,-204.26,-20425.70,,377.4,1.00,-390.30,-39030.00,,377.4,1.00,-125.22,-12522.25,,
379.0,1.00,63.65,6365.00,,379.0,1.00,45.83,4582.80,,379.0,1.00,-188.40,-18840.40,,379.0,1.00,-383.17,-38317.30,,379.0,1.00,-115.52,-11552.25,,
380.5,1.00,59.09,5908.80,,380.5,1.00,33.24,3323.70,,380.5,1.00,-189.57,-18957.40,,380.5,1.00,-364.38,-36437.60,,380.5,1.00,-115.41,-11540.50,,
382.1,1.00,57.92,5791.80,,382.1,1.00,49.64,4964.40,,382.1,1.00,-166.66,-16666.20,,382.1,1.00,-347.51,-34750.80,,382.1,1.00,-101.65,-10165.25,,
383.6,1.00,63.50,6350.40,,383.6,1.00,43.09,4309.20,,383.6,1.00,-153.09,-15309.00,,383.6,1.00,-325.46,-32545.80,,383.6,1.00,-92.99,-9299.00,,
385.2,1.00,64.90,6490.00,,385.2,1.00,56.10,5610.00,,385.2,1.00,-147.40,-14740.00,,385.2,1.00,-313.50,-31350.00,,385.2,1.00,-84.98,-8497.50,,
