name= \My Documents\HR1024_Data\GD4S1.,,,,,name= \My Documents\HR1024_Data\GD4S2.,,,,,name= \My Documents\HR1024_Data\GD4S3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 0  0  0  500  60  1,,,,,integration= 0  0  0  500  60  1,,,,,integration= 0  0  0  500  60  1,,,,,
scan time= 0  1,,,,,scan time= 0  1,,,,,scan time= 0  1,,,,,
scan settings=     AD  AI,,,,,scan settings=     AD  AI,,,,,scan settings=     AD  AI,,,,,
external data set1= 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,external data set1= 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,external data set1= 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic=   LENS4 ,,,,,optic=   LENS4 ,,,,,optic=   LENS4 ,,,,,
temp= 0.00  0.00  0.00  34.35  8.94  -5.37,,,,,temp= 0.00  0.00  0.00  34.59  8.94  -5.37,,,,,temp= 0.00  0.00  0.00  34.68  8.94  -5.37,,,,,
battery= 0.0  6.2,,,,,battery= 0.0  6.2,,,,,battery= 0.0  6.1,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time=   2/3/08 10:06:21 AM,,,,,time=   2/3/08 10:06:45 AM,,,,,time=   2/3/08 10:07:08 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 2  0,,,,,memory slot= 2  0,,,,,memory slot= 2  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GD4S1:GD4S2:GD4S3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,1.00,98.10,9809.80,,346.4,1.00,103.19,10319.40,,346.4,1.00,101.92,10192.00,,346.4,1.00,101.07,10107.00,,
347.9,1.00,95.38,9538.00,,347.9,1.00,91.62,9161.50,,347.9,1.00,99.15,9914.50,,347.9,1.00,95.38,9538.33,,
349.5,1.00,99.84,9984.00,,349.5,1.00,102.34,10233.60,,349.5,1.00,93.60,9360.00,,349.5,1.00,98.59,9859.33,,
351.1,1.00,94.85,9484.80,,351.1,1.00,103.58,10358.40,,351.1,1.00,97.34,9734.40,,351.1,1.00,98.59,9859.00,,
352.6,1.00,105.00,10499.50,,352.6,1.00,99.94,9993.50,,352.6,1.00,106.26,10626.00,,352.6,1.00,103.73,10373.33,,
354.2,1.00,100.79,10079.30,,354.2,1.00,104.72,10472.00,,354.2,1.00,102.10,10210.20,,354.2,1.00,102.54,10253.67,,
355.7,1.00,102.37,10237.20,,355.7,1.00,105.07,10506.60,,355.7,1.00,115.84,11584.20,,355.7,1.00,107.76,10776.00,,
357.3,1.00,117.90,11789.50,,357.3,1.00,110.96,11096.00,,357.3,1.00,115.12,11512.10,,357.3,1.00,114.66,11466.00,,
358.8,1.00,114.64,11463.60,,358.8,1.00,113.24,11323.80,,358.8,1.00,118.83,11883.00,,358.8,1.00,115.57,11557.00,,
360.4,1.00,118.19,11818.80,,360.4,1.00,122.41,12240.90,,360.4,1.00,118.19,11818.80,,360.4,1.00,119.60,11959.67,,
361.9,1.00,125.37,12537.00,,361.9,1.00,119.80,11979.80,,361.9,1.00,122.58,12258.40,,361.9,1.00,122.58,12258.33,,
363.5,1.00,123.27,12326.50,,363.5,1.00,127.42,12742.00,,363.5,1.00,119.11,11911.00,,363.5,1.00,123.27,12326.67,,
365.1,1.00,123.44,12344.30,,365.1,1.00,122.06,12205.60,,365.1,1.00,135.93,13592.60,,365.1,1.00,127.14,12714.33,,
366.6,1.00,122.91,12290.90,,366.6,1.00,127.05,12705.20,,366.6,1.00,131.20,13119.50,,366.6,1.00,127.05,12705.33,,
368.2,1.00,127.59,12758.50,,368.2,1.00,119.53,11952.70,,368.2,1.00,119.53,11952.70,,368.2,1.00,122.22,12221.67,,
369.7,1.00,124.07,12407.00,,369.7,1.00,118.85,11884.60,,369.7,1.00,122.76,12276.40,,369.7,1.00,121.89,12189.33,,
371.3,1.00,134.33,13433.40,,371.3,1.00,129.07,12906.60,,371.3,1.00,138.29,13828.50,,371.3,1.00,133.90,13389.67,,
372.8,1.00,120.85,12084.80,,372.8,1.00,132.80,13280.00,,372.8,1.00,143.42,14342.40,,372.8,1.00,132.36,13235.67,,
374.4,1.00,132.17,13216.50,,374.4,1.00,137.51,13750.50,,374.4,1.00,138.84,13884.00,,374.4,1.00,136.17,13617.33,,
375.9,1.00,132.40,13240.00,,375.9,1.00,140.34,14034.40,,375.9,1.00,142.99,14299.20,,375.9,1.00,138.58,13857.67,,
377.4,1.00,145.71,14571.20,,377.4,1.00,136.61,13660.50,,377.4,1.00,135.30,13530.40,,377.4,1.00,139.21,13920.67,,
379.0,1.00,145.12,14512.20,,379.0,1.00,148.94,14894.10,,379.0,1.00,151.49,15148.70,,379.0,1.00,148.52,14851.67,,
380.5,1.00,145.26,14525.80,,380.5,1.00,144.03,14402.70,,380.5,1.00,141.57,14156.50,,380.5,1.00,143.62,14362.00,,
382.1,1.00,140.66,14065.80,,382.1,1.00,150.11,15011.40,,382.1,1.00,144.20,14420.40,,382.1,1.00,144.99,14499.00,,
383.6,1.00,149.69,14968.80,,383.6,1.00,144.02,14401.80,,383.6,1.00,147.42,14742.00,,383.6,1.00,147.04,14704.33,,
385.2,1.00,148.50,14850.00,,385.2,1.00,150.70,15070.00,,385.2,1.00,151.80,15180.00,,385.2,1.00,150.33,15033.33,,
386.7,1.00,161.37,16136.70,,386.7,1.00,157.04,15703.50,,386.7,1.00,163.53,16353.30,,386.7,1.00,160.65,16064.67,,
388.3,1.00,167.40,16739.80,,388.3,1.00,156.53,15652.80,,388.3,1.00,159.79,15978.90,,388.3,1.00,161.24,16124.00,,
389.8,1.00,177.88,17787.60,,389.8,1.00,172.39,17238.60,,389.8,1.00,171.29,17128.80,,389.8,1.00,173.85,17385.33,,
391.3,1.00,177.13,17712.60,,391.3,1.00,174.90,17489.80,,391.3,1.00,181.58,18158.20,,391.3,1.00,177.87,17787.00,,
