name= \My Documents\HR1024_Data\GD4T4.,,,,,name= \My Documents\HR1024_Data\GD4T5.,,,,,name= \My Documents\HR1024_Data\GD4T6.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 0  0  0  500  60  1,,,,,integration= 0  0  0  500  60  1,,,,,integration= 0  0  0  500  60  1,,,,,
scan time= 0  1,,,,,scan time= 0  1,,,,,scan time= 0  1,,,,,
scan settings=     AD  AI,,,,,scan settings=     AD  AI,,,,,scan settings=     AD  AI,,,,,
external data set1= 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,external data set1= 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,external data set1= 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic=   LENS4 ,,,,,optic=   LENS4 ,,,,,optic=   LENS4 ,,,,,
temp= 0.00  0.00  0.00  34.11  8.88  -5.37,,,,,temp= 0.00  0.00  0.00  34.19  8.88  -5.30,,,,,temp= 0.00  0.00  0.00  34.19  8.88  -5.37,,,,,
battery= 0.0  6.3,,,,,battery= 0.0  6.3,,,,,battery= 0.0  6.3,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time=   2/3/08 10:04:34 AM,,,,,time=   2/3/08 10:05:01 AM,,,,,time=   2/3/08 10:05:22 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 2  0,,,,,memory slot= 2  0,,,,,memory slot= 2  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GD4T4:GD4T5:GD4T6
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,1.00,98.10,9809.80,,346.4,1.00,108.29,10829.00,,346.4,1.00,105.74,10574.20,,346.4,1.00,104.04,10404.33,,
347.9,1.00,102.91,10291.00,,347.9,1.00,104.17,10416.50,,347.9,1.00,114.21,11420.50,,347.9,1.00,107.10,10709.67,,
349.5,1.00,104.83,10483.20,,349.5,1.00,106.08,10608.00,,349.5,1.00,101.09,10108.80,,349.5,1.00,104.00,10400.00,,
351.1,1.00,103.58,10358.40,,351.1,1.00,107.33,10732.80,,351.1,1.00,109.82,10982.40,,351.1,1.00,106.91,10691.00,,
352.6,1.00,106.26,10626.00,,352.6,1.00,110.06,11005.50,,352.6,1.00,122.71,12270.50,,352.6,1.00,113.01,11301.00,,
354.2,1.00,112.57,11257.40,,354.2,1.00,123.05,12304.60,,354.2,1.00,119.12,11911.90,,354.2,1.00,118.25,11824.67,,
355.7,1.00,111.80,11180.10,,355.7,1.00,125.27,12527.10,,355.7,1.00,121.23,12123.00,,355.7,1.00,119.43,11943.33,,
357.3,1.00,124.83,12483.00,,357.3,1.00,120.67,12066.90,,357.3,1.00,119.28,11928.20,,357.3,1.00,121.59,12159.33,,
358.8,1.00,114.64,11463.60,,358.8,1.00,124.42,12442.20,,358.8,1.00,116.03,11603.40,,358.8,1.00,118.36,11836.33,,
360.4,1.00,129.44,12944.40,,360.4,1.00,129.44,12944.40,,360.4,1.00,136.48,13647.90,,360.4,1.00,131.79,13178.67,,
361.9,1.00,123.98,12397.70,,361.9,1.00,126.76,12676.30,,361.9,1.00,135.12,13512.10,,361.9,1.00,128.62,12862.00,,
363.5,1.00,130.19,13019.00,,363.5,1.00,128.81,12880.50,,363.5,1.00,130.19,13019.00,,363.5,1.00,129.73,12973.00,,
365.1,1.00,128.99,12899.10,,365.1,1.00,137.31,13731.30,,365.1,1.00,134.54,13453.90,,365.1,1.00,133.61,13361.33,,
366.6,1.00,128.43,12843.30,,366.6,1.00,124.29,12429.00,,366.6,1.00,132.58,13257.60,,366.6,1.00,128.43,12843.33,,
368.2,1.00,126.24,12624.20,,368.2,1.00,131.61,13161.40,,368.2,1.00,143.70,14370.10,,368.2,1.00,133.85,13385.00,,
369.7,1.00,120.15,12015.20,,369.7,1.00,129.29,12929.40,,369.7,1.00,133.21,13321.20,,369.7,1.00,127.55,12755.00,,
371.3,1.00,130.38,13038.30,,371.3,1.00,121.16,12116.40,,371.3,1.00,138.29,13828.50,,371.3,1.00,129.94,12994.33,,
372.8,1.00,140.77,14076.80,,372.8,1.00,127.49,12748.80,,372.8,1.00,138.11,13811.20,,372.8,1.00,135.46,13545.67,,
374.4,1.00,141.51,14151.00,,374.4,1.00,130.83,13083.00,,374.4,1.00,140.18,14017.50,,374.4,1.00,137.51,13750.67,,
375.9,1.00,137.70,13769.60,,375.9,1.00,133.72,13372.40,,375.9,1.00,145.64,14564.00,,375.9,1.00,139.02,13902.00,,
377.4,1.00,139.21,13920.70,,377.4,1.00,144.41,14441.10,,377.4,1.00,139.21,13920.70,,377.4,1.00,140.94,14094.33,,
379.0,1.00,151.49,15148.70,,379.0,1.00,132.39,13239.20,,379.0,1.00,143.85,14384.90,,379.0,1.00,142.58,14257.67,,
380.5,1.00,137.87,13787.20,,380.5,1.00,136.64,13664.10,,380.5,1.00,142.80,14279.60,,380.5,1.00,139.10,13910.33,,
