name= \My Documents\HR1024_Data\AT1.,,,,,name= \My Documents\HR1024_Data\AT2.,,,,,name= \My Documents\HR1024_Data\AT3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  38.4  30  200  60  30,,,,,integration= 200  38.4  30  200  60  30,,,,,integration= 200  38.4  30  200  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.02  8.88  -5.37  33.23  8.88  -5.37,,,,,temp= 32.02  8.88  -5.37  33.55  8.88  -5.37,,,,,temp= 32.02  8.88  -5.37  34.19  8.88  -5.44,,,,,
battery= 7.2  7.2,,,,,battery= 7.2  7.2,,,,,battery= 7.2  7.1,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/15/08 12:20:37 PM  1/15/08 12:21:37 PM,,,,,time= 1/15/08 12:20:37 PM  1/15/08 12:22:07 PM,,,,,time= 1/15/08 12:20:37 PM  1/15/08 12:22:52 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: AT1:AT2:AT3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,681.59,547.82,80.37,,346.4,681.59,544.64,79.91,,346.4,681.59,535.08,78.50,,346.4,681.59,542.51,79.60,,
347.9,715.35,577.30,80.70,,347.9,715.35,574.16,80.26,,347.9,715.35,561.61,78.51,,347.9,715.35,571.02,79.82,,
349.5,770.64,624.00,80.97,,349.5,770.64,624.00,80.97,,349.5,770.64,602.16,78.14,,349.5,770.64,616.72,80.03,,
351.1,842.40,677.04,80.37,,351.1,842.40,658.32,78.15,,351.1,842.40,642.72,76.30,,351.1,842.40,659.36,78.27,,
352.6,898.15,717.89,79.93,,352.6,898.15,705.24,78.52,,352.6,898.15,689.43,76.76,,352.6,898.15,704.19,78.40,,
354.2,935.94,772.31,82.52,,354.2,935.94,762.49,81.47,,354.2,935.94,752.68,80.42,,354.2,935.94,762.49,81.47,,
355.7,1013.62,841.88,83.06,,355.7,1013.62,831.77,82.06,,355.7,1013.62,798.10,78.74,,355.7,1013.62,823.92,81.28,,
357.3,1085.33,877.28,80.83,,357.3,1085.33,873.81,80.51,,357.3,1085.33,849.54,78.27,,357.3,1085.33,866.88,79.87,,
358.8,1118.40,898.22,80.31,,358.8,1118.40,898.22,80.31,,358.8,1118.40,884.24,79.06,,358.8,1118.40,893.56,79.90,,
360.4,1202.99,967.31,80.41,,360.4,1202.99,956.76,79.53,,360.4,1202.99,939.17,78.07,,360.4,1202.99,954.41,79.34,,
361.9,1232.81,1020.37,82.77,,361.9,1232.81,999.48,81.07,,361.9,1232.81,989.03,80.23,,361.9,1232.81,1002.96,81.36,,
363.5,1270.74,1059.53,83.38,,363.5,1270.74,1045.68,82.29,,363.5,1270.74,1042.21,82.02,,363.5,1270.74,1049.14,82.56,,
365.1,1317.65,1085.33,82.37,,365.1,1317.65,1081.86,82.11,,365.1,1317.65,1061.06,80.53,,365.1,1317.65,1076.08,81.67,,
366.6,1387.91,1153.14,83.08,,366.6,1387.91,1149.68,82.84,,366.6,1387.91,1118.61,80.60,,366.6,1387.91,1140.48,82.17,,
368.2,1463.87,1212.06,82.80,,368.2,1463.87,1205.34,82.34,,368.2,1463.87,1195.27,81.65,,368.2,1463.87,1204.22,82.26,,
369.7,1534.55,1260.29,82.13,,369.7,1534.55,1270.09,82.77,,369.7,1534.55,1250.50,81.49,,369.7,1534.55,1260.29,82.13,,
371.3,1633.08,1359.80,83.27,,371.3,1633.08,1349.93,82.66,,371.3,1633.08,1333.46,81.65,,371.3,1633.08,1347.73,82.53,,
372.8,1713.12,1430.92,83.53,,372.8,1713.12,1407.68,82.17,,372.8,1713.12,1407.68,82.17,,372.8,1713.12,1415.43,82.62,,
374.4,1792.24,1495.20,83.43,,374.4,1792.24,1485.19,82.87,,374.4,1792.24,1465.16,81.75,,374.4,1792.24,1481.85,82.68,,
375.9,1860.22,1549.08,83.27,,375.9,1860.22,1529.22,82.21,,375.9,1860.22,1519.29,81.67,,375.9,1860.22,1532.53,82.38,,
377.4,1899.46,1583.97,83.39,,377.4,1899.46,1587.22,83.56,,377.4,1899.46,1564.45,82.36,,377.4,1899.46,1578.55,83.11,,
379.0,1960.42,1635.81,83.44,,379.0,1960.42,1638.99,83.60,,379.0,1960.42,1616.71,82.47,,379.0,1960.42,1630.50,83.17,,
380.5,2031.15,1689.55,83.18,,380.5,2031.15,1683.39,82.88,,380.5,2031.15,1649.54,81.21,,380.5,2031.15,1674.16,82.42,,
382.1,2086.23,1731.63,83.00,,382.1,2086.23,1737.54,83.29,,382.1,2086.23,1702.08,81.59,,382.1,2086.23,1723.75,82.63,,
383.6,2157.44,1800.23,83.44,,383.6,2157.44,1786.05,82.79,,383.6,2157.44,1769.04,82.00,,383.6,2157.44,1785.11,82.74,,
385.2,2246.75,1864.50,82.99,,385.2,2246.75,1864.50,82.99,,385.2,2246.75,1842.50,82.01,,385.2,2246.75,1857.17,82.66,,
386.7,2352.82,1957.52,83.20,,386.7,2352.82,1952.11,82.97,,386.7,2352.82,1919.62,81.59,,386.7,2352.82,1943.08,82.59,,
388.3,2459.34,2043.56,83.09,,388.3,2459.34,2049.00,83.31,,388.3,2459.34,2013.67,81.88,,388.3,2459.34,2035.41,82.76,,
389.8,2572.07,2130.12,82.82,,389.8,2572.07,2124.63,82.60,,389.8,2572.07,2097.18,81.54,,389.8,2572.07,2117.31,82.32,,
391.3,2656.89,2222.43,83.65,,391.3,2656.89,2202.94,82.91,,391.3,2656.89,2177.87,81.97,,391.3,2656.89,2201.08,82.84,,
392.9,2742.58,2278.85,83.09,,392.9,2742.58,2281.69,83.20,,392.9,2742.58,2247.55,81.95,,392.9,2742.58,2269.36,82.75,,
394.4,2813.19,2338.39,83.12,,394.4,2813.19,2335.42,83.02,,394.4,2813.19,2311.68,82.17,,394.4,2813.19,2328.50,82.77,,
395.9,2929.62,2427.22,82.85,,395.9,2929.62,2417.80,82.53,,395.9,2929.62,2383.26,81.35,,395.9,2929.62,2409.43,82.24,,
397.5,3078.19,2558.16,83.11,,397.5,3078.19,2538.78,82.48,,397.5,3078.19,2500.02,81.22,,397.5,3078.19,2532.32,82.27,,
399.0,3204.33,2648.13,82.64,,399.0,3204.33,2645.04,82.55,,399.0,3204.33,2617.23,81.68,,399.0,3204.33,2636.80,82.29,,
400.6,3294.12,2713.97,82.39,,400.6,3294.12,2716.80,82.47,,400.6,3294.12,2668.69,81.01,,400.6,3294.12,2699.82,81.96,,
402.1,3341.10,2747.70,82.24,,402.1,3341.10,2737.38,81.93,,402.1,3341.10,2706.42,81.00,,402.1,3341.10,2730.50,81.72,,
403.6,3394.86,2776.31,81.78,,403.6,3394.86,2759.52,81.29,,403.6,3394.86,2745.14,80.86,,403.6,3394.86,2760.32,81.31,,
405.1,3468.63,2842.54,81.95,,405.1,3468.63,2833.40,81.69,,405.1,3468.63,2799.13,80.70,,405.1,3468.63,2825.02,81.44,,
406.7,3608.64,2934.40,81.32,,406.7,3608.64,2914.24,80.76,,406.7,3608.64,2903.04,80.45,,406.7,3608.64,2917.23,80.84,,
408.2,3731.06,3036.08,81.37,,408.2,3731.06,3020.49,80.96,,408.2,3731.06,2987.08,80.06,,408.2,3731.06,3014.55,80.80,,
409.7,3852.80,3104.64,80.58,,409.7,3852.80,3104.64,80.58,,409.7,3852.80,3064.32,79.53,,409.7,3852.80,3091.20,80.23,,
411.3,3974.94,3206.12,80.66,,411.3,3974.94,3190.05,80.25,,411.3,3974.94,3169.40,79.73,,411.3,3974.94,3188.52,80.22,,
412.8,4078.77,3287.19,80.59,,412.8,4078.77,3265.86,80.07,,412.8,4078.77,3258.75,79.90,,412.8,4078.77,3270.60,80.19,,
414.3,4209.70,3380.00,80.29,,414.3,4209.70,3365.31,79.94,,414.3,4209.70,3338.39,79.30,,414.3,4209.70,3361.23,79.84,,
415.8,4355.00,3470.00,79.68,,415.8,4355.00,3475.00,79.79,,415.8,4355.00,3432.50,78.82,,415.8,4355.00,3459.17,79.43,,
417.4,4488.22,3574.89,79.65,,417.4,4488.22,3569.83,79.54,,417.4,4488.22,3539.47,78.86,,417.4,4488.22,3561.40,79.35,,
418.9,4602.07,3655.85,79.44,,418.9,4602.07,3660.91,79.55,,418.9,4602.07,3612.84,78.50,,418.9,4602.07,3643.20,79.16,,
420.4,4700.86,3718.81,79.11,,420.4,4700.86,3716.32,79.06,,420.4,4700.86,3683.92,78.37,,420.4,4700.86,3706.35,78.84,,
421.9,4779.50,3777.62,79.04,,421.9,4779.50,3775.20,78.99,,421.9,4779.50,3734.06,78.13,,421.9,4779.50,3762.29,78.72,,
423.5,4868.48,3838.74,78.85,,423.5,4868.48,3824.73,78.56,,423.5,4868.48,3792.04,77.89,,423.5,4868.48,3818.50,78.43,,
425.0,4946.75,3892.67,78.69,,425.0,4946.75,3890.42,78.65,,425.0,4946.75,3847.72,77.78,,425.0,4946.75,3876.94,78.37,,
