name= \My Documents\HR1024_Data\BDT1.,,,,,name= \My Documents\HR1024_Data\BDT2.,,,,,name= \My Documents\HR1024_Data\BDT3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.26  8.88  -5.37  44.34  9.01  -5.24,,,,,temp= 32.26  8.88  -5.37  44.34  8.88  -5.17,,,,,temp= 32.26  8.88  -5.37  44.42  8.94  -5.24,,,,,
battery= 7.0  6.1,,,,,battery= 7.0  6.0,,,,,battery= 7.0  6.0,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/15/08 9:53:06 AM  1/15/08 10:46:02 AM,,,,,time= 1/15/08 9:53:06 AM  1/15/08 10:46:26 AM,,,,,time= 1/15/08 9:53:06 AM  1/15/08 10:46:49 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: BDT1:BDT2:BDT3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,343.98,67.50,,346.4,509.60,328.06,64.38,,346.4,509.60,331.24,65.00,,346.4,509.60,334.43,65.63,,
347.9,549.06,354.54,64.57,,347.9,549.06,354.54,64.57,,347.9,549.06,348.26,63.43,,347.9,549.06,352.45,64.19,,
349.5,608.40,380.64,62.56,,349.5,608.40,371.28,61.03,,349.5,608.40,380.64,62.56,,349.5,608.40,377.52,62.05,,
351.1,655.20,421.20,64.29,,351.1,655.20,414.96,63.33,,351.1,655.20,405.60,61.90,,351.1,655.20,413.92,63.17,,
352.6,708.40,433.26,61.16,,352.6,708.40,445.91,62.95,,352.6,708.40,439.59,62.05,,352.6,708.40,439.59,62.05,,
354.2,752.68,471.24,62.61,,354.2,752.68,477.79,63.48,,354.2,752.68,471.24,62.61,,354.2,752.68,473.42,62.90,,
355.7,818.30,518.60,63.37,,355.7,818.30,511.86,62.55,,355.7,818.30,515.23,62.96,,355.7,818.30,515.23,62.96,,
357.3,873.81,544.40,62.30,,357.3,873.81,554.80,63.49,,357.3,873.81,554.80,63.49,,357.3,873.81,551.33,63.10,,
358.8,891.23,566.19,63.53,,358.8,891.23,555.71,62.35,,358.8,891.23,576.68,64.71,,358.8,891.23,566.19,63.53,,
360.4,967.31,601.49,62.18,,360.4,967.31,608.53,62.91,,360.4,967.31,594.46,61.45,,360.4,967.31,601.49,62.18,,
361.9,1009.93,637.30,63.10,,361.9,1009.93,616.40,61.03,,361.9,1009.93,616.40,61.03,,361.9,1009.93,623.37,61.72,,
363.5,1059.53,657.88,62.09,,363.5,1059.53,657.88,62.09,,363.5,1059.53,661.34,62.42,,363.5,1059.53,659.03,62.20,,
365.1,1102.67,686.57,62.26,,365.1,1102.67,672.70,61.01,,365.1,1102.67,669.23,60.69,,365.1,1102.67,676.17,61.32,,
366.6,1156.59,711.22,61.49,,366.6,1156.59,718.12,62.09,,366.6,1156.59,718.12,62.09,,366.6,1156.59,715.82,61.89,,
368.2,1218.77,758.80,62.26,,368.2,1218.77,758.80,62.26,,368.2,1218.77,758.80,62.26,,368.2,1218.77,758.80,62.26,,
369.7,1306.00,786.87,60.25,,369.7,1306.00,793.40,60.75,,369.7,1306.00,793.40,60.75,,369.7,1306.00,791.22,60.58,,
371.3,1379.56,836.30,60.62,,371.3,1379.56,849.47,61.58,,371.3,1379.56,836.30,60.62,,371.3,1379.56,840.69,60.94,,
372.8,1457.48,879.80,60.36,,372.8,1457.48,906.36,62.19,,372.8,1457.48,879.80,60.36,,372.8,1457.48,888.65,60.97,,
374.4,1528.58,927.83,60.70,,374.4,1528.58,931.16,60.92,,374.4,1528.58,934.50,61.14,,374.4,1528.58,931.16,60.92,,
375.9,1575.56,973.14,61.76,,375.9,1575.56,966.52,61.34,,375.9,1575.56,959.90,60.92,,375.9,1575.56,966.52,61.34,,
377.4,1632.76,1001.77,61.35,,377.4,1632.76,1001.77,61.35,,377.4,1632.76,985.51,60.36,,377.4,1632.76,996.35,61.02,,
