name= \My Documents\HR1024_Data\MDT1.,,,,,name= \My Documents\HR1024_Data\MDT2.,,,,,name= \My Documents\HR1024_Data\MDT3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.26  8.88  -5.37  44.10  8.88  -5.24,,,,,temp= 32.26  8.88  -5.37  44.10  8.94  -5.24,,,,,temp= 32.26  8.88  -5.37  44.18  8.94  -5.24,,,,,
battery= 7.0  6.2,,,,,battery= 7.0  6.2,,,,,battery= 7.0  6.2,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/15/08 9:53:06 AM  1/15/08 10:42:34 AM,,,,,time= 1/15/08 9:53:06 AM  1/15/08 10:43:18 AM,,,,,time= 1/15/08 9:53:06 AM  1/15/08 10:44:00 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: MDT1:MDT2:MDT3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,328.06,64.38,,346.4,509.60,331.24,65.00,,346.4,509.60,318.50,62.50,,346.4,509.60,325.93,63.96,,
347.9,549.06,338.85,61.71,,347.9,549.06,357.68,65.14,,347.9,549.06,348.26,63.43,,347.9,549.06,348.26,63.43,,
349.5,608.40,374.40,61.54,,349.5,608.40,380.64,62.56,,349.5,608.40,365.04,60.00,,349.5,608.40,373.36,61.37,,
351.1,655.20,390.00,59.52,,351.1,655.20,408.72,62.38,,351.1,655.20,402.48,61.43,,351.1,655.20,400.40,61.11,,
352.6,708.40,423.78,59.82,,352.6,708.40,430.10,60.71,,352.6,708.40,420.61,59.38,,352.6,708.40,424.83,59.97,,
354.2,752.68,464.70,61.74,,354.2,752.68,454.88,60.43,,354.2,752.68,448.33,59.56,,354.2,752.68,455.97,60.58,,
355.7,818.30,488.29,59.67,,355.7,818.30,491.66,60.08,,355.7,818.30,481.55,58.85,,355.7,818.30,487.17,59.53,,
357.3,873.81,520.13,59.52,,357.3,873.81,527.06,60.32,,357.3,873.81,516.66,59.13,,357.3,873.81,521.28,59.66,,
358.8,891.23,538.23,60.39,,358.8,891.23,541.73,60.78,,358.8,891.23,538.23,60.39,,358.8,891.23,539.40,60.52,,
360.4,967.31,580.39,60.00,,360.4,967.31,576.87,59.64,,360.4,967.31,587.42,60.73,,360.4,967.31,581.56,60.12,,
361.9,1009.93,609.44,60.34,,361.9,1009.93,609.44,60.34,,361.9,1009.93,605.96,60.00,,361.9,1009.93,608.28,60.23,,
363.5,1059.53,640.56,60.46,,363.5,1059.53,630.18,59.48,,363.5,1059.53,623.25,58.82,,363.5,1059.53,631.33,59.59,,
365.1,1102.67,651.89,59.12,,365.1,1102.67,651.89,59.12,,365.1,1102.67,648.42,58.80,,365.1,1102.67,650.73,59.01,,
366.6,1156.59,687.05,59.40,,366.6,1156.59,707.76,61.19,,366.6,1156.59,690.50,59.70,,366.6,1156.59,695.10,60.10,,
368.2,1218.77,742.01,60.88,,368.2,1218.77,725.22,59.50,,368.2,1218.77,728.58,59.78,,368.2,1218.77,731.94,60.06,,
369.7,1306.00,770.54,59.00,,369.7,1306.00,760.75,58.25,,369.7,1306.00,754.22,57.75,,369.7,1306.00,761.84,58.33,,
371.3,1379.56,813.25,58.95,,371.3,1379.56,806.66,58.47,,371.3,1379.56,816.54,59.19,,371.3,1379.56,812.15,58.87,,
372.8,1457.48,853.24,58.54,,372.8,1457.48,859.88,59.00,,372.8,1457.48,859.88,59.00,,372.8,1457.48,857.67,58.85,,
374.4,1528.58,897.79,58.73,,374.4,1528.58,891.11,58.30,,374.4,1528.58,901.13,58.95,,374.4,1528.58,896.68,58.66,,
375.9,1575.56,926.80,58.82,,375.9,1575.56,923.49,58.61,,375.9,1575.56,933.42,59.24,,375.9,1575.56,927.90,58.89,,
377.4,1632.76,959.49,58.76,,377.4,1632.76,962.74,58.96,,377.4,1632.76,956.24,58.57,,377.4,1632.76,959.49,58.76,,
