name= \My Documents\HR1024_Data\MT1.,,,,,name= \My Documents\HR1024_Data\MT2.,,,,,name= \My Documents\HR1024_Data\MT3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.26  8.88  -5.37  44.58  8.94  -5.24,,,,,temp= 32.26  8.88  -5.37  44.42  8.94  -5.24,,,,,temp= 32.26  8.88  -5.37  44.50  8.88  -5.24,,,,,
battery= 7.0  5.9,,,,,battery= 7.0  5.9,,,,,battery= 7.0  5.8,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/15/08 9:53:06 AM  1/15/08 10:48:22 AM,,,,,time= 1/15/08 9:53:06 AM  1/15/08 10:48:49 AM,,,,,time= 1/15/08 9:53:06 AM  1/15/08 10:49:13 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: MT1:MT2:MT3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,350.35,68.75,,346.4,509.60,350.35,68.75,,346.4,509.60,347.17,68.13,,346.4,509.60,349.29,68.54,,
347.9,549.06,376.50,68.57,,347.9,549.06,373.36,68.00,,347.9,549.06,357.68,65.14,,347.9,549.06,369.18,67.24,,
349.5,608.40,390.00,64.10,,349.5,608.40,393.12,64.62,,349.5,608.40,390.00,64.10,,349.5,608.40,391.04,64.27,,
351.1,655.20,424.32,64.76,,351.1,655.20,414.96,63.33,,351.1,655.20,421.20,64.29,,351.1,655.20,420.16,64.13,,
352.6,708.40,461.73,65.18,,352.6,708.40,445.91,62.95,,352.6,708.40,442.75,62.50,,352.6,708.40,450.13,63.54,,
354.2,752.68,474.51,63.04,,354.2,752.68,477.79,63.48,,354.2,752.68,481.06,63.91,,354.2,752.68,477.79,63.48,,
355.7,818.30,521.96,63.79,,355.7,818.30,528.70,64.61,,355.7,818.30,515.23,62.96,,355.7,818.30,521.96,63.79,,
357.3,873.81,547.87,62.70,,357.3,873.81,575.61,65.87,,357.3,873.81,551.33,63.10,,357.3,873.81,558.27,63.89,,
358.8,891.23,576.68,64.71,,358.8,891.23,576.68,64.71,,358.8,891.23,583.67,65.49,,358.8,891.23,579.01,64.97,,
360.4,967.31,615.56,63.64,,360.4,967.31,619.08,64.00,,360.4,967.31,622.60,64.36,,360.4,967.31,619.08,64.00,,
361.9,1009.93,640.78,63.45,,361.9,1009.93,647.75,64.14,,361.9,1009.93,630.33,62.41,,361.9,1009.93,639.62,63.33,,
363.5,1059.53,671.73,63.40,,363.5,1059.53,671.73,63.40,,363.5,1059.53,671.73,63.40,,363.5,1059.53,671.73,63.40,,
365.1,1102.67,683.10,61.95,,365.1,1102.67,700.44,63.52,,365.1,1102.67,696.97,63.21,,365.1,1102.67,693.50,62.89,,
366.6,1156.59,745.74,64.48,,366.6,1156.59,731.93,63.28,,366.6,1156.59,742.29,64.18,,366.6,1156.59,739.99,63.98,,
368.2,1218.77,785.66,64.46,,368.2,1218.77,782.30,64.19,,368.2,1218.77,795.73,65.29,,368.2,1218.77,787.90,64.65,,
369.7,1306.00,822.78,63.00,,369.7,1306.00,812.99,62.25,,369.7,1306.00,816.25,62.50,,369.7,1306.00,817.34,62.58,,
371.3,1379.56,879.10,63.72,,371.3,1379.56,869.22,63.01,,371.3,1379.56,872.51,63.25,,371.3,1379.56,873.61,63.33,,
372.8,1457.48,919.64,63.10,,372.8,1457.48,932.92,64.01,,372.8,1457.48,919.64,63.10,,372.8,1457.48,924.07,63.40,,
374.4,1528.58,964.54,63.10,,374.4,1528.58,967.88,63.32,,374.4,1528.58,961.20,62.88,,374.4,1528.58,964.54,63.10,,
375.9,1575.56,999.62,63.45,,375.9,1575.56,989.69,62.82,,375.9,1575.56,1009.55,64.08,,375.9,1575.56,999.62,63.45,,
