name= \My Documents\HR1024_Data\RCS1.,,,,,name= \My Documents\HR1024_Data\RCS2.,,,,,name= \My Documents\HR1024_Data\RCS3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  38.4  30  200  60  30,,,,,integration= 200  38.4  30  200  60  30,,,,,integration= 200  38.4  30  200  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.02  8.88  -5.37  35.32  8.88  -5.37,,,,,temp= 32.02  8.88  -5.37  35.48  8.88  -5.30,,,,,temp= 32.02  8.88  -5.37  35.80  8.88  -5.37,,,,,
battery= 7.2  7.1,,,,,battery= 7.2  7.1,,,,,battery= 7.2  7.1,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/15/08 12:20:37 PM  1/15/08 12:24:49 PM,,,,,time= 1/15/08 12:20:37 PM  1/15/08 12:25:15 PM,,,,,time= 1/15/08 12:20:37 PM  1/15/08 12:25:44 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: RCS1:RCS2:RCS3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,681.59,547.82,80.37,,346.4,681.59,538.27,78.97,,346.4,681.59,535.08,78.50,,346.4,681.59,540.39,79.28,,
347.9,715.35,583.58,81.58,,347.9,715.35,558.48,78.07,,347.9,715.35,574.16,80.26,,347.9,715.35,572.07,79.97,,
349.5,770.64,620.88,80.57,,349.5,770.64,627.12,81.38,,349.5,770.64,595.92,77.33,,349.5,770.64,614.64,79.76,,
351.1,842.40,673.92,80.00,,351.1,842.40,661.44,78.52,,351.1,842.40,655.20,77.78,,351.1,842.40,663.52,78.77,,
352.6,898.15,714.73,79.58,,352.6,898.15,714.73,79.58,,352.6,898.15,705.24,78.52,,352.6,898.15,711.57,79.23,,
354.2,935.94,772.31,82.52,,354.2,935.94,752.68,80.42,,354.2,935.94,759.22,81.12,,354.2,935.94,761.40,81.35,,
355.7,1013.62,835.14,82.39,,355.7,1013.62,831.77,82.06,,355.7,1013.62,814.94,80.40,,355.7,1013.62,827.28,81.62,,
357.3,1085.33,877.28,80.83,,357.3,1085.33,884.21,81.47,,357.3,1085.33,873.81,80.51,,357.3,1085.33,878.43,80.94,,
358.8,1118.40,915.69,81.88,,358.8,1118.40,894.72,80.00,,358.8,1118.40,898.22,80.31,,358.8,1118.40,902.88,80.73,,
360.4,1202.99,977.87,81.29,,360.4,1202.99,974.35,80.99,,360.4,1202.99,949.73,78.95,,360.4,1202.99,967.32,80.41,,
361.9,1232.81,1016.89,82.49,,361.9,1232.81,1006.44,81.64,,361.9,1232.81,999.48,81.07,,361.9,1232.81,1007.60,81.73,,
363.5,1270.74,1056.06,83.11,,363.5,1270.74,1062.99,83.65,,363.5,1270.74,1052.60,82.83,,363.5,1270.74,1057.22,83.20,,
365.1,1317.65,1088.80,82.63,,365.1,1317.65,1092.26,82.89,,365.1,1317.65,1074.93,81.58,,365.1,1317.65,1085.33,82.37,,
366.6,1387.91,1160.04,83.58,,366.6,1387.91,1153.14,83.08,,366.6,1387.91,1139.33,82.09,,366.6,1387.91,1150.84,82.92,,
368.2,1463.87,1232.20,84.17,,368.2,1463.87,1218.77,83.26,,368.2,1463.87,1212.06,82.80,,368.2,1463.87,1221.01,83.41,,
369.7,1534.55,1289.68,84.04,,369.7,1534.55,1289.68,84.04,,369.7,1534.55,1270.09,82.77,,369.7,1534.55,1283.15,83.62,,
371.3,1633.08,1359.80,83.27,,371.3,1633.08,1353.22,82.86,,371.3,1633.08,1346.63,82.46,,371.3,1633.08,1353.22,82.86,,
372.8,1713.12,1437.56,83.91,,372.8,1713.12,1430.92,83.53,,372.8,1713.12,1417.64,82.75,,372.8,1713.12,1428.71,83.40,,
374.4,1792.24,1488.53,83.05,,374.4,1792.24,1511.89,84.36,,374.4,1792.24,1495.20,83.43,,374.4,1792.24,1498.54,83.61,,
375.9,1860.22,1549.08,83.27,,375.9,1860.22,1555.70,83.63,,375.9,1860.22,1545.77,83.10,,375.9,1860.22,1550.18,83.33,,
377.4,1899.46,1603.48,84.42,,377.4,1899.46,1600.23,84.25,,377.4,1899.46,1600.23,84.25,,377.4,1899.46,1601.31,84.30,,
379.0,1960.42,1664.45,84.90,,379.0,1960.42,1645.35,83.93,,379.0,1960.42,1651.72,84.25,,379.0,1960.42,1653.84,84.36,,
380.5,2031.15,1708.01,84.09,,380.5,2031.15,1695.70,83.48,,380.5,2031.15,1695.70,83.48,,380.5,2031.15,1699.80,83.69,,
382.1,2086.23,1761.18,84.42,,382.1,2086.23,1749.36,83.85,,382.1,2086.23,1749.36,83.85,,382.1,2086.23,1753.30,84.04,,
383.6,2157.44,1822.91,84.49,,383.6,2157.44,1808.73,83.84,,383.6,2157.44,1808.73,83.84,,383.6,2157.44,1813.46,84.06,,
385.2,2246.75,1900.25,84.58,,385.2,2246.75,1889.25,84.09,,385.2,2246.75,1886.50,83.97,,385.2,2246.75,1892.00,84.21,,
386.7,2352.82,1979.18,84.12,,386.7,2352.82,1979.18,84.12,,386.7,2352.82,1976.48,84.00,,386.7,2352.82,1978.28,84.08,,
388.3,2459.34,2081.61,84.64,,388.3,2459.34,2073.45,84.31,,388.3,2459.34,2062.58,83.87,,388.3,2459.34,2072.55,84.27,,
389.8,2572.07,2152.08,83.67,,389.8,2572.07,2157.57,83.88,,389.8,2572.07,2157.57,83.88,,389.8,2572.07,2155.74,83.81,,
391.3,2656.89,2247.50,84.59,,391.3,2656.89,2250.28,84.70,,391.3,2656.89,2241.93,84.38,,391.3,2656.89,2246.57,84.56,,
392.9,2742.58,2324.37,84.75,,392.9,2742.58,2321.52,84.65,,392.9,2742.58,2324.37,84.75,,392.9,2742.58,2323.42,84.72,,
394.4,2813.19,2388.84,84.92,,394.4,2813.19,2388.84,84.92,,394.4,2813.19,2385.87,84.81,,394.4,2813.19,2387.85,84.88,,
395.9,2929.62,2471.18,84.35,,395.9,2929.62,2471.18,84.35,,395.9,2929.62,2458.62,83.92,,395.9,2929.62,2466.99,84.21,,
397.5,3078.19,2584.00,83.95,,397.5,3078.19,2593.69,84.26,,397.5,3078.19,2584.00,83.95,,397.5,3078.19,2587.23,84.05,,
399.0,3204.33,2713.02,84.67,,399.0,3204.33,2697.57,84.19,,399.0,3204.33,2700.66,84.28,,399.0,3204.33,2703.75,84.38,,
400.6,3294.12,2764.91,83.93,,400.6,3294.12,2770.57,84.11,,400.6,3294.12,2759.25,83.76,,400.6,3294.12,2764.91,83.93,,
402.1,3341.10,2812.20,84.17,,402.1,3341.10,2799.30,83.78,,402.1,3341.10,2801.88,83.86,,402.1,3341.10,2804.46,83.94,,
403.6,3394.86,2841.04,83.69,,403.6,3394.86,2841.04,83.69,,403.6,3394.86,2831.45,83.40,,403.6,3394.86,2837.84,83.59,,
405.1,3468.63,2895.10,83.47,,405.1,3468.63,2901.95,83.66,,405.1,3468.63,2897.38,83.53,,405.1,3468.63,2898.14,83.55,,
406.7,3608.64,2997.12,83.05,,406.7,3608.64,3001.60,83.18,,406.7,3608.64,2997.12,83.05,,406.7,3608.64,2998.61,83.10,,
408.2,3731.06,3094.00,82.93,,408.2,3731.06,3107.36,83.28,,408.2,3731.06,3087.32,82.75,,408.2,3731.06,3096.23,82.99,,
409.7,3852.80,3183.04,82.62,,409.7,3852.80,3196.48,82.97,,409.7,3852.80,3178.56,82.50,,409.7,3852.80,3186.03,82.69,,
411.3,3974.94,3286.44,82.68,,411.3,3974.94,3291.03,82.79,,411.3,3974.94,3277.26,82.45,,411.3,3974.94,3284.91,82.64,,
412.8,4078.77,3374.88,82.74,,412.8,4078.77,3377.25,82.80,,412.8,4078.77,3358.29,82.34,,412.8,4078.77,3370.14,82.63,,
414.3,4209.70,3455.87,82.09,,414.3,4209.70,3458.32,82.15,,414.3,4209.70,3450.98,81.98,,414.3,4209.70,3455.06,82.07,,
415.8,4355.00,3560.00,81.75,,415.8,4355.00,3562.50,81.80,,415.8,4355.00,3550.00,81.52,,415.8,4355.00,3557.50,81.69,,
417.4,4488.22,3665.97,81.68,,417.4,4488.22,3663.44,81.62,,417.4,4488.22,3648.26,81.29,,417.4,4488.22,3659.22,81.53,,
418.9,4602.07,3741.87,81.31,,418.9,4602.07,3744.40,81.36,,418.9,4602.07,3729.22,81.03,,418.9,4602.07,3738.50,81.24,,
420.4,4700.86,3801.06,80.86,,420.4,4700.86,3803.56,80.91,,420.4,4700.86,3798.57,80.81,,420.4,4700.86,3801.06,80.86,,
421.9,4779.50,3874.42,81.06,,421.9,4779.50,3864.74,80.86,,421.9,4779.50,3847.80,80.51,,421.9,4779.50,3862.32,80.81,,
423.5,4868.48,3913.46,80.38,,423.5,4868.48,3904.12,80.19,,423.5,4868.48,3906.46,80.24,,423.5,4868.48,3908.01,80.27,,
425.0,4946.75,3969.09,80.24,,425.0,4946.75,3962.34,80.10,,425.0,4946.75,3964.59,80.15,,425.0,4946.75,3965.34,80.16,,
426.5,5061.10,4044.15,79.91,,426.5,5061.10,4048.45,79.99,,426.5,5061.10,4035.55,79.74,,426.5,5061.10,4042.72,79.88,,
428.0,5190.77,4148.10,79.91,,428.0,5190.77,4146.05,79.87,,428.0,5190.77,4137.84,79.72,,428.0,5190.77,4144.00,79.83,,
429.5,5352.25,4262.05,79.63,,429.5,5352.25,4269.95,79.78,,429.5,5352.25,4256.13,79.52,,429.5,5352.25,4262.71,79.64,,
431.1,5547.65,4411.80,79.53,,431.1,5547.65,4407.93,79.46,,431.1,5547.65,4396.32,79.25,,431.1,5547.65,4405.35,79.41,,
432.6,5755.97,4558.25,79.19,,432.6,5755.97,4552.48,79.09,,432.6,5755.97,4542.87,78.92,,432.6,5755.97,4551.20,79.07,,
434.1,5948.25,4704.70,79.09,,434.1,5948.25,4700.85,79.03,,434.1,5948.25,4679.68,78.67,,434.1,5948.25,4695.08,78.93,,
435.6,6124.28,4837.50,78.99,,435.6,6124.28,4835.57,78.96,,435.6,6124.28,4816.22,78.64,,435.6,6124.28,4829.76,78.86,,
437.1,6302.40,4974.45,78.93,,437.1,6302.40,4964.70,78.77,,437.1,6302.40,4953.00,78.59,,437.1,6302.40,4964.05,78.76,,
438.6,6474.68,5093.28,78.66,,438.6,6474.68,5087.39,78.57,,438.6,6474.68,5075.60,78.39,,438.6,6474.68,5085.42,78.54,,
440.1,6639.39,5213.98,78.53,,440.1,6639.39,5213.98,78.53,,440.1,6639.39,5190.19,78.17,,440.1,6639.39,5206.05,78.41,,
441.6,6824.52,5340.67,78.26,,441.6,6824.52,5330.66,78.11,,441.6,6824.52,5314.64,77.88,,441.6,6824.52,5328.66,78.08,,
443.1,7000.43,5467.50,78.10,,443.1,7000.43,5465.48,78.07,,443.1,7000.43,5441.18,77.73,,443.1,7000.43,5458.05,77.97,,
444.7,7161.68,5589.60,78.05,,444.7,7161.68,5583.44,77.96,,444.7,7161.68,5564.94,77.70,,444.7,7161.68,5579.33,77.91,,
446.2,7304.35,5685.61,77.84,,446.2,7304.35,5681.40,77.78,,446.2,7304.35,5672.98,77.67,,446.2,7304.35,5680.00,77.76,,
447.7,7436.90,5782.10,77.75,,447.7,7436.90,5782.10,77.75,,447.7,7436.90,5762.68,77.49,,447.7,7436.90,5775.63,77.66,,
449.2,7603.20,5892.48,77.50,,449.2,7603.20,5879.52,77.33,,449.2,7603.20,5875.20,77.27,,449.2,7603.20,5882.40,77.37,,
450.7,7741.76,5969.60,77.11,,450.7,7741.76,5977.92,77.22,,450.7,7741.76,5957.12,76.95,,450.7,7741.76,5968.21,77.09,,
452.2,7897.34,6085.61,77.06,,452.2,7897.34,6081.68,77.01,,452.2,7897.34,6060.06,76.74,,452.2,7897.34,6075.78,76.93,,
453.7,8068.35,6205.85,76.92,,453.7,8068.35,6209.58,76.96,,453.7,8068.35,6187.23,76.69,,453.7,8068.35,6200.89,76.85,,
455.2,8271.36,6363.28,76.93,,455.2,8271.36,6354.30,76.82,,455.2,8271.36,6330.97,76.54,,455.2,8271.36,6349.52,76.77,,
456.7,8521.92,6545.44,76.81,,456.7,8521.92,6547.20,76.83,,456.7,8521.92,6522.56,76.54,,456.7,8521.92,6538.40,76.72,,
458.2,8798.66,6755.84,76.78,,458.2,8798.66,6757.58,76.80,,458.2,8798.66,6736.61,76.56,,458.2,8798.66,6750.01,76.72,,
459.7,9084.25,6977.25,76.81,,459.7,9084.25,6972.00,76.75,,459.7,9084.25,6963.25,76.65,,459.7,9084.25,6970.83,76.74,,
461.2,9358.03,7201.20,76.95,,461.2,9358.03,7199.44,76.93,,461.2,9358.03,7183.55,76.76,,461.2,9358.03,7194.73,76.88,,
462.7,9610.51,7407.02,77.07,,462.7,9610.51,7403.44,77.03,,462.7,9610.51,7383.75,76.83,,462.7,9610.51,7398.07,76.98,,
464.2,9858.21,7616.46,77.26,,464.2,9858.21,7609.14,77.19,,464.2,9858.21,7596.33,77.06,,464.2,9858.21,7607.31,77.17,,
465.7,10114.09,7817.91,77.30,,465.7,10114.09,7821.67,77.33,,465.7,10114.09,7797.26,77.09,,465.7,10114.09,7812.28,77.24,,
467.2,10348.80,8015.70,77.46,,467.2,10348.80,8013.78,77.44,,467.2,10348.80,7996.45,77.27,,467.2,10348.80,8008.64,77.39,,
468.7,10580.00,8240.00,77.88,,468.7,10580.00,8226.00,77.75,,468.7,10580.00,8216.00,77.66,,468.7,10580.00,8227.33,77.76,,
470.2,10734.52,8386.14,78.12,,470.2,10734.52,8381.84,78.08,,470.2,10734.52,8362.46,77.90,,470.2,10734.52,8376.81,78.04,,
471.7,10963.00,8592.75,78.38,,471.7,10963.00,8588.00,78.34,,471.7,10963.00,8564.25,78.12,,471.7,10963.00,8581.67,78.28,,
473.2,11373.85,8906.24,78.30,,473.2,11373.85,8911.21,78.35,,473.2,11373.85,8883.88,78.11,,473.2,11373.85,8900.44,78.25,,
474.6,11705.47,9177.92,78.41,,474.6,11705.47,9168.55,78.33,,474.6,11705.47,9149.81,78.17,,474.6,11705.47,9165.43,78.30,,
476.1,11816.88,9294.08,78.65,,476.1,11816.88,9279.24,78.53,,476.1,11816.88,9262.28,78.38,,476.1,11816.88,9278.53,78.52,,
477.6,11856.58,9354.89,78.90,,477.6,11856.58,9350.98,78.87,,477.6,11856.58,9319.66,78.60,,477.6,11856.58,9341.84,78.79,,
479.1,11942.66,9443.95,79.08,,479.1,11942.66,9451.42,79.14,,479.1,11942.66,9419.67,78.87,,479.1,11942.66,9438.35,79.03,,
480.6,12045.55,9569.47,79.44,,480.6,12045.55,9556.80,79.34,,480.6,12045.55,9542.32,79.22,,480.6,12045.55,9556.20,79.33,,
482.1,12235.28,9727.24,79.50,,482.1,12235.28,9725.48,79.49,,482.1,12235.28,9699.04,79.27,,482.1,12235.28,9717.25,79.42,,
483.6,12450.16,9934.02,79.79,,483.6,12450.16,9922.00,79.69,,483.6,12450.16,9908.26,79.58,,483.6,12450.16,9921.43,79.69,,
