name= \My Documents\HR1024_Data\M_F1.,,,,,name= \My Documents\HR1024_Data\M_F2.,,,,,name= \My Documents\HR1024_Data\M_F3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.98  8.88  -5.30  41.36  8.94  -5.30,,,,,temp= 32.98  8.88  -5.30  41.28  9.01  -5.30,,,,,temp= 32.98  8.88  -5.30  41.28  8.94  -5.30,,,,,
battery= 7.1  6.7,,,,,battery= 7.1  6.7,,,,,battery= 7.1  6.7,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/26/08 11:56:03 AM  1/26/08 12:21:26 PM,,,,,time= 1/26/08 11:56:03 AM  1/26/08 12:22:05 PM,,,,,time= 1/26/08 11:56:03 AM  1/26/08 12:22:32 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: M_F1:M_F2:M_F3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,630.63,248.43,39.39,,346.4,630.63,242.06,38.38,,346.4,630.63,242.06,38.38,,346.4,630.63,244.18,38.72,,
347.9,683.98,257.28,37.61,,347.9,683.98,263.55,38.53,,347.9,683.98,235.31,34.40,,347.9,683.98,252.05,36.85,,
349.5,730.08,258.96,35.47,,349.5,730.08,243.36,33.33,,349.5,730.08,237.12,32.48,,349.5,730.08,246.48,33.76,,
351.1,795.60,262.08,32.94,,351.1,795.60,262.08,32.94,,351.1,795.60,240.24,30.20,,351.1,795.60,254.80,32.03,,
352.6,847.55,275.14,32.46,,352.6,847.55,249.84,29.48,,352.6,847.55,249.84,29.48,,352.6,847.55,258.27,30.47,,
354.2,906.48,271.62,29.96,,354.2,906.48,271.62,29.96,,354.2,906.48,261.80,28.88,,354.2,906.48,268.35,29.60,,
355.7,986.68,292.97,29.69,,355.7,986.68,282.87,28.67,,355.7,986.68,269.40,27.30,,355.7,986.68,281.75,28.56,,
357.3,1040.25,301.67,29.00,,357.3,1040.25,284.34,27.33,,357.3,1040.25,277.40,26.67,,357.3,1040.25,287.80,27.67,,
358.8,1065.98,300.57,28.20,,358.8,1065.98,304.07,28.52,,358.8,1065.98,283.10,26.56,,358.8,1065.98,295.91,27.76,,
360.4,1143.19,313.06,27.38,,360.4,1143.19,288.44,25.23,,360.4,1143.19,288.44,25.23,,360.4,1143.19,296.65,25.95,,
361.9,1187.53,309.94,26.10,,361.9,1187.53,296.01,24.93,,361.9,1187.53,278.60,23.46,,361.9,1187.53,294.85,24.83,,
363.5,1239.58,315.09,25.42,,363.5,1239.58,311.63,25.14,,363.5,1239.58,290.85,23.46,,363.5,1239.58,305.86,24.67,,
365.1,1293.38,322.48,24.93,,365.1,1293.38,308.61,23.86,,365.1,1293.38,301.67,23.32,,365.1,1293.38,310.92,24.04,,
366.6,1353.38,324.54,23.98,,366.6,1353.38,314.18,23.21,,366.6,1353.38,290.01,21.43,,366.6,1353.38,309.58,22.87,,
368.2,1426.94,318.96,22.35,,368.2,1426.94,302.18,21.18,,368.2,1426.94,282.03,19.76,,368.2,1426.94,301.06,21.10,,
369.7,1498.64,306.91,20.48,,369.7,1498.64,300.38,20.04,,369.7,1498.64,287.32,19.17,,369.7,1498.64,298.20,19.90,,
371.3,1600.16,299.62,18.72,,371.3,1600.16,302.91,18.93,,371.3,1600.16,293.03,18.31,,371.3,1600.16,298.52,18.66,,
372.8,1673.28,328.68,19.64,,372.8,1673.28,322.04,19.25,,372.8,1673.28,298.80,17.86,,372.8,1673.28,316.51,18.92,,
374.4,1748.85,333.75,19.08,,374.4,1748.85,317.06,18.13,,374.4,1748.85,297.04,16.98,,374.4,1748.85,315.95,18.07,,
375.9,1797.33,334.31,18.60,,375.9,1797.33,321.07,17.86,,375.9,1797.33,314.45,17.50,,375.9,1797.33,323.28,17.99,,
