name= \My Documents\HR1024_Data\P_500[CG]1.,,,,,name= \My Documents\HR1024_Data\P_500[CG]2.,,,,,name= \My Documents\HR1024_Data\P_500[CG]3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.98  8.88  -5.30  39.99  8.88  -5.30,,,,,temp= 32.98  8.88  -5.30  40.31  8.88  -5.30,,,,,temp= 32.98  8.88  -5.30  40.31  8.94  -5.17,,,,,
battery= 7.1  6.8,,,,,battery= 7.1  6.8,,,,,battery= 7.1  6.8,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/26/08 11:56:03 AM  1/26/08 12:14:13 PM,,,,,time= 1/26/08 11:56:03 AM  1/26/08 12:15:08 PM,,,,,time= 1/26/08 11:56:03 AM  1/26/08 12:16:03 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: P_500[CG]1:P_500[CG]2:P_500[CG]3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,630.63,452.27,71.72,,346.4,630.63,436.35,69.19,,346.4,630.63,458.64,72.73,,346.4,630.63,449.09,71.21,,
347.9,683.98,489.45,71.56,,347.9,683.98,464.35,67.89,,347.9,683.98,489.45,71.56,,347.9,683.98,481.08,70.34,,
349.5,730.08,514.80,70.51,,349.5,730.08,489.84,67.09,,349.5,730.08,511.68,70.09,,349.5,730.08,505.44,69.23,,
351.1,795.60,558.48,70.20,,351.1,795.60,552.24,69.41,,351.1,795.60,564.72,70.98,,351.1,795.60,558.48,70.20,,
352.6,847.55,610.36,72.01,,352.6,847.55,581.90,68.66,,352.6,847.55,607.20,71.64,,352.6,847.55,599.82,70.77,,
354.2,906.48,647.96,71.48,,354.2,906.48,618.50,68.23,,354.2,906.48,641.41,70.76,,354.2,906.48,635.96,70.16,,
355.7,986.68,710.54,72.01,,355.7,986.68,680.24,68.94,,355.7,986.68,693.71,70.31,,355.7,986.68,694.83,70.42,,
357.3,1040.25,766.32,73.67,,357.3,1040.25,735.11,70.67,,357.3,1040.25,762.85,73.33,,357.3,1040.25,754.76,72.56,,
358.8,1065.98,789.87,74.10,,358.8,1065.98,754.92,70.82,,358.8,1065.98,782.88,73.44,,358.8,1065.98,775.89,72.79,,
360.4,1143.19,865.31,75.69,,360.4,1143.19,819.58,71.69,,360.4,1143.19,847.72,74.15,,360.4,1143.19,844.20,73.85,,
361.9,1187.53,884.56,74.49,,361.9,1187.53,846.25,71.26,,361.9,1187.53,877.59,73.90,,361.9,1187.53,869.47,73.22,,
363.5,1239.58,927.95,74.86,,363.5,1239.58,882.94,71.23,,363.5,1239.58,931.41,75.14,,363.5,1239.58,914.10,73.74,,
365.1,1293.38,953.56,73.73,,365.1,1293.38,922.36,71.31,,365.1,1293.38,957.03,73.99,,365.1,1293.38,944.32,73.01,,
366.6,1353.38,1008.13,74.49,,366.6,1353.38,983.96,72.70,,366.6,1353.38,1008.13,74.49,,366.6,1353.38,1000.07,73.89,,
368.2,1426.94,1081.12,75.76,,368.2,1426.94,1030.75,72.24,,368.2,1426.94,1081.12,75.76,,368.2,1426.94,1064.33,74.59,,
369.7,1498.64,1152.55,76.91,,369.7,1498.64,1090.51,72.77,,369.7,1498.64,1136.22,75.82,,369.7,1498.64,1126.43,75.16,,
371.3,1600.16,1221.52,76.34,,371.3,1600.16,1172.13,73.25,,371.3,1600.16,1224.81,76.54,,371.3,1600.16,1206.15,75.38,,
372.8,1673.28,1284.84,76.79,,372.8,1673.28,1231.72,73.61,,372.8,1673.28,1268.24,75.79,,372.8,1673.28,1261.60,75.40,,
374.4,1748.85,1348.35,77.10,,374.4,1748.85,1284.94,73.47,,374.4,1748.85,1348.35,77.10,,374.4,1748.85,1327.21,75.89,,
375.9,1797.33,1383.58,76.98,,375.9,1797.33,1340.55,74.59,,375.9,1797.33,1390.20,77.35,,375.9,1797.33,1371.44,76.30,,
377.4,1870.19,1440.86,77.04,,377.4,1870.19,1382.31,73.91,,377.4,1870.19,1427.85,76.35,,377.4,1870.19,1417.01,75.77,,
379.0,1934.96,1489.41,76.97,,379.0,1934.96,1438.49,74.34,,379.0,1934.96,1489.41,76.97,,379.0,1934.96,1472.44,76.10,,
380.5,1988.07,1532.60,77.09,,380.5,1988.07,1477.20,74.30,,380.5,1988.07,1517.21,76.32,,380.5,1988.07,1509.00,75.90,,
382.1,2033.04,1589.79,78.20,,382.1,2033.04,1518.87,74.71,,382.1,2033.04,1583.88,77.91,,382.1,2033.04,1564.18,76.94,,
383.6,2120.58,1647.14,77.67,,383.6,2120.58,1573.43,74.20,,383.6,2120.58,1635.80,77.14,,383.6,2120.58,1618.79,76.34,,
385.2,2208.25,1727.00,78.21,,385.2,2208.25,1644.50,74.47,,385.2,2208.25,1716.00,77.71,,385.2,2208.25,1695.83,76.80,,
386.7,2301.38,1803.20,78.35,,386.7,2301.38,1724.68,74.94,,386.7,2301.38,1797.78,78.12,,386.7,2301.38,1775.22,77.14,,
388.3,2426.73,1899.53,78.28,,388.3,2426.73,1815.29,74.80,,388.3,2426.73,1891.38,77.94,,388.3,2426.73,1868.73,77.01,,
389.8,2519.91,1981.89,78.65,,389.8,2519.91,1891.31,75.05,,389.8,2519.91,1979.15,78.54,,389.8,2519.91,1950.78,77.41,,
391.3,2626.26,2072.04,78.90,,391.3,2626.26,1971.78,75.08,,391.3,2626.26,2069.26,78.79,,391.3,2626.26,2037.69,77.59,,
392.9,2697.06,2147.98,79.64,,392.9,2697.06,2042.71,75.74,,392.9,2697.06,2133.75,79.11,,392.9,2697.06,2108.15,78.16,,
394.4,2771.65,2198.92,79.34,,394.4,2771.65,2106.93,76.02,,394.4,2771.65,2192.98,79.12,,394.4,2771.65,2166.28,78.16,,
395.9,2873.10,2285.92,79.56,,395.9,2873.10,2191.72,76.28,,395.9,2873.10,2279.64,79.34,,395.9,2873.10,2252.43,78.40,,
397.5,3029.74,2399.89,79.21,,397.5,3029.74,2290.07,75.59,,397.5,3029.74,2396.66,79.10,,397.5,3029.74,2362.21,77.97,,
399.0,3151.80,2499.81,79.31,,399.0,3151.80,2404.02,76.27,,399.0,3151.80,2490.54,79.02,,399.0,3151.80,2464.79,78.20,,
400.6,3234.69,2563.98,79.27,,400.6,3234.69,2456.44,75.94,,400.6,3234.69,2563.98,79.27,,400.6,3234.69,2528.13,78.16,,
402.1,3274.02,2608.38,79.67,,402.1,3274.02,2489.70,76.04,,402.1,3274.02,2592.90,79.20,,402.1,3274.02,2563.66,78.30,,
403.6,3322.94,2651.64,79.80,,403.6,3322.94,2536.56,76.33,,403.6,3322.94,2644.44,79.58,,403.6,3322.94,2610.88,78.57,,
405.1,3409.22,2712.30,79.56,,405.1,3409.22,2602.62,76.34,,405.1,3409.22,2714.58,79.62,,405.1,3409.22,2676.50,78.51,,
406.7,3528.00,2822.40,80.00,,406.7,3528.00,2696.96,76.44,,406.7,3528.00,2817.92,79.87,,406.7,3528.00,2779.09,78.77,,
408.2,3644.19,2918.03,80.07,,408.2,3644.19,2793.29,76.65,,408.2,3644.19,2926.94,80.32,,408.2,3644.19,2879.42,79.01,,
409.7,3754.24,3012.80,80.25,,409.7,3754.24,2887.36,76.91,,409.7,3754.24,3021.76,80.49,,409.7,3754.24,2973.97,79.22,,
411.3,3867.08,3112.02,80.47,,411.3,3867.08,2983.50,77.15,,411.3,3867.08,3121.20,80.71,,411.3,3867.08,3072.24,79.45,,
412.8,3976.86,3206.61,80.63,,412.8,3976.86,3066.78,77.12,,412.8,3976.86,3206.61,80.63,,412.8,3976.86,3160.00,79.46,,
414.3,4099.56,3294.34,80.36,,414.3,4099.56,3171.96,77.37,,414.3,4099.56,3311.47,80.78,,414.3,4099.56,3259.26,79.50,,
415.8,4220.00,3407.50,80.75,,415.8,4220.00,3262.50,77.31,,415.8,4220.00,3420.00,81.04,,415.8,4220.00,3363.33,79.70,,
417.4,4361.72,3511.64,80.51,,417.4,4361.72,3377.55,77.44,,417.4,4361.72,3524.29,80.80,,417.4,4361.72,3471.16,79.58,,
418.9,4457.86,3602.72,80.82,,418.9,4457.86,3453.45,77.47,,418.9,4457.86,3610.31,80.99,,418.9,4457.86,3555.49,79.76,,
420.4,4558.78,3683.92,80.81,,420.4,4558.78,3524.40,77.31,,420.4,4558.78,3683.92,80.81,,420.4,4558.78,3630.75,79.64,,
421.9,4636.72,3748.58,80.85,,421.9,4636.72,3591.28,77.45,,421.9,4636.72,3751.00,80.90,,421.9,4636.72,3696.95,79.73,,
423.5,4707.36,3801.38,80.75,,423.5,4707.36,3651.94,77.58,,423.5,4707.36,3813.06,81.00,,423.5,4707.36,3755.46,79.78,,
425.0,4796.17,3867.95,80.65,,425.0,4796.17,3717.37,77.51,,425.0,4796.17,3872.44,80.74,,425.0,4796.17,3819.25,79.63,,
426.5,4895.55,3951.70,80.72,,426.5,4895.55,3796.90,77.56,,426.5,4895.55,3958.15,80.85,,426.5,4895.55,3902.25,79.71,,
428.0,5034.78,4057.79,80.60,,428.0,5034.78,3895.65,77.37,,428.0,5034.78,4053.69,80.51,,428.0,5034.78,4002.38,79.49,,
429.5,5188.33,4183.05,80.62,,429.5,5188.33,4015.18,77.39,,429.5,5188.33,4187.00,80.70,,429.5,5188.33,4128.41,79.57,,
431.1,5363.82,4328.60,80.70,,431.1,5363.82,4142.84,77.24,,431.1,5363.82,4334.40,80.81,,431.1,5363.82,4268.61,79.58,,
432.6,5552.18,4479.43,80.68,,432.6,5552.18,4289.10,77.25,,432.6,5552.18,4492.88,80.92,,432.6,5552.18,4420.47,79.62,,
434.1,5732.65,4629.63,80.76,,434.1,5732.65,4442.90,77.50,,434.1,5732.65,4631.55,80.79,,434.1,5732.65,4568.03,79.68,,
435.6,5890.14,4752.36,80.68,,435.6,5890.14,4560.80,77.43,,435.6,5890.14,4767.84,80.95,,435.6,5890.14,4693.67,79.69,,
437.1,6052.80,4882.80,80.67,,437.1,6052.80,4687.80,77.45,,437.1,6052.80,4894.50,80.86,,437.1,6052.80,4821.70,79.66,,
438.6,6197.61,4995.03,80.60,,438.6,6197.61,4794.60,77.36,,438.6,6197.61,5010.75,80.85,,438.6,6197.61,4933.46,79.60,,
440.1,6347.97,5112.87,80.54,,440.1,6347.97,4902.72,77.23,,440.1,6347.97,5134.68,80.89,,440.1,6347.97,5050.09,79.55,,
441.6,6494.11,5238.54,80.67,,441.6,6494.11,5016.26,77.24,,441.6,6494.11,5252.56,80.88,,441.6,6494.11,5169.12,79.60,,
443.1,6656.18,5352.08,80.41,,443.1,6656.18,5143.50,77.27,,443.1,6656.18,5374.35,80.74,,443.1,6656.18,5289.98,79.47,,
444.7,6793.83,5476.58,80.61,,444.7,6793.83,5250.53,77.28,,444.7,6793.83,5499.18,80.94,,444.7,6793.83,5408.76,79.61,,
446.2,6914.93,5565.62,80.49,,446.2,6914.93,5348.81,77.35,,446.2,6914.93,5603.51,81.04,,446.2,6914.93,5505.98,79.62,,
447.7,7037.77,5672.07,80.59,,447.7,7037.77,5436.90,77.25,,447.7,7037.77,5700.12,80.99,,447.7,7037.77,5603.03,79.61,,
449.2,7173.36,5769.36,80.43,,449.2,7173.36,5544.72,77.30,,449.2,7173.36,5788.80,80.70,,449.2,7173.36,5700.96,79.47,,
450.7,7292.48,5859.36,80.35,,450.7,7292.48,5620.16,77.07,,450.7,7292.48,5863.52,80.41,,450.7,7292.48,5781.01,79.27,,
