name= \My Documents\HR1024_Data\PARA_650(WB)1.,,,,,name= \My Documents\HR1024_Data\PARA_650(WB)2.,,,,,name= \My Documents\HR1024_Data\PARA_650(WB)3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.98  8.88  -5.30  37.74  8.88  -5.30,,,,,temp= 32.98  8.88  -5.30  38.38  8.88  -5.30,,,,,temp= 32.98  8.88  -5.30  38.70  8.94  -5.30,,,,,
battery= 7.1  6.9,,,,,battery= 7.1  6.9,,,,,battery= 7.1  6.9,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/26/08 11:56:03 AM  1/26/08 12:03:46 PM,,,,,time= 1/26/08 11:56:03 AM  1/26/08 12:06:29 PM,,,,,time= 1/26/08 11:56:03 AM  1/26/08 12:07:24 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: PARA_650(WB)1:PARA_650(WB)2:PARA_650(WB)3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,630.63,506.42,80.30,,346.4,630.63,471.38,74.75,,346.4,630.63,484.12,76.77,,346.4,630.63,487.31,77.27,,
347.9,683.98,539.65,78.90,,347.9,683.98,514.55,75.23,,347.9,683.98,517.69,75.69,,347.9,683.98,523.96,76.61,,
349.5,730.08,574.08,78.63,,349.5,730.08,564.72,77.35,,349.5,730.08,567.84,77.78,,349.5,730.08,568.88,77.92,,
351.1,795.60,617.76,77.65,,351.1,795.60,605.28,76.08,,351.1,795.60,608.40,76.47,,351.1,795.60,610.48,76.73,,
352.6,847.55,686.26,80.97,,352.6,847.55,670.45,79.10,,352.6,847.55,657.80,77.61,,352.6,847.55,671.50,79.23,,
354.2,906.48,713.41,78.70,,354.2,906.48,723.22,79.78,,354.2,906.48,697.04,76.90,,354.2,906.48,711.22,78.46,,
355.7,986.68,788.00,79.86,,355.7,986.68,774.53,78.50,,355.7,986.68,761.06,77.13,,355.7,986.68,774.53,78.50,,
357.3,1040.25,839.14,80.67,,357.3,1040.25,828.73,79.67,,357.3,1040.25,814.86,78.33,,357.3,1040.25,827.58,79.56,,
358.8,1065.98,866.76,81.31,,358.8,1065.98,863.27,80.98,,358.8,1065.98,842.30,79.02,,358.8,1065.98,857.44,80.44,,
360.4,1143.19,935.66,81.85,,360.4,1143.19,918.07,80.31,,360.4,1143.19,904.00,79.08,,360.4,1143.19,919.24,80.41,,
361.9,1187.53,964.65,81.23,,361.9,1187.53,975.10,82.11,,361.9,1187.53,947.24,79.77,,361.9,1187.53,962.33,81.04,,
363.5,1239.58,1007.59,81.28,,363.5,1239.58,1014.51,81.84,,363.5,1239.58,1000.66,80.73,,363.5,1239.58,1007.59,81.28,,
365.1,1293.38,1061.06,82.04,,365.1,1293.38,1067.99,82.57,,365.1,1293.38,1040.25,80.43,,365.1,1293.38,1056.43,81.68,,
366.6,1353.38,1125.52,83.16,,366.6,1353.38,1115.16,82.40,,366.6,1353.38,1108.25,81.89,,366.6,1353.38,1116.31,82.48,,
368.2,1426.94,1195.27,83.76,,368.2,1426.94,1195.27,83.76,,368.2,1426.94,1175.13,82.35,,368.2,1426.94,1188.56,83.29,,
369.7,1498.64,1250.50,83.44,,369.7,1498.64,1257.03,83.88,,369.7,1498.64,1234.17,82.35,,369.7,1498.64,1247.23,83.22,,
371.3,1600.16,1340.05,83.74,,371.3,1600.16,1340.05,83.74,,371.3,1600.16,1323.59,82.72,,371.3,1600.16,1334.56,83.40,,
372.8,1673.28,1424.28,85.12,,372.8,1673.28,1427.60,85.32,,372.8,1673.28,1397.72,83.53,,372.8,1673.28,1416.53,84.66,,
374.4,1748.85,1488.53,85.11,,374.4,1748.85,1495.20,85.50,,374.4,1748.85,1475.18,84.35,,374.4,1748.85,1486.30,84.99,,
375.9,1797.33,1542.46,85.82,,375.9,1797.33,1552.39,86.37,,375.9,1797.33,1529.22,85.08,,375.9,1797.33,1541.36,85.76,,
377.4,1870.19,1593.73,85.22,,377.4,1870.19,1600.23,85.57,,377.4,1870.19,1577.46,84.35,,377.4,1870.19,1590.47,85.04,,
379.0,1934.96,1654.90,85.53,,379.0,1934.96,1664.45,86.02,,379.0,1934.96,1616.71,83.55,,379.0,1934.96,1645.35,85.03,,
380.5,1988.07,1698.78,85.45,,380.5,1988.07,1701.86,85.60,,380.5,1988.07,1671.08,84.06,,380.5,1988.07,1690.57,85.04,,
