name= \My Documents\HR1024_Data\PYR_650[1].,,,,,name= \My Documents\HR1024_Data\PYR_650[2].,,,,,name= \My Documents\HR1024_Data\PYR_650[3].,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.98  8.88  -5.30  41.68  9.01  -5.24,,,,,temp= 32.98  8.88  -5.30  41.93  8.94  -5.37,,,,,temp= 32.98  8.88  -5.30  42.09  9.01  -5.24,,,,,
battery= 7.1  6.6,,,,,battery= 7.1  6.6,,,,,battery= 7.1  6.6,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/26/08 11:56:03 AM  1/26/08 12:26:10 PM,,,,,time= 1/26/08 11:56:03 AM  1/26/08 12:26:59 PM,,,,,time= 1/26/08 11:56:03 AM  1/26/08 12:27:42 PM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: PYR_650[1]:PYR_650[2]:PYR_650[3]
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,630.63,417.24,66.16,,346.4,630.63,359.91,57.07,,346.4,630.63,407.68,64.65,,346.4,630.63,394.94,62.63,,
347.9,683.98,448.66,65.60,,347.9,683.98,382.78,55.96,,347.9,683.98,436.11,63.76,,347.9,683.98,422.52,61.77,,
349.5,730.08,486.72,66.67,,349.5,730.08,418.08,57.26,,349.5,730.08,471.12,64.53,,349.5,730.08,458.64,62.82,,
351.1,795.60,530.40,66.67,,351.1,795.60,458.64,57.65,,351.1,795.60,496.08,62.35,,351.1,795.60,495.04,62.22,,
352.6,847.55,569.25,67.16,,352.6,847.55,493.35,58.21,,352.6,847.55,562.93,66.42,,352.6,847.55,541.84,63.93,,
354.2,906.48,605.41,66.79,,354.2,906.48,530.15,58.48,,354.2,906.48,592.32,65.34,,354.2,906.48,575.96,63.54,,
355.7,986.68,666.77,67.58,,355.7,986.68,582.58,59.04,,355.7,986.68,639.83,64.85,,355.7,986.68,629.73,63.82,,
357.3,1040.25,696.97,67.00,,357.3,1040.25,603.35,58.00,,357.3,1040.25,686.57,66.00,,357.3,1040.25,662.30,63.67,,
358.8,1065.98,733.95,68.85,,358.8,1065.98,639.59,60.00,,358.8,1065.98,702.50,65.90,,358.8,1065.98,692.01,64.92,,
360.4,1143.19,780.89,68.31,,360.4,1143.19,699.98,61.23,,360.4,1143.19,756.26,66.15,,360.4,1143.19,745.71,65.23,,
361.9,1187.53,811.42,68.33,,361.9,1187.53,720.88,60.70,,361.9,1187.53,797.49,67.16,,361.9,1187.53,776.60,65.40,,
363.5,1239.58,855.24,68.99,,363.5,1239.58,754.83,60.89,,363.5,1239.58,827.54,66.76,,363.5,1239.58,812.54,65.55,,
365.1,1293.38,894.62,69.17,,365.1,1293.38,804.46,62.20,,365.1,1293.38,870.34,67.29,,365.1,1293.38,856.47,66.22,,
366.6,1353.38,942.53,69.64,,366.6,1353.38,842.41,62.24,,366.6,1353.38,935.63,69.13,,366.6,1353.38,906.86,67.01,,
368.2,1426.94,997.18,69.88,,368.2,1426.94,899.81,63.06,,368.2,1426.94,970.32,68.00,,368.2,1426.94,955.77,66.98,,
369.7,1498.64,1057.86,70.59,,369.7,1498.64,937.06,62.53,,369.7,1498.64,1018.68,67.97,,369.7,1498.64,1004.53,67.03,,
371.3,1600.16,1129.33,70.58,,371.3,1600.16,1007.51,62.96,,371.3,1600.16,1099.70,68.72,,371.3,1600.16,1078.85,67.42,,
372.8,1673.28,1191.88,71.23,,372.8,1673.28,1075.68,64.29,,372.8,1673.28,1155.36,69.05,,372.8,1673.28,1140.97,68.19,,
374.4,1748.85,1244.89,71.18,,374.4,1748.85,1128.08,64.50,,374.4,1748.85,1208.18,69.08,,374.4,1748.85,1193.72,68.26,,
375.9,1797.33,1287.59,71.64,,375.9,1797.33,1165.12,64.83,,375.9,1797.33,1251.18,69.61,,375.9,1797.33,1234.63,68.69,,
377.4,1870.19,1333.53,71.30,,377.4,1870.19,1206.68,64.52,,377.4,1870.19,1284.74,68.70,,377.4,1870.19,1274.98,68.17,,
