Wavelength,Reflectance
356.0,29.34
366.0,24.67
376.0,19.33
386.0,15.57
396.0,15.6
406.0,13.14
416.0,13.39
426.0,12.97
436.0,12.34
446.0,12.94
456.0,13.72
466.0,14.05
476.0,14.2
486.0,14.63
496.0,16.47
506.0,21.11
516.0,29.11
526.0,37.66
536.0,42.83
546.0,44.92
556.0,45.98
566.0,44.58
576.0,41.5
586.0,38.99
596.0,37.52
606.0,36.31
616.0,33.62
626.0,31.99
636.0,31.38
646.0,26.66
656.0,21.22
666.0,18.29
676.0,16.55
686.0,21.81
696.0,42.01
706.0,62.35
716.0,74.87
726.0,81.87
736.0,84.56
746.0,85.99
756.0,87.36
766.0,88.33
776.0,89.68
786.0,91.06
796.0,93.38
806.0,94.94
816.0,95.55
826.0,94.95
836.0,92.94
846.0,91.74
856.0,91.28
866.0,90.58
876.0,89.83
886.0,89.22
896.0,88.53
906.0,87.64
916.0,86.29
926.0,83.49
936.0,78.97
946.0,73.67
956.0,67.42
966.0,64.74
976.0,64.74
986.0,59.72
996.0,61.82
1006.0,64.13
1016.0,66.77
1026.0,69.63
1036.0,72.39
1046.0,74.71
1056.0,76.43
1066.0,77.33
1076.0,77.38
1086.0,76.55
1096.0,74.93
1106.0,72.92
1116.0,70.67
1126.0,66.99
1136.0,60.09
1146.0,52.32
1156.0,47.68
1166.0,46.05
1176.0,45.44
1186.0,44.96
1196.0,44.68
1206.0,44.76
1216.0,45.24
1226.0,46.01
1236.0,46.68
1246.0,47.26
1256.0,47.67
1266.0,47.72
1276.0,47.41
1286.0,46.59
1296.0,45.27
1306.0,43.31
1316.0,40.84
1326.0,38.01
1336.0,35.2
1346.0,32.68
1356.0,30.59
1366.0,28.64
1376.0,25.87
1386.0,22.09
1396.0,18.26
1406.0,15.61
1416.0,14.07
1426.0,13.33
1436.0,13.02
1446.0,12.9
1456.0,12.9
1466.0,13.07
1476.0,13.49
1486.0,14.18
1496.0,15.08
1506.0,15.72
1516.0,16.24
1526.0,16.68
1536.0,17.34
1546.0,17.9
1556.0,18.55
1566.0,19.33
1576.0,20.11
1586.0,20.65
1596.0,21.1
1606.0,21.57
1616.0,22.0
1626.0,22.44
1636.0,22.79
1646.0,23.13
1656.0,23.36
1666.0,23.47
1676.0,23.42
1686.0,23.13
1696.0,22.8
1706.0,22.3
1716.0,21.72
1726.0,21.1
1736.0,20.83
1746.0,20.51
1756.0,20.0
1766.0,19.61
1776.0,19.35
1786.0,19.1
1796.0,18.95
1806.0,18.92
1816.0,18.85
1826.0,18.76
1836.0,18.56
1846.0,18.18
1856.0,17.53
1866.0,16.41
1876.0,14.41
1886.0,12.31
1896.0,10.99
1906.0,6.57
1916.0,6.47
1926.0,6.49
1936.0,6.57
1946.0,6.71
1956.0,6.91
1966.0,7.13
1976.0,7.37
1986.0,7.64
1996.0,7.9
2006.0,8.22
2016.0,8.55
2026.0,8.77
2036.0,9.06
2046.0,9.23
2056.0,9.42
2066.0,9.58
2076.0,9.89
2086.0,10.1
2096.0,10.39
2106.0,10.58
2116.0,10.78
2126.0,10.98
2136.0,11.16
2146.0,11.41
2156.0,11.58
2166.0,11.68
2176.0,11.81
2186.0,11.93
2196.0,11.87
2206.0,12.01
2216.0,12.01
2226.0,11.86
2236.0,11.75
2246.0,11.31
2256.0,11.04
2266.0,10.76
2276.0,10.42
2286.0,10.04
2296.0,9.85
2306.0,9.26
2316.0,9.39
2326.0,9.56
2336.0,9.12
2346.0,8.93
2356.0,8.83
2366.0,8.79
2376.0,8.49
2386.0,8.34
2396.0,8.24
2406.0,7.97
2416.0,7.94
2426.0,7.73
2436.0,7.74
2446.0,7.12
2456.0,7.32
2466.0,7.02
2476.0,6.99
2486.0,6.86
2496.0,7.34
2506.0,6.4
