Wavelength,Reflectance
356.0,34.83
366.0,29.01
376.0,22.76
386.0,17.9
396.0,17.87
406.0,14.91
416.0,15.42
426.0,15.65
436.0,15.24
446.0,16.62
456.0,18.06
466.0,18.44
476.0,18.7
486.0,19.55
496.0,22.28
506.0,29.08
516.0,40.33
526.0,52.14
536.0,58.88
546.0,61.53
556.0,62.22
566.0,59.87
576.0,55.1
586.0,51.21
596.0,48.85
606.0,46.87
616.0,43.01
626.0,38.88
636.0,37.92
646.0,34.33
656.0,29.7
666.0,22.93
676.0,20.45
686.0,27.73
696.0,53.73
706.0,79.17
716.0,94.04
726.0,102.02
736.0,105.21
746.0,107.23
756.0,107.9
766.0,109.29
776.0,110.23
786.0,111.51
796.0,111.69
806.0,112.42
816.0,112.87
826.0,111.69
836.0,109.91
846.0,109.49
856.0,108.28
866.0,107.53
876.0,106.68
886.0,105.21
896.0,103.99
906.0,102.93
916.0,101.39
926.0,98.53
936.0,94.15
946.0,89.37
956.0,83.42
966.0,80.95
976.0,79.97
986.0,77.11
996.0,78.67
1006.0,80.45
1016.0,82.73
1026.0,84.96
1036.0,87.15
1046.0,89.18
1056.0,90.76
1066.0,91.55
1076.0,91.67
1086.0,90.91
1096.0,89.53
1106.0,87.93
1116.0,85.97
1126.0,82.58
1136.0,76.23
1146.0,68.87
1156.0,64.59
1166.0,63.13
1176.0,62.5
1186.0,61.97
1196.0,61.59
1206.0,61.67
1216.0,62.18
1226.0,62.94
1236.0,63.67
1246.0,64.23
1256.0,64.62
1266.0,64.72
1276.0,64.36
1286.0,63.49
1296.0,62.09
1306.0,59.97
1316.0,57.37
1326.0,54.21
1336.0,50.99
1346.0,48.01
1356.0,45.38
1366.0,42.83
1376.0,39.14
1386.0,33.38
1396.0,27.48
1406.0,23.21
1416.0,20.87
1426.0,19.73
1436.0,19.21
1446.0,19.03
1456.0,19.06
1466.0,19.39
1476.0,20.12
1486.0,21.26
1496.0,22.65
1506.0,23.45
1516.0,23.84
1526.0,25.55
1536.0,26.82
1546.0,28.02
1556.0,29.08
1566.0,30.05
1576.0,31.18
1586.0,32.03
1596.0,32.75
1606.0,33.44
1616.0,34.14
1626.0,34.78
1636.0,35.33
1646.0,35.6
1656.0,35.72
1666.0,35.78
1676.0,35.73
1686.0,35.43
1696.0,35.01
1706.0,34.34
1716.0,33.58
1726.0,32.79
1736.0,32.38
1746.0,31.82
1756.0,30.97
1766.0,30.31
1776.0,29.95
1786.0,29.64
1796.0,29.49
1806.0,29.51
1816.0,29.49
1826.0,29.41
1836.0,29.19
1846.0,29.11
1856.0,28.67
1866.0,25.49
1876.0,20.85
1886.0,17.23
1896.0,15.29
1906.0,10.56
1916.0,10.07
1926.0,9.87
1936.0,9.91
1946.0,10.13
1956.0,10.43
1966.0,10.94
1976.0,11.35
1986.0,11.79
1996.0,12.44
2006.0,12.97
2016.0,13.52
2026.0,14.04
2036.0,14.52
2046.0,15.03
2056.0,15.5
2066.0,15.94
2076.0,16.41
2086.0,16.87
2096.0,17.35
2106.0,17.78
2116.0,18.24
2126.0,18.65
2136.0,19.02
2146.0,19.44
2156.0,19.72
2166.0,19.83
2176.0,19.99
2186.0,20.11
2196.0,20.15
2206.0,20.29
2216.0,20.27
2226.0,19.92
2236.0,19.71
2246.0,19.17
2256.0,18.57
2266.0,18.19
2276.0,17.51
2286.0,17.06
2296.0,16.33
2306.0,15.51
2316.0,15.46
2326.0,15.71
2336.0,15.11
2346.0,14.64
2356.0,14.41
2366.0,14.09
2376.0,13.84
2386.0,13.48
2396.0,13.31
2406.0,12.81
2416.0,12.79
2426.0,12.18
2436.0,11.94
2446.0,11.59
2456.0,11.2
2466.0,10.7
2476.0,11.11
2486.0,10.23
2496.0,10.4
2506.0,9.71
