Wavelength,Reflectance
356.0,17.83
366.0,14.43
376.0,11.29
386.0,8.79
396.0,8.61
406.0,7.03
416.0,6.8
426.0,6.16
436.0,5.72
446.0,5.64
456.0,5.33
466.0,5.3
476.0,5.13
486.0,4.9
496.0,4.9
506.0,4.92
516.0,4.75
526.0,4.66
536.0,4.79
546.0,4.91
556.0,5.01
566.0,5.45
576.0,6.48
586.0,8.23
596.0,10.4
606.0,13.12
616.0,16.34
626.0,18.71
636.0,22.29
646.0,23.1
656.0,22.26
666.0,18.41
676.0,16.83
686.0,23.86
696.0,43.73
706.0,58.54
716.0,65.75
726.0,69.05
736.0,69.73
746.0,71.22
756.0,71.69
766.0,73.4
776.0,74.39
786.0,75.12
796.0,74.39
806.0,74.35
816.0,74.6
826.0,74.14
836.0,73.79
846.0,74.73
856.0,74.79
866.0,74.89
876.0,74.41
886.0,73.16
896.0,71.61
906.0,70.54
916.0,69.09
926.0,66.69
936.0,63.53
946.0,60.07
956.0,55.82
966.0,53.94
976.0,53.13
986.0,51.14
996.0,51.78
1006.0,53.14
1016.0,55.03
1026.0,56.82
1036.0,58.5
1046.0,60.29
1056.0,61.76
1066.0,62.59
1076.0,62.76
1086.0,62.31
1096.0,61.3
1106.0,60.1
1116.0,58.56
1126.0,55.88
1136.0,50.84
1146.0,45.01
1156.0,41.58
1166.0,40.39
1176.0,39.89
1186.0,39.44
1196.0,39.13
1206.0,39.23
1216.0,39.69
1226.0,40.38
1236.0,41.0
1246.0,41.51
1256.0,41.89
1266.0,42.1
1276.0,41.93
1286.0,41.38
1296.0,40.41
1306.0,38.84
1316.0,36.79
1326.0,34.27
1336.0,31.68
1346.0,29.4
1356.0,27.38
1366.0,25.46
1376.0,22.72
1386.0,18.52
1396.0,14.39
1406.0,11.6
1416.0,10.08
1426.0,9.39
1436.0,9.07
1446.0,8.97
1456.0,8.97
1466.0,9.13
1476.0,9.54
1486.0,10.18
1496.0,11.02
1506.0,11.55
1516.0,12.05
1526.0,12.73
1536.0,13.45
1546.0,14.22
1556.0,14.84
1566.0,15.51
1576.0,16.29
1586.0,16.85
1596.0,17.33
1606.0,17.85
1616.0,18.34
1626.0,18.82
1636.0,19.23
1646.0,19.41
1656.0,19.47
1666.0,19.54
1676.0,19.52
1686.0,19.32
1696.0,19.06
1706.0,18.68
1716.0,18.19
1726.0,17.64
1736.0,17.35
1746.0,16.96
1756.0,16.44
1766.0,16.06
1776.0,15.84
1786.0,15.66
1796.0,15.63
1806.0,15.67
1816.0,15.69
1826.0,15.71
1836.0,15.59
1846.0,15.53
1856.0,15.3
1866.0,13.49
1876.0,10.74
1886.0,8.75
1896.0,7.86
1906.0,4.94
1916.0,4.68
1926.0,4.6
1936.0,4.52
1946.0,4.61
1956.0,4.72
1966.0,4.92
1976.0,5.04
1986.0,5.19
1996.0,5.43
2006.0,5.65
2016.0,5.85
2026.0,6.07
2036.0,6.4
2046.0,6.49
2056.0,6.65
2066.0,6.8
2076.0,7.04
2086.0,7.25
2096.0,7.47
2106.0,7.65
2116.0,7.94
2126.0,8.12
2136.0,8.3
2146.0,8.52
2156.0,8.71
2166.0,8.8
2176.0,8.9
2186.0,8.95
2196.0,9.14
2206.0,9.19
2216.0,9.19
2226.0,9.1
2236.0,8.9
2246.0,8.84
2256.0,8.39
2266.0,8.19
2276.0,7.76
2286.0,7.65
2296.0,7.39
2306.0,6.91
2316.0,7.17
2326.0,7.01
2336.0,6.76
2346.0,6.62
2356.0,6.44
2366.0,6.39
2376.0,6.36
2386.0,6.01
2396.0,5.98
2406.0,5.73
2416.0,5.89
2426.0,5.6
2436.0,5.43
2446.0,5.41
2456.0,5.4
2466.0,5.16
2476.0,5.26
2486.0,5.01
2496.0,4.99
2506.0,4.17
