Wavelength,Reflectance
356.0,10.02
366.0,8.23
376.0,6.42
386.0,5.21
396.0,5.18
406.0,4.24
416.0,4.16
426.0,3.85
436.0,3.48
446.0,3.5
456.0,3.4
466.0,3.29
476.0,3.33
486.0,3.11
496.0,3.13
506.0,3.33
516.0,3.53
526.0,3.65
536.0,3.77
546.0,4.0
556.0,4.24
566.0,4.64
576.0,5.21
586.0,6.07
596.0,7.21
606.0,8.35
616.0,9.26
626.0,10.68
636.0,11.85
646.0,9.73
656.0,8.88
666.0,7.87
676.0,7.27
686.0,10.29
696.0,20.42
706.0,29.49
716.0,34.71
726.0,37.84
736.0,38.7
746.0,39.11
756.0,40.13
766.0,40.24
776.0,40.68
786.0,40.83
796.0,42.05
806.0,42.29
816.0,42.37
826.0,42.1
836.0,41.21
846.0,40.59
856.0,40.65
866.0,40.28
876.0,39.89
886.0,39.54
896.0,39.05
906.0,38.47
916.0,37.69
926.0,36.42
936.0,34.79
946.0,32.59
956.0,30.32
966.0,29.13
976.0,28.34
986.0,28.75
996.0,28.63
1006.0,29.22
1016.0,30.12
1026.0,31.02
1036.0,31.98
1046.0,32.8
1056.0,33.43
1066.0,33.82
1076.0,33.89
1086.0,33.62
1096.0,33.04
1106.0,32.38
1116.0,31.63
1126.0,30.34
1136.0,27.91
1146.0,25.07
1156.0,23.24
1166.0,22.48
1176.0,22.05
1186.0,21.75
1196.0,21.59
1206.0,21.61
1216.0,21.83
1226.0,22.17
1236.0,22.49
1246.0,22.72
1256.0,22.84
1266.0,22.92
1276.0,22.82
1286.0,22.49
1296.0,22.04
1306.0,21.27
1316.0,20.23
1326.0,18.93
1336.0,17.61
1346.0,16.41
1356.0,15.38
1366.0,14.32
1376.0,12.83
1386.0,10.58
1396.0,8.18
1406.0,6.5
1416.0,5.55
1426.0,5.08
1436.0,4.87
1446.0,4.8
1456.0,4.78
1466.0,4.87
1476.0,5.1
1486.0,5.47
1496.0,5.92
1506.0,6.23
1516.0,6.58
1526.0,6.96
1536.0,7.21
1546.0,7.63
1556.0,8.08
1566.0,8.45
1576.0,8.86
1586.0,9.18
1596.0,9.47
1606.0,9.76
1616.0,10.02
1626.0,10.24
1636.0,10.48
1646.0,10.7
1656.0,10.8
1666.0,10.84
1676.0,10.82
1686.0,10.65
1696.0,10.44
1706.0,10.18
1716.0,9.86
1726.0,9.5
1736.0,9.35
1746.0,9.21
1756.0,8.93
1766.0,8.7
1776.0,8.57
1786.0,8.48
1796.0,8.43
1806.0,8.43
1816.0,8.44
1826.0,8.39
1836.0,8.3
1846.0,7.95
1856.0,7.38
1866.0,6.74
1876.0,5.6
1886.0,4.45
1896.0,3.74
1906.0,1.92
1916.0,1.98
1926.0,1.91
1936.0,1.89
1946.0,1.85
1956.0,1.98
1966.0,2.03
1976.0,2.12
1986.0,2.18
1996.0,2.32
2006.0,2.51
2016.0,2.6
2026.0,2.7
2036.0,2.84
2046.0,2.94
2056.0,2.98
2066.0,3.02
2076.0,3.2
2086.0,3.31
2096.0,3.44
2106.0,3.47
2116.0,3.72
2126.0,3.77
2136.0,3.84
2146.0,4.08
2156.0,4.16
2166.0,4.13
2176.0,4.17
2186.0,4.3
2196.0,4.37
2206.0,4.32
2216.0,4.39
2226.0,4.22
2236.0,4.25
2246.0,3.97
2256.0,3.78
2266.0,3.72
2276.0,3.43
2286.0,3.15
2296.0,3.05
2306.0,2.78
2316.0,2.83
2326.0,3.08
2336.0,2.74
2346.0,2.73
2356.0,2.53
2366.0,2.62
2376.0,2.37
2386.0,2.28
2396.0,2.52
2406.0,2.32
2416.0,2.28
2426.0,1.99
2436.0,2.33
2446.0,2.06
2456.0,2.05
2466.0,1.86
2476.0,2.19
2486.0,1.87
2496.0,1.83
2506.0,2.04
