Wavelength,Reflectance
356.0,22.27
366.0,18.36
376.0,13.6
386.0,11.09
396.0,10.6
406.0,8.59
416.0,8.78
426.0,8.52
436.0,8.11
446.0,8.12
456.0,7.9
466.0,7.95
476.0,8.12
486.0,7.85
496.0,8.05
506.0,8.73
516.0,10.12
526.0,11.85
536.0,13.51
546.0,14.85
556.0,15.83
566.0,17.09
576.0,18.76
586.0,20.92
596.0,23.6
606.0,26.47
616.0,29.15
626.0,31.94
636.0,35.21
646.0,31.04
656.0,30.23
666.0,28.17
676.0,28.24
686.0,38.55
696.0,57.7
706.0,68.48
716.0,73.33
726.0,76.06
736.0,77.03
746.0,77.84
756.0,79.0
766.0,79.42
776.0,80.07
786.0,80.76
796.0,81.98
806.0,82.66
816.0,82.88
826.0,82.51
836.0,81.31
846.0,80.9
856.0,80.86
866.0,80.57
876.0,80.11
886.0,79.24
896.0,78.3
906.0,77.19
916.0,75.65
926.0,73.12
936.0,69.14
946.0,65.05
956.0,60.19
966.0,57.88
976.0,57.68
986.0,60.38
996.0,61.02
1006.0,62.6
1016.0,64.71
1026.0,66.88
1036.0,69.2
1046.0,71.21
1056.0,72.7
1066.0,73.54
1076.0,73.68
1086.0,73.01
1096.0,71.76
1106.0,70.11
1116.0,68.26
1126.0,65.17
1136.0,59.48
1146.0,52.97
1156.0,49.01
1166.0,47.46
1176.0,46.82
1186.0,46.29
1196.0,45.94
1206.0,45.99
1216.0,46.44
1226.0,47.13
1236.0,47.76
1246.0,48.28
1256.0,48.66
1266.0,48.77
1276.0,48.51
1286.0,47.88
1296.0,46.78
1306.0,45.08
1316.0,42.93
1326.0,40.35
1336.0,37.73
1346.0,35.34
1356.0,33.18
1366.0,31.25
1376.0,28.47
1386.0,24.24
1396.0,19.77
1406.0,16.53
1416.0,14.63
1426.0,13.67
1436.0,13.29
1446.0,13.1
1456.0,13.08
1466.0,13.26
1476.0,13.72
1486.0,14.46
1496.0,15.39
1506.0,15.84
1516.0,16.58
1526.0,17.06
1536.0,17.8
1546.0,18.7
1556.0,19.54
1566.0,20.17
1576.0,21.01
1586.0,21.52
1596.0,22.08
1606.0,22.59
1616.0,23.11
1626.0,23.59
1636.0,23.97
1646.0,24.3
1656.0,24.5
1666.0,24.59
1676.0,24.51
1686.0,24.22
1696.0,23.89
1706.0,23.39
1716.0,22.81
1726.0,22.2
1736.0,21.89
1746.0,21.51
1756.0,21.03
1766.0,20.57
1776.0,20.35
1786.0,20.08
1796.0,19.95
1806.0,19.95
1816.0,19.9
1826.0,19.87
1836.0,19.65
1846.0,19.37
1856.0,18.58
1866.0,16.93
1876.0,14.55
1886.0,12.1
1896.0,10.71
1906.0,6.48
1916.0,6.47
1926.0,6.4
1936.0,6.3
1946.0,6.48
1956.0,6.6
1966.0,6.91
1976.0,7.2
1986.0,7.29
1996.0,7.8
2006.0,8.12
2016.0,8.48
2026.0,8.46
2036.0,8.85
2046.0,9.09
2056.0,9.32
2066.0,9.45
2076.0,9.75
2086.0,9.94
2096.0,10.11
2106.0,10.42
2116.0,10.64
2126.0,10.84
2136.0,11.16
2146.0,11.46
2156.0,11.75
2166.0,11.73
2176.0,11.93
2186.0,12.21
2196.0,12.06
2206.0,12.21
2216.0,12.46
2226.0,11.94
2236.0,12.16
2246.0,11.74
2256.0,11.25
2266.0,10.71
2276.0,10.47
2286.0,9.87
2296.0,9.7
2306.0,8.98
2316.0,9.41
2326.0,9.11
2336.0,8.69
2346.0,8.87
2356.0,8.64
2366.0,8.19
2376.0,8.36
2386.0,7.85
2396.0,8.15
2406.0,7.53
2416.0,7.7
2426.0,7.38
2436.0,7.5
2446.0,7.1
2456.0,6.98
2466.0,6.55
2476.0,6.85
2486.0,6.42
2496.0,6.33
2506.0,6.5
