Wavelength,Reflectance
356.0,10.73
366.0,8.91
376.0,6.99
386.0,5.74
396.0,5.9
406.0,4.85
416.0,4.96
426.0,4.8
436.0,4.76
446.0,4.92
456.0,4.88
466.0,5.03
476.0,5.15
486.0,5.18
496.0,5.39
506.0,5.86
516.0,6.56
526.0,7.38
536.0,8.2
546.0,9.06
556.0,10.07
566.0,11.21
576.0,12.51
586.0,13.87
596.0,15.01
606.0,15.87
616.0,16.9
626.0,18.4
636.0,19.99
646.0,19.92
656.0,19.29
666.0,17.48
676.0,17.76
686.0,22.93
696.0,29.73
706.0,34.26
716.0,37.22
726.0,39.66
736.0,41.51
746.0,43.44
756.0,45.31
766.0,47.0
776.0,48.64
786.0,50.13
796.0,51.69
806.0,53.04
816.0,54.18
826.0,54.86
836.0,55.01
846.0,55.59
856.0,56.32
866.0,56.94
876.0,57.24
886.0,57.12
896.0,56.71
906.0,56.05
916.0,54.96
926.0,52.46
936.0,48.5
946.0,43.8
956.0,38.37
966.0,36.02
976.0,35.43
986.0,32.32
996.0,33.48
1006.0,35.1
1016.0,37.01
1026.0,39.18
1036.0,41.42
1046.0,43.41
1056.0,44.81
1066.0,45.63
1076.0,45.61
1086.0,44.83
1096.0,43.4
1106.0,41.78
1116.0,39.89
1126.0,36.76
1136.0,31.21
1146.0,25.46
1156.0,22.31
1166.0,21.17
1176.0,20.64
1186.0,20.28
1196.0,20.09
1206.0,20.14
1216.0,20.38
1226.0,20.77
1236.0,21.11
1246.0,21.46
1256.0,21.69
1266.0,21.73
1276.0,21.48
1286.0,20.87
1296.0,19.95
1306.0,18.64
1316.0,17.05
1326.0,15.27
1336.0,13.64
1346.0,12.27
1356.0,11.3
1366.0,10.23
1376.0,8.84
1386.0,6.98
1396.0,5.36
1406.0,4.31
1416.0,3.77
1426.0,3.49
1436.0,3.38
1446.0,3.29
1456.0,3.26
1466.0,3.31
1476.0,3.42
1486.0,3.65
1496.0,4.01
1506.0,4.17
1516.0,4.27
1526.0,4.44
1536.0,4.68
1546.0,4.92
1556.0,5.16
1566.0,5.39
1576.0,5.74
1586.0,5.93
1596.0,6.09
1606.0,6.25
1616.0,6.45
1626.0,6.61
1636.0,6.76
1646.0,6.89
1656.0,6.98
1666.0,7.01
1676.0,6.98
1686.0,6.9
1696.0,6.82
1706.0,6.67
1716.0,6.46
1726.0,6.22
1736.0,6.05
1746.0,5.87
1756.0,5.67
1766.0,5.54
1776.0,5.4
1786.0,5.3
1796.0,5.24
1806.0,5.22
1816.0,5.25
1826.0,5.22
1836.0,5.15
1846.0,5.01
1856.0,4.72
1866.0,4.27
1876.0,3.6
1886.0,2.88
1896.0,2.52
1906.0,1.24
1916.0,1.46
1926.0,1.42
1936.0,1.43
1946.0,1.39
1956.0,1.5
1966.0,1.46
1976.0,1.51
1986.0,1.57
1996.0,1.64
2006.0,1.67
2016.0,1.96
2026.0,1.85
2036.0,1.94
2046.0,1.91
2056.0,1.97
2066.0,2.08
2076.0,2.14
2086.0,2.16
2096.0,2.29
2106.0,2.44
2116.0,2.5
2126.0,2.45
2136.0,2.38
2146.0,2.73
2156.0,2.8
2166.0,2.6
2176.0,2.8
2186.0,2.73
2196.0,2.79
2206.0,2.84
2216.0,2.78
2226.0,2.64
2236.0,2.57
2246.0,2.71
2256.0,2.28
2266.0,2.4
2276.0,2.35
2286.0,2.15
2296.0,2.22
2306.0,2.15
2316.0,2.11
2326.0,2.2
2336.0,1.96
2346.0,2.05
2356.0,1.9
2366.0,2.11
2376.0,1.93
2386.0,1.95
2396.0,1.82
2406.0,1.69
2416.0,1.69
2426.0,1.24
2436.0,1.92
2446.0,1.55
2456.0,1.38
2466.0,1.12
2476.0,1.63
2486.0,1.09
2496.0,1.46
2506.0,1.87
