Wavelength,Reflectance
356.0,-14689.06
366.0,-14235.0
376.0,-12357.73
386.0,-8355.6
396.0,-7609.37
406.0,-130.82
416.0,2930.51
426.0,8055.0
436.0,14109.93
446.0,20397.66
456.0,33889.25
466.0,45424.79
476.0,55408.06
486.0,67241.79
496.0,96707.82
506.0,146700.34
516.0,211815.0
526.0,295890.51
536.0,377046.0
546.0,444084.16
556.0,461711.09
566.0,494856.25
576.0,524757.56
586.0,537908.25
596.0,557492.44
606.0,551399.5
616.0,546589.28
626.0,598755.1
636.0,546491.8
646.0,486356.98
656.0,430687.01
666.0,339301.13
676.0,310710.0
686.0,457023.77
696.0,872644.2
706.0,1214114.83
716.0,1374179.83
726.0,1425845.31
736.0,1437528.0
746.0,1549117.21
756.0,1603057.12
766.0,1687619.32
776.0,1737502.88
786.0,1757800.76
796.0,1716908.58
806.0,1670038.83
816.0,1659690.0
826.0,1635753.72
836.0,1629313.53
846.0,1673353.92
856.0,1693879.35
866.0,1702673.58
876.0,1694707.64
886.0,1667366.52
896.0,1623133.0
906.0,1590181.43
916.0,1541594.15
926.0,1468548.59
936.0,1410977.0
946.0,1335610.92
956.0,1229950.78
966.0,1178077.18
976.0,1138653.93
986.0,1385174.24
996.0,1380120.54
1006.0,1407690.66
1016.0,1471265.0
1026.0,1520405.75
1036.0,1567460.66
1046.0,1633118.22
1056.0,1679847.44
1066.0,1700764.9
1076.0,1694859.75
1086.0,1677278.92
1096.0,1639410.88
1106.0,1593497.38
1116.0,1533563.0
1126.0,1443110.77
1136.0,1285632.12
1146.0,1116997.33
1156.0,1023955.65
1166.0,991752.12
1176.0,977386.25
1186.0,968437.73
1196.0,950907.95
1206.0,946428.87
1216.0,951840.03
1226.0,961993.0
1236.0,971076.31
1246.0,976755.54
1256.0,979599.93
1266.0,975331.65
1276.0,970281.9
1286.0,953712.02
1296.0,919543.96
1306.0,866159.61
1316.0,803839.72
1326.0,734778.64
1336.0,669228.82
1346.0,610926.72
1356.0,557365.24
1366.0,512464.36
1376.0,453634.76
1386.0,369654.23
1396.0,288827.33
1406.0,235251.54
1416.0,207632.44
1426.0,194033.14
1436.0,186667.58
1446.0,183618.53
1456.0,182092.74
1466.0,184022.1
1476.0,189818.33
1486.0,200820.01
1496.0,214717.7
1506.0,217390.36
1516.0,222056.17
1526.0,235243.0
1536.0,247470.35
1546.0,258298.08
1556.0,268081.4
1566.0,275698.08
1576.0,285495.03
1586.0,291773.0
1596.0,296180.88
1606.0,300373.85
1616.0,304354.22
1626.0,308465.32
1636.0,310167.35
1646.0,308351.87
1656.0,304886.01
1666.0,301025.36
1676.0,296119.31
1686.0,293663.92
1696.0,286656.27
1706.0,276456.16
1716.0,263028.21
1726.0,251574.83
1736.0,243955.45
1746.0,235931.57
1756.0,224795.04
1766.0,215924.86
1776.0,210868.19
1786.0,205402.86
1796.0,202331.5
1806.0,199949.57
1816.0,197062.53
1826.0,193413.59
1836.0,187104.02
1846.0,182511.22
1856.0,175348.7
1866.0,154982.01
1876.0,123757.52
1886.0,99740.82
1896.0,83017.39
1906.0,15833.62
1916.0,36729.21
1926.0,51506.12
1936.0,33470.7
1946.0,14327.03
1956.0,29374.26
1966.0,45036.68
1976.0,46168.77
1986.0,24570.23
1996.0,29808.43
2006.0,51853.86
2016.0,63931.09
2026.0,32816.81
2036.0,37539.73
2046.0,53969.3
2056.0,60230.48
2066.0,33965.72
2076.0,46455.98
2086.0,67027.22
2096.0,54291.17
2106.0,44217.48
2116.0,57891.88
2126.0,71460.17
2136.0,39981.14
2146.0,52357.0
2156.0,75998.39
2166.0,42184.6
2176.0,49295.0
2186.0,75359.62
2196.0,41172.05
2206.0,41273.67
2216.0,75102.94
2226.0,33123.0
2236.0,37740.28
2246.0,64944.39
2256.0,22120.31
2266.0,42469.01
2276.0,56164.46
2286.0,15096.36
2296.0,37315.09
2306.0,21681.23
2316.0,16990.89
2326.0,52760.58
2336.0,5838.09
2346.0,31868.57
2356.0,19342.67
2366.0,9102.67
2376.0,32240.28
2386.0,5274.5
2396.0,43846.37
2406.0,653.46
2416.0,22216.36
2426.0,3961.67
2436.0,10300.58
2446.0,7439.79
2456.0,3122.49
2466.0,6946.56
2476.0,1864.84
2486.0,2227.48
2496.0,3315.63
2506.0,15366.73
