Wavelength,Reflectance
356.0,10905.37
366.0,12708.6
376.0,13862.2
386.0,15583.39
396.0,21631.94
406.0,24269.31
416.0,31234.75
426.0,35345.0
436.0,42017.6
446.0,52843.85
456.0,67602.11
466.0,85674.78
476.0,100653.59
486.0,114611.58
496.0,153897.23
506.0,217320.63
516.0,288599.0
526.0,382949.12
536.0,478480.67
546.0,555211.02
556.0,577319.37
566.0,620827.23
576.0,669591.32
586.0,701172.67
596.0,725228.15
606.0,720305.0
616.0,728689.36
626.0,722438.07
636.0,732421.22
646.0,712491.27
656.0,629915.06
666.0,521759.29
676.0,489193.0
686.0,672806.8
696.0,1128481.81
706.0,1471241.67
716.0,1606050.83
726.0,1633378.91
736.0,1627924.0
746.0,1753520.29
756.0,1792664.11
766.0,1893877.79
776.0,1950458.48
786.0,1974050.42
796.0,1914667.56
806.0,1857149.58
816.0,1849165.5
826.0,1811838.74
836.0,1813480.06
846.0,1866049.93
856.0,1890232.08
866.0,1908071.74
876.0,1907187.49
886.0,1888193.55
896.0,1844188.0
906.0,1813150.65
916.0,1762506.51
926.0,1693446.39
936.0,1655141.0
946.0,1601078.28
956.0,1520722.95
966.0,1500269.86
976.0,1493413.41
986.0,1546359.29
996.0,1573539.6
1006.0,1605125.54
1016.0,1661840.64
1026.0,1707931.5
1036.0,1741322.29
1046.0,1800462.52
1056.0,1846136.16
1066.0,1864831.75
1076.0,1859806.25
1086.0,1845671.82
1096.0,1815892.99
1106.0,1775865.95
1116.0,1719489.0
1126.0,1641939.62
1136.0,1505713.28
1146.0,1350181.8
1156.0,1257469.72
1166.0,1224168.0
1176.0,1210229.0
1186.0,1200325.15
1196.0,1180589.94
1206.0,1174221.03
1216.0,1177160.61
1226.0,1185232.0
1236.0,1194203.6
1246.0,1198750.28
1256.0,1200782.4
1266.0,1197279.27
1276.0,1193767.04
1286.0,1178821.95
1296.0,1146611.45
1306.0,1092678.69
1316.0,1028522.5
1326.0,954493.02
1336.0,878774.98
1346.0,815708.38
1356.0,754618.19
1366.0,699284.98
1376.0,631733.81
1386.0,524546.41
1396.0,417304.29
1406.0,341789.93
1416.0,301921.85
1426.0,282046.49
1436.0,271695.09
1446.0,266725.32
1456.0,264810.52
1466.0,268413.1
1476.0,276887.53
1486.0,291876.01
1496.0,310159.46
1506.0,323049.61
1516.0,334283.18
1526.0,346753.0
1536.0,363687.99
1546.0,378608.92
1556.0,390371.73
1566.0,401553.99
1576.0,413089.86
1586.0,421297.0
1596.0,427301.05
1606.0,433377.64
1616.0,437798.86
1626.0,442175.76
1636.0,444293.65
1646.0,441381.33
1656.0,435818.58
1666.0,429477.58
1676.0,423152.96
1686.0,419555.03
1696.0,410006.68
1706.0,397040.95
1716.0,379395.05
1726.0,365277.67
1736.0,354942.89
1746.0,343965.0
1756.0,329005.06
1766.0,315789.3
1776.0,310138.36
1786.0,302652.57
1796.0,297953.0
1806.0,295074.77
1816.0,291726.33
1826.0,287118.82
1836.0,278554.25
1846.0,272792.92
1856.0,264195.55
1866.0,233492.38
1876.0,185996.59
1886.0,147379.65
1896.0,125395.21
1906.0,38432.53
1916.0,53779.01
1926.0,71944.93
1936.0,56958.0
1946.0,36320.85
1956.0,49482.14
1966.0,71613.8
1976.0,74341.86
1986.0,52483.24
1996.0,61756.16
2006.0,78506.84
2016.0,89343.51
2026.0,67443.63
2036.0,70805.65
2046.0,92457.01
2056.0,99916.38
2066.0,64828.93
2076.0,83954.19
2086.0,105237.12
2096.0,93902.02
2106.0,76711.33
2116.0,98752.07
2126.0,110820.34
2136.0,74372.85
2146.0,90727.61
2156.0,117505.14
2166.0,81901.13
2176.0,90217.0
2186.0,114455.71
2196.0,80519.9
2206.0,83867.08
2216.0,109560.03
2226.0,68520.0
2236.0,77327.31
2246.0,109532.75
2256.0,55758.75
2266.0,60472.12
2276.0,85767.08
2286.0,48520.0
2296.0,75940.6
2306.0,45568.5
2316.0,42352.72
2326.0,79237.09
2336.0,23679.62
2346.0,56647.99
2356.0,40178.67
2366.0,33828.97
2376.0,54683.42
2386.0,16385.0
2396.0,60130.39
2406.0,9355.91
2416.0,44831.71
2426.0,5762.36
2436.0,28993.18
2446.0,17478.02
2456.0,8326.54
2466.0,25804.45
2476.0,8951.3
2486.0,29789.3
2496.0,4420.84
2506.0,30102.97
