Wavelength,Reflectance
356.0,8812.56
366.0,9651.2
376.0,10040.0
386.0,9894.0
396.0,12545.0
406.0,12588.75
416.0,15820.13
426.0,17238.33
436.0,20249.66
446.0,25148.26
456.0,30241.79
466.0,36283.79
476.0,42631.27
486.0,46557.19
496.0,61531.81
506.0,90482.89
516.0,133355.0
526.0,192420.88
536.0,249387.67
546.0,292905.73
556.0,305197.15
566.0,317376.99
576.0,321846.2
586.0,320374.13
596.0,323551.58
606.0,314596.5
616.0,305177.2
626.0,336551.81
636.0,313781.74
646.0,247392.1
656.0,204776.37
666.0,174476.19
676.0,166463.0
686.0,245473.01
696.0,516409.9
706.0,825235.85
716.0,1022647.78
726.0,1122387.33
736.0,1161798.0
746.0,1258590.79
756.0,1316687.15
766.0,1376880.27
776.0,1418352.25
786.0,1430492.92
796.0,1420705.21
806.0,1385862.3
816.0,1374704.5
826.0,1356034.97
836.0,1343282.67
846.0,1367177.6
856.0,1393546.68
866.0,1399444.9
876.0,1394418.05
886.0,1386419.59
896.0,1351968.0
906.0,1327032.55
916.0,1285039.62
926.0,1229870.66
936.0,1186158.0
946.0,1130297.28
956.0,1062226.69
966.0,1035117.88
976.0,1062578.25
986.0,1341380.4
996.0,1357253.15
1006.0,1383010.46
1016.0,1439446.54
1026.0,1486849.5
1036.0,1527151.28
1046.0,1582991.36
1056.0,1621529.85
1066.0,1637306.54
1076.0,1630644.88
1086.0,1615664.5
1096.0,1584328.39
1106.0,1542075.57
1116.0,1490444.0
1126.0,1417343.15
1136.0,1289077.19
1146.0,1142218.18
1156.0,1050301.89
1166.0,1012894.98
1176.0,996278.0
1186.0,984666.1
1196.0,963913.61
1206.0,957024.26
1216.0,960479.98
1226.0,968445.0
1236.0,976112.7
1246.0,980534.85
1256.0,980539.85
1266.0,974901.47
1276.0,969681.77
1286.0,955009.25
1296.0,924844.17
1306.0,875857.21
1316.0,817253.06
1326.0,751275.88
1336.0,686990.13
1346.0,631490.88
1356.0,581123.37
1366.0,532169.96
1376.0,474680.48
1386.0,388618.6
1396.0,302199.79
1406.0,241744.39
1416.0,208312.09
1426.0,192612.69
1436.0,184076.99
1446.0,180000.96
1456.0,178395.05
1466.0,180125.73
1476.0,185032.55
1486.0,195888.01
1496.0,209870.27
1506.0,219239.5
1516.0,221602.59
1526.0,228893.0
1536.0,240622.88
1546.0,253612.71
1556.0,264030.46
1566.0,273119.95
1576.0,282620.66
1586.0,289277.0
1596.0,293619.23
1606.0,297736.72
1616.0,301416.22
1626.0,304721.54
1636.0,306258.54
1646.0,305732.41
1656.0,303689.9
1666.0,300411.17
1676.0,295460.28
1686.0,291081.3
1696.0,282311.19
1706.0,270472.99
1716.0,255465.38
1726.0,243301.27
1736.0,236418.76
1746.0,228512.14
1756.0,216581.04
1766.0,207336.78
1776.0,202339.77
1786.0,196512.0
1796.0,192388.5
1806.0,190552.63
1816.0,188012.67
1826.0,183767.04
1836.0,176131.69
1846.0,168922.44
1856.0,156896.66
1866.0,140389.6
1876.0,112464.12
1886.0,87948.12
1896.0,72316.59
1906.0,12906.8
1916.0,28338.44
1926.0,46971.02
1936.0,33534.35
1946.0,19892.36
1956.0,27181.43
1966.0,50924.88
1976.0,53863.57
1986.0,29204.28
1996.0,35043.94
2006.0,57334.26
2016.0,59352.46
2026.0,39261.96
2036.0,45465.09
2046.0,58797.01
2056.0,64121.54
2066.0,42288.97
2076.0,48344.72
2086.0,72189.76
2096.0,61540.5
2106.0,47122.14
2116.0,65625.93
2126.0,75683.42
2136.0,47542.1
2146.0,64050.22
2156.0,85031.46
2166.0,49989.42
2176.0,54373.0
2186.0,82305.77
2196.0,51706.5
2206.0,44768.19
2216.0,79167.31
2226.0,40354.0
2236.0,43219.64
2246.0,78189.24
2256.0,24731.25
2266.0,40622.87
2276.0,59523.62
2286.0,17374.21
2296.0,40033.99
2306.0,24008.9
2316.0,20355.91
2326.0,54899.73
2336.0,7058.49
2346.0,32930.57
2356.0,11449.67
2366.0,16182.22
2376.0,35822.53
2386.0,2344.0
2396.0,39310.54
2406.0,0.0
2416.0,21542.84
2426.0,-1022.14
2436.0,17803.18
2446.0,7604.77
2456.0,5828.58
2466.0,2733.97
2476.0,1864.84
2486.0,22439.12
2496.0,2947.25
2506.0,13659.32
