name= \My Documents\HR1024_Data\RD6B1.,,,,,name= \My Documents\HR1024_Data\RD6B2.,,,,,name= \My Documents\HR1024_Data\RD6B3.,,,,,name= \My Documents\HR1024_Data\RD6B4.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 400  60  30  1000  60  30,,,,,integration= 400  60  30  1000  60  30,,,,,integration= 400  60  30  1000  60  30,,,,,integration= 400  60  30  1000  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.98  8.94  -5.37  40.64  9.01  -5.30,,,,,temp= 32.98  8.94  -5.37  40.72  8.94  -5.30,,,,,temp= 41.28  9.01  -5.24  41.28  8.88  -5.37,,,,,temp= 41.28  9.01  -5.24  41.28  9.01  -5.24,,,,,
battery= 7.1  6.8,,,,,battery= 7.1  6.8,,,,,battery= 6.8  6.8,,,,,battery= 6.8  6.7,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 4/7/08 10:35:00 AM  4/7/08 10:59:49 AM,,,,,time= 4/7/08 10:35:00 AM  4/7/08 11:00:09 AM,,,,,time= 4/7/08 11:01:21 AM  4/7/08 11:02:06 AM,,,,,time= 4/7/08 11:01:21 AM  4/7/08 11:02:26 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: RD6B1:RD6B2:RD6B3:RD6B4
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,350.35,49.69,14.18,,346.4,350.35,53.51,15.27,,346.4,308.95,56.69,18.35,,346.4,308.95,49.69,16.08,,346.4,329.65,52.40,15.89,,
347.9,381.21,53.34,13.99,,347.9,381.21,53.34,13.99,,347.9,327.87,58.36,17.80,,347.9,327.87,52.71,16.08,,347.9,354.54,54.44,15.35,,
349.5,410.28,51.79,12.62,,349.5,410.28,50.54,12.32,,349.5,354.12,58.66,16.56,,349.5,354.12,53.66,15.15,,349.5,382.20,53.66,14.04,,
351.1,433.68,55.54,12.81,,351.1,433.68,56.16,12.95,,351.1,379.08,60.53,15.97,,351.1,379.08,53.66,14.16,,351.1,406.38,56.47,13.90,,
352.6,475.96,56.29,11.83,,352.6,475.96,58.19,12.23,,352.6,403.22,56.93,14.12,,352.6,403.22,55.66,13.80,,352.6,439.59,56.77,12.91,,
354.2,499.06,55.63,11.15,,354.2,499.06,57.60,11.54,,354.2,436.88,60.87,13.93,,354.2,436.88,62.18,14.23,,354.2,467.97,59.07,12.62,,
355.7,540.48,59.94,11.09,,355.7,540.48,65.33,12.09,,355.7,478.19,64.66,13.52,,355.7,478.19,61.96,12.96,,355.7,509.34,62.97,12.36,,
357.3,582.54,66.58,11.43,,357.3,582.54,67.96,11.67,,357.3,511.46,67.96,13.29,,357.3,511.46,66.58,13.02,,357.3,547.00,67.27,12.30,,
358.8,588.91,64.31,10.92,,358.8,588.91,65.71,11.16,,358.8,536.48,68.50,12.77,,358.8,536.48,62.91,11.73,,358.8,562.70,65.36,11.62,,
360.4,636.67,64.02,10.06,,360.4,636.67,66.83,10.50,,360.4,573.35,69.65,12.15,,360.4,573.35,64.72,11.29,,360.4,605.01,66.31,10.96,,
361.9,668.64,73.13,10.94,,361.9,668.64,61.29,9.17,,361.9,592.03,71.74,12.12,,361.9,592.03,66.86,11.29,,361.9,630.34,68.26,10.83,,
363.5,692.50,72.02,10.40,,363.5,692.50,64.40,9.30,,363.5,619.79,69.25,11.17,,363.5,619.79,65.10,10.50,,363.5,656.15,67.69,10.32,,
365.1,712.57,69.35,9.73,,365.1,712.57,65.19,9.15,,365.1,641.49,74.90,11.68,,365.1,641.49,72.12,11.24,,365.1,677.03,70.39,10.40,,
366.6,747.47,67.67,9.05,,366.6,747.47,70.43,9.42,,366.6,678.42,71.81,10.59,,366.6,678.42,69.74,10.28,,366.6,712.95,69.91,9.81,,
368.2,792.37,74.54,9.41,,368.2,792.37,70.51,8.90,,368.2,718.51,72.52,10.09,,368.2,718.51,70.51,9.81,,368.2,755.44,72.02,9.53,,
369.7,840.74,69.22,8.23,,369.7,840.74,74.44,8.85,,369.7,759.11,68.57,9.03,,369.7,759.11,69.87,9.20,,369.7,799.93,70.53,8.82,,
371.3,898.85,69.14,7.69,,371.3,898.85,74.41,8.28,,371.3,813.25,70.46,8.66,,371.3,813.25,76.39,9.39,,371.3,856.05,72.60,8.48,,
372.8,941.22,73.70,7.83,,372.8,941.22,76.36,8.11,,372.8,858.22,72.38,8.43,,372.8,858.22,76.36,8.90,,372.8,899.72,74.70,8.30,,
374.4,986.23,77.43,7.85,,374.4,986.23,80.10,8.12,,374.4,901.13,78.77,8.74,,374.4,901.13,76.10,8.44,,374.4,943.68,78.10,8.28,,
375.9,1017.83,76.79,7.54,,375.9,1017.83,79.44,7.80,,375.9,931.77,81.43,8.74,,375.9,931.77,72.82,7.82,,375.9,974.80,77.62,7.96,,
377.4,1052.18,78.71,7.48,,377.4,1052.18,77.41,7.36,,377.4,959.49,76.76,8.00,,377.4,959.49,74.81,7.80,,377.4,1005.84,76.92,7.65,,
379.0,1086.82,82.75,7.61,,379.0,1086.82,75.11,6.91,,379.0,999.31,77.02,7.71,,379.0,999.31,77.65,7.77,,379.0,1043.07,78.13,7.49,,
