name= \My Documents\HR1024_Data\RD6T1.,,,,,name= \My Documents\HR1024_Data\RD6T2.,,,,,name= \My Documents\HR1024_Data\RD6T3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 400  60  30  1000  60  30,,,,,integration= 400  60  30  1000  60  30,,,,,integration= 400  60  30  1000  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.98  8.94  -5.37  38.46  8.94  -5.37,,,,,temp= 32.98  8.94  -5.37  38.54  8.88  -5.37,,,,,temp= 32.98  8.94  -5.37  38.62  8.88  -5.30,,,,,
battery= 7.1  7.0,,,,,battery= 7.1  7.0,,,,,battery= 7.1  6.9,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 4/7/08 10:35:00 AM  4/7/08 10:48:07 AM,,,,,time= 4/7/08 10:35:00 AM  4/7/08 10:48:31 AM,,,,,time= 4/7/08 10:35:00 AM  4/7/08 10:48:51 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: RD6T1:RD6T2:RD6T3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,350.35,48.41,13.82,,346.4,350.35,46.50,13.27,,346.4,350.35,45.23,12.91,,346.4,350.35,46.71,13.33,,
347.9,381.21,50.20,13.17,,347.9,381.21,52.08,13.66,,347.9,381.21,48.32,12.67,,347.9,381.21,50.20,13.17,,
349.5,410.28,47.42,11.56,,349.5,410.28,53.04,12.93,,349.5,410.28,49.92,12.17,,349.5,410.28,50.13,12.22,,
351.1,433.68,49.92,11.51,,351.1,433.68,53.66,12.37,,351.1,433.68,53.04,12.23,,351.1,433.68,52.21,12.04,,
352.6,475.96,54.40,11.43,,352.6,475.96,51.23,10.76,,352.6,475.96,53.76,11.30,,352.6,475.96,53.13,11.16,,
354.2,499.06,58.25,11.67,,354.2,499.06,56.29,11.28,,354.2,499.06,55.63,11.15,,354.2,499.06,56.72,11.37,,
355.7,540.48,55.23,10.22,,355.7,540.48,57.92,10.72,,355.7,540.48,57.25,10.59,,355.7,540.48,56.80,10.51,,
357.3,582.54,59.64,10.24,,357.3,582.54,61.03,10.48,,357.3,582.54,59.64,10.24,,357.3,582.54,60.10,10.32,,
358.8,588.91,70.60,11.99,,358.8,588.91,63.61,10.80,,358.8,588.91,61.51,10.45,,358.8,588.91,65.24,11.08,,
360.4,636.67,65.43,10.28,,360.4,636.67,62.61,9.83,,360.4,636.67,65.43,10.28,,360.4,636.67,64.49,10.13,,
361.9,668.64,64.08,9.58,,361.9,668.64,64.08,9.58,,361.9,668.64,68.26,10.21,,361.9,668.64,65.47,9.79,,
363.5,692.50,64.40,9.30,,363.5,692.50,64.40,9.30,,363.5,692.50,68.56,9.90,,363.5,692.50,65.79,9.50,,
365.1,712.57,65.19,9.15,,365.1,712.57,65.88,9.25,,365.1,712.57,66.58,9.34,,365.1,712.57,65.88,9.25,,
366.6,747.47,69.74,9.33,,366.6,747.47,65.60,8.78,,366.6,747.47,66.98,8.96,,366.6,747.47,67.44,9.02,,
368.2,792.37,67.15,8.47,,368.2,792.37,65.14,8.22,,368.2,792.37,66.48,8.39,,368.2,792.37,66.26,8.36,,
369.7,840.74,66.61,7.92,,369.7,840.74,67.91,8.08,,369.7,840.74,71.83,8.54,,369.7,840.74,68.78,8.18,,
371.3,898.85,73.09,8.13,,371.3,898.85,69.14,7.69,,371.3,898.85,73.75,8.21,,371.3,898.85,71.99,8.01,,
372.8,941.22,73.70,7.83,,372.8,941.22,70.38,7.48,,372.8,941.22,70.38,7.48,,372.8,941.22,71.49,7.60,,
374.4,986.23,71.42,7.24,,374.4,986.23,75.43,7.65,,374.4,986.23,74.09,7.51,,374.4,986.23,73.65,7.47,,
375.9,1017.83,71.50,7.02,,375.9,1017.83,74.14,7.28,,375.9,1017.83,76.79,7.54,,375.9,1017.83,74.14,7.28,,
377.4,1052.18,74.16,7.05,,377.4,1052.18,76.11,7.23,,377.4,1052.18,74.81,7.11,,377.4,1052.18,75.03,7.13,,
