name= \My Documents\HR1024_Data\RD5B1.,,,,,name= \My Documents\HR1024_Data\RD5B2.,,,,,name= \My Documents\HR1024_Data\RD5B3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 400  60  30  500  60  30,,,,,integration= 400  60  30  500  60  30,,,,,integration= 400  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.34  8.94  -5.37  41.93  8.94  -5.30,,,,,temp= 32.34  8.94  -5.37  41.93  8.88  -5.24,,,,,temp= 32.34  8.94  -5.37  41.93  8.88  -5.24,,,,,
battery= 7.5  7.0,,,,,battery= 7.5  7.0,,,,,battery= 7.5  7.0,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 3/11/08 9:20:48 AM  3/11/08 9:46:36 AM,,,,,time= 3/11/08 9:20:48 AM  3/11/08 9:47:06 AM,,,,,time= 3/11/08 9:20:48 AM  3/11/08 9:47:06 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: RD5B1:RD5B2:RD5B3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,366.28,112.11,30.61,,346.4,366.28,110.84,30.26,,346.4,366.28,110.84,30.26,,346.4,366.28,111.26,30.38,,
347.9,400.03,101.66,25.41,,347.9,400.03,106.68,26.67,,347.9,400.03,106.68,26.67,,347.9,400.03,105.01,26.25,,
349.5,432.12,102.34,23.68,,349.5,432.12,108.58,25.13,,349.5,432.12,108.58,25.13,,349.5,432.12,106.50,24.65,,
351.1,468.00,108.58,23.20,,351.1,468.00,116.06,24.80,,351.1,468.00,116.06,24.80,,351.1,468.00,113.57,24.27,,
352.6,496.51,112.59,22.68,,352.6,496.51,113.85,22.93,,352.6,496.51,113.85,22.93,,352.6,496.51,113.43,22.85,,
354.2,520.33,117.81,22.64,,354.2,520.33,113.88,21.89,,354.2,520.33,113.88,21.89,,354.2,520.33,115.19,22.14,,
355.7,575.84,117.19,20.35,,355.7,575.84,134.70,23.39,,355.7,575.84,134.70,23.39,,355.7,575.84,128.86,22.38,,
357.3,598.14,127.60,21.33,,357.3,598.14,131.77,22.03,,357.3,598.14,131.77,22.03,,357.3,598.14,130.38,21.80,,
358.8,616.87,127.22,20.62,,358.8,616.87,142.60,23.12,,358.8,616.87,142.60,23.12,,358.8,616.87,137.47,22.29,,
360.4,668.33,143.51,21.47,,360.4,668.33,140.70,21.05,,360.4,668.33,140.70,21.05,,360.4,668.33,141.64,21.19,,
361.9,686.05,128.16,18.68,,361.9,686.05,135.12,19.70,,361.9,686.05,135.12,19.70,,361.9,686.05,132.80,19.36,,
363.5,715.01,117.73,16.46,,363.5,715.01,131.58,18.40,,363.5,715.01,131.58,18.40,,363.5,715.01,126.96,17.76,,
365.1,743.78,133.15,17.90,,365.1,743.78,142.86,19.21,,365.1,743.78,142.86,19.21,,365.1,743.78,139.62,18.77,,
366.6,778.54,143.62,18.45,,366.6,778.54,139.48,17.92,,366.6,778.54,139.48,17.92,,366.6,778.54,140.86,18.09,,
368.2,824.27,141.02,17.11,,368.2,824.27,134.30,16.29,,368.2,824.27,134.30,16.29,,368.2,824.27,136.54,16.56,,
369.7,873.39,142.35,16.30,,369.7,873.39,142.35,16.30,,369.7,873.39,142.35,16.30,,369.7,873.39,142.35,16.30,,
371.3,928.49,134.33,14.47,,371.3,928.49,131.70,14.18,,371.3,928.49,131.70,14.18,,371.3,928.49,132.58,14.28,,
372.8,977.74,143.42,14.67,,372.8,977.74,147.41,15.08,,372.8,977.74,147.41,15.08,,372.8,977.74,146.08,14.94,,
374.4,1016.27,138.84,13.66,,374.4,1016.27,142.85,14.06,,374.4,1016.27,142.85,14.06,,374.4,1016.27,141.51,13.92,,
375.9,1052.58,145.64,13.84,,375.9,1052.58,141.67,13.46,,375.9,1052.58,141.67,13.46,,375.9,1052.58,142.99,13.59,,
377.4,1084.71,147.01,13.55,,377.4,1084.71,150.92,13.91,,377.4,1084.71,150.92,13.91,,377.4,1084.71,149.62,13.79,,
