name= \My Documents\HR1024_Data\RD5T1.,,,,,name= \My Documents\HR1024_Data\RD5T2.,,,,,name= \My Documents\HR1024_Data\RD5T3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 400  60  30  1000  60  30,,,,,integration= 400  60  30  1000  60  30,,,,,integration= 400  60  30  1000  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.34  8.94  -5.37  39.43  8.94  -5.37,,,,,temp= 32.34  8.94  -5.37  39.51  8.88  -5.30,,,,,temp= 32.34  8.94  -5.37  39.67  8.94  -5.50,,,,,
battery= 7.5  7.2,,,,,battery= 7.5  7.2,,,,,battery= 7.5  7.2,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 3/11/08 9:20:48 AM  3/11/08 9:34:47 AM,,,,,time= 3/11/08 9:20:48 AM  3/11/08 9:35:11 AM,,,,,time= 3/11/08 9:20:48 AM  3/11/08 9:35:34 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: RD5T1:RD5T2:RD5T3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,366.28,63.06,17.22,,346.4,366.28,67.52,18.43,,346.4,366.28,68.16,18.61,,346.4,366.28,66.25,18.09,,
347.9,400.03,67.14,16.78,,347.9,400.03,67.77,16.94,,347.9,400.03,66.52,16.63,,347.9,400.03,67.14,16.78,,
349.5,432.12,63.02,14.58,,349.5,432.12,66.77,15.45,,349.5,432.12,72.38,16.75,,349.5,432.12,67.39,15.60,,
351.1,468.00,67.39,14.40,,351.1,468.00,68.64,14.67,,351.1,468.00,66.77,14.27,,351.1,468.00,67.60,14.44,,
352.6,496.51,68.31,13.76,,352.6,496.51,73.37,14.78,,352.6,496.51,74.64,15.03,,352.6,496.51,72.11,14.52,,
354.2,520.33,72.65,13.96,,354.2,520.33,72.00,13.84,,354.2,520.33,74.61,14.34,,354.2,520.33,73.09,14.05,,
355.7,575.84,77.45,13.45,,355.7,575.84,76.78,13.33,,355.7,575.84,82.17,14.27,,355.7,575.84,78.80,13.68,,
357.3,598.14,81.83,13.68,,357.3,598.14,81.83,13.68,,357.3,598.14,82.53,13.80,,357.3,598.14,82.06,13.72,,
358.8,616.87,83.18,13.48,,358.8,616.87,80.39,13.03,,358.8,616.87,85.28,13.82,,358.8,616.87,82.95,13.45,,
360.4,668.33,80.20,12.00,,360.4,668.33,82.31,12.32,,360.4,668.33,87.94,13.16,,360.4,668.33,83.48,12.49,,
361.9,686.05,84.97,12.39,,361.9,686.05,89.15,12.99,,361.9,686.05,90.55,13.20,,361.9,686.05,88.22,12.86,,
363.5,715.01,83.10,11.62,,363.5,715.01,79.64,11.14,,363.5,715.01,89.33,12.49,,363.5,715.01,84.02,11.75,,
365.1,743.78,83.91,11.28,,365.1,743.78,82.53,11.10,,365.1,743.78,88.07,11.84,,365.1,743.78,84.84,11.41,,
366.6,778.54,85.62,11.00,,366.6,778.54,84.24,10.82,,366.6,778.54,92.53,11.88,,366.6,778.54,87.46,11.23,,
368.2,824.27,86.62,10.51,,368.2,824.27,86.62,10.51,,368.2,824.27,89.31,10.84,,368.2,824.27,87.52,10.62,,
369.7,873.39,85.54,9.79,,369.7,873.39,85.54,9.79,,369.7,873.39,92.07,10.54,,369.7,873.39,87.72,10.04,,
371.3,928.49,88.90,9.57,,371.3,928.49,85.61,9.22,,371.3,928.49,95.48,10.28,,371.3,928.49,90.00,9.69,,
372.8,977.74,88.98,9.10,,372.8,977.74,94.95,9.71,,372.8,977.74,100.26,10.25,,372.8,977.74,94.73,9.69,,
374.4,1016.27,91.45,9.00,,374.4,1016.27,93.45,9.20,,374.4,1016.27,99.46,9.79,,374.4,1016.27,94.79,9.33,,
375.9,1052.58,94.00,8.93,,375.9,1052.58,89.37,8.49,,375.9,1052.58,104.60,9.94,,375.9,1052.58,95.99,9.12,,
377.4,1084.71,93.67,8.64,,377.4,1084.71,92.37,8.52,,377.4,1084.71,103.43,9.54,,377.4,1084.71,96.49,8.90,,
379.0,1129.79,91.02,8.06,,379.0,1129.79,96.75,8.56,,379.0,1129.79,101.84,9.01,,379.0,1129.79,96.54,8.54,,
380.5,1157.14,89.86,7.77,,380.5,1157.14,94.79,8.19,,380.5,1157.14,106.48,9.20,,380.5,1157.14,97.04,8.39,,
382.1,1186.43,93.97,7.92,,382.1,1186.43,95.15,8.02,,382.1,1186.43,105.20,8.87,,382.1,1186.43,98.11,8.27,,
383.6,1234.64,90.15,7.30,,383.6,1234.64,91.29,7.39,,383.6,1234.64,99.23,8.04,,383.6,1234.64,93.56,7.58,,
385.2,1293.88,89.65,6.93,,385.2,1293.88,88.55,6.84,,385.2,1293.88,102.85,7.95,,385.2,1293.88,93.68,7.24,,
386.7,1345.63,94.22,7.00,,386.7,1345.63,94.76,7.04,,386.7,1345.63,105.05,7.81,,386.7,1345.63,98.01,7.28,,
388.3,1410.38,94.57,6.71,,388.3,1410.38,96.20,6.82,,388.3,1410.38,108.16,7.67,,388.3,1410.38,99.64,7.06,,
389.8,1464.46,96.62,6.60,,389.8,1464.46,97.72,6.67,,389.8,1464.46,108.70,7.42,,389.8,1464.46,101.01,6.90,,
391.3,1527.57,97.48,6.38,,391.3,1527.57,98.59,6.45,,391.3,1527.57,115.86,7.58,,391.3,1527.57,103.98,6.81,,
392.9,1567.60,108.11,6.90,,392.9,1567.60,100.14,6.39,,392.9,1567.60,120.06,7.66,,392.9,1567.60,109.44,6.98,,
394.4,1609.87,108.02,6.71,,394.4,1609.87,104.46,6.49,,394.4,1609.87,124.64,7.74,,394.4,1609.87,112.37,6.98,,
395.9,1662.63,111.78,6.72,,395.9,1662.63,111.16,6.69,,395.9,1662.63,127.48,7.67,,395.9,1662.63,116.81,7.03,,
397.5,1749.05,113.70,6.50,,397.5,1749.05,117.57,6.72,,397.5,1749.05,134.37,7.68,,397.5,1749.05,121.88,6.97,,
399.0,1827.74,116.18,6.36,,399.0,1827.74,117.42,6.42,,399.0,1827.74,136.58,7.47,,399.0,1827.74,123.39,6.75,,
400.6,1876.29,113.20,6.03,,400.6,1876.29,112.07,5.97,,400.6,1876.29,133.01,7.09,,400.6,1876.29,119.43,6.37,,
402.1,1904.04,107.33,5.64,,402.1,1904.04,107.33,5.64,,402.1,1904.04,134.16,7.05,,402.1,1904.04,116.27,6.11,,
403.6,1943.17,103.57,5.33,,403.6,1943.17,106.93,5.50,,403.6,1943.17,128.99,6.64,,403.6,1943.17,113.16,5.82,,
405.1,1994.81,105.11,5.27,,405.1,1994.81,105.11,5.27,,405.1,1994.81,129.79,6.51,,405.1,1994.81,113.34,5.68,,
406.7,2061.92,108.86,5.28,,406.7,2061.92,108.42,5.26,,406.7,2061.92,132.16,6.41,,406.7,2061.92,116.48,5.65,,
408.2,2135.06,111.38,5.22,,408.2,2135.06,109.15,5.11,,408.2,2135.06,132.31,6.20,,408.2,2135.06,117.61,5.51,,
409.7,2198.56,112.45,5.11,,409.7,2198.56,112.00,5.09,,409.7,2198.56,133.95,6.09,,409.7,2198.56,119.47,5.43,,
411.3,2272.05,115.21,5.07,,411.3,2272.05,115.21,5.07,,411.3,2272.05,140.91,6.20,,411.3,2272.05,123.78,5.45,,
412.8,2335.64,118.50,5.07,,412.8,2335.64,120.40,5.15,,412.8,2335.64,141.73,6.07,,412.8,2335.64,126.88,5.43,,
414.3,2399.77,125.80,5.24,,414.3,2399.77,123.35,5.14,,414.3,2399.77,147.34,6.14,,414.3,2399.77,132.16,5.51,,
415.8,2475.00,127.50,5.15,,415.8,2475.00,125.50,5.07,,415.8,2475.00,154.50,6.24,,415.8,2475.00,135.83,5.49,,
417.4,2547.71,131.56,5.16,,417.4,2547.71,128.52,5.04,,417.4,2547.71,156.35,6.14,,417.4,2547.71,138.81,5.45,,
418.9,2612.23,130.04,4.98,,418.9,2612.23,130.55,5.00,,418.9,2612.23,159.90,6.12,,418.9,2612.23,140.16,5.37,,
420.4,2658.25,132.10,4.97,,420.4,2658.25,131.11,4.93,,420.4,2658.25,163.01,6.13,,420.4,2658.25,142.07,5.34,,
421.9,2705.56,134.55,4.97,,421.9,2705.56,130.20,4.81,,421.9,2705.56,160.69,5.94,,421.9,2705.56,141.81,5.24,,
423.5,2743.63,135.90,4.95,,423.5,2743.63,133.56,4.87,,423.5,2743.63,162.52,5.92,,423.5,2743.63,143.99,5.25,,
425.0,2788.02,132.60,4.76,,425.0,2788.02,131.70,4.72,,425.0,2788.02,160.02,5.74,,425.0,2788.02,141.44,5.07,,
426.5,2844.45,132.44,4.66,,426.5,2844.45,134.16,4.72,,426.5,2844.45,164.26,5.77,,426.5,2844.45,143.62,5.05,,
428.0,2917.63,135.47,4.64,,428.0,2917.63,135.05,4.63,,428.0,2917.63,165.84,5.68,,428.0,2917.63,145.45,4.99,,
429.5,3009.90,133.91,4.45,,429.5,3009.90,136.67,4.54,,429.5,3009.90,168.27,5.59,,429.5,3009.90,146.28,4.86,,
431.1,3112.45,140.09,4.50,,431.1,3112.45,139.71,4.49,,431.1,3112.45,174.15,5.60,,431.1,3112.45,151.32,4.86,,
432.6,3227.88,142.27,4.41,,432.6,3227.88,143.42,4.44,,432.6,3227.88,178.02,5.52,,432.6,3227.88,154.57,4.79,,
434.1,3329.29,145.92,4.38,,434.1,3329.29,145.15,4.36,,434.1,3329.29,181.34,5.45,,434.1,3329.29,157.47,4.73,,
435.6,3423.98,149.00,4.35,,435.6,3423.98,148.61,4.34,,435.6,3423.98,186.15,5.44,,435.6,3423.98,161.25,4.71,,
437.1,3517.80,153.27,4.36,,437.1,3517.80,156.39,4.45,,437.1,3517.80,190.71,5.42,,437.1,3517.80,166.79,4.74,,
438.6,3607.74,158.38,4.39,,438.6,3607.74,157.99,4.38,,438.6,3607.74,197.68,5.48,,438.6,3607.74,171.35,4.75,,
440.1,3694.39,158.20,4.28,,440.1,3694.39,163.75,4.43,,440.1,3694.39,201.03,5.44,,440.1,3694.39,174.33,4.72,,
441.6,3790.73,163.40,4.31,,441.6,3790.73,163.00,4.30,,441.6,3790.73,203.85,5.38,,441.6,3790.73,176.75,4.66,,
443.1,3873.83,164.43,4.24,,443.1,3873.83,169.29,4.37,,443.1,3873.83,207.77,5.36,,443.1,3873.83,180.50,4.66,,
444.7,3959.99,169.74,4.29,,444.7,3959.99,174.68,4.41,,444.7,3959.99,212.49,5.37,,444.7,3959.99,185.64,4.69,,
446.2,4024.76,175.98,4.37,,446.2,4024.76,173.03,4.30,,446.2,4024.76,220.18,5.47,,446.2,4024.76,189.73,4.71,,
447.7,4101.41,176.92,4.31,,447.7,4101.41,178.64,4.36,,447.7,4101.41,222.22,5.42,,447.7,4101.41,192.59,4.70,,
449.2,4174.20,177.98,4.26,,449.2,4174.20,181.01,4.34,,449.2,4174.20,224.64,5.38,,449.2,4174.20,194.54,4.66,,
450.7,4238.00,180.54,4.26,,450.7,4238.00,180.13,4.25,,450.7,4238.00,223.81,5.28,,450.7,4238.00,194.83,4.60,,
452.2,4313.18,181.96,4.22,,452.2,4313.18,181.96,4.22,,452.2,4313.18,224.80,5.21,,452.2,4313.18,196.24,4.55,,
453.7,4393.64,181.78,4.14,,453.7,4393.64,182.90,4.16,,453.7,4393.64,229.46,5.22,,453.7,4393.64,198.05,4.51,,
455.2,4491.99,185.24,4.12,,455.2,4491.99,186.68,4.16,,455.2,4491.99,233.35,5.19,,455.2,4491.99,201.76,4.49,,
456.7,4618.24,188.32,4.08,,456.7,4618.24,189.38,4.10,,456.7,4618.24,235.84,5.11,,456.7,4618.24,204.51,4.43,,
458.2,4761.06,193.97,4.07,,458.2,4761.06,195.72,4.11,,458.2,4761.06,246.75,5.18,,458.2,4761.06,212.15,4.46,,
459.7,4899.13,197.75,4.04,,459.7,4899.13,199.50,4.07,,459.7,4899.13,252.70,5.16,,459.7,4899.13,216.65,4.42,,
461.2,5044.37,205.80,4.08,,461.2,5044.37,208.62,4.14,,461.2,5044.37,259.10,5.14,,461.2,5044.37,224.51,4.45,,
462.7,5165.05,209.07,4.05,,462.7,5165.05,211.58,4.10,,462.7,5165.05,267.07,5.17,,462.7,5165.05,229.24,4.44,,
464.2,5287.79,214.48,4.06,,464.2,5287.79,215.21,4.07,,464.2,5287.79,273.04,5.16,,464.2,5287.79,234.24,4.43,,
465.7,5408.14,220.04,4.07,,465.7,5408.14,222.67,4.12,,465.7,5408.14,280.87,5.19,,465.7,5408.14,241.19,4.46,,
467.2,5518.98,228.31,4.14,,467.2,5518.98,228.31,4.14,,467.2,5518.98,286.44,5.19,,467.2,5518.98,247.69,4.49,,
468.7,5631.00,232.00,4.12,,468.7,5631.00,232.80,4.13,,468.7,5631.00,295.20,5.24,,468.7,5631.00,253.33,4.50,,
470.2,5705.20,243.23,4.26,,470.2,5705.20,240.65,4.22,,470.2,5705.20,303.50,5.32,,470.2,5705.20,262.46,4.60,,
471.7,5821.13,250.80,4.31,,471.7,5821.13,247.95,4.26,,471.7,5821.13,309.70,5.32,,471.7,5821.13,269.48,4.63,,
473.2,6011.22,257.45,4.28,,473.2,6011.22,256.95,4.27,,473.2,6011.22,317.58,5.28,,473.2,6011.22,277.33,4.61,,
474.6,6153.75,261.42,4.25,,474.6,6153.75,260.49,4.23,,474.6,6153.75,323.73,5.26,,474.6,6153.75,281.88,4.58,,
476.1,6204.18,259.06,4.18,,476.1,6204.18,255.25,4.11,,476.1,6204.18,321.82,5.19,,476.1,6204.18,278.71,4.49,,
477.6,6220.94,258.39,4.15,,477.6,6220.94,257.22,4.13,,477.6,6220.94,327.69,5.27,,477.6,6220.94,281.10,4.52,,
479.1,6250.52,259.21,4.15,,479.1,6250.52,258.46,4.14,,479.1,6250.52,327.19,5.23,,479.1,6250.52,281.62,4.51,,
480.6,6293.37,260.28,4.14,,480.6,6293.37,262.09,4.16,,480.6,6293.37,327.25,5.20,,480.6,6293.37,283.21,4.50,,
482.1,6374.96,262.61,4.12,,482.1,6374.96,262.26,4.11,,482.1,6374.96,331.35,5.20,,482.1,6374.96,285.41,4.48,,
483.6,6474.12,263.81,4.07,,483.6,6474.12,265.53,4.10,,483.6,6474.12,338.35,5.23,,483.6,6474.12,289.23,4.47,,
485.1,6599.29,272.09,4.12,,485.1,6599.29,270.75,4.10,,485.1,6599.29,344.22,5.22,,485.1,6599.29,295.69,4.48,,
486.6,6739.10,278.43,4.13,,486.6,6739.10,275.13,4.08,,486.6,6739.10,351.25,5.21,,486.6,6739.10,301.60,4.48,,
488.0,6898.13,284.70,4.13,,488.0,6898.13,283.73,4.11,,488.0,6898.13,360.10,5.22,,488.0,6898.13,309.51,4.49,,
489.5,7058.36,290.70,4.12,,489.5,7058.36,293.28,4.16,,489.5,7058.36,367.25,5.20,,489.5,7058.36,317.08,4.49,,
491.0,7224.81,295.41,4.09,,491.0,7224.81,296.06,4.10,,491.0,7224.81,374.42,5.18,,491.0,7224.81,321.96,4.46,,
492.5,7392.87,303.26,4.10,,492.5,7392.87,305.86,4.14,,492.5,7392.87,384.59,5.20,,492.5,7392.87,331.24,4.48,,
494.0,7557.79,313.59,4.15,,494.0,7557.79,311.96,4.13,,494.0,7557.79,396.65,5.25,,494.0,7557.79,340.73,4.51,,
495.4,7702.20,318.45,4.13,,495.4,7702.20,320.76,4.16,,495.4,7702.20,402.93,5.23,,495.4,7702.20,347.38,4.51,,
496.9,7844.83,329.32,4.20,,496.9,7844.83,327.99,4.18,,496.9,7844.83,413.83,5.28,,496.9,7844.83,357.05,4.55,,
498.4,7990.29,336.13,4.21,,498.4,7990.29,335.45,4.20,,498.4,7990.29,424.48,5.31,,498.4,7990.29,365.35,4.57,,
499.9,8131.50,343.84,4.23,,499.9,8131.50,344.19,4.23,,499.9,8131.50,431.44,5.31,,499.9,8131.50,373.16,4.59,,
501.4,8263.45,350.75,4.24,,501.4,8263.45,350.75,4.24,,501.4,8263.45,442.88,5.36,,501.4,8263.45,381.46,4.62,,
502.8,8392.79,354.85,4.23,,502.8,8392.79,357.69,4.26,,502.8,8392.79,453.76,5.41,,502.8,8392.79,388.77,4.63,,
504.3,8499.60,366.12,4.31,,504.3,8499.60,362.88,4.27,,504.3,8499.60,461.88,5.43,,504.3,8499.60,396.96,4.67,,
505.8,8611.18,373.91,4.34,,505.8,8611.18,370.98,4.31,,505.8,8611.18,469.30,5.45,,505.8,8611.18,404.73,4.70,,
507.2,8674.01,379.48,4.37,,507.2,8674.01,378.00,4.36,,507.2,8674.01,475.92,5.49,,507.2,8674.01,411.13,4.74,,
508.7,8728.20,383.82,4.40,,508.7,8728.20,382.70,4.38,,508.7,8728.20,482.29,5.53,,508.7,8728.20,416.27,4.77,,
510.2,8764.92,390.81,4.46,,510.2,8764.92,389.68,4.45,,510.2,8764.92,488.70,5.58,,510.2,8764.92,423.06,4.83,,
511.6,8789.76,394.34,4.49,,511.6,8789.76,394.34,4.49,,511.6,8789.76,493.12,5.61,,511.6,8789.76,427.27,4.86,,
513.1,8840.43,399.06,4.51,,513.1,8840.43,399.81,4.52,,513.1,8840.43,501.91,5.68,,513.1,8840.43,433.59,4.90,,
514.6,8904.34,405.54,4.55,,514.6,8904.34,404.80,4.55,,514.6,8904.34,506.09,5.68,,514.6,8904.34,438.81,4.93,,
