name= \My Documents\HR1024_Data\RD5T4.,,,,,name= \My Documents\HR1024_Data\RD5T5.,,,,,name= \My Documents\HR1024_Data\RD5T6.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 400  60  30  1000  60  30,,,,,integration= 400  60  30  500  60  30,,,,,integration= 400  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.34  8.94  -5.37  39.99  8.94  -5.37,,,,,temp= 32.34  8.94  -5.37  39.99  8.88  -5.30,,,,,temp= 32.34  8.94  -5.37  40.15  9.01  -5.37,,,,,
battery= 7.5  7.1,,,,,battery= 7.5  7.2,,,,,battery= 7.5  7.2,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 3/11/08 9:20:48 AM  3/11/08 9:36:18 AM,,,,,time= 3/11/08 9:20:48 AM  3/11/08 9:36:36 AM,,,,,time= 3/11/08 9:20:48 AM  3/11/08 9:36:56 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: RD5T4:RD5T5:RD5T6
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,366.28,88.54,24.17,,346.4,366.28,98.10,26.78,,346.4,366.28,94.28,25.74,,346.4,366.28,93.64,25.57,,
347.9,400.03,88.48,22.12,,347.9,400.03,97.89,24.47,,347.9,400.03,97.89,24.47,,347.9,400.03,94.75,23.69,,
349.5,432.12,96.10,22.24,,349.5,432.12,96.10,22.24,,349.5,432.12,98.59,22.82,,349.5,432.12,96.93,22.43,,
351.1,468.00,95.47,20.40,,351.1,468.00,103.58,22.13,,351.1,468.00,99.84,21.33,,351.1,468.00,99.63,21.29,,
352.6,496.51,98.67,19.87,,352.6,496.51,97.41,19.62,,352.6,496.51,106.26,21.40,,352.6,496.51,100.78,20.30,,
354.2,520.33,100.79,19.37,,354.2,520.33,106.03,20.38,,354.2,520.33,116.50,22.39,,354.2,520.33,107.77,20.71,,
355.7,575.84,110.45,19.18,,355.7,575.84,115.84,20.12,,355.7,575.84,111.80,19.42,,355.7,575.84,112.70,19.57,,
357.3,598.14,112.35,18.78,,357.3,598.14,130.38,21.80,,357.3,598.14,122.06,20.41,,357.3,598.14,121.60,20.33,,
358.8,616.87,113.24,18.36,,358.8,616.87,121.63,19.72,,358.8,616.87,130.01,21.08,,358.8,616.87,121.63,19.72,,
360.4,668.33,120.30,18.00,,360.4,668.33,122.41,18.32,,360.4,668.33,116.78,17.47,,360.4,668.33,119.83,17.93,,
361.9,686.05,119.10,17.36,,361.9,686.05,125.37,18.27,,361.9,686.05,121.19,17.66,,361.9,686.05,121.89,17.77,,
363.5,715.01,117.73,16.46,,363.5,715.01,127.42,17.82,,363.5,715.01,127.42,17.82,,363.5,715.01,124.19,17.37,,
365.1,743.78,122.75,16.50,,365.1,743.78,123.44,16.60,,365.1,743.78,128.99,17.34,,365.1,743.78,125.06,16.81,,
366.6,778.54,127.05,16.32,,366.6,778.54,133.96,17.21,,366.6,778.54,127.05,16.32,,366.6,778.54,129.35,16.61,,
368.2,824.27,124.23,15.07,,368.2,824.27,138.33,16.78,,368.2,824.27,128.93,15.64,,368.2,824.27,130.50,15.83,,
369.7,873.39,127.34,14.58,,369.7,873.39,133.21,15.25,,369.7,873.39,131.91,15.10,,369.7,873.39,130.82,14.98,,
371.3,928.49,134.99,14.54,,371.3,928.49,133.02,14.33,,371.3,928.49,134.33,14.47,,371.3,928.49,134.11,14.44,,
372.8,977.74,134.13,13.72,,372.8,977.74,150.06,15.35,,372.8,977.74,142.10,14.53,,372.8,977.74,142.10,14.53,,
374.4,1016.27,141.51,13.92,,374.4,1016.27,148.19,14.58,,374.4,1016.27,142.85,14.06,,374.4,1016.27,144.18,14.19,,
375.9,1052.58,142.99,13.58,,375.9,1052.58,149.61,14.21,,375.9,1052.58,145.64,13.84,,375.9,1052.58,146.08,13.88,,
377.4,1084.71,143.76,13.25,,377.4,1084.71,156.12,14.39,,377.4,1084.71,144.41,13.31,,377.4,1084.71,148.10,13.65,,
379.0,1129.79,143.21,12.68,,379.0,1129.79,162.94,14.42,,379.0,1129.79,140.03,12.39,,379.0,1129.79,148.73,13.16,,
380.5,1157.14,144.03,12.45,,380.5,1157.14,152.64,13.19,,380.5,1157.14,147.72,12.77,,380.5,1157.14,148.13,12.80,,
382.1,1186.43,145.39,12.25,,382.1,1186.43,143.02,12.05,,382.1,1186.43,150.11,12.65,,382.1,1186.43,146.17,12.32,,
383.6,1234.64,147.99,11.99,,383.6,1234.64,156.49,12.68,,383.6,1234.64,146.29,11.85,,383.6,1234.64,150.26,12.17,,
385.2,1293.88,147.40,11.39,,385.2,1293.88,158.40,12.24,,385.2,1293.88,148.50,11.48,,385.2,1293.88,151.43,11.70,,
386.7,1345.63,149.45,11.11,,386.7,1345.63,164.62,12.23,,386.7,1345.63,148.37,11.03,,386.7,1345.63,154.15,11.46,,
388.3,1410.38,162.51,11.52,,388.3,1410.38,160.88,11.41,,388.3,1410.38,155.44,11.02,,388.3,1410.38,159.61,11.32,,
389.8,1464.46,163.60,11.17,,389.8,1464.46,170.19,11.62,,389.8,1464.46,158.11,10.80,,389.8,1464.46,163.97,11.20,,
391.3,1527.57,163.76,10.72,,391.3,1527.57,176.01,11.52,,391.3,1527.57,172.67,11.30,,391.3,1527.57,170.81,11.18,,
392.9,1567.60,172.41,11.00,,392.9,1567.60,184.36,11.76,,392.9,1567.60,174.11,11.11,,392.9,1567.60,176.96,11.29,,
394.4,1609.87,178.64,11.10,,394.4,1609.87,191.11,11.87,,394.4,1609.87,183.99,11.43,,394.4,1609.87,184.58,11.47,,
395.9,1662.63,183.38,11.03,,395.9,1662.63,190.91,11.48,,395.9,1662.63,183.38,11.03,,395.9,1662.63,185.89,11.18,,
397.5,1749.05,187.99,10.75,,397.5,1749.05,204.14,11.67,,397.5,1749.05,191.22,10.93,,397.5,1749.05,194.45,11.12,,
399.0,1827.74,185.40,10.14,,399.0,1827.74,197.76,10.82,,399.0,1827.74,191.58,10.48,,399.0,1827.74,191.58,10.48,,
400.6,1876.29,185.65,9.89,,400.6,1876.29,196.97,10.50,,400.6,1876.29,187.91,10.02,,400.6,1876.29,190.18,10.14,,
