name= \My Documents\HR1024_Data\DB114.,,,,,name= \My Documents\HR1024_Data\DB115.,,,,,name= \My Documents\HR1024_Data\DB116.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  400  60  30,,,,,integration= 200  60  30  400  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 31.05  8.88  -5.37  40.07  8.94  -5.37,,,,,temp= 31.05  8.88  -5.37  40.15  8.88  -5.37,,,,,temp= 31.05  8.88  -5.37  40.23  8.88  -5.30,,,,,
battery= 7.7  7.2,,,,,battery= 7.7  7.2,,,,,battery= 7.7  7.2,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/12/08 9:49:29 AM  1/12/08 10:12:06 AM,,,,,time= 1/12/08 9:49:29 AM  1/12/08 10:12:36 AM,,,,,time= 1/12/08 9:49:29 AM  1/12/08 10:13:07 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: DB114:DB115:DB116
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,468.20,128.99,27.55,,346.4,468.20,128.99,27.55,,346.4,468.20,135.04,28.84,,346.4,468.20,131.01,27.98,,
347.9,473.76,130.21,27.48,,347.9,473.76,125.50,26.49,,347.9,473.76,136.80,28.87,,347.9,473.76,130.84,27.62,,
349.5,521.04,135.72,26.05,,349.5,521.04,138.84,26.65,,349.5,521.04,143.52,27.54,,349.5,521.04,139.36,26.75,,
351.1,558.48,135.72,24.30,,351.1,558.48,129.48,23.18,,351.1,558.48,138.53,24.80,,351.1,558.48,134.58,24.10,,
352.6,585.06,135.99,23.24,,352.6,585.06,142.31,24.32,,352.6,585.06,146.74,25.08,,352.6,585.06,141.68,24.22,,
354.2,625.05,143.99,23.04,,354.2,625.05,139.08,22.25,,354.2,625.05,142.68,22.83,,354.2,625.05,141.92,22.70,,
355.7,673.50,151.54,22.50,,355.7,673.50,149.85,22.25,,355.7,673.50,152.21,22.60,,355.7,673.50,151.20,22.45,,
357.3,724.71,156.04,21.53,,357.3,724.71,166.44,22.97,,357.3,724.71,152.57,21.05,,357.3,724.71,158.35,21.85,,
358.8,751.43,159.02,21.16,,358.8,751.43,159.02,21.16,,358.8,751.43,149.59,19.91,,358.8,751.43,155.88,20.74,,
360.4,798.47,161.81,20.26,,360.4,798.47,165.32,20.70,,360.4,798.47,160.40,20.09,,360.4,798.47,162.51,20.35,,
361.9,821.87,163.68,19.92,,361.9,821.87,168.90,20.55,,361.9,821.87,154.62,18.81,,361.9,821.87,162.40,19.76,,
363.5,851.78,171.39,20.12,,363.5,851.78,171.39,20.12,,363.5,851.78,163.43,19.19,,363.5,851.78,168.74,19.81,,
365.1,887.68,175.11,19.73,,365.1,887.68,169.91,19.14,,365.1,887.68,163.67,18.44,,365.1,887.68,169.56,19.10,,
366.6,918.37,174.35,18.98,,366.6,918.37,170.90,18.61,,366.6,918.37,161.58,17.59,,366.6,918.37,168.94,18.40,,
368.2,973.68,174.59,17.93,,368.2,973.68,184.66,18.97,,368.2,973.68,165.19,16.97,,368.2,973.68,174.81,17.95,,
369.7,1008.89,166.52,16.50,,369.7,1008.89,171.41,16.99,,369.7,1008.89,165.86,16.44,,369.7,1008.89,167.93,16.65,,
371.3,1073.36,169.56,15.80,,371.3,1073.36,174.50,16.26,,371.3,1073.36,156.72,14.60,,371.3,1073.36,166.93,15.55,,
372.8,1148.72,170.98,14.88,,372.8,1148.72,174.30,15.17,,372.8,1148.72,164.67,14.34,,372.8,1148.72,169.98,14.80,,
374.4,1191.49,175.22,14.71,,374.4,1191.49,185.23,15.55,,374.4,1191.49,164.21,13.78,,374.4,1191.49,174.89,14.68,,
375.9,1247.87,187.02,14.99,,375.9,1247.87,180.40,14.46,,375.9,1247.87,173.44,13.90,,375.9,1247.87,180.29,14.45,,
377.4,1278.23,183.77,14.38,,377.4,1278.23,183.77,14.38,,377.4,1278.23,178.24,13.94,,377.4,1278.23,181.93,14.23,,
379.0,1330.29,184.59,13.88,,379.0,1330.29,186.18,14.00,,379.0,1330.29,173.13,13.01,,379.0,1330.29,181.30,13.63,,
380.5,1360.26,176.96,13.01,,380.5,1360.26,184.65,13.57,,380.5,1360.26,184.65,13.57,,380.5,1360.26,182.09,13.39,,
382.1,1412.49,178.78,12.66,,382.1,1412.49,192.08,13.60,,382.1,1412.49,173.75,12.30,,382.1,1412.49,181.54,12.85,,
383.6,1460.03,177.19,12.14,,383.6,1460.03,185.69,12.72,,383.6,1460.03,174.64,11.96,,383.6,1460.03,179.17,12.27,,
385.2,1529.00,177.38,11.60,,385.2,1529.00,181.50,11.87,,385.2,1529.00,163.90,10.72,,385.2,1529.00,174.26,11.40,,
386.7,1608.26,182.76,11.36,,386.7,1608.26,177.34,11.03,,386.7,1608.26,166.78,10.37,,386.7,1608.26,175.63,10.92,,
388.3,1679.42,191.58,11.41,,388.3,1679.42,187.51,11.17,,388.3,1679.42,183.70,10.94,,388.3,1679.42,187.60,11.17,,
389.8,1759.55,193.52,11.00,,389.8,1759.55,197.64,11.23,,389.8,1759.55,187.76,10.67,,389.8,1759.55,192.97,10.97,,
391.3,1843.67,201.91,10.95,,391.3,1843.67,201.91,10.95,,391.3,1843.67,190.49,10.33,,391.3,1843.67,198.10,10.75,,
392.9,1897.62,206.26,10.87,,392.9,1897.62,207.69,10.94,,392.9,1897.62,191.18,10.07,,392.9,1897.62,201.71,10.63,,
394.4,1955.58,216.63,11.08,,394.4,1955.58,227.01,11.61,,394.4,1955.58,201.79,10.32,,394.4,1955.58,215.14,11.00,,
395.9,2019.02,229.22,11.35,,395.9,2019.02,237.07,11.74,,395.9,2019.02,209.75,10.39,,395.9,2019.02,225.35,11.16,,
397.5,2131.80,237.41,11.14,,397.5,2131.80,245.48,11.52,,397.5,2131.80,227.39,10.67,,397.5,2131.80,236.76,11.11,,
399.0,2240.25,231.75,10.34,,399.0,2240.25,250.29,11.17,,399.0,2240.25,226.19,10.10,,399.0,2240.25,236.08,10.54,,
400.6,2303.62,226.40,9.83,,400.6,2303.62,236.31,10.26,,400.6,2303.62,223.00,9.68,,400.6,2303.62,228.57,9.92,,
402.1,2342.64,221.88,9.47,,402.1,2342.64,233.49,9.97,,402.1,2342.64,218.78,9.34,,402.1,2342.64,224.72,9.59,,
403.6,2375.92,221.77,9.33,,403.6,2375.92,228.96,9.64,,403.6,2375.92,211.94,8.92,,403.6,2375.92,220.89,9.30,,
405.1,2451.81,217.08,8.85,,405.1,2451.81,223.93,9.13,,405.1,2451.81,210.22,8.57,,405.1,2451.81,217.08,8.85,,
406.7,2542.40,231.84,9.12,,406.7,2542.40,227.36,8.94,,406.7,2542.40,218.62,8.60,,406.7,2542.40,225.94,8.89,,
408.2,2650.73,237.23,8.95,,408.2,2650.73,239.46,9.03,,408.2,2650.73,220.08,8.30,,408.2,2650.73,232.26,8.76,,
409.7,2746.24,244.16,8.89,,409.7,2746.24,249.76,9.09,,409.7,2746.24,232.06,8.45,,409.7,2746.24,241.99,8.81,,
411.3,2843.51,253.60,8.92,,411.3,2843.51,250.16,8.80,,411.3,2843.51,239.60,8.43,,411.3,2843.51,247.79,8.71,,
